, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,,, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,PART B.  APPLICATION COMPLIANCE INFORMATION,,
,,,,,DISPOSED OF DURING THE QUARTER,,,,,,DISPOSED OF DURING THE QUARTER,,,,,,HOUSEHOLDS DISCONTINUED DUE,,
,,,,,,ENTITLED TO EXPEDITED SERVICE,,,,"ENTITLED TO ES, Cont'd",,,N0T ENTITLED,,,,TO RECIPENTS FAILURE TO,,
,,PENDING,RECEIVED,TOTAL, TOTAL,,PAFS,,,NAFS,,,,PAFS,NAFS,,COMPLETE APPLICATION PROCESS,,
,,FROM,DURING,DURING, DISPOSED,,,,,,,,TOTAL,,,PENDING,,,
COUNTY,,PRIOR,QUARTER,QUARTER,OF DURING, TOTAL,1-3 DAYS,4-5 DAYS,   OVER,1-3 DAYS,4-5 DAYS,OVER,NOT,,,END OF,TOTAL,PAFS,NAFS
,ADJ,QUARTER,,, QUARTER, ENTITLED,,,5 DAYS,,,5 DAYS,ENTITLED,,,QUARTER,,,
,,1.0,     2,     3,    4,    4a,4a(1),4a(2),4a(3),4a(1),4a(2),4a(3),4b,4b(1),4b(2),5.0,6.0,6a,6b
Statewide,-28.0,29586.0,138386.0,167972.0,137985.0,47316.0,5827.0,595.0,4437.0,29190.0,2349.0,4918.0,90669.0,15145.0,75524.0,29987.0,2635.0,233.0,2402.0
Alameda,,0.0,1582.0,1582.0,1582.0,1363.0,81.0,5.0,16.0,1102.0,31.0,128.0,219.0,24.0,195.0,0.0,0.0,0.0,0.0
Alpine,,0.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
Amador,,5.0,67.0,72.0,66.0,56.0,1.0,0.0,0.0,51.0,2.0,2.0,10.0,0.0,10.0,6.0,0.0,0.0,0.0
Butte,,7.0,468.0,475.0,466.0,361.0,56.0,2.0,9.0,269.0,5.0,20.0,105.0,9.0,96.0,9.0,50.0,7.0,43.0
Calaveras,-3.0,3.0,103.0,106.0,98.0,80.0,17.0,0.0,1.0,55.0,3.0,4.0,18.0,0.0,18.0,8.0,0.0,0.0,0.0
Colusa,,0.0,51.0,51.0,51.0,42.0,7.0,0.0,0.0,35.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0
Contra Costa,,0.0,1535.0,1535.0,1535.0,454.0,184.0,0.0,1.0,244.0,15.0,10.0,1081.0,160.0,921.0,0.0,0.0,0.0,0.0
Del Norte,,1.0,118.0,119.0,118.0,91.0,12.0,3.0,0.0,72.0,1.0,3.0,27.0,4.0,23.0,1.0,0.0,0.0,0.0
El Dorado,,6.0,113.0,119.0,108.0,92.0,9.0,0.0,10.0,48.0,1.0,24.0,16.0,2.0,14.0,11.0,3.0,0.0,3.0
Fresno,,1711.0,3715.0,5426.0,3667.0,3047.0,434.0,39.0,48.0,2097.0,257.0,172.0,620.0,475.0,145.0,1759.0,1.0,1.0,0.0
Glenn,-1.0,0.0,67.0,67.0,67.0,54.0,14.0,0.0,0.0,37.0,1.0,2.0,13.0,1.0,12.0,0.0,2.0,0.0,2.0
Humboldt,,0.0,504.0,504.0,504.0,420.0,2.0,3.0,8.0,183.0,84.0,140.0,84.0,26.0,58.0,0.0,84.0,25.0,59.0
Imperial,,0.0,23.0,23.0,23.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
Inyo,,4.0,44.0,48.0,43.0,36.0,4.0,0.0,0.0,31.0,1.0,0.0,7.0,1.0,6.0,5.0,0.0,0.0,0.0
Kern ,,41.0,3798.0,3839.0,3787.0,1258.0,174.0,1.0,14.0,1038.0,11.0,20.0,2529.0,826.0,1703.0,52.0,256.0,69.0,187.0
Kings,,4.0,628.0,632.0,622.0,285.0,67.0,2.0,6.0,178.0,24.0,8.0,337.0,89.0,248.0,10.0,23.0,0.0,23.0
Lake,,173.0,253.0,426.0,245.0,194.0,45.0,3.0,2.0,138.0,2.0,4.0,51.0,12.0,39.0,181.0,1.0,0.0,1.0
Lassen,,1.0,145.0,146.0,146.0,50.0,16.0,0.0,0.0,30.0,2.0,2.0,96.0,33.0,63.0,0.0,1.0,0.0,1.0
Los Angeles,,19728.0,76398.0,96126.0,76270.0,19224.0,706.0,315.0,3985.0,9453.0,1226.0,3539.0,57046.0,4894.0,52152.0,19856.0,1799.0,15.0,1784.0
Madera,,6.0,224.0,230.0,228.0,158.0,37.0,0.0,1.0,119.0,0.0,1.0,70.0,7.0,63.0,2.0,1.0,0.0,1.0
Marin,,31.0,194.0,225.0,189.0,142.0,11.0,1.0,1.0,122.0,2.0,5.0,47.0,0.0,47.0,36.0,2.0,0.0,2.0
Mariposa,,0.0,35.0,35.0,33.0,26.0,6.0,0.0,0.0,20.0,0.0,0.0,7.0,1.0,6.0,2.0,0.0,0.0,0.0
Mendocino,-3.0,0.0,191.0,191.0,185.0,163.0,54.0,0.0,0.0,99.0,7.0,3.0,22.0,2.0,20.0,6.0,1.0,0.0,1.0
Merced,,1154.0,317.0,1471.0,274.0,20.0,4.0,1.0,0.0,12.0,2.0,1.0,254.0,108.0,146.0,1197.0,3.0,0.0,3.0
Modoc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Monterey,-13.0,20.0,1389.0,1409.0,1353.0,504.0,84.0,3.0,3.0,385.0,9.0,20.0,849.0,93.0,756.0,56.0,3.0,0.0,3.0
Napa,,8.0,305.0,313.0,307.0,80.0,0.0,0.0,0.0,76.0,2.0,2.0,227.0,39.0,188.0,6.0,16.0,6.0,10.0
Nevada,,92.0,67.0,159.0,65.0,56.0,9.0,2.0,1.0,41.0,2.0,1.0,9.0,1.0,8.0,94.0,1.0,0.0,1.0
Orange,,17.0,832.0,849.0,831.0,656.0,120.0,1.0,1.0,532.0,0.0,2.0,175.0,39.0,136.0,18.0,0.0,0.0,0.0
Placer,,45.0,300.0,345.0,300.0,172.0,41.0,1.0,0.0,125.0,2.0,3.0,128.0,17.0,111.0,45.0,0.0,0.0,0.0
Plumas,,0.0,18.0,18.0,18.0,14.0,1.0,0.0,0.0,13.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,0.0,3.0
Riverside,,24.0,4841.0,4865.0,4844.0,1273.0,276.0,45.0,3.0,820.0,109.0,20.0,3571.0,498.0,3073.0,21.0,41.0,6.0,35.0
Sacramento,,45.0,3853.0,3898.0,3607.0,1385.0,351.0,11.0,6.0,972.0,27.0,18.0,2222.0,1592.0,630.0,291.0,0.0,0.0,0.0
San Benito,,1.0,105.0,106.0,106.0,90.0,25.0,0.0,1.0,61.0,0.0,3.0,16.0,2.0,14.0,0.0,0.0,0.0,0.0
San Bernardino,,0.0,7129.0,7129.0,7129.0,5299.0,1627.0,92.0,243.0,2943.0,109.0,285.0,1830.0,795.0,1035.0,0.0,142.0,77.0,65.0
San Diego,,28.0,8681.0,8709.0,8679.0,1664.0,122.0,3.0,5.0,1481.0,25.0,28.0,7015.0,3367.0,3648.0,30.0,4.0,1.0,3.0
San Francisco,,1400.0,4191.0,5591.0,4193.0,1989.0,103.0,1.0,1.0,1879.0,1.0,4.0,2204.0,0.0,2204.0,1398.0,11.0,3.0,8.0
San Joaquin,,10.0,269.0,279.0,274.0,224.0,43.0,9.0,12.0,124.0,20.0,16.0,50.0,12.0,38.0,5.0,0.0,0.0,0.0
San Luis Obispo,,2985.0,524.0,3509.0,474.0,235.0,70.0,2.0,0.0,156.0,2.0,5.0,239.0,73.0,166.0,3035.0,1.0,1.0,0.0
San Mateo,,8.0,334.0,342.0,336.0,325.0,249.0,10.0,13.0,26.0,12.0,15.0,11.0,0.0,11.0,6.0,32.0,2.0,30.0
Santa Barbara,,0.0,1395.0,1395.0,1395.0,307.0,60.0,0.0,1.0,224.0,10.0,12.0,1088.0,330.0,758.0,0.0,0.0,0.0,0.0
