county,black_pa,black_na,black_tot,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,white_pa,white_na,white_tot,filipino_pa,filipino_na,filipino_tot,other_pa,other_na,other_tot,total_pa,total_na,total_tot,chinese_pa,chinese_na,chinese_tot,cambodian_pa,cambodian_na,cambodian_tot,japanese_pa,japanese_na,japanese_tot,korean_pa,korean_na,korean_tot,samoan_pa,samoan_na,samoan_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot,year,month,quarter,fulldate
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,2004,JUL,3.0,2004-07-01
California,65253.0,94984.0,160237.0,136596.0,186166.0,322762.0,21380.0,28973.0,50353.0,2053.0,3229.0,5282.0,77977.0,109618.0,187595.0,2412.0,3916.0,6328.0,3420.0,8041.0,11461.0,309091.0,434927.0,744018.0,2430.0,4731.0,7161.0,4059.0,3956.0,8015.0,122.0,266.0,388.0,377.0,895.0,1272.0,792.0,836.0,1628.0,537.0,896.0,1433.0,163.0,202.0,365.0,177.0,224.0,401.0,2174.0,1842.0,4016.0,6499.0,12381.0,18880.0,4050.0,2744.0,6794.0,21380.0,28973.0,50353.0,2004,JUL,3.0,2004-07-01
Alameda,7373.0,4771.0,12144.0,2590.0,1677.0,4267.0,2334.0,1510.0,3844.0,69.0,45.0,114.0,3017.0,1953.0,4970.0,333.0,215.0,548.0,40.0,26.0,66.0,15756.0,10197.0,25953.0,872.0,564.0,1436.0,267.0,173.0,440.0,6.0,4.0,10.0,29.0,19.0,48.0,23.0,15.0,38.0,116.0,75.0,191.0,5.0,3.0,8.0,11.0,7.0,18.0,68.0,44.0,112.0,706.0,457.0,1163.0,231.0,149.0,380.0,2334.0,1510.0,3844.0,2004,JUL,3.0,2004-07-01
Alpine,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,18.0,24.0,3.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,JUL,3.0,2004-07-01
Amador,1.0,0.0,1.0,5.0,17.0,22.0,1.0,3.0,4.0,2.0,10.0,12.0,123.0,307.0,430.0,0.0,3.0,3.0,0.0,0.0,0.0,132.0,340.0,472.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,2004,JUL,3.0,2004-07-01
Butte,109.0,186.0,295.0,162.0,571.0,733.0,190.0,348.0,538.0,68.0,105.0,173.0,1782.0,3221.0,5003.0,3.0,11.0,14.0,0.0,0.0,0.0,2314.0,4442.0,6756.0,1.0,4.0,5.0,3.0,5.0,8.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,11.0,16.0,5.0,6.0,11.0,1.0,3.0,4.0,140.0,269.0,409.0,1.0,8.0,9.0,32.0,38.0,70.0,190.0,348.0,538.0,2004,JUL,3.0,2004-07-01
Calaveras,3.0,4.0,7.0,13.0,19.0,32.0,1.0,2.0,3.0,6.0,14.0,20.0,221.0,545.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,584.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2004,JUL,3.0,2004-07-01
Colusa,0.0,5.0,5.0,31.0,208.0,239.0,1.0,5.0,6.0,2.0,8.0,10.0,43.0,117.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,343.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,6.0,2004,JUL,3.0,2004-07-01
Contra Costa,2908.0,1565.0,4473.0,34.0,812.0,846.0,332.0,230.0,562.0,20.0,14.0,34.0,3365.0,1481.0,4846.0,94.0,76.0,170.0,0.0,0.0,0.0,6753.0,4178.0,10931.0,13.0,24.0,37.0,73.0,16.0,89.0,5.0,7.0,12.0,3.0,11.0,14.0,16.0,8.0,24.0,21.0,38.0,59.0,6.0,1.0,7.0,5.0,6.0,11.0,82.0,32.0,114.0,44.0,39.0,83.0,64.0,48.0,112.0,332.0,230.0,562.0,2004,JUL,3.0,2004-07-01
Del Norte,5.0,7.0,12.0,29.0,79.0,108.0,30.0,41.0,71.0,75.0,78.0,153.0,407.0,763.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,968.0,1514.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,24.0,48.0,0.0,0.0,0.0,6.0,11.0,17.0,30.0,41.0,71.0,2004,JUL,3.0,2004-07-01
El Dorado,7.0,12.0,19.0,39.0,153.0,192.0,6.0,12.0,18.0,9.0,17.0,26.0,534.0,986.0,1520.0,2.0,7.0,9.0,0.0,0.0,0.0,597.0,1187.0,1784.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,12.0,18.0,2004,JUL,3.0,2004-07-01
Fresno,2706.0,2033.0,4739.0,11911.0,9555.0,21466.0,2718.0,841.0,3559.0,105.0,90.0,195.0,3275.0,2951.0,6226.0,27.0,30.0,57.0,0.0,6.0,6.0,20742.0,15506.0,36248.0,13.0,13.0,26.0,473.0,122.0,595.0,5.0,4.0,9.0,4.0,8.0,12.0,10.0,7.0,17.0,32.0,36.0,68.0,1.0,0.0,1.0,6.0,8.0,14.0,484.0,127.0,611.0,77.0,39.0,116.0,1613.0,477.0,2090.0,2718.0,841.0,3559.0,2004,JUL,3.0,2004-07-01
