county,black_pa,black_na,black_tot,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,white_pa,white_na,white_tot,filipino_pa,filipino_na,filipino_tot,other_pa,other_na,other_tot,total_pa,total_na,total_tot,chinese_pa,chinese_na,chinese_tot,cambodian_pa,cambodian_na,cambodian_tot,japanese_pa,japanese_na,japanese_tot,korean_pa,korean_na,korean_tot,samoan_pa,samoan_na,samoan_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot,year,month,quarter,fulldate
Santa Clara,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2005,JUL,3.0,2005-07-01
Santa Cruz,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2005,JUL,3.0,2005-07-01
Shasta,28.0,83.0,111.0,61.0,180.0,241.0,47.0,123.0,170.0,84.0,168.0,252.0,1427.0,3283.0,4710.0,4.0,9.0,13.0,0.0,0.0,0.0,1651.0,3846.0,5497.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,9.0,11.0,2.0,1.0,3.0,40.0,102.0,142.0,2.0,2.0,4.0,0.0,1.0,1.0,47.0,123.0,170.0,2005,JUL,3.0,2005-07-01
Sierra,1.0,0.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,43.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,JUL,3.0,2005-07-01
Siskiyou,23.0,43.0,66.0,25.0,92.0,117.0,24.0,29.0,53.0,42.0,79.0,121.0,415.0,973.0,1388.0,2.0,0.0,2.0,0.0,0.0,0.0,531.0,1216.0,1747.0,0.0,0.0,0.0,6.0,4.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,15.0,18.0,33.0,0.0,1.0,1.0,0.0,3.0,3.0,24.0,29.0,53.0,2005,JUL,3.0,2005-07-01
Solano,1404.0,1437.0,2841.0,575.0,611.0,1186.0,145.0,134.0,279.0,17.0,61.0,78.0,846.0,1163.0,2009.0,78.0,226.0,304.0,0.0,0.0,0.0,3065.0,3632.0,6697.0,5.0,29.0,34.0,28.0,13.0,41.0,0.0,3.0,3.0,0.0,4.0,4.0,12.0,10.0,22.0,5.0,13.0,18.0,3.0,4.0,7.0,8.0,8.0,16.0,16.0,5.0,21.0,35.0,11.0,46.0,33.0,34.0,67.0,145.0,134.0,279.0,2005,JUL,3.0,2005-07-01
Sonoma,112.0,176.0,288.0,602.0,976.0,1578.0,108.0,102.0,210.0,85.0,65.0,150.0,949.0,2734.0,3683.0,2.0,8.0,10.0,0.0,20.0,20.0,1858.0,4081.0,5939.0,3.0,17.0,20.0,41.0,22.0,63.0,1.0,2.0,3.0,1.0,4.0,5.0,3.0,2.0,5.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,6.0,17.0,13.0,30.0,15.0,21.0,36.0,22.0,13.0,35.0,108.0,102.0,210.0,2005,JUL,3.0,2005-07-01
Stanislaus,376.0,658.0,1034.0,2318.0,3665.0,5983.0,294.0,505.0,799.0,38.0,67.0,105.0,2550.0,4387.0,6937.0,15.0,33.0,48.0,0.0,0.0,0.0,5591.0,9315.0,14906.0,1.0,7.0,8.0,147.0,179.0,326.0,2.0,2.0,4.0,0.0,4.0,4.0,9.0,22.0,31.0,7.0,30.0,37.0,7.0,13.0,20.0,3.0,6.0,9.0,57.0,86.0,143.0,18.0,57.0,75.0,43.0,99.0,142.0,294.0,505.0,799.0,2005,JUL,3.0,2005-07-01
Sutter,20.0,57.0,77.0,135.0,576.0,711.0,25.0,47.0,72.0,8.0,17.0,25.0,320.0,825.0,1145.0,1.0,6.0,7.0,0.0,0.0,0.0,509.0,1528.0,2037.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,32.0,47.0,0.0,2.0,2.0,2.0,4.0,6.0,3.0,3.0,6.0,4.0,3.0,7.0,0.0,0.0,0.0,25.0,47.0,72.0,2005,JUL,3.0,2005-07-01
Tehama,7.0,12.0,19.0,75.0,328.0,403.0,3.0,9.0,12.0,15.0,36.0,51.0,536.0,1082.0,1618.0,3.0,1.0,4.0,0.0,0.0,0.0,639.0,1468.0,2107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,12.0,2005,JUL,3.0,2005-07-01
Trinity,0.0,2.0,2.0,2.0,4.0,6.0,0.0,2.0,2.0,4.0,4.0,8.0,103.0,255.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,267.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2005,JUL,3.0,2005-07-01
Tulare,358.0,442.0,800.0,5523.0,8643.0,14166.0,550.0,193.0,743.0,29.0,89.0,118.0,2055.0,3378.0,5433.0,43.0,52.0,95.0,74.0,70.0,144.0,8632.0,12867.0,21499.0,2.0,7.0,9.0,115.0,32.0,147.0,0.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,36.0,11.0,47.0,1.0,2.0,3.0,12.0,14.0,26.0,346.0,84.0,430.0,6.0,1.0,7.0,29.0,36.0,65.0,550.0,193.0,743.0,2005,JUL,3.0,2005-07-01
Tuolumne,7.0,11.0,18.0,78.0,38.0,116.0,10.0,7.0,17.0,12.0,31.0,43.0,254.0,753.0,1007.0,1.0,3.0,4.0,0.0,0.0,0.0,362.0,843.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,7.0,17.0,2005,JUL,3.0,2005-07-01
Ventura,155.0,279.0,434.0,2556.0,3934.0,6490.0,38.0,98.0,136.0,18.0,25.0,43.0,1173.0,2062.0,3235.0,36.0,95.0,131.0,1.0,0.0,1.0,3977.0,6493.0,10470.0,1.0,4.0,5.0,0.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,7.0,6.0,12.0,18.0,3.0,9.0,12.0,0.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,8.0,27.0,35.0,11.0,32.0,43.0,38.0,98.0,136.0,2005,JUL,3.0,2005-07-01
Yolo,108.0,106.0,214.0,585.0,609.0,1194.0,91.0,143.0,234.0,25.0,31.0,56.0,662.0,898.0,1560.0,3.0,7.0,10.0,0.0,0.0,0.0,1474.0,1794.0,3268.0,10.0,15.0,25.0,22.0,17.0,39.0,0.0,9.0,9.0,1.0,4.0,5.0,2.0,1.0,3.0,12.0,25.0,37.0,1.0,3.0,4.0,0.0,0.0,0.0,23.0,28.0,51.0,5.0,3.0,8.0,15.0,38.0,53.0,91.0,143.0,234.0,2005,JUL,3.0,2005-07-01
Yuba,46.0,76.0,122.0,132.0,387.0,519.0,114.0,201.0,315.0,10.0,52.0,62.0,599.0,1244.0,1843.0,1.0,5.0,6.0,0.0,0.0,0.0,902.0,1965.0,2867.0,0.0,4.0,4.0,9.0,7.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,4.0,8.0,98.0,177.0,275.0,0.0,1.0,1.0,0.0,0.0,0.0,114.0,201.0,315.0,2005,JUL,3.0,2005-07-01
