county,black_pa,black_na,black_tot,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,white_pa,white_na,white_tot,filipino_pa,filipino_na,filipino_tot,other_pa,other_na,other_tot,total_pa,total_na,total_tot,chinese_pa,chinese_na,chinese_tot,cambodian_pa,cambodian_na,cambodian_tot,japanese_pa,japanese_na,japanese_tot,korean_pa,korean_na,korean_tot,samoan_pa,samoan_na,samoan_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot,year,month,quarter,fulldate
California,69250,78556,147806,143845,138977,282822,28367,21028,49395,2168,2483.0,4651,82139,85175,167314,2186,2649,4835,1789,2914,4703,329744,331782,661526,3137,3014,6151,5265,3481,8746,133,172,305,409,703,1112,762,519,1281,488,563,1051,167,143,310,130,118,248,2747,1803,4550,9660,7177,16837,5469,3335,8804,28367,21028.0,49395,2002,JUL,3.0,2002-07-01
Alameda,6991,3444,10435,1973,972,2945,1907,940,2847,52,25.0,77,2573,1267,3840,196,96,292,23,11,34,13715,6755,20470,814,401,1215,157,77,234,8,4,12,49,24,73,10,5,15,84,42,126,4,2,6,16,8,24,27,14,41,579,285,864,159,78,237,1907,940.0,2847,2002,JUL,3.0,2002-07-01
Alpine,1,0,1,1,0,1,0,0,0,13,13.0,26,3,5,8,0,0,0,1,0,1,19,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Amador,0,2,2,5,9,14,0,0,0,6,4.0,10,118,188,306,0,0,0,0,0,0,129,203,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Butte,109,126,235,182,484,666,273,260,533,54,90.0,144,1981,2364,4345,4,13,17,0,0,0,2603,3337,5940,0,2,2,3,1,4,3,2,5,1,0,1,1,2,3,3,8,11,5,2,7,1,2,3,217,207,424,3,6,9,36,28,64,273,260.0,533,2002,JUL,3.0,2002-07-01
Calaveras,4,3,7,8,16,24,1,2,3,8,6.0,14,185,389,574,1,0,1,0,0,0,207,416,623,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,3,2002,JUL,3.0,2002-07-01
Colusa,1,3,4,31,162,193,0,5,5,4,10.0,14,52,102,154,0,0,0,0,0,0,88,282,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,5.0,5,2002,JUL,3.0,2002-07-01
Contra Costa,2501,924,3425,1182,550,1732,389,271,660,12,11.0,23,1625,655,2280,57,36,93,0,0,0,5766,2447,8213,3,5,8,29,16,45,3,1,4,2,1,3,12,2,14,9,18,27,3,2,5,2,0,2,124,91,215,104,83,187,98,52,150,389,271.0,660,2002,JUL,3.0,2002-07-01
Del Norte,9,6,15,19,61,80,34,24,58,63,62.0,125,343,576,919,0,0,0,0,0,0,468,729,1197,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,2,1,3,0,0,0,27,13,40,0,0,0,5,5,10,34,24.0,58,2002,JUL,3.0,2002-07-01
El Dorado,6,7,13,52,131,183,5,4,9,10,15.0,25,524,759,1283,2,1,3,0,0,0,599,917,1516,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,5,4.0,9,2002,JUL,3.0,2002-07-01
Fresno,2282,1166,3448,10269,5319,15588,4167,2148,6315,128,66.0,194,2896,1521,4417,35,19,54,0,0,0,19777,10239,30016,50,8,58,1099,566,1665,8,3,11,3,1,4,52,2,54,0,0,0,0,0,0,0,0,0,387,296,683,138,21,159,2430,1251,3681,4167,2148.0,6315,2002,JUL,3.0,2002-07-01
Glenn,5,10,15,33,161,194,26,35,61,9,19.0,28,154,242,396,0,1,1,0,0,0,227,468,695,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,21,25,46,3,1,4,0,7,7,26,35.0,61,2002,JUL,3.0,2002-07-01
Humboldt,33,40,73,55,113,168,44,57,101,184,249.0,433,996,1984,2980,1,6,7,0,0,0,1313,2449,3762,1,2,3,0,2,2,1,2,3,2,0,2,1,3,4,2,2,4,2,5,7,0,1,1,29,34,63,3,3,6,3,3,6,44,57.0,101,2002,JUL,3.0,2002-07-01
Imperial,55,76,131,1513,3049,4562,2,2,4,19,31.0,50,171,277,448,3,5,8,0,0,0,1763,3440,5203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2.0,4,2002,JUL,3.0,2002-07-01
Inyo,0,0,0,7,28,35,1,2,3,4,55.0,59,51,151,202,0,1,1,0,0,0,63,237,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,3,2002,JUL,3.0,2002-07-01
Kern,1507,980,2487,2929,6865,9794,90,95,185,55,44.0,99,2921,3186,6107,39,96,135,0,0,0,7541,11266,18807,1,3,4,38,19,57,2,1,3,4,5,9,4,5,9,8,31,39,10,1,11,4,4,8,4,3,7,7,7,14,8,16,24,90,95.0,185,2002,JUL,3.0,2002-07-01
Kings,195,227,422,660,1526,2186,18,16,34,7,11.0,18,396,607,1003,9,19,28,0,0,0,1285,2406,3691,1,2,3,0,1,1,0,0,0,0,0,0,1,1,2,2,1,3,0,0,0,1,1,2,11,10,21,2,0,2,0,0,0,18,16.0,34,2002,JUL,3.0,2002-07-01
