county,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,month,quarter,fulldate
Santa Cruz,1,2.0,3,7,8,9,13,14,15,19,20.0,21,25,26,27,31,32,33,37,38,39,43,44,45,49,50,51,55,56,57,61,62,63,67,68.0,69,73,74,75,79,80.0,81,85,86,87,91,92,93,97,98,99,103,104,105,109,110.0,111,115,116,117,121,122.0,123,127,128,129,133,134.0,135,139,140.0,141,145,146.0,147,151,152.0,153,157,158,159,4,5.0,6,10,11,12,16,17,18,22,23.0,24,28,29,30,34,35,36,40,41,42,46,47,48,52,53,54,58,59,60,64,65,66,70,71.0,72,76,77,78,82,83.0,84,88,89,90,94,95,96,100,101,102,106,107,108,112,113.0,114,118,119,120,124,125.0,126,130,131,132,136,137.0,138,142,143.0,144,148,149.0,150,154,155.0,156,160,161,162,2007,JUL,3.0,2007-07-01
California,5840,14601.0,20441,14740,40212,54952,711,2107,2818,1948,3399.0,5347,1883,6751,8634,150,417,567,1769,4970,6739,293,1007,1300,1439,2648,4087,3274,12915,16189,3192,5695,8887,81,303.0,384,47940,122070,170010,1466,3248.0,4714,310,707,1017,132,417,549,661,1406,2067,333,652,985,30,66.0,96,72214,196550,268764,94,511.0,605,127,444,571,98,391.0,489,159,542.0,701,1798,8911.0,10709,106490,201815.0,308305,249504,587294,836798,3773,8265.0,12038,137,685,822,84,335,419,6,62.0,68,0,7,7,1,6,7,14,61,75,0,0,0,15,99,114,2,9,11,9,60,69,6,46.0,52,77,329,406,80,437.0,517,13,59,72,11,135,146,35,174,209,21,59,80,0,10.0,10,7087,40630,47717,32,211.0,243,34,147,181,6,51.0,57,6,52.0,58,742,2844.0,3586,61199,102831.0,164030,71711,154481,226192,2007,JUL,3.0,2007-07-01
Alameda,53,98.0,151,1547,2878,4425,87,162,249,122,227.0,349,373,694,1067,7,13,20,186,346,532,19,34,53,38,71,109,458,852,1310,256,477,733,1,2.0,3,5717,10645,16362,121,227.0,348,14,26,40,6,12,18,41,77,118,60,112,172,0,0.0,0,1685,3137,4822,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,116,215.0,331,2144,3994.0,6138,11383,21194,32577,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,116,215.0,331,2113,3936.0,6049,2229,4151,6380,2007,JUL,3.0,2007-07-01
Alpine,1,24.0,25,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,5,7,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,29,32,1,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,1,2007,JUL,3.0,2007-07-01
Amador,4,16.0,20,3,7,10,2,5,7,0,0.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,121,379,500,0,1.0,1,0,0,0,0,0.0,0,0,0.0,0,0,3.0,3,5,40.0,45,133,447,580,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,2,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,3.0,3,0,0.0,0,1,4,5,2007,JUL,3.0,2007-07-01
Butte,162,661.0,823,170,422,592,57,106,163,2,8.0,10,1,4,5,0,4,4,1,11,12,0,1,1,95,250,345,2,6,8,12,32,44,0,0.0,0,80,259,339,6,13.0,19,2,8,10,2,2,4,2,3,5,0,0,0,0,0.0,0,1326,4758,6084,3,35.0,38,0,6,6,0,0.0,0,0,0.0,0,7,49.0,56,5,28.0,33,1759,6231,7990,118,561.0,679,0,6,6,0,3,3,0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15,43,58,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,7,44.0,51,3,23.0,26,143,679,822,2007,JUL,3.0,2007-07-01
Calaveras,7,22.0,29,2,25,27,2,17,19,0,0.0,0,0,0,0,0,0,0,0,5,5,0,1,1,0,0,0,0,2,2,0,0,0,0,0.0,0,3,1,4,0,3.0,3,0,1,1,0,0,0,0,2,2,0,0,0,0,0.0,0,198,610,808,2,1.0,3,0,0,0,0,0.0,0,0,0.0,0,0,8.0,8,0,0.0,0,212,670,882,0,0.0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,18,21,1,1.0,2,0,0,0,0,0.0,0,0,0.0,0,0,4.0,4,0,0.0,0,4,24,28,2007,JUL,3.0,2007-07-01
Colusa,3,13.0,16,0,3,3,0,2,2,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6,6,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,66,372,438,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,69,395,464,0,1.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,29,193,222,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,29,194,223,2007,JUL,3.0,2007-07-01
Contra Costa,19,47.0,66,222,421,643,24,31,55,10,6.0,16,10,37,47,2,3,5,60,145,205,1,7,8,48,63,111,43,97,140,24,32,56,0,0.0,0,1900,3713,5613,36,41.0,77,12,13,25,4,5,9,16,17,33,4,6,10,0,0.0,0,1395,3121,4516,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1462,2001.0,3463,3572,7343,10915,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1462,2001.0,3463,0,0,0,2007,JUL,3.0,2007-07-01
Del Norte,37,149.0,186,30,51,81,8,18,26,0,0.0,0,0,1,1,0,0,0,0,1,1,0,1,1,20,27,47,0,0,0,2,3,5,0,0.0,0,2,1,3,0,3.0,3,0,2,2,0,0,0,0,0,0,0,1,1,0,0.0,0,312,1098,1410,1,3.0,4,0,0,0,0,0.0,0,0,0.0,0,1,12.0,13,7,22.0,29,390,1339,1729,1,0.0,1,1,1,2,1,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,11,13,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,1,12.0,13,0,4.0,4,5,28,33,2007,JUL,3.0,2007-07-01
