county,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,month,quarter,fulldate
Riverside,83,436.0,519,296,1400,1696,19,80,99,25,69.0,94,8,53,61,5,36,41,85,462,547,12,75,87,30,118,148,40,241,281,65,248,313,7,18.0,25,2826,9585,12411,98,386.0,484,13,57,70,8,30,38,32,106,138,44,189,233,1,4.0,5,6562,28429,34991,28,156.0,184,4,21,25,70,178.0,248,4,17.0,21,54,187.0,241,10426,34275.0,44701,20451,75070,95521,30,116.0,146,14,77,91,0,1,1,1,3.0,4,0,3,3,1,7,8,5,31,36,1,4,5,4,7,11,1,2,3,1,18,19,0,1.0,1,62,141,203,25,157.0,182,1,8,9,3,3,6,0,6,6,21,140,161,0,0.0,0,2260,5745,8005,7,34.0,41,0,4,4,6,11.0,17,1,1.0,2,11,32.0,43,10108,31771.0,41879,12524,38089,50613,2011,JUL,3.0,2011-07-01
Sacramento,429,1436.0,1865,1253,4269,5522,108,370,478,38,133.0,171,194,667,861,31,98,129,246,837,1083,24,78,102,241,817,1058,371,1269,1640,0,0,0,0,0.0,0,5219,17809,23028,885,3046.0,3931,89,316,405,21,61,82,51,165,216,724,2504,3228,0,0.0,0,10240,36609,46849,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1013,2151.0,3164,19039,65320,84359,62,175.0,237,37,96,133,1,4,5,0,2.0,2,2,7,9,4,7,11,16,47,63,1,0,1,11,27,38,2,2,4,0,0,0,0,0.0,0,101,251,352,22,87.0,109,11,48,59,4,2,6,3,2,5,4,35,39,0,0.0,0,3731,10033,13764,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1013,2151.0,3164,4966,12793,17759,2011,JUL,3.0,2011-07-01
San Benito,2,9.0,11,4,17,21,1,4,5,0,0.0,0,0,0,0,0,3,3,3,8,11,0,1,1,0,0,0,0,0,0,0,1,1,0,0.0,0,3,13,16,1,2.0,3,1,0,1,0,1,1,0,1,1,0,0,0,0,0.0,0,537,2035,2572,2,2.0,4,0,0,0,0,2.0,2,0,0.0,0,0,5.0,5,0,0.0,0,549,2085,2634,2,4.0,6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,442,1516,1958,0,2.0,2,0,0,0,0,1.0,1,0,0.0,0,0,3.0,3,0,0.0,0,444,1526,1970,2011,JUL,3.0,2011-07-01
San Bernardino,163,674.0,837,365,2115,2480,21,105,126,54,201.0,255,12,88,100,8,47,55,90,459,549,17,131,148,18,52,70,50,427,477,86,560,646,9,45.0,54,5604,19041,24645,127,518.0,645,12,94,106,9,44,53,60,194,254,44,180,224,2,6.0,8,10471,46601,57072,39,192.0,231,10,48,58,71,279.0,350,8,48.0,56,95,285.0,380,11776,35766.0,47542,28729,105567,134296,41,176.0,217,30,141,171,0,1,1,0,1.0,1,0,2,2,1,11,12,16,38,54,1,3,4,5,17,22,2,4,6,5,61,66,0,3.0,3,83,248,331,27,94.0,121,2,7,9,0,6,6,2,7,9,23,73,96,0,1.0,1,4900,18277,23177,15,45.0,60,4,20,24,8,29.0,37,1,6.0,7,16,74.0,90,11422,33773.0,45195,16547,52883,69430,2011,JUL,3.0,2011-07-01
San Diego,133,667.0,800,671,3742,4413,19,99,118,66,232.0,298,14,178,192,16,89,105,287,1655,1942,10,66,76,62,287,349,197,1136,1333,0,0,0,0,0.0,0,2729,11374,14103,237,923.0,1160,34,167,201,40,177,217,58,235,293,105,344,449,0,0.0,0,5438,28695,34133,0,1.0,1,16,80,96,10,26.0,36,0,6.0,6,1,5.0,6,10014,33711.0,43725,19249,79230,98479,25,118.0,143,32,130,162,0,4,4,3,5.0,8,0,3,3,2,5,7,18,71,89,1,1,2,8,25,33,0,16,16,0,0,0,0,0.0,0,70,225,295,16,86.0,102,5,19,24,2,15,17,2,11,13,7,41,48,0,0.0,0,471,1876,2347,0,0.0,0,5,34,39,0,5.0,5,0,0.0,0,0,0.0,0,9853,33389.0,43242,10472,35863,46335,2011,JUL,3.0,2011-07-01
San Francisco,29,294.0,323,460,6070,6530,5,64,69,12,54.0,66,227,4163,4390,3,63,66,91,976,1067,7,85,92,2,28,30,95,520,615,18,117,135,0,0.0,0,1194,6841,8035,87,424.0,511,11,68,79,0,6,6,66,261,327,10,89,99,0,0.0,0,382,6543,6925,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1281,7916.0,9197,3433,28088,31521,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1067,4987.0,6054,1067,4987,6054,2011,JUL,3.0,2011-07-01
San Joaquin,45,241.0,286,1045,3528,4573,101,379,480,377,951.0,1328,9,42,51,4,17,21,166,665,831,5,8,13,151,588,739,111,416,527,113,422,535,8,40.0,48,1828,4840,6668,63,143.0,206,18,31,49,15,34,49,23,46,69,7,30,37,0,2.0,2,4644,13652,18296,15,89.0,104,53,94,147,26,72.0,98,5,13.0,18,40,155.0,195,2422,6533.0,8955,10186,29360,39546,9,75.0,84,53,190,243,21,85,106,16,21.0,37,2,2,4,0,2,2,6,60,66,0,1,1,0,0,0,1,1,2,5,14,19,2,4.0,6,33,92,125,9,23.0,32,2,2,4,1,5,6,1,4,5,5,12,17,0,0.0,0,2487,5186,7673,9,33.0,42,53,84,137,4,11.0,15,1,3.0,4,17,56.0,73,2352,6220.0,8572,5027,11973,17000,2011,JUL,3.0,2011-07-01
San Luis Obispo,15,101.0,116,19,86,105,1,10,11,1,2.0,3,1,4,5,1,6,7,12,39,51,1,8,9,0,7,7,2,10,12,0,0,0,0,0.0,0,31,177,208,6,17.0,23,1,8,9,0,0,0,2,0,2,3,9,12,0,0.0,0,1320,6565,7885,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1391,6946,8337,5,12.0,17,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,28,15,43,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,484,1758,2242,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,517,1785,2302,2011,JUL,3.0,2011-07-01
San Mateo,13,45.0,58,217,1044,1261,4,25,29,2,6.0,8,16,187,203,0,16,16,122,527,649,0,18,18,0,7,7,4,28,32,69,230,299,0,0.0,0,290,987,1277,45,102.0,147,14,36,50,0,1,1,27,58,85,4,7,11,0,0.0,0,1671,6516,8187,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2236,8694,10930,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1262,4364,5626,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1262,4364,5626,2011,JUL,3.0,2011-07-01
Santa Barbara,22,98.0,120,31,134,165,4,8,12,1,2.0,3,1,8,9,0,7,7,23,70,93,0,9,9,1,10,11,1,15,16,0,0,0,0,5.0,5,101,350,451,3,35.0,38,1,11,12,0,5,5,0,3,3,2,14,16,0,2.0,2,2392,8707,11099,1,7.0,8,0,4,4,2,8.0,10,0,0.0,0,467,935.0,1402,1,2.0,3,3020,10280,13300,11,31.0,42,7,18,25,2,0,2,0,0.0,0,0,0,0,0,0,0,4,11,15,0,1,1,0,3,3,1,2,3,0,0,0,0,1.0,1,10,15,25,0,11.0,11,0,3,3,0,2,2,0,0,0,0,5,5,0,1.0,1,1854,5750,7604,0,2.0,2,0,1,1,0,2.0,2,0,0.0,0,451,906.0,1357,0,1.0,1,2333,6737,9070,2011,JUL,3.0,2011-07-01
