"Data on CalFresh population demographics from California Department of Fianance, annual CalFresh households and persons collected from DFA 256, and July data collected from MEDS. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note:  The presence of an asterisk (*) in a data cell indicates that the value has been suppressed to protect individual confidentiality.,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
25 Modoc,C-IV,2014.0,2014/15,471.666666667,462.416666667,1021.91666667,1005.08333333,30.0,448.0,61.0,,,9564.0,3011.0,1883.0,353.0,421.0,0.105,2247.36784703
26 Mono,C-IV,2014.0,2014/15,500.333333333,527.166666667,833.0,856.0,46.0,342.0,216.0,,,13939.0,2540.0,2900.0,1069.0,100.0,0.072,1714.07704
27 Monterey,C-IV,2014.0,2014/15,22531.5,22112.25,50650.0,50079.4166667,2049.0,30673.0,22091.0,,,429810.0,74649.0,113755.0,74856.0,8488.0,0.091,76819.0947
28 Napa,C-IV,2014.0,2014/15,3564.25,3503.33333333,7387.83333333,7300.75,405.0,4107.0,2903.0,,,140550.0,32578.0,30578.0,11600.0,2118.0,0.056,13996.5831756
29 Nevada,C-IV,2014.0,2014/15,4225.16666667,4165.25,7702.16666667,7722.66666667,579.0,2934.0,274.0,,,98291.0,32192.0,17066.0,1472.0,1796.0,0.066,12648.7451
30 Orange,CalWIN,2014.0,2014/15,119900.916667,116779.416667,260159.333333,258603.0,16507.0,139965.0,115464.0,,,3138057.0,580807.0,734696.0,325313.0,68202.0,0.055,443857.489635
31 Placer,CalWIN,2014.0,2014/15,9357.16666667,9218.16666667,18460.5833333,18534.8333333,1321.0,7662.0,2015.0,,,367878.0,89594.0,80554.0,6222.0,5087.0,0.063,41238.667037
32 Plumas,C-IV,2014.0,2014/15,1042.91666667,970.0,1982.0,1895.33333333,102.0,718.0,20.0,,,19692.0,6932.0,3308.0,202.0,651.0,0.117,3602.33313676
33 Riverside,C-IV,2014.0,2014/15,126782.333333,124200.083333,292595.0,290271.916667,12690.0,152467.0,66413.0,,,2305693.0,419845.0,605964.0,172588.0,57657.0,0.082,455320.184137
34 Sacramento,CalWIN,2014.0,2014/15,103629.25,101078.083333,219619.333333,217509.333333,8287.0,104684.0,48228.0,,,1473374.0,264070.0,360569.0,94516.0,62271.0,0.073,295178.394858
35 San Benito,C-IV,2014.0,2014/15,2726.66666667,2714.08333333,6136.0,6198.16666667,271.0,3309.0,1799.0,,,57167.0,9780.0,15010.0,5516.0,899.0,0.093,8761.70829708
36 San Bernardino,C-IV,2014.0,2014/15,177045.333333,172181.333333,398285.833333,391793.833333,15915.0,198181.0,71716.0,,,2110975.0,317477.0,581828.0,164799.0,68029.0,0.081,458342.861038
37 San Diego,CalWIN,2014.0,2014/15,139222.5,134214.083333,288651.166667,283887.083333,17845.0,135621.0,98590.0,,,3247475.0,589548.0,775717.0,228246.0,76554.0,0.064,548765.953056
38 San Francisco,CalWIN,2014.0,2014/15,33331.9166667,32890.25,52301.5833333,52291.8333333,6253.0,19297.0,20731.0,,,854421.0,177469.0,120131.0,103652.0,37503.0,0.044,100797.79189
39 San Joaquin,C-IV,2014.0,2014/15,51867.0833333,50059.8333333,120247.083333,117660.583333,4280.0,63441.0,24298.0,,,717490.0,117841.0,198937.0,65961.0,27296.0,0.106,155948.402083
40 San Luis Obispo,CalWIN,2014.0,2014/15,9756.08333333,9575.58333333,18213.25,18107.1666667,1310.0,8231.0,3388.0,,,275999.0,70111.0,52176.0,10622.0,4290.0,0.056,45982.3013383
