,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,
Data Sources:,,,,,,MEDS (1st month of Qtr.),MEDS (1st month of Qtr.),MEDS (1st month of Qtr.)
,,,,,,,,
County,Consortium,Month,C_Year,FFY,SFY,MC_rec_CF_Pct,CF_Persons_rec_MC,CF_Persons_rec_MC_Pct
02 Alpine,C-IV,April,2012.0,2012.0,2012.0,0.472027972028,135.0,0.865384615385
03 Amador,C-IV,April,2012.0,2012.0,2012.0,0.488555078684,2732.0,0.832419256551
04 Butte,C-IV,April,2012.0,2012.0,2012.0,0.431349708787,25551.0,0.870651173885
05 Calaveras,C-IV,April,2012.0,2012.0,2012.0,0.498773307164,4066.0,0.802764067127
06 Colusa,C-IV,April,2012.0,2012.0,2012.0,0.305025032449,1645.0,0.900876232202
07 Contra Costa,CalWIN,April,2012.0,2012.0,2012.0,0.351904694446,52166.0,0.748221457258
08 Del Norte,C-IV,April,2012.0,2012.0,2012.0,0.506240167803,4827.0,0.879876048122
09 El Dorado,C-IV,April,2012.0,2012.0,2012.0,0.418846137274,9721.0,0.812928583375
10 Fresno,CalWIN,April,2012.0,2012.0,2012.0,0.534430231064,174717.0,0.800154794508
11 Glenn,C-IV,April,2012.0,2012.0,2012.0,0.393069306931,3176.0,0.899207248018
12 Humboldt,C-IV,April,2012.0,2012.0,2012.0,0.407126850361,12899.0,0.829197737208
13 Imperial,C-IV,April,2012.0,2012.0,2012.0,0.497531549878,32249.0,0.888230919657
14 Inyo,C-IV,April,2012.0,2012.0,2012.0,0.40050148165,1757.0,0.876746506986
15 Kern,C-IV,April,2012.0,2012.0,2012.0,0.480399021359,119383.0,0.819876245613
16 Kings,C-IV,April,2012.0,2012.0,2012.0,0.520370141888,21088.0,0.886273850551
17 Lake,C-IV,April,2012.0,2012.0,2012.0,0.428473848556,8782.0,0.850062917433
18 Lassen,C-IV,April,2012.0,2012.0,2012.0,0.472525537161,2683.0,0.900940228341
19 Los Angeles,LRS,April,2012.0,2012.0,2012.0,0.335597036404,841870.0,0.788920792116
20 Madera,C-IV,April,2012.0,2012.0,2012.0,0.495536162103,24700.0,0.903570383377
21 Marin,C-IV,April,2012.0,2012.0,2012.0,0.316337550139,8202.0,0.871440713982
22 Mariposa,C-IV,April,2012.0,2012.0,2012.0,0.469034341063,1598.0,0.871794871795
23 Mendocino,C-IV,April,2012.0,2012.0,2012.0,0.398773875757,11253.0,0.832322485207
24 Merced,C-IV,April,2012.0,2012.0,2012.0,0.516110327891,45395.0,0.823342704271
25 Modoc,C-IV,April,2012.0,2012.0,2012.0,0.381512605042,908.0,0.87984496124
26 Mono,C-IV,April,2012.0,2012.0,2012.0,0.322974472808,582.0,0.695340501792
27 Monterey,C-IV,April,2012.0,2012.0,2012.0,0.396903595887,40685.0,0.846123450628
28 Napa,C-IV,April,2012.0,2012.0,2012.0,0.321426735879,6254.0,0.833200106581
29 Nevada,C-IV,April,2012.0,2012.0,2012.0,0.41836364954,5773.0,0.816433319191
30 Orange,CalWIN,April,2012.0,2012.0,2012.0,0.353047248729,170334.0,0.773616012426
31 Placer,CalWIN,April,2012.0,2012.0,2012.0,0.368847959993,12096.0,0.669285674763
32 Plumas,C-IV,April,2012.0,2012.0,2012.0,0.37295298468,1412.0,0.84147794994
33 Riverside,C-IV,April,2012.0,2012.0,2012.0,0.448789275936,189324.0,0.699735738178
34 Sacramento,CalWIN,April,2012.0,2012.0,2012.0,0.470663147378,157811.0,0.766366713448
35 San Benito,C-IV,April,2012.0,2012.0,2012.0,0.465778634651,5315.0,0.834379905808
36 San Bernardino,C-IV,April,2012.0,2012.0,2012.0,0.5184015438,259503.0,0.715609764169
37 San Diego,CalWIN,April,2012.0,2012.0,2012.0,0.397110327967,181757.0,0.726551382293
38 San Francisco,CalWIN,April,2012.0,2012.0,2012.0,0.232900524297,33094.0,0.624285525646
39 San Joaquin,C-IV,April,2012.0,2012.0,2012.0,0.480109527037,89949.0,0.827505312836
40 San Luis Obispo,CalWIN,April,2012.0,2012.0,2012.0,0.366944569626,13028.0,0.720654939706
41 San Mateo,CalWIN,April,2012.0,2012.0,2012.0,0.266714911259,21745.0,0.761806334081
42 Santa Barbara,CalWIN,April,2012.0,2012.0,2012.0,0.328623264252,28257.0,0.829843470089
43 Santa Clara,CalWIN,April,2012.0,2012.0,2012.0,0.311273172633,83871.0,0.786074454525
44 Santa Cruz,CalWIN,April,2012.0,2012.0,2012.0,0.377026723557,16789.0,0.73999471086
45 Shasta,C-IV,April,2012.0,2012.0,2012.0,0.446755685375,21413.0,0.848106780735
46 Sierra,C-IV,April,2012.0,2012.0,2012.0,0.383435582822,250.0,0.886524822695
47 Siskiyou,C-IV,April,2012.0,2012.0,2012.0,0.447881640888,5328.0,0.865356504791
48 Solano,CalWIN,April,2012.0,2012.0,2012.0,0.437737630458,34309.0,0.837581172794
49 Sonoma,CalWIN,April,2012.0,2012.0,2012.0,0.386205674725,28339.0,0.806689439226
50 Stanislaus,C-IV,April,2012.0,2012.0,2012.0,0.476094946831,67874.0,0.750212770661
51 Sutter,C-IV,April,2012.0,2012.0,2012.0,0.397850670261,10625.0,0.882328516858
52 Tehama,C-IV,April,2012.0,2012.0,2012.0,0.449125147519,8753.0,0.886738932226
53 Trinity,C-IV,April,2012.0,2012.0,2012.0,0.400416790712,1345.0,0.853968253968
54 Tulare,CalWIN,April,2012.0,2012.0,2012.0,0.527699855765,92929.0,0.824087047514
55 Tuolumne,C-IV,April,2012.0,2012.0,2012.0,0.447538733085,4564.0,0.865213270142
56 Ventura,CalWIN,April,2012.0,2012.0,2012.0,0.364616379474,47927.0,0.716215610383
57 Yolo,CalWIN,April,2012.0,2012.0,2012.0,0.402796169125,13080.0,0.754020868162
58 Yuba,C-IV,April,2012.0,2012.0,2012.0,0.488767778812,11031.0,0.845611345343
00 Statewide,n/a,July,2012.0,2012.0,2013.0,0.39880341472,3205731.0,0.77013985001
01 Alameda,CalWIN,July,2012.0,2012.0,2013.0,0.366603487632,98451.0,0.755902428537
02 Alpine,C-IV,July,2012.0,2012.0,2013.0,0.449814126394,121.0,0.812080536913
03 Amador,C-IV,July,2012.0,2012.0,2013.0,0.483634412449,2704.0,0.822884966525
04 Butte,C-IV,July,2012.0,2012.0,2013.0,0.437671049997,26227.0,0.870316907251
05 Calaveras,C-IV,July,2012.0,2012.0,2013.0,0.497777777778,4144.0,0.819134216248
06 Colusa,C-IV,July,2012.0,2012.0,2013.0,0.284846252992,1547.0,0.894736842105
07 Contra Costa,CalWIN,July,2012.0,2012.0,2013.0,0.356290701399,53398.0,0.751290889905
08 Del Norte,C-IV,July,2012.0,2012.0,2013.0,0.506241476975,4826.0,0.882751051765
09 El Dorado,C-IV,July,2012.0,2012.0,2013.0,0.421350725135,9820.0,0.813317873116
10 Fresno,CalWIN,July,2012.0,2012.0,2013.0,0.534958754555,175421.0,0.797890437377
11 Glenn,C-IV,July,2012.0,2012.0,2013.0,0.391229153799,3167.0,0.904340376927
12 Humboldt,C-IV,July,2012.0,2012.0,2013.0,0.416090234935,13354.0,0.83745139847
13 Imperial,C-IV,July,2012.0,2012.0,2013.0,0.503433299179,32919.0,0.890978969876
14 Inyo,C-IV,July,2012.0,2012.0,2013.0,0.391019855596,1733.0,0.884635017866
15 Kern,C-IV,July,2012.0,2012.0,2013.0,0.471421702196,117648.0,0.813795679512
16 Kings,C-IV,July,2012.0,2012.0,2013.0,0.508053972718,20596.0,0.886306911094
17 Lake,C-IV,July,2012.0,2012.0,2013.0,0.42001446829,8709.0,0.851569375183
18 Lassen,C-IV,July,2012.0,2012.0,2013.0,0.475240594926,2716.0,0.901128069011
19 Los Angeles,LRS,July,2012.0,2012.0,2013.0,0.343867094413,865215.0,0.777926231358
20 Madera,C-IV,July,2012.0,2012.0,2013.0,0.490868356304,24539.0,0.900150398004
21 Marin,C-IV,July,2012.0,2012.0,2013.0,0.320805726906,8425.0,0.873056994819
22 Mariposa,C-IV,July,2012.0,2012.0,2013.0,0.456934306569,1565.0,0.858475041141
23 Mendocino,C-IV,July,2012.0,2012.0,2013.0,0.402587276271,11359.0,0.830032882718
24 Merced,C-IV,July,2012.0,2012.0,2013.0,0.50663298252,44721.0,0.818196787296
25 Modoc,C-IV,July,2012.0,2012.0,2013.0,0.369915254237,873.0,0.868656716418
26 Mono,C-IV,July,2012.0,2012.0,2013.0,0.328316610925,589.0,0.723587223587
27 Monterey,C-IV,July,2012.0,2012.0,2013.0,0.370869463323,37980.0,0.837966640191
28 Napa,C-IV,July,2012.0,2012.0,2013.0,0.32548697127,6333.0,0.830448465775
29 Nevada,C-IV,July,2012.0,2012.0,2013.0,0.42023903242,5872.0,0.811610228058
30 Orange,CalWIN,July,2012.0,2012.0,2013.0,0.356281341997,173426.0,0.772495445455
31 Placer,CalWIN,July,2012.0,2012.0,2013.0,0.366780853063,12099.0,0.671681563315
32 Plumas,C-IV,July,2012.0,2012.0,2013.0,0.366006256517,1404.0,0.832740213523
33 Riverside,C-IV,July,2012.0,2012.0,2013.0,0.444997522942,188630.0,0.691162514611
34 Sacramento,CalWIN,July,2012.0,2012.0,2013.0,0.473029796755,159403.0,0.761255044294
35 San Benito,C-IV,July,2012.0,2012.0,2013.0,0.450661062954,5147.0,0.826163723917
36 San Bernardino,C-IV,July,2012.0,2012.0,2013.0,0.509681327906,257438.0,0.710999533251
37 San Diego,CalWIN,July,2012.0,2012.0,2013.0,0.398945400425,184152.0,0.723560752511
38 San Francisco,CalWIN,July,2012.0,2012.0,2013.0,0.232963439177,33338.0,0.631832309908
39 San Joaquin,C-IV,July,2012.0,2012.0,2013.0,0.480027599384,90442.0,0.823765153792
40 San Luis Obispo,CalWIN,July,2012.0,2012.0,2013.0,0.361685415322,12893.0,0.722418333613
41 San Mateo,CalWIN,July,2012.0,2012.0,2013.0,0.270525125689,22492.0,0.766598500341
42 Santa Barbara,CalWIN,July,2012.0,2012.0,2013.0,0.313331472695,26944.0,0.824580732036
43 Santa Clara,CalWIN,July,2012.0,2012.0,2013.0,0.312886300378,85096.0,0.785678013831
44 Santa Cruz,CalWIN,July,2012.0,2012.0,2013.0,0.368296441893,16489.0,0.735721934678
45 Shasta,C-IV,July,2012.0,2012.0,2013.0,0.451811936983,21968.0,0.854387056627
46 Sierra,C-IV,July,2012.0,2012.0,2013.0,0.421130952381,283.0,0.912903225806
47 Siskiyou,C-IV,July,2012.0,2012.0,2013.0,0.446597118728,5394.0,0.870702179177
48 Solano,CalWIN,July,2012.0,2012.0,2013.0,0.439281545355,34998.0,0.84164201717
49 Sonoma,CalWIN,July,2012.0,2012.0,2013.0,0.38641288355,28889.0,0.808853175048
50 Stanislaus,C-IV,July,2012.0,2012.0,2013.0,0.472497103856,67706.0,0.748339320254
51 Sutter,C-IV,July,2012.0,2012.0,2013.0,0.397840316556,10758.0,0.884413022032
52 Tehama,C-IV,July,2012.0,2012.0,2013.0,0.46044552697,9074.0,0.890306122449
53 Trinity,C-IV,July,2012.0,2012.0,2013.0,0.401118304885,1363.0,0.840320591862
54 Tulare,CalWIN,July,2012.0,2012.0,2013.0,0.527873303167,93328.0,0.822983721627
55 Tuolumne,C-IV,July,2012.0,2012.0,2013.0,0.438948393379,4508.0,0.871111111111
56 Ventura,CalWIN,July,2012.0,2012.0,2013.0,0.362992669189,47882.0,0.714123788218
57 Yolo,CalWIN,July,2012.0,2012.0,2013.0,0.407097265328,13904.0,0.800184162063
58 Yuba,C-IV,July,2012.0,2012.0,2013.0,0.495661700263,11311.0,0.848537134284
00 Statewide,n/a,October,2012.0,2013.0,2013.0,0.399928756194,3223285.0,0.766094828117
01 Alameda,CalWIN,October,2012.0,2013.0,2013.0,0.366038902505,98269.0,0.756084049519
02 Alpine,C-IV,October,2012.0,2013.0,2013.0,0.490039840637,123.0,0.878571428571
03 Amador,C-IV,October,2012.0,2013.0,2013.0,0.492208490059,2748.0,0.821524663677
04 Butte,C-IV,October,2012.0,2013.0,2013.0,0.440125631481,26485.0,0.867592622924
05 Calaveras,C-IV,October,2012.0,2013.0,2013.0,0.495653238643,4048.0,0.824943957612
06 Colusa,C-IV,October,2012.0,2013.0,2013.0,0.276729559748,1496.0,0.901748040989
07 Contra Costa,CalWIN,October,2012.0,2013.0,2013.0,0.356083262757,53817.0,0.746949992366
08 Del Norte,C-IV,October,2012.0,2013.0,2013.0,0.494613333333,4637.0,0.87821969697
09 El Dorado,C-IV,October,2012.0,2013.0,2013.0,0.418710732421,9730.0,0.803667299909
10 Fresno,CalWIN,October,2012.0,2013.0,2013.0,0.531013340213,174945.0,0.794175726899
11 Glenn,C-IV,October,2012.0,2013.0,2013.0,0.381335282651,3130.0,0.905933429812
12 Humboldt,C-IV,October,2012.0,2013.0,2013.0,0.417155586233,13296.0,0.829651815799
13 Imperial,C-IV,October,2012.0,2013.0,2013.0,0.512503393563,33980.0,0.89200399013
14 Inyo,C-IV,October,2012.0,2013.0,2013.0,0.389680923286,1722.0,0.88036809816
15 Kern,C-IV,October,2012.0,2013.0,2013.0,0.464563914183,116475.0,0.81071769136
16 Kings,C-IV,October,2012.0,2013.0,2013.0,0.504616975696,20493.0,0.886452115235
17 Lake,C-IV,October,2012.0,2013.0,2013.0,0.419803404459,8755.0,0.85389642056
18 Lassen,C-IV,October,2012.0,2013.0,2013.0,0.464373897707,2633.0,0.882668454576
19 Los Angeles,LRS,October,2012.0,2013.0,2013.0,0.348689537439,874210.0,0.768323497229
20 Madera,C-IV,October,2012.0,2013.0,2013.0,0.476760378615,23623.0,0.899820972841
21 Marin,C-IV,October,2012.0,2013.0,2013.0,0.316859687345,8290.0,0.866882777371
22 Mariposa,C-IV,October,2012.0,2013.0,2013.0,0.454223272298,1538.0,0.861142217245
23 Mendocino,C-IV,October,2012.0,2013.0,2013.0,0.393892911925,11042.0,0.819991088668
24 Merced,C-IV,October,2012.0,2013.0,2013.0,0.498395335172,44104.0,0.817982862866
25 Modoc,C-IV,October,2012.0,2013.0,2013.0,0.358617783397,851.0,0.875514403292
26 Mono,C-IV,October,2012.0,2013.0,2013.0,0.303479749002,532.0,0.788148148148
27 Monterey,C-IV,October,2012.0,2013.0,2013.0,0.34468787222,35305.0,0.827667854464
28 Napa,C-IV,October,2012.0,2013.0,2013.0,0.325345670028,6259.0,0.832092528583
29 Nevada,C-IV,October,2012.0,2013.0,2013.0,0.423201009959,6034.0,0.807656270914
30 Orange,CalWIN,October,2012.0,2013.0,2013.0,0.361102343284,177324.0,0.768611268839
31 Placer,CalWIN,October,2012.0,2013.0,2013.0,0.358780709736,11829.0,0.66198444233
32 Plumas,C-IV,October,2012.0,2013.0,2013.0,0.380174004746,1442.0,0.850737463127
33 Riverside,C-IV,October,2012.0,2013.0,2013.0,0.448062517297,191044.0,0.689515284946
34 Sacramento,CalWIN,October,2012.0,2013.0,2013.0,0.476970987881,162349.0,0.759900769969
35 San Benito,C-IV,October,2012.0,2013.0,2013.0,0.446752563765,5097.0,0.841366787719
36 San Bernardino,C-IV,October,2012.0,2013.0,2013.0,0.509987967252,259386.0,0.712538217899
37 San Diego,CalWIN,October,2012.0,2013.0,2013.0,0.40131649778,186377.0,0.719596759871
38 San Francisco,CalWIN,October,2012.0,2013.0,2013.0,0.233285253395,33479.0,0.635130520565
39 San Joaquin,C-IV,October,2012.0,2013.0,2013.0,0.47366386341,89441.0,0.818255006541
40 San Luis Obispo,CalWIN,October,2012.0,2013.0,2013.0,0.362615055199,13040.0,0.723640399556
41 San Mateo,CalWIN,October,2012.0,2013.0,2013.0,0.275215002389,23041.0,0.765990691489
42 Santa Barbara,CalWIN,October,2012.0,2013.0,2013.0,0.307890163365,26574.0,0.818997133787
43 Santa Clara,CalWIN,October,2012.0,2013.0,2013.0,0.313117612165,86567.0,0.785166843533
44 Santa Cruz,CalWIN,October,2012.0,2013.0,2013.0,0.351060966309,15651.0,0.722309396345
45 Shasta,C-IV,October,2012.0,2013.0,2013.0,0.447307620257,21490.0,0.847598012148
46 Sierra,C-IV,October,2012.0,2013.0,2013.0,0.389908256881,255.0,0.861486486486
47 Siskiyou,C-IV,October,2012.0,2013.0,2013.0,0.439100716462,5332.0,0.853529694253
48 Solano,CalWIN,October,2012.0,2013.0,2013.0,0.443668296577,35568.0,0.843403205919
49 Sonoma,CalWIN,October,2012.0,2013.0,2013.0,0.379372754175,28717.0,0.811145948083
50 Stanislaus,C-IV,October,2012.0,2013.0,2013.0,0.468601077961,67554.0,0.749342769354
51 Sutter,C-IV,October,2012.0,2013.0,2013.0,0.395495895274,10695.0,0.878655931646
52 Tehama,C-IV,October,2012.0,2013.0,2013.0,0.450457317073,8865.0,0.886145541783
53 Trinity,C-IV,October,2012.0,2013.0,2013.0,0.416864608076,1404.0,0.833729216152
54 Tulare,CalWIN,October,2012.0,2013.0,2013.0,0.525622287807,93145.0,0.823373937026
55 Tuolumne,C-IV,October,2012.0,2013.0,2013.0,0.436330486518,4547.0,0.878477588872
56 Ventura,CalWIN,October,2012.0,2013.0,2013.0,0.371448030572,49085.0,0.716025790641
57 Yolo,CalWIN,October,2012.0,2013.0,2013.0,0.407450689773,14295.0,0.821693395413
58 Yuba,C-IV,October,2012.0,2013.0,2013.0,0.489330810858,11122.0,0.842320508937
00 Statewide,n/a,January,2013.0,2013.0,2013.0,0.393677112847,3270486.0,0.770212784998
01 Alameda,CalWIN,January,2013.0,2013.0,2013.0,0.357582029585,99858.0,0.759908072568
02 Alpine,C-IV,January,2013.0,2013.0,2013.0,0.5,133.0,0.892617449664
03 Amador,C-IV,January,2013.0,2013.0,2013.0,0.482648158035,2712.0,0.815884476534
04 Butte,C-IV,January,2013.0,2013.0,2013.0,0.438538480615,26525.0,0.869159184743
05 Calaveras,C-IV,January,2013.0,2013.0,2013.0,0.495837297812,4169.0,0.829816878981
06 Colusa,C-IV,January,2013.0,2013.0,2013.0,0.311139800812,1687.0,0.8911780243
07 Contra Costa,CalWIN,January,2013.0,2013.0,2013.0,0.348376554448,54152.0,0.75918630571
08 Del Norte,C-IV,January,2013.0,2013.0,2013.0,0.494068162209,4581.0,0.873736410452
