"This data table captures the annual data on the CalFresh population for elderly, ages 18-59, children, English as a second language, number of individuals receiving WIC, percentage of individuals on CalFresh who are also receiving WIC, total population for the calendar year, total elderly population of 60 plus, total populations of children under 18, the total number of English as a second language over the age of 5, and total SSI recipients. The data table begins in cell A2. ",,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,WIC Recipients CalFresh Reachable,Percentage of CalFresh Persons Receiving WIC,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY
Placer,US-06061,-120.7858989,39.013999,CalWIN,2016.0,1653.0,8983.0,7085.0,1882.0,487.0,0.54584121,376092.0,96940.0,78000.0,5842.0,5095.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2016.0,154.0,1192.0,730.0,40.0,49.0,0.624521073,19494.0,7235.0,3171.0,170.0,663.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,2016.0,16535.0,128786.0,145657.0,63275.0,10479.0,0.639698181,2360727.0,456965.0,598756.0,189787.0,58100.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2016.0,10622.0,105972.0,100084.0,47168.0,5851.0,0.614490903,1506677.0,284940.0,361388.0,94153.0,62524.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2016.0,350.0,2369.0,2888.0,1596.0,386.0,0.738947368,58014.0,10729.0,14569.0,5252.0,880.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2016.0,21084.0,180957.0,193959.0,68443.0,11109.0,0.66028086,2147933.0,346063.0,579219.0,167271.0,67508.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,2016.0,24013.0,135994.0,133618.0,99769.0,11913.0,0.649918312,3300891.0,637060.0,780130.0,238465.0,75424.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2016.0,8600.0,27523.0,18892.0,22730.0,1229.0,0.580031949,871185.0,188417.0,124486.0,99674.0,36427.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2016.0,5637.0,51577.0,60519.0,22397.0,3337.0,0.669147353,738873.0,127720.0,199204.0,60196.0,26870.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2016.0,1559.0,9132.0,7974.0,3280.0,401.0,0.573255814,278917.0,75907.0,49961.0,10287.0,4063.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2016.0,3684.0,10858.0,15490.0,13095.0,904.0,0.640888523,768122.0,171899.0,161747.0,54522.0,9952.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2016.0,2277.0,15072.0,21923.0,14873.0,1474.0,0.699749687,448353.0,89021.0,100705.0,51832.0,8004.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2016.0,10336.0,43715.0,50104.0,44755.0,3295.0,0.594197975,1930215.0,364511.0,442750.0,167482.0,41718.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2016.0,2393.0,11881.0,12357.0,9501.0,863.0,0.661349693,276249.0,60888.0,57974.0,20762.0,4764.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,2016.0,1506.0,13777.0,9672.0,436.0,727.0,0.677409262,178208.0,48189.0,37658.0,1963.0,9165.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,2016.0,43.0,160.0,71.0,*,*,*,3140.0,1228.0,465.0,35.0,85.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2016.0,493.0,3597.0,2798.0,226.0,155.0,0.636554622,44372.0,14672.0,8676.0,755.0,2380.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2016.0,2927.0,21221.0,19429.0,6797.0,1035.0,0.5419684,434102.0,92321.0,100398.0,22558.0,11385.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2016.0,3556.0,15130.0,16175.0,10272.0,744.0,0.595316352,503953.0,130857.0,98968.0,26781.0,8201.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2016.0,4334.0,41704.0,42829.0,16575.0,2341.0,0.586291686,545008.0,96403.0,145017.0,53504.0,19620.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2016.0,573.0,6079.0,6627.0,2234.0,287.0,0.645255474,98191.0,19553.0,25175.0,9121.0,3760.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2016.0,553.0,4881.0,4816.0,1215.0,270.0,0.613484646,64098.0,15747.0,15435.0,2385.0,2998.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2016.0,150.0,1067.0,571.0,*,33.0,0.645833333,13482.0,4929.0,2167.0,105.0,629.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2016.0,5671.0,51327.0,67261.0,40041.0,2338.0,0.641883399,468235.0,73460.0,144339.0,66725.0,17540.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2016.0,567.0,3092.0,1896.0,90.0,104.0,0.674121406,54282.0,18652.0,8734.0,483.0,1552.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2016.0,5900.0,31723.0,39335.0,28114.0,1582.0,0.6245,854383.0,176546.0,199303.0,82290.0,14767.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2016.0,1406.0,10828.0,9201.0,5304.0,480.0,0.602506091,216866.0,36568.0,48381.0,12693.0,5184.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2016.0,542.0,6623.0,6264.0,1460.0,323.0,0.670113754,76129.0,13142.0,21489.0,3461.0,3704.0
Statewide,,,,,2017.0,293636.0,1836798.0,2039249.0,1179480.0,,,39693627.0,7958547.0,9203689.0,3664918.0,1154343.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2017.0,11104.0,50519.0,48679.0,34447.0,,,1655752.0,328261.0,346873.0,136038.0,45115.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2017.0,14.0,75.0,52.0,0.0,,,1143.0,398.0,198.0,*,36.0
Amador,US-06005,-120.238969,38.46328,C-IV,2017.0,303.0,1647.0,1097.0,71.0,,,37267.0,13105.0,5607.0,414.0,672.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2017.0,2062.0,17677.0,12087.0,2244.0,,,226478.0,56416.0,45689.0,5035.0,10378.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2017.0,599.0,2805.0,1638.0,91.0,,,44818.0,16898.0,7251.0,290.0,988.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,2017.0,116.0,612.0,871.0,405.0,,,22612.0,4594.0,6120.0,2865.0,564.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2017.0,4737.0,27961.0,31871.0,13710.0,,,1143494.0,258293.0,251140.0,69051.0,23320.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2017.0,298.0,2838.0,2174.0,194.0,,,27063.0,6800.0,5811.0,452.0,1715.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2017.0,1273.0,6560.0,4507.0,752.0,,,185090.0,53135.0,36164.0,3116.0,2823.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2017.0,8782.0,95415.0,119527.0,53200.0,,,999902.0,169283.0,280718.0,107477.0,41278.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2017.0,210.0,1552.0,1711.0,582.0,,,29204.0,6352.0,7482.0,2921.0,1061.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2017.0,1519.0,12167.0,7142.0,883.0,,,136835.0,33792.0,27901.0,2263.0,5236.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2017.0,3051.0,19230.0,20091.0,21796.0,,,189376.0,33277.0,54792.0,34137.0,9988.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2017.0,200.0,964.0,803.0,179.0,,,18693.0,5837.0,3868.0,447.0,366.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2017.0,7901.0,67421.0,87057.0,34717.0,,,897727.0,141680.0,255195.0,84362.0,30862.0
Kings,US-06031,-119.6135104,36.138775,C-IV,2017.0,1109.0,10553.0,12410.0,5356.0,,,150441.0,22007.0,45775.0,13954.0,4586.0
Lake,US-06033,-122.9624445,39.124455,C-IV,2017.0,1139.0,6308.0,4619.0,956.0,,,65161.0,19552.0,13580.0,2024.0,3576.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2017.0,199.0,1699.0,1358.0,53.0,,,30652.0,7058.0,5289.0,615.0,905.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2017.0,73289.0,474008.0,538420.0,376091.0,,,10288515.0,1987419.0,2295832.0,1332866.0,374280.0
Madera,US-06039,-119.84174,37.27052,C-IV,2017.0,1038.0,10261.0,16653.0,9131.0,,,157296.0,30181.0,42323.0,19613.0,4467.0
Marin,US-06041,-122.870429,38.068145,C-IV,2017.0,1341.0,4205.0,4444.0,3839.0,,,264413.0,78078.0,52532.0,9885.0,2720.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2017.0,238.0,1017.0,631.0,41.0,,,18058.0,6658.0,2863.0,166.0,426.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2017.0,1032.0,6053.0,4983.0,1579.0,,,89329.0,25395.0,19116.0,4280.0,3031.0
Merced,US-06047,-120.1246993,37.18687,C-IV,2017.0,2420.0,22947.0,29720.0,13709.0,,,275926.0,43155.0,79909.0,33572.0,10549.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,2017.0,66.0,595.0,516.0,37.0,,,9431.0,3135.0,1781.0,274.0,410.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,2017.0,63.0,337.0,289.0,133.0,,,13827.0,2967.0,2836.0,848.0,97.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,2017.0,2961.0,14723.0,27047.0,20232.0,,,445408.0,83304.0,114577.0,74195.0,7831.0
Napa,US-06055,-122.5128064,38.509635,C-IV,2017.0,604.0,2512.0,3318.0,2360.0,,,142898.0,35591.0,29466.0,10671.0,1970.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,2017.0,843.0,4013.0,2471.0,214.0,,,98847.0,34886.0,16217.0,1160.0,1868.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,2017.0,21610.0,94185.0,124697.0,101791.0,,,3201395.0,650820.0,723961.0,312733.0,67526.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,2017.0,1718.0,8103.0,6464.0,1607.0,,,380976.0,100816.0,77003.0,7018.0,5003.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2017.0,174.0,1148.0,736.0,47.0,,,19434.0,7402.0,3174.0,81.0,633.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,2017.0,17466.0,120072.0,135592.0,55786.0,,,2395487.0,477592.0,598978.0,180207.0,58028.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2017.0,11247.0,101425.0,96865.0,47124.0,,,1524524.0,295548.0,362411.0,95631.0,61582.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2017.0,335.0,2022.0,2599.0,1366.0,,,58519.0,11234.0,14439.0,5043.0,874.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2017.0,21239.0,164951.0,179841.0,60407.0,,,2168360.0,360581.0,579729.0,159229.0,66585.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,2017.0,25554.0,125134.0,124285.0,92716.0,,,3327562.0,660989.0,787752.0,223456.0,74300.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2017.0,9768.0,25906.0,17152.0,21827.0,,,879517.0,193624.0,127629.0,98626.0,35747.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2017.0,5999.0,46993.0,55568.0,20009.0,,,750002.0,132452.0,200170.0,62413.0,26463.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2017.0,1680.0,8476.0,7292.0,2939.0,,,280822.0,78771.0,50028.0,9470.0,3913.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2017.0,3503.0,9557.0,13330.0,11267.0,,,774974.0,177938.0,162564.0,55820.0,9550.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2017.0,2583.0,14844.0,20842.0,14114.0,,,451688.0,91564.0,100702.0,45877.0,7869.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2017.0,10140.0,37812.0,43581.0,38302.0,,,1952286.0,379958.0,444642.0,169331.0,40724.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2017.0,2478.0,11573.0,11455.0,8750.0,,,278335.0,63450.0,58310.0,20196.0,4625.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,2017.0,1672.0,12855.0,9275.0,413.0,,,178359.0,48890.0,37586.0,2176.0,9049.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,2017.0,47.0,152.0,73.0,*,,,3138.0,1248.0,464.0,*,79.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2017.0,504.0,3277.0,2622.0,219.0,,,44325.0,14972.0,8609.0,665.0,2334.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2017.0,3122.0,19457.0,18023.0,6195.0,,,439320.0,96492.0,100669.0,20285.0,11067.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2017.0,3560.0,13464.0,14220.0,9052.0,,,507323.0,135829.0,98139.0,26059.0,8029.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2017.0,4760.0,38928.0,40179.0,15443.0,,,551712.0,99859.0,145609.0,49236.0,19222.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2017.0,628.0,5750.0,6282.0,2042.0,,,98992.0,20046.0,25083.0,9073.0,3766.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2017.0,559.0,4500.0,4505.0,1138.0,,,64313.0,16080.0,15426.0,2512.0,2945.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2017.0,160.0,1008.0,532.0,*,,,13447.0,5064.0,2147.0,152.0,614.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2017.0,5907.0,49992.0,64931.0,38463.0,,,473308.0,75894.0,144428.0,61937.0,17521.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2017.0,578.0,2733.0,1760.0,74.0,,,54193.0,19020.0,8650.0,371.0,1540.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2017.0,6080.0,29547.0,35864.0,25344.0,,,858585.0,183314.0,197824.0,77750.0,14726.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2017.0,1435.0,9803.0,8311.0,4687.0,,,220171.0,38002.0,49156.0,13088.0,5077.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2017.0,619.0,6457.0,6186.0,1337.0,,,76904.0,13591.0,21502.0,3464.0,3621.0
Statewide,,,,,2018.0,322094.0,1773510.0,1913457.0,1093944.0,,,39809693.0,8221985.0,9261018.0,,1135190.16667
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2018.0,11501.0,47884.0,44043.0,30654.0,,,1660202.0,339021.0,351696.0,,44220.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2018.0,14.0,68.0,39.0,0.0,,,1154.0,397.0,190.0,,33.4166666667
Amador,US-06005,-120.238969,38.46328,C-IV,2018.0,323.0,1445.0,973.0,64.0,,,38094.0,13314.0,5642.0,,647.5
Butte,US-06007,-121.5660076,39.723785,C-IV,2018.0,2273.0,17305.0,11692.0,2010.0,,,227621.0,57350.0,46448.0,,10182.75
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2018.0,620.0,2712.0,1623.0,77.0,,,45157.0,17243.0,7178.0,,963.583333333
Colusa,US-06011,-122.4386143,39.169245,C-IV,2018.0,121.0,600.0,753.0,381.0,,,22098.0,4723.0,6121.0,,571.166666667
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2018.0,5269.0,26873.0,29860.0,12644.0,,,1149363.0,266792.0,251554.0,,22931.1666667
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2018.0,328.0,2688.0,2009.0,192.0,,,27221.0,6895.0,5816.0,,1697.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2018.0,1272.0,5953.0,4054.0,665.0,,,188399.0,55406.0,35745.0,,2766.66666667
Fresno,US-06019,-120.862059,36.74633,CalWIN,2018.0,9095.0,90733.0,112941.0,48747.0,,,1007229.0,175008.0,282393.0,,41276.4166667
Glenn,US-06021,-122.1147288,39.591764,C-IV,2018.0,244.0,1517.0,1670.0,520.0,,,28796.0,6511.0,7481.0,,1041.83333333
Humboldt,US-06023,-123.959972,40.73356,C-IV,2018.0,1663.0,11759.0,6579.0,756.0,,,136002.0,34375.0,28453.0,,5039.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2018.0,3134.0,18206.0,18884.0,20717.0,,,190624.0,34300.0,55371.0,,9948.58333333
Inyo,US-06027,-117.7797286,36.626,C-IV,2018.0,218.0,961.0,764.0,148.0,,,18577.0,5960.0,3870.0,,357.916666667
Kern,US-06029,-118.4426011,35.29441,C-IV,2018.0,8501.0,64269.0,83589.0,33485.0,,,905801.0,146852.0,256078.0,,31037.5833333
Kings,US-06031,-119.6135104,36.138775,C-IV,2018.0,1183.0,10288.0,11878.0,5024.0,,,151662.0,22623.0,46215.0,,4571.91666667
Lake,US-06033,-122.9624445,39.124455,C-IV,2018.0,1565.0,7398.0,5131.0,1278.0,,,65081.0,19845.0,13632.0,,3506.08333333
Lassen,US-06035,-120.2636913,40.446085,C-IV,2018.0,227.0,1491.0,1201.0,51.0,,,30911.0,7281.0,5294.0,,863.333333333
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2018.0,91132.0,486906.0,520268.0,363721.0,,,10283729.0,2056614.0,2298592.0,,366051.5
Madera,US-06039,-119.84174,37.27052,C-IV,2018.0,1154.0,9834.0,15793.0,8581.0,,,158894.0,31061.0,42250.0,,4441.33333333
Marin,US-06041,-122.870429,38.068145,C-IV,2018.0,1488.0,4205.0,4263.0,3685.0,,,263886.0,79357.0,52222.0,,2577.91666667
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2018.0,252.0,958.0,633.0,38.0,,,18129.0,6811.0,2834.0,,411.25
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2018.0,1150.0,5752.0,4668.0,1553.0,,,89299.0,25835.0,19133.0,,3019.58333333
Merced,US-06047,-120.1246993,37.18687,C-IV,2018.0,2557.0,21890.0,27778.0,12859.0,,,279977.0,44559.0,80521.0,,10384.3333333
Modoc,US-06049,-120.1993372,41.590546,C-IV,2018.0,73.0,662.0,512.0,51.0,,,9612.0,3188.0,1769.0,,413.583333333
Mono,US-06051,-118.7402371,38.0878955,C-IV,2018.0,58.0,332.0,273.0,114.0,,,13822.0,3154.0,2836.0,,89.1666666667
Monterey,US-06053,-120.9044897,36.35433,C-IV,2018.0,2939.0,13496.0,24569.0,18334.0,,,443281.0,85236.0,116022.0,,7590.83333333
Napa,US-06055,-122.5128064,38.509635,C-IV,2018.0,633.0,2243.0,3004.0,2117.0,,,141294.0,36069.0,29273.0,,1867.66666667
Nevada,US-06057,-120.3163119,39.266135,C-IV,2018.0,890.0,3987.0,2422.0,200.0,,,99155.0,35472.0,16033.0,,1843.66666667
Orange,US-06059,-117.8002615,33.66707,CalWIN,2018.0,22192.0,87290.0,112029.0,90413.0,,,3221103.0,674940.0,724718.0,,67075.3333333
Placer,US-06061,-120.7858989,39.013999,CalWIN,2018.0,1828.0,7315.0,5725.0,1426.0,,,389532.0,104700.0,76338.0,,4988.58333333
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2018.0,182.0,1122.0,725.0,39.0,,,19773.0,7551.0,3175.0,,620.916666667
Riverside,US-06065,-115.0250859,33.752845,C-IV,2018.0,18050.0,111075.0,125773.0,49247.0,,,2415955.0,497063.0,601945.0,,57936.4166667
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2018.0,11983.0,96234.0,91993.0,43300.0,,,1529501.0,304473.0,363983.0,,60415.8333333
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2018.0,338.0,1891.0,2377.0,1132.0,,,57088.0,11706.0,14289.0,,859.333333333
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2018.0,21422.0,152270.0,166608.0,53670.0,,,2174938.0,374170.0,581301.0,,65946.5833333
San Diego,US-06073,-116.693716,33.019645,CalWIN,2018.0,27745.0,121601.0,116459.0,86280.0,,,3337456.0,682446.0,804235.0,,73274.3333333
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2018.0,10215.0,24275.0,15664.0,20115.0,,,883963.0,198778.0,132330.0,,35035.0833333
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2018.0,6208.0,43425.0,50660.0,17749.0,,,758744.0,137287.0,201902.0,,25946.9166667
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2018.0,1793.0,7927.0,6516.0,2630.0,,,280101.0,80561.0,51974.0,,3802.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2018.0,3385.0,8539.0,11435.0,9687.0,,,774155.0,183173.0,163129.0,,9211.75
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2018.0,2798.0,16125.0,19884.0,13453.0,,,453457.0,93932.0,103199.0,,7676.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2018.0,10216.0,32789.0,36942.0,31912.0,,,1956598.0,393649.0,448977.0,,39763.8333333
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2018.0,2543.0,11335.0,10439.0,7987.0,,,276864.0,65283.0,60678.0,,4530.66666667
Shasta,US-06089,-122.0883555,40.735175,C-IV,2018.0,2007.0,12897.0,9205.0,427.0,,,178271.0,49766.0,37648.0,,8818.75
Sierra,US-06091,-120.0617973,39.58418,C-IV,2018.0,47.0,115.0,67.0,*,,,3207.0,1280.0,469.0,,77.6666666667
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2018.0,577.0,3229.0,2560.0,218.0,,,44612.0,15148.0,8574.0,,2353.33333333
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2018.0,3317.0,18283.0,16724.0,5587.0,,,439793.0,99982.0,101176.0,,10681.25
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2018.0,3718.0,12298.0,12845.0,7980.0,,,503332.0,139599.0,98066.0,,7735.58333333
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2018.0,4894.0,36317.0,36686.0,14019.0,,,555624.0,103114.0,146558.0,,18831.9166667
Sutter,US-06101,-121.714735,39.02038,C-IV,2018.0,650.0,5274.0,5743.0,1905.0,,,97238.0,20461.0,25070.0,,3710.75
Tehama,US-06103,-122.6595518,40.125305,C-IV,2018.0,627.0,4274.0,4207.0,1043.0,,,64039.0,16265.0,15528.0,,2879.16666667
Trinity,US-06105,-123.5069171,40.672495,C-IV,2018.0,159.0,995.0,514.0,*,,,13635.0,5139.0,2150.0,,601.916666667
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2018.0,6174.0,47882.0,62215.0,36932.0,,,475834.0,78149.0,144290.0,,17480.1666667
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2018.0,576.0,2608.0,1606.0,57.0,,,54740.0,19317.0,8567.0,,1493.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2018.0,6419.0,27742.0,32789.0,22650.0,,,859073.0,189578.0,197155.0,,14449.5833333
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2018.0,1460.0,9710.0,7253.0,4136.0,,,221270.0,39228.0,51447.0,,4944.25
Yuba,US-06115,-121.499162,39.278915,C-IV,2018.0,694.0,6258.0,5948.0,1266.0,,,74727.0,13995.0,21485.0,,3521.25
