"This data table captures the annual data on the CalFresh population for elderly, ages 18-59, children, English as a second language, number of individuals receiving WIC, percentage of individuals on CalFresh who are also receiving WIC, total population for the calendar year, total elderly population of 60 plus, total populations of children under 18, the total number of English as a second language over the age of 5, and total SSI recipients. The data table begins in cell A2. ",,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,WIC Recipients CalFresh Reachable,Percentage of CalFresh Persons Receiving WIC,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2014.0,4506.0,30346.0,38414.0,26383.0,,,847885.0,162970.0,203510.0,75693.0,14875.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2014.0,1000.0,9126.0,8677.0,5091.0,,,209834.0,33974.0,46905.0,11918.0,5314.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2014.0,390.0,6695.0,6511.0,1543.0,,,74975.0,12253.0,21478.0,4010.0,3734.0
Statewide,,,,,2015.0,247589.0,2045672.0,2293850.0,1348582.0,,,39059809.0,7399216.0,9204564.0,3780285.0,1187073.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2015.0,9811.0,58380.0,59282.0,40056.0,,,1619679.0,304508.0,344053.0,136922.0,47331.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2015.0,14.0,107.0,59.0,0.0,,,1157.0,373.0,217.0,13.0,39.0
Amador,US-06005,-120.238969,38.46328,C-IV,2015.0,268.0,1979.0,1298.0,109.0,,,37314.0,12900.0,5814.0,411.0,688.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2015.0,1688.0,18237.0,13292.0,2552.0,,,224363.0,54238.0,45626.0,5020.0,10733.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2015.0,522.0,3130.0,1914.0,128.0,,,44899.0,16053.0,7567.0,331.0,1057.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,2015.0,91.0,623.0,890.0,462.0,,,22271.0,4316.0,6137.0,2864.0,561.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2015.0,4266.0,33201.0,36931.0,16309.0,,,1116882.0,237699.0,252327.0,74992.0,24238.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2015.0,215.0,2807.0,2197.0,215.0,,,27119.0,6419.0,5776.0,654.0,1797.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2015.0,1017.0,7646.0,5113.0,870.0,,,183140.0,49149.0,37127.0,3365.0,2871.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2015.0,7766.0,104163.0,127914.0,61125.0,,,979357.0,158226.0,279388.0,107436.0,41165.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2015.0,146.0,1667.0,1990.0,735.0,,,28960.0,6024.0,7599.0,2525.0,1106.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2015.0,1252.0,12427.0,7848.0,931.0,,,135090.0,31797.0,27497.0,2396.0,5488.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2015.0,2416.0,20726.0,21617.0,23414.0,,,185328.0,30862.0,53999.0,33949.0,10128.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2015.0,148.0,1058.0,911.0,266.0,,,18640.0,5554.0,3865.0,495.0,394.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2015.0,5815.0,69041.0,89787.0,38114.0,,,883327.0,132102.0,254777.0,87761.0,31341.0
Kings,US-06031,-119.6135104,36.138775,C-IV,2015.0,890.0,11318.0,13206.0,5889.0,,,149702.0,20873.0,45340.0,13818.0,4579.0
Lake,US-06033,-122.9624445,39.124455,C-IV,2015.0,851.0,6551.0,4973.0,893.0,,,65180.0,18831.0,13497.0,2109.0,3675.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2015.0,143.0,1734.0,1425.0,61.0,,,30969.0,6731.0,5429.0,650.0,883.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2015.0,60495.0,522881.0,612716.0,434702.0,,,10185487.0,1846906.0,2319368.0,1352159.0,386663.0
Madera,US-06039,-119.84174,37.27052,C-IV,2015.0,853.0,11501.0,17828.0,10136.0,,,154956.0,28618.0,42496.0,20134.0,4530.0
Marin,US-06041,-122.870429,38.068145,C-IV,2015.0,1245.0,4845.0,5016.0,4041.0,,,262105.0,73899.0,52796.0,11168.0,2913.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2015.0,198.0,1196.0,786.0,41.0,,,18088.0,6333.0,2918.0,233.0,451.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2015.0,892.0,7158.0,5661.0,1813.0,,,88429.0,24106.0,19113.0,4327.0,3087.0
Merced,US-06047,-120.1246993,37.18687,C-IV,2015.0,2053.0,25525.0,32648.0,15791.0,,,269729.0,40359.0,79613.0,36937.0,10774.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,2015.0,45.0,497.0,443.0,39.0,,,9507.0,3069.0,1828.0,308.0,419.0
