"Data on CalFresh population demographics from California Department of Fianance, annual CalFresh households and persons collected from DFA 256, and July data collected from MEDS. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
25 Modoc,C-IV,2012.0,2012/13,428.25,432.833333333,967.25,1006.0,25.0,486.0,78.0,,,9634.0,2878.0,2042.0,280.0,405.0,0.135,2460.37181579
26 Mono,C-IV,2012.0,2012/13,391.916666667,429.583333333,657.833333333,695.5,32.0,326.0,226.0,,,14100.0,2341.0,2939.0,870.0,102.0,0.105,2221.05044842
27 Monterey,C-IV,2012.0,2012/13,20129.9166667,19397.8333333,46251.75,44709.6666667,1189.0,29906.0,22110.0,,,424036.0,69917.0,113103.0,79767.0,8502.0,0.114,80399.99454
28 Napa,C-IV,2012.0,2012/13,3367.33333333,3382.75,7142.58333333,7200.83333333,292.0,4244.0,3019.0,,,138651.0,30970.0,31038.0,12388.0,2142.0,0.078,18310.8861926
29 Nevada,C-IV,2012.0,2012/13,3808.5,3634.75,7292.33333333,7025.25,314.0,2726.0,270.0,,,98032.0,30191.0,17826.0,1312.0,1771.0,0.094,14198.34296
30 Orange,CalWIN,2012.0,2012/13,102002.583333,97368.3333333,226897.083333,218440.583333,10377.0,131451.0,105140.0,,,3083962.0,539370.0,736921.0,322892.0,66558.0,0.076,453553.141665
31 Placer,CalWIN,2012.0,2012/13,8276.5,8163.16666667,17758.75,17912.75,791.0,8043.0,2058.0,,,359578.0,82671.0,82416.0,6656.0,5044.0,0.094,42086.8095119
32 Plumas,C-IV,2012.0,2012/13,783.416666667,746.166666667,1679.75,1637.0,50.0,701.0,21.0,,,19883.0,6584.0,3448.0,261.0,665.0,0.147,3547.67895457
33 Riverside,C-IV,2012.0,2012/13,113238.75,108747.083333,274719.25,267193.416667,8379.0,143506.0,62978.0,,,2252777.0,388759.0,612769.0,178052.0,54970.0,0.122,482427.27523
34 Sacramento,CalWIN,2012.0,2012/13,93053.8333333,90288.8333333,208569.166667,204383.75,5103.0,102959.0,46984.0,,,1444986.0,246263.0,361533.0,97511.0,60330.0,0.106,310461.567216
35 San Benito,C-IV,2012.0,2012/13,2663.58333333,2627.66666667,6252.16666667,6167.41666667,216.0,3314.0,1849.0,,,56333.0,8855.0,15473.0,6386.0,897.0,0.139,8551.01811686
36 San Bernardino,C-IV,2012.0,2012/13,156048.083333,150229.666667,368160.75,358854.833333,10026.0,187444.0,67830.0,,,2077397.0,292812.0,586990.0,172415.0,65325.0,0.12,474490.903642
37 San Diego,CalWIN,2012.0,2012/13,116470.75,111643.0,254245.833333,247227.416667,11289.0,125548.0,88054.0,,,3173442.0,544982.0,754475.0,228674.0,74992.0,0.089,564164.474589
38 San Francisco,CalWIN,2012.0,2012/13,32451.4166667,32800.4166667,50672.6666667,50980.9166667,4864.0,19583.0,19407.0,,,833120.0,166336.0,113683.0,105810.0,37817.0,0.073,121505.872174
39 San Joaquin,C-IV,2012.0,2012/13,45116.3333333,43422.25,110415.75,107506.75,2587.0,60071.0,23960.0,,,700638.0,109881.0,199154.0,64140.0,26908.0,0.152,138592.405117
40 San Luis Obispo,CalWIN,2012.0,2012/13,9010.58333333,8959.75,17595.75,17536.75,882.0,8140.0,3116.0,,,272527.0,64109.0,51939.0,9420.0,4420.0,0.081,43666.9310177
41 San Mateo,CalWIN,2012.0,2012/13,13893.4166667,13399.3333333,28692.0833333,27877.5,1886.0,16040.0,11878.0,,,740850.0,148989.0,160134.0,60960.0,11180.0,0.067,72926.3865695
42 Santa Barbara,CalWIN,2012.0,2012/13,14486.25,14190.75,32711.1666667,32135.9166667,866.0,20351.0,13341.0,,,430318.0,78895.0,99474.0,45401.0,8597.0,0.08,76854.9231042
43 Santa Clara,CalWIN,2012.0,2012/13,50784.0,48874.75,108648.833333,105371.083333,5507.0,56627.0,44837.0,,,1840582.0,307336.0,436055.0,178148.0,43944.0,0.084,220690.563341
44 Santa Cruz,CalWIN,2012.0,2012/13,11487.9166667,10881.0,22652.75,21794.5,922.0,11666.0,8532.0,,,267826.0,50532.0,58259.0,21496.0,5104.0,0.111,37038.9680079
45 Shasta,C-IV,2012.0,2012/13,12120.75,12280.8333333,24181.9166667,24701.9166667,821.0,10508.0,495.0,,,177804.0,44188.0,38834.0,2105.0,9329.0,0.134,33388.9039856
46 Sierra,C-IV,2012.0,2012/13,157.833333333,146.416666667,302.166666667,283.75,23.0,95.0,4.0,,,3206.0,1111.0,514.0,60.0,99.0,0.143,622.602352941
47 Siskiyou,C-IV,2012.0,2012/13,2834.16666667,2720.0,6338.66666667,6124.08333333,220.0,2701.0,180.0,,,44765.0,13411.0,9086.0,820.0,2441.0,0.153,10259.458525
48 Solano,CalWIN,2012.0,2012/13,20453.5833333,19838.6666667,41033.8333333,40115.4166667,1473.0,19347.0,6772.0,,,417480.0,77129.0,99895.0,21564.0,11520.0,0.101,65053.4404976
49 Sonoma,CalWIN,2012.0,2012/13,19064.25,17955.25,35087.1666667,33699.5833333,1870.0,17154.0,10341.0,,,489576.0,110125.0,103446.0,29280.0,8571.0,0.086,74079.3369985
50 Stanislaus,C-IV,2012.0,2012/13,40826.0,39576.6666667,89982.0,88080.5833333,2464.0,44790.0,17992.0,,,523698.0,83932.0,145697.0,48024.0,19745.0,0.152,117475.088631
51 Sutter,C-IV,2012.0,2012/13,5070.58333333,4927.83333333,12182.3333333,11926.4166667,306.0,6271.0,2311.0,,,96048.0,17510.0,25754.0,9590.0,3661.0,0.176,20846.288
52 Tehama,C-IV,2012.0,2012/13,4194.66666667,4126.08333333,9737.66666667,9693.58333333,259.0,4855.0,1161.0,,,63711.0,14824.0,15663.0,2546.0,3057.0,0.139,14556.1969912
53 Trinity,C-IV,2012.0,2012/13,789.833333333,774.166666667,1577.83333333,1563.33333333,74.0,604.0,8.0,,,13704.0,4397.0,2377.0,21.0,655.0,0.158,3087.68870056
54 Tulare,CalWIN,2012.0,2012/13,45588.6666667,44133.75,113012.666667,110247.0,2949.0,64076.0,36803.0,,,452000.0,64550.0,143981.0,60886.0,17288.0,0.158,151607.168207
55 Tuolumne,C-IV,2012.0,2012/13,2819.66666667,2756.66666667,5199.33333333,5156.08333333,265.0,1962.0,65.0,,,55033.0,17126.0,9465.0,653.0,1618.0,0.116,8975.86027789
56 Ventura,CalWIN,2012.0,2012/13,32011.5833333,30926.3333333,66646.9166667,65090.8333333,2757.0,35426.0,23314.0,,,836782.0,150626.0,207825.0,79320.0,14656.0,0.09,105819.891039
57 Yolo,CalWIN,2012.0,2012/13,7839.41666667,7708.25,16913.9166667,16837.3333333,627.0,8261.0,4871.0,,,205712.0,31334.0,47237.0,13923.0,5307.0,0.115,44017.7364353
58 Yuba,C-IV,2012.0,2012/13,5717.16666667,5702.25,12901.8333333,12882.0,298.0,6360.0,1707.0,,,73704.0,11463.0,21254.0,3903.0,3772.0,0.169,19439.97662
00 Statewide,n/a,2013.0,2013/14,2003807.66667,1946340.91667,4331799.08333,4237437.41667,176557.0,2272684.0,1314549.0,,,38373754.0,6837392.0,9282818.0,3750293.0,1187606.0,0.089,7166748.68844
01 Alameda,CalWIN,2013.0,2013/14,64105.6666667,63464.25,127744.833333,127163.666667,7267.0,63938.0,39263.0,,,1576023.0,279147.0,344748.0,133681.0,48141.0,0.073,220033.771078
02 Alpine,C-IV,2013.0,2013/14,103.083333333,88.9166666667,172.083333333,156.916666667,11.0,62.0,0.0,,,1164.0,327.0,237.0,25.0,42.0,0.098,221.78022827
03 Amador,C-IV,2013.0,2013/14,1725.66666667,1699.0,3347.83333333,3285.75,194.0,1298.0,98.0,,,37582.0,12428.0,6074.0,484.0,674.0,0.103,4989.42328701
04 Butte,C-IV,2013.0,2013/14,15009.0,14614.0833333,30429.6666667,30041.5,1116.0,13523.0,2782.0,,,222083.0,51244.0,46312.0,4375.0,10914.0,0.103,57536.0654571
05 Calaveras,C-IV,2013.0,2013/14,2623.08333333,2574.5,5001.75,4973.16666667,322.0,1808.0,134.0,,,45116.0,15204.0,8020.0,410.0,1043.0,0.1,6021.95863538
06 Colusa,C-IV,2013.0,2013/14,721.666666667,712.416666667,1724.25,1741.33333333,72.0,1032.0,553.0,,,21972.0,4009.0,6232.0,2986.0,564.0,0.19,3770.96131854
07 Contra Costa,CalWIN,2013.0,2013/14,34146.5833333,33275.5,70943.1666667,69084.1666667,3064.0,36829.0,15787.0,,,1089906.0,217550.0,254957.0,66244.0,24041.0,0.075,145292.779558
08 Del Norte,C-IV,2013.0,2013/14,2513.66666667,2526.16666667,5137.08333333,5129.83333333,193.0,2218.0,262.0,,,27544.0,6140.0,5978.0,733.0,1817.0,0.118,5923.47912356
09 El Dorado,C-IV,2013.0,2013/14,6528.41666667,6369.66666667,11952.25,11787.0,732.0,4716.0,882.0,,,182348.0,45492.0,38535.0,3580.0,2850.0,0.085,26641.3835952
10 Fresno,CalWIN,2013.0,2013/14,94385.8333333,91823.9166667,225117.916667,220594.083333,5364.0,123609.0,59175.0,,,959142.0,147339.0,278174.0,108885.0,40774.0,0.132,280018.279251
11 Glenn,C-IV,2013.0,2013/14,1458.83333333,1424.5,3590.41666667,3534.08333333,113.0,1985.0,739.0,,,28684.0,5704.0,7697.0,2638.0,1136.0,0.121,6195.80776671
12 Humboldt,C-IV,2013.0,2013/14,9335.83333333,8652.5,17294.1666667,16223.75,695.0,7000.0,886.0,,,134895.0,29966.0,27684.0,2347.0,5607.0,0.082,34042.6827341
13 Imperial,C-IV,2013.0,2013/14,15083.0833333,14566.9166667,38081.6666667,37016.1666667,1738.0,19291.0,19370.0,,,180267.0,28622.0,52914.0,32195.0,10276.0,0.249,44789.8810232
14 Inyo,C-IV,2013.0,2013/14,1047.16666667,1019.08333333,2118.0,2052.33333333,137.0,964.0,327.0,,,18585.0,5260.0,3868.0,532.0,407.0,0.079,2765.88200729
15 Kern,C-IV,2013.0,2013/14,60340.3333333,59492.25,145892.583333,144286.333333,3983.0,84978.0,37191.0,,,868181.0,122558.0,255773.0,88100.0,31384.0,0.117,224185.425539
16 Kings,C-IV,2013.0,2013/14,10014.6666667,9914.0,23718.1666667,23489.4166667,652.0,12892.0,5451.0,,,150330.0,19554.0,44731.0,14426.0,4659.0,0.135,34890.9740076
17 Lake,C-IV,2013.0,2013/14,5258.25,5169.33333333,10575.0833333,10336.0,586.0,4436.0,814.0,,,64790.0,17892.0,13492.0,1792.0,3710.0,0.108,17452.4775
18 Lassen,C-IV,2013.0,2013/14,1487.0,1430.25,3104.41666667,2991.33333333,99.0,1319.0,67.0,,,32299.0,6154.0,5720.0,769.0,906.0,0.106,4398.02348576
19 Los Angeles,LRS,2013.0,2013/14,569293.25,555795.166667,1170148.0,1147939.16667,46590.0,629069.0,444806.0,,,10056283.0,1704012.0,2362233.0,1402433.0,388148.0,0.098,2088070.07593
20 Madera,C-IV,2013.0,2013/14,11060.5,10640.8333333,27863.9166667,26960.5833333,619.0,16652.0,9640.0,,,152220.0,26821.0,42543.0,20706.0,4478.0,0.125,38832.0106961
21 Marin,C-IV,2013.0,2013/14,5942.33333333,5720.91666667,9994.08333333,9674.5,887.0,4734.0,3455.0,,,258721.0,69036.0,53010.0,8867.0,3107.0,0.052,22421.1445398
22 Mariposa,C-IV,2013.0,2013/14,984.583333333,926.5,1970.25,1868.33333333,119.0,714.0,30.0,,,18154.0,5972.0,3039.0,227.0,462.0,0.105,3154.61487097
23 Mendocino,C-IV,2013.0,2013/14,7211.58333333,6983.33333333,13507.9166667,13212.5,699.0,5665.0,1823.0,,,88040.0,22798.0,19203.0,4171.0,3218.0,0.082,22380.62258
24 Merced,C-IV,2013.0,2013/14,23351.3333333,22825.9166667,55934.5833333,55300.3333333,1338.0,31540.0,15579.0,,,264815.0,37757.0,80548.0,35644.0,10849.0,0.145,70246.7962061
25 Modoc,C-IV,2013.0,2013/14,431.166666667,421.0,959.833333333,947.166666667,34.0,442.0,71.0,,,9603.0,2943.0,1951.0,335.0,416.0,0.124,2621.53076578
26 Mono,C-IV,2013.0,2013/14,484.0,385.333333333,778.166666667,650.166666667,43.0,283.0,163.0,,,13902.0,2435.0,2897.0,937.0,101.0,0.085,2021.29700132
