"This data table captures quarterly churn data on the percentage of reapplications in 30 days, 90 days, and the percentage of scheduled recertifications for 30 days, and 90 days. The data table begins in cell A2. ",,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Quarter,30 Day Churn Pct of Reapplications,90 Day Churn Pct of Reapplications,30 Day Percentage of Scheduled Recertifications,90 Day Percentage of Scheduled Recertifications
Inyo,US-06027,-117.7797286,36.626,C-IV,2014.0,Q1,0.103448276,0.195402299,0.218390805,0.224137931
Kern,US-06029,-118.4426011,35.29441,C-IV,2014.0,Q1,0.20564927,0.283935243,0.190592098,0.222121589
Kings,US-06031,-119.6135104,36.138775,C-IV,2014.0,Q1,0.180948878,0.255240897,0.349025377,0.379183523
Lake,US-06033,-122.9624445,39.124455,C-IV,2014.0,Q1,0.066127847,0.11241734,0.349008082,0.393093314
Lassen,US-06035,-120.2636913,40.446085,C-IV,2014.0,Q1,0.103370787,0.188764045,0.247191011,0.276404494
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2014.0,Q1,0.104007244,0.175065505,0.0088222,0.0136379
Madera,US-06039,-119.84174,37.27052,C-IV,2014.0,Q1,0.140792886,0.206743238,0.21415339,0.245646536
Marin,US-06041,-122.870429,38.068145,C-IV,2014.0,Q1,0.147260274,0.211757991,0.198059361,0.228881279
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2014.0,Q1,0.092783505,0.12371134,0.199312715,0.223367698
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2014.0,Q1,0.106796117,0.190533981,0.035801,0.0418689
Merced,US-06047,-120.1246993,37.18687,C-IV,2014.0,Q1,0.16489649,0.241224122,0.253465347,0.282448245
Modoc,US-06049,-120.1993372,41.590546,C-IV,2014.0,Q1,0.127659574,0.177304965,0.184397163,0.184397163
Mono,US-06051,-118.7402371,38.0878955,C-IV,2014.0,Q1,0.0228013,0.0456026,0.0488599,0.0586319
Monterey,US-06053,-120.9044897,36.35433,C-IV,2014.0,Q1,0.132293385,0.198140093,0.11519424,0.129743513
Napa,US-06055,-122.5128064,38.509635,C-IV,2014.0,Q1,0.088832487,0.147208122,0.140439932,0.159898477
Nevada,US-06057,-120.3163119,39.266135,C-IV,2014.0,Q1,0.101382488,0.170506912,0.131007242,0.153390388
Orange,US-06059,-117.8002615,33.66707,CalWIN,2014.0,Q1,0.094332373,0.165533141,0.0530644,0.086685879
Placer,US-06061,-120.7858989,39.013999,CalWIN,2014.0,Q1,0.10032554,0.171944362,0.0591891,0.09499852
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2014.0,Q1,0.0566038,0.106918239,0.144654088,0.163522013
Riverside,US-06065,-115.0250859,33.752845,C-IV,2014.0,Q1,0.173618809,0.247651829,0.213931509,0.242605449
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2014.0,Q1,0.099955413,0.175996109,0.0569089,0.092497264
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2014.0,Q1,0.185542169,0.238554217,0.209638554,0.236144578
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2014.0,Q1,0.200426489,0.265266907,0.268406993,0.290785959
San Diego,US-06073,-116.693716,33.019645,CalWIN,2014.0,Q1,0.14599663,0.229262813,0.0601421,0.099748492
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2014.0,Q1,0.107943199,0.19303306,0.089749279,0.128577768
