,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Source:  Medi-Cal Eligibility Data System (MEDS), June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,1A1_MC_noCF,1A1_MC_CF,1A1_Total_MC,1A1_%noCF,1A1_%CF,1A2_MC_noCF,1A2_MC_CF,1A2_Total_MC,1A2_%noCF,1A2_%CF,1A3_MC_noCF,1A3_MC_CF,1A3_Total_MC,1A3_%noCF,1A3_%CF,1A4_MC_noCF,1A4_MC_CF,1A4_Total_MC,1A4_%noCF,1A4_%CF,1A5_MC_noCF,1A5_MC_CF,1A5_Total_MC,1A5_%noCF,1A5_%CF,1A6_MC_noCF,1A6_MC_CF,1A6_Total_MC,1A6_%noCF,1A6_%CF,1B1_MC_noCF,1B1_MC_CF,1B1_Total_MC,1B1_%noCF,1B1_%CF,1B2_MC_noCF,1B2_MC_CF,1B2_Total_MC,1B2_%noCF,1B2_%CF,1B3_MC_noCF,1B3_MC_CF,1B3_Total_MC,1B3_%noCF,1B3_%CF,1B4_MC_noCF,1B4_MC_CF,1B4_Total_MC,1B4_%noCF,1B4_%CF,1B5_MC_noCF,1B5_MC_CF,1B5_Total_MC,1B5_%noCF,1B5_%CF,2A_MC_noCF,2A_MC_CF,2A_Total_MC,2A_%noCF,2A_%CF,2B_MC_noCF,2B_MC_CF,2B_Total_MC,2B_%noCF,2B_%CF,2C_MC_noCF,2C_MC_CF,2C_Total_MC,2C_%noCF,2C_%CF,2D_MC_noCF,2D_MC_CF,2D_Total_MC,2D_%noCF,2D_%CF,2E_MC_noCF,2E_MC_CF,2E_Total_MC,2E_%noCF,2E_%CF,2F_MC_noCF,2F_MC_CF,2F_Total_MC,2F_%noCF,2F_%CF,3A_MC_noCF,3A_MC_CF,3A_Total_MC,3A_%noCF,3A_%CF,3B_MC_noCF,3B_MC_CF,3B_Total_MC,3B_%noCF,3B_%CF,3C_MC_noCF,3C_MC_CF,3C_Total_MC,3C_%noCF,3C_%CF,3D_MC_noCF,3D_MC_CF,3D_Total_MC,3D_%noCF,3D_%CF
Fresno,9365.0,3275.0,12640.0,0.740901898734,0.259098101266,60412.0,69128.0,129540.0,0.466357881735,0.533642118265,3190.0,57261.0,60451.0,0.0527700120759,0.947229987924,0.0,0.0,0.0,0.0,0.0,259.0,26.0,285.0,0.908771929825,0.0912280701754,116.0,59.0,175.0,0.662857142857,0.337142857143,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,89.0,103.0,0.135922330097,0.864077669903,75509.0,44360.0,119869.0,0.629929339529,0.370070660471,0.0,0.0,0.0,0.0,0.0,12897.0,19673.0,32570.0,0.395977893767,0.604022106233,0.0,0.0,0.0,0.0,0.0,9228.0,2997.0,12225.0,0.754846625767,0.245153374233,66.0,65.0,131.0,0.503816793893,0.496183206107,39.0,8.0,47.0,0.829787234043,0.170212765957,0.0,0.0,0.0,0.0,0.0,9.0,18.0,27.0,0.333333333333,0.666666666667,51.0,500.0,551.0,0.0925589836661,0.907441016334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn,306.0,132.0,438.0,0.698630136986,0.301369863014,1674.0,1051.0,2725.0,0.614311926606,0.385688073394,126.0,701.0,827.0,0.152357920193,0.847642079807,0.0,0.0,0.0,0.0,0.0,14.0,2.0,16.0,0.875,0.125,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2183.0,735.0,2918.0,0.748115147361,0.251884852639,0.0,0.0,0.0,0.0,0.0,496.0,372.0,868.0,0.571428571429,0.428571428571,0.0,0.0,0.0,0.0,0.0,414.0,30.0,444.0,0.932432432432,0.0675675675676,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,38.0,0.710526315789,0.289473684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt,1305.0,974.0,2279.0,0.572619569987,0.427380430013,6053.0,5025.0,11078.0,0.546398266835,0.453601733165,298.0,3110.0,3408.0,0.087441314554,0.912558685446,0.0,0.0,0.0,0.0,0.0,50.0,4.0,54.0,0.925925925926,0.0740740740741,29.0,9.0,38.0,0.763157894737,0.236842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12669.0,6810.0,19479.0,0.650392730633,0.349607269367,0.0,0.0,0.0,0.0,0.0,1635.0,1371.0,3006.0,0.543912175649,0.456087824351,0.0,0.0,0.0,0.0,0.0,1120.0,179.0,1299.0,0.86220169361,0.13779830639,0.0,0.0,0.0,0.0,0.0,22.0,11.0,33.0,0.666666666667,0.333333333333,1.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,373.0,88.0,461.0,0.809110629067,0.190889370933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imperial,3217.0,1399.0,4616.0,0.696923743501,0.303076256499,11045.0,12927.0,23972.0,0.460745870182,0.539254129818,650.0,10696.0,11346.0,0.057288912392,0.942711087608,0.0,0.0,0.0,0.0,0.0,48.0,4.0,52.0,0.923076923077,0.0769230769231,15.0,2.0,17.0,0.882352941176,0.117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14016.0,8694.0,22710.0,0.617173051519,0.382826948481,0.0,0.0,0.0,0.0,0.0,2617.0,2713.0,5330.0,0.490994371482,0.509005628518,0.0,0.0,0.0,0.0,0.0,1599.0,336.0,1935.0,0.826356589147,0.173643410853,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,235.0,55.0,290.0,0.810344827586,0.189655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inyo,134.0,95.0,229.0,0.585152838428,0.414847161572,594.0,463.0,1057.0,0.561967833491,0.438032166509,29.0,157.0,186.0,0.155913978495,0.844086021505,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,433.0,1305.0,0.668199233716,0.331800766284,0.0,0.0,0.0,0.0,0.0,191.0,133.0,324.0,0.58950617284,0.41049382716,0.0,0.0,0.0,0.0,0.0,140.0,8.0,148.0,0.945945945946,0.0540540540541,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kern,7158.0,3704.0,10862.0,0.658994660284,0.341005339716,56080.0,46459.0,102539.0,0.546913857167,0.453086142833,3342.0,40692.0,44034.0,0.0758958986238,0.924104101376,0.0,0.0,0.0,0.0,0.0,124.0,13.0,137.0,0.905109489051,0.0948905109489,79.0,17.0,96.0,0.822916666667,0.177083333333,2.0,1.0,3.0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,63774.0,30715.0,94489.0,0.674935706802,0.325064293198,0.0,0.0,0.0,0.0,0.0,14970.0,13170.0,28140.0,0.531982942431,0.468017057569,0.0,0.0,0.0,0.0,0.0,7777.0,1459.0,9236.0,0.84203118233,0.15796881767,7.0,2.0,9.0,0.777777777778,0.222222222222,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,0.363636363636,0.636363636364,7.0,23.0,30.0,0.233333333333,0.766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kings,1125.0,549.0,1674.0,0.672043010753,0.327956989247,7205.0,6849.0,14054.0,0.512665433329,0.487334566671,433.0,5996.0,6429.0,0.0673510654845,0.932648934515,0.0,0.0,0.0,0.0,0.0,74.0,8.0,82.0,0.90243902439,0.0975609756098,7.0,3.0,10.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8493.0,5267.0,13760.0,0.617223837209,0.382776162791,0.0,0.0,0.0,0.0,0.0,1981.0,1958.0,3939.0,0.502919522722,0.497080477278,0.0,0.0,0.0,0.0,0.0,1418.0,319.0,1737.0,0.816350028785,0.183649971215,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,1432.0,817.0,2249.0,0.636727434415,0.363272565585,4401.0,3222.0,7623.0,0.57733175915,0.42266824085,223.0,2104.0,2327.0,0.0958315427589,0.904168457241,0.0,0.0,0.0,0.0,0.0,92.0,7.0,99.0,0.929292929293,0.0707070707071,29.0,5.0,34.0,0.852941176471,0.147058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,5680.0,3510.0,9190.0,0.618063112078,0.381936887922,0.0,0.0,0.0,0.0,0.0,1043.0,838.0,1881.0,0.554492291334,0.445507708666,0.0,0.0,0.0,0.0,0.0,524.0,82.0,606.0,0.864686468647,0.135313531353,21.0,0.0,21.0,1.0,0.0,32.0,3.0,35.0,0.914285714286,0.0857142857143,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,0.0,30.0,134.0,164.0,0.182926829268,0.817073170732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lassen,282.0,136.0,418.0,0.674641148325,0.325358851675,763.0,618.0,1381.0,0.552498189718,0.447501810282,95.0,982.0,1077.0,0.0882079851439,0.911792014856,0.0,0.0,0.0,0.0,0.0,16.0,1.0,17.0,0.941176470588,0.0588235294118,3.0,1.0,4.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1277.0,734.0,2011.0,0.635007458976,0.364992541024,0.0,0.0,0.0,0.0,0.0,256.0,159.0,415.0,0.61686746988,0.38313253012,0.0,0.0,0.0,0.0,0.0,131.0,17.0,148.0,0.885135135135,0.114864864865,98.0,33.0,131.0,0.748091603053,0.251908396947,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles,131670.0,34371.0,166041.0,0.792996910402,0.207003089598,432496.0,225019.0,657515.0,0.657773586914,0.342226413086,44268.0,302597.0,346865.0,0.127623138685,0.872376861315,2.0,0.0,2.0,1.0,0.0,30335.0,2212.0,32547.0,0.932036746858,0.0679632531416,780.0,221.0,1001.0,0.779220779221,0.220779220779,7.0,9.0,16.0,0.4375,0.5625,0.0,0.0,0.0,0.0,0.0,433.0,22.0,455.0,0.951648351648,0.0483516483516,785926.0,208421.0,994347.0,0.790394097835,0.209605902165,0.0,0.0,0.0,0.0,0.0,116321.0,59860.0,176181.0,0.660235780249,0.339764219751,0.0,0.0,0.0,0.0,0.0,75395.0,9757.0,85152.0,0.885416666667,0.114583333333,3676.0,437.0,4113.0,0.893751519572,0.106248480428,266.0,42.0,308.0,0.863636363636,0.136363636364,13.0,0.0,13.0,1.0,0.0,1101.0,858.0,1959.0,0.56202143951,0.43797856049,1260.0,5118.0,6378.0,0.197554092192,0.802445907808,9.0,2.0,11.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.0
