,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Program Reach Index, Annual Estimate Counties, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Program Reach Index, Annual Estimate Counties, 2016",,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
PRI_est_freq,(All),,,,,,,,,,,,,,,,,PRI_est_freq,(All),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of PRI,Column Labels,,,,,,,,,,,,,,,,,Sum of PRI,Column Labels,,,,,,,,,,,
33 Riverside,0.682144309486,,,,,,,,8.0,Modoc,0.673176913123,,,,,,,33 Riverside,0.682144309486,,,,,,,,12.0,Riverside,0.682144309486,
25 Modoc,0.673176913123,,,,,,,,7.0,Mono,0.671360443506,,,,,,,25 Modoc,0.673176913123,,,,,,,,8.0,Modoc,0.673176913123,
26 Mono,0.671360443506,,,,,,,,9.0,Tehama,0.662575217024,,,,,,,26 Mono,0.671360443506,,,,,,,,7.0,Mono,0.671360443506,
52 Tehama,0.662575217024,,,,,,,,9.0,Alpine,0.662028682866,,,,,,,52 Tehama,0.662575217024,,,,,,,,9.0,Tehama,0.662575217024,
02 Alpine,0.662028682866,,,,,,,,10.0,Alameda,0.659729140215,,,,,,,02 Alpine,0.662028682866,,,,,,,,9.0,Alpine,0.662028682866,
01 Alameda,0.659729140215,,,,,,,,12.0,El Dorado,0.657805424483,,,,,,,01 Alameda,0.659729140215,,,,,,,,10.0,Alameda,0.659729140215,
09 El Dorado,0.657805424483,,,,,,,,16.0,San Francisco,0.656027629671,,,,,,,09 El Dorado,0.657805424483,,,,,,,,12.0,El Dorado,0.657805424483,
38 San Francisco,0.656027629671,,,,,,,,9.0,Sonoma,0.654660296858,,,,,,,38 San Francisco,0.656027629671,,,,,,,,16.0,San Francisco,0.656027629671,
49 Sonoma,0.654660296858,,,,,,,,12.0,Mendocino,0.649240752866,,,,,,,49 Sonoma,0.654660296858,,,,,,,,9.0,Sonoma,0.654660296858,
23 Mendocino,0.649240752866,,,,,,,,14.0,Los Angeles,0.649077137615,,,,,,,23 Mendocino,0.649240752866,,,,,,,,12.0,Mendocino,0.649240752866,
19 Los Angeles,0.649077137615,,,,,,,,11.0,Siskiyou,0.6374779889,,,,,,,19 Los Angeles,0.649077137615,,,,,,,,14.0,Los Angeles,0.649077137615,
47 Siskiyou,0.6374779889,,,,,,,,11.0,Humboldt,0.635354201928,,,,,,,47 Siskiyou,0.6374779889,,,,,,,,11.0,Siskiyou,0.6374779889,
12 Humboldt,0.635354201928,,,,,,,,11.0,Mariposa,0.633956876711,,,,,,,12 Humboldt,0.635354201928,,,,,,,,11.0,Humboldt,0.635354201928,
22 Mariposa,0.633956876711,,,,,,,,8.0,Butte,0.6327823484,,,,,,,22 Mariposa,0.633956876711,,,,,,,,11.0,Mariposa,0.633956876711,
04 Butte,0.6327823484,,,,,,,,9.0,Sierra,0.630375093638,,,,,,,04 Butte,0.6327823484,,,,,,,,8.0,Butte,0.6327823484,
46 Sierra,0.630375093638,,,,,,,,8.0,Glenn,0.629302994853,,,,,,,46 Sierra,0.630375093638,,,,,,,,9.0,Sierra,0.630375093638,
11 Glenn,0.629302994853,,,,,,,,15.0,Contra Costa,0.629087319108,,,,,,,11 Glenn,0.629302994853,,,,,,,,8.0,Glenn,0.629302994853,
07 Contra Costa,0.629087319108,,,,,,,,11.0,Tuolumne,0.613827341728,,,,,,,07 Contra Costa,0.629087319108,,,,,,,,15.0,Contra Costa,0.629087319108,
55 Tuolumne,0.613827341728,,,,,,,,12.0,San Diego,0.611087539412,,,,,,,55 Tuolumne,0.613827341728,,,,,,,,11.0,Tuolumne,0.613827341728,
37 San Diego,0.611087539412,,,,,,,,16.0,Santa Barbara,0.602745158764,,,,,,,37 San Diego,0.611087539412,,,,,,,,12.0,San Diego,0.611087539412,
42 Santa Barbara,0.602745158764,,,,,,,,14.0,Santa Clara,0.575226776712,,,,,,,42 Santa Barbara,0.602745158764,,,,,,,,16.0,Santa Barbara,0.602745158764,
43 Santa Clara,0.575226776712,,,,,,,,12.0,San Mateo,0.552476184706,,,,,,,43 Santa Clara,0.575226776712,,,,,,,,14.0,Santa Clara,0.575226776712,
41 San Mateo,0.552476184706,,,,,,,,10.0,Trinity,0.551019489471,,,,,,,41 San Mateo,0.552476184706,,,,,,,,12.0,San Mateo,0.552476184706,
53 Trinity,0.551019489471,,,,,,,,18.0,San Luis Obispo,0.517974634812,,,,,,,53 Trinity,0.551019489471,,,,,,,,10.0,Trinity,0.551019489471,
40 San Luis Obispo,0.517974634812,,,,,,,,9.0,Placer,0.507045032365,,,,,,,40 San Luis Obispo,0.517974634812,,,,,,,,18.0,San Luis Obispo,0.517974634812,
