"This data table captures the point in time count for Medi-Cal persons, CalFresh persons, and dual enrollment  for Medi-Cal and CalFresh persons. The data table begins in cell A2. ",,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,MEDS MediCal Persons,MEDS CalFresh Persons,Dual Enroll Persons in Medi-Cal and CalFresh
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,January,41640.0,2014.0,2014.0,2013/14,13861.0,7074.0,6199.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,January,41640.0,2014.0,2014.0,2013/14,92242.0,43563.0,37356.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,January,41640.0,2014.0,2014.0,2013/14,95025.0,36075.0,30740.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,January,41640.0,2014.0,2014.0,2013/14,173403.0,93800.0,75818.0
Sutter,US-06101,-121.714735,39.02038,C-IV,January,41640.0,2014.0,2014.0,2013/14,32482.0,12997.0,11629.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,January,41640.0,2014.0,2014.0,2013/14,22501.0,10760.0,9616.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,January,41640.0,2014.0,2014.0,2013/14,3704.0,1698.0,1425.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,January,41640.0,2014.0,2014.0,2013/14,203030.0,121506.0,104282.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,January,41640.0,2014.0,2014.0,2013/14,11862.0,5443.0,4805.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,January,41640.0,2014.0,2014.0,2013/14,170199.0,72366.0,56216.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,January,41640.0,2014.0,2014.0,2013/14,42763.0,18439.0,15717.0
Yuba,US-06115,-121.499162,39.278915,C-IV,January,41640.0,2014.0,2014.0,2013/14,24865.0,13401.0,11543.0
Statewide,,,,,April,41730.0,2014.0,2014.0,2013/14,11237332.0,4417385.0,3856286.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,April,41730.0,2014.0,2014.0,2013/14,378179.0,129810.0,112019.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,April,41730.0,2014.0,2014.0,2013/14,344.0,180.0,157.0
Amador,US-06005,-120.238969,38.46328,C-IV,April,41730.0,2014.0,2014.0,2013/14,7166.0,3431.0,3052.0
Butte,US-06007,-121.5660076,39.723785,C-IV,April,41730.0,2014.0,2014.0,2013/14,73331.0,31431.0,29123.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,April,41730.0,2014.0,2014.0,2013/14,10517.0,5114.0,4614.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,April,41730.0,2014.0,2014.0,2013/14,7866.0,1853.0,1764.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,April,41730.0,2014.0,2014.0,2013/14,227482.0,72400.0,64093.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,April,41730.0,2014.0,2014.0,2013/14,10702.0,5151.0,4872.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,April,41730.0,2014.0,2014.0,2013/14,32650.0,12754.0,11287.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,April,41730.0,2014.0,2014.0,2013/14,417336.0,230831.0,207360.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,April,41730.0,2014.0,2014.0,2013/14,10551.0,3790.0,3571.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,April,41730.0,2014.0,2014.0,2013/14,42866.0,18599.0,16708.0
Imperial,US-06025,-115.058652,33.02615,C-IV,April,41730.0,2014.0,2014.0,2013/14,80025.0,38984.0,36391.0
Inyo,US-06027,-117.7797286,36.626,C-IV,April,41730.0,2014.0,2014.0,2013/14,5201.0,2185.0,1984.0
Kern,US-06029,-118.4426011,35.29441,C-IV,April,41730.0,2014.0,2014.0,2013/14,332732.0,149778.0,136732.0
Kings,US-06031,-119.6135104,36.138775,C-IV,April,41730.0,2014.0,2014.0,2013/14,49424.0,24450.0,22681.0
Lake,US-06033,-122.9624445,39.124455,C-IV,April,41730.0,2014.0,2014.0,2013/14,25964.0,11214.0,10381.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,April,41730.0,2014.0,2014.0,2013/14,6821.0,3242.0,3013.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,April,41730.0,2014.0,2014.0,2013/14,3361306.0,1192670.0,987918.0
Madera,US-06039,-119.84174,37.27052,C-IV,April,41730.0,2014.0,2014.0,2013/14,61918.0,29224.0,27677.0
Marin,US-06041,-122.870429,38.068145,C-IV,April,41730.0,2014.0,2014.0,2013/14,37533.0,10377.0,9759.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,April,41730.0,2014.0,2014.0,2013/14,4392.0,2077.0,1951.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,April,41730.0,2014.0,2014.0,2013/14,35278.0,14272.0,12809.0
Merced,US-06047,-120.1246993,37.18687,C-IV,April,41730.0,2014.0,2014.0,2013/14,118053.0,57889.0,54132.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,April,41730.0,2014.0,2014.0,2013/14,2791.0,997.0,932.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,April,41730.0,2014.0,2014.0,2013/14,2974.0,947.0,756.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,April,41730.0,2014.0,2014.0,2013/14,146712.0,54082.0,50702.0
Napa,US-06055,-122.5128064,38.509635,C-IV,April,41730.0,2014.0,2014.0,2013/14,28240.0,7559.0,7014.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,April,41730.0,2014.0,2014.0,2013/14,20773.0,8056.0,7254.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,April,41730.0,2014.0,2014.0,2013/14,760568.0,247724.0,222948.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,April,41730.0,2014.0,2014.0,2013/14,52694.0,18148.0,14943.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,April,41730.0,2014.0,2014.0,2013/14,4966.0,1944.0,1726.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,April,41730.0,2014.0,2014.0,2013/14,666091.0,285416.0,242770.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,April,41730.0,2014.0,2014.0,2013/14,466199.0,214485.0,190537.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,April,41730.0,2014.0,2014.0,2013/14,16184.0,6355.0,5885.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,April,41730.0,2014.0,2014.0,2013/14,738743.0,381661.0,332157.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,April,41730.0,2014.0,2014.0,2013/14,711154.0,276618.0,237716.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,April,41730.0,2014.0,2014.0,2013/14,206738.0,51801.0,42502.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,April,41730.0,2014.0,2014.0,2013/14,255699.0,118341.0,109263.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,April,41730.0,2014.0,2014.0,2013/14,53111.0,18813.0,16851.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,April,41730.0,2014.0,2014.0,2013/14,132606.0,32393.0,28943.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,April,41730.0,2014.0,2014.0,2013/14,119830.0,36805.0,34324.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,April,41730.0,2014.0,2014.0,2013/14,387859.0,113023.0,100628.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,April,41730.0,2014.0,2014.0,2013/14,66862.0,25241.0,22600.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,April,41730.0,2014.0,2014.0,2013/14,57923.0,24765.0,22624.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,April,41730.0,2014.0,2014.0,2013/14,751.0,307.0,285.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,April,41730.0,2014.0,2014.0,2013/14,15384.0,7078.0,6644.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,April,41730.0,2014.0,2014.0,2013/14,103434.0,44101.0,39911.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,April,41730.0,2014.0,2014.0,2013/14,108564.0,36471.0,33214.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,April,41730.0,2014.0,2014.0,2013/14,196636.0,93272.0,83329.0
Sutter,US-06101,-121.714735,39.02038,C-IV,April,41730.0,2014.0,2014.0,2013/14,35658.0,13057.0,12142.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,April,41730.0,2014.0,2014.0,2013/14,24568.0,11130.0,10342.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,April,41730.0,2014.0,2014.0,2013/14,4254.0,1808.0,1655.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,April,41730.0,2014.0,2014.0,2013/14,224290.0,123168.0,114127.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,April,41730.0,2014.0,2014.0,2013/14,13227.0,5592.0,5226.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,April,41730.0,2014.0,2014.0,2013/14,198468.0,72483.0,63145.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,April,41730.0,2014.0,2014.0,2013/14,48375.0,18613.0,16816.0
Yuba,US-06115,-121.499162,39.278915,C-IV,April,41730.0,2014.0,2014.0,2013/14,27369.0,13425.0,12327.0
Statewide,,,,,July,41821.0,2014.0,2014.0,2014/15,11699789.0,4469098.0,3948046.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,July,41821.0,2014.0,2014.0,2014/15,392948.0,130139.0,115141.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,July,41821.0,2014.0,2014.0,2014/15,383.0,196.0,178.0
Amador,US-06005,-120.238969,38.46328,C-IV,July,41821.0,2014.0,2014.0,2014/15,7412.0,3401.0,3046.0
