"Monthly data on CalFresh public assistance households and persons, non-assistance households and persons, CFAP public assistance household and persons, non-assistance household and persons, federal and state issuances, 30 day timeliness, negative error rate, negative error rate cases completed, applications received, and child only households and persons. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  The presence of an asterisk (*) in a data cell indicates that the value has been suppressed to protect individual confidentiality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,CF 296,"DFA 296X prior to July 2016, then CF 296 ",Federal SNAPQCS,RADEP,CF 296,CF 296,MEDS,MEDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Consortium,Month,Calendar_Year,FFY,SFY,Fed_PA_HHs,Fed_NA_HHs,CFAP_PA_HHs,CFAP_NA_HHs,All_PA_HHs,All_NA_HHs,CF_HHs,CF_Persons,Fed_PA_Persons,Fed_ NA_Persons,All_Fed_Persons,CFAP_PA_Persons,CFAP_NA_Persons,All_CFAP_Persons,All_PA_Persons,All_NA_Persons,Fed_Issuances,State_Issuances,Total_Issuances,Timeliness_30_day_Pct,Timeliness_Exped_Pct_Monthly,Negative_Error_Rate,Active_Error_Rate,Apps_Recd,Online_Apps_Recd,Child_Only_HHs,Child_Only_Persons
28 Napa,C-IV,January,2014.0,2014.0,2013/14,,,,,,,3420.0,7164.0,,,,,,,,,,,,0.72,,,0.0922,,,894.0,1829.0
29 Nevada,C-IV,January,2014.0,2014.0,2013/14,,,,,,,4004.0,7593.0,,,,,,,,,,,,0.9957,,,0.0922,,,180.0,344.0
30 Orange,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,113508.0,245759.0,,,,,,,,,,,,0.984,,,0.0371,,,30276.0,65248.0
31 Placer,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,9024.0,18465.0,,,,,,,,,,,,0.9975,,,0.0922,,,731.0,1449.0
32 Plumas,C-IV,January,2014.0,2014.0,2013/14,,,,,,,909.0,1844.0,,,,,,,,,,,,0.987,,,0.0922,,,36.0,*
33 Riverside,C-IV,January,2014.0,2014.0,2013/14,,,,,,,121060.0,287272.0,,,,,,,,,,,,0.9971,,,0.0283,,,17102.0,37526.0
34 Sacramento,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,97098.0,213072.0,,,,,,,,,,,,0.9759,,,0.0057,,,10365.0,20133.0
35 San Benito,C-IV,January,2014.0,2014.0,2013/14,,,,,,,2757.0,6378.0,,,,,,,,,,,,1.0,,,0.0922,,,483.0,1048.0
36 San Bernardino,C-IV,January,2014.0,2014.0,2013/14,,,,,,,166127.0,382585.0,,,,,,,,,,,,0.9974,,,0.0059,,,21249.0,45436.0
37 San Diego,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,128475.0,272951.0,,,,,,,,,,,,0.9745,,,0.0465,,,16822.0,34401.0
38 San Francisco,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,32282.0,50484.0,,,,,,,,,,,,0.9663,,,0.0524,,,4314.0,6859.0
39 San Joaquin,C-IV,January,2014.0,2014.0,2013/14,,,,,,,48102.0,114754.0,,,,,,,,,,,,0.9913,,,0.052,,,7109.0,15192.0
40 San Luis Obispo,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,9399.0,17988.0,,,,,,,,,,,,0.9342,,,0.0922,,,1221.0,2413.0
41 San Mateo,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,15819.0,32181.0,,,,,,,,,,,,0.9843,,,0.0922,,,4097.0,7977.0
42 Santa Barbara,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,15581.0,34841.0,,,,,,,,,,,,0.6259,,,0.0922,,,4968.0,10830.0
43 Santa Clara,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,53489.0,112246.0,,,,,,,,,,,,0.9449,,,0.0312,,,11508.0,23020.0
