"Monthly data on CalFresh public assistance households and persons, non-assistance households and persons, CFAP public assistance household and persons, non-assistance household and persons, federal and state issuances, 30 day timeliness, negative error rate, negative error rate cases completed, applications received, and child only households and persons. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  The presence of an asterisk (*) in a data cell indicates that the value has been suppressed to protect individual confidentiality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,CF 296,"DFA 296X prior to July 2016, then CF 296 ",Federal SNAPQCS,RADEP,CF 296,CF 296,MEDS,MEDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Consortium,Month,Calendar_Year,FFY,SFY,Fed_PA_HHs,Fed_NA_HHs,CFAP_PA_HHs,CFAP_NA_HHs,All_PA_HHs,All_NA_HHs,CF_HHs,CF_Persons,Fed_PA_Persons,Fed_ NA_Persons,All_Fed_Persons,CFAP_PA_Persons,CFAP_NA_Persons,All_CFAP_Persons,All_PA_Persons,All_NA_Persons,Fed_Issuances,State_Issuances,Total_Issuances,Timeliness_30_day_Pct,Timeliness_Exped_Pct_Monthly,Negative_Error_Rate,Active_Error_Rate,Apps_Recd,Online_Apps_Recd,Child_Only_HHs,Child_Only_Persons
36 San Bernardino,C-IV,May,2015.0,2015.0,2014/15,,,,,,,178811.0,399048.0,,,,,,,,,,,,0.9997,,0.083,0.0446,,,20881.0,44397.0
37 San Diego,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,142260.0,290993.0,,,,,,,,,,,,0.971,,0.429,0.0122,,,16048.0,32926.0
38 San Francisco,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,33793.0,51839.0,,,,,,,,,,,,0.9809,,0.833,0.0685,,,3962.0,6338.0
39 San Joaquin,C-IV,May,2015.0,2015.0,2014/15,,,,,,,53207.0,122293.0,,,,,,,,,,,,0.9956,,0.095,0.0223,,,7130.0,15267.0
40 San Luis Obispo,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,10070.0,18689.0,,,,,,,,,,,,0.9714,,0.297,0.0376,,,1122.0,2318.0
41 San Mateo,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,16245.0,32034.0,,,,,,,,,,,,0.9681,,0.297,0.0376,,,4004.0,7797.0
42 Santa Barbara,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,17283.0,37584.0,,,,,,,,,,,,0.9382,,0.297,0.0376,,,4675.0,10479.0
43 Santa Clara,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,55531.0,111660.0,,,,,,,,,,,,0.9754,,0.5,0.0175,,,10532.0,21347.0
44 Santa Cruz,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,13834.0,26154.0,,,,,,,,,,,,0.9851,,0.297,0.0376,,,2589.0,5393.0
45 Shasta,C-IV,May,2015.0,2015.0,2014/15,,,,,,,13117.0,25256.0,,,,,,,,,,,,0.9767,,0.297,0.0376,,,631.0,1024.0
46 Sierra,C-IV,May,2015.0,2015.0,2014/15,,,,,,,176.0,326.0,,,,,,,,,,,,1.0,,0.297,0.0376,,,*,*
47 Siskiyou,C-IV,May,2015.0,2015.0,2014/15,,,,,,,3288.0,7109.0,,,,,,,,,,,,0.991,,0.297,0.0376,,,144.0,252.0
48 Solano,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,22818.0,43974.0,,,,,,,,,,,,0.9623,,0.5,0.0225,,,2340.0,4631.0
49 Sonoma,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,20228.0,36237.0,,,,,,,,,,,,0.9434,,0.297,0.0376,,,3349.0,6816.0
50 Stanislaus,C-IV,May,2015.0,2015.0,2014/15,,,,,,,43587.0,92989.0,,,,,,,,,,,,0.9815,,0.143,0.0167,,,5324.0,11383.0
51 Sutter,C-IV,May,2015.0,2015.0,2014/15,,,,,,,5687.0,13207.0,,,,,,,,,,,,0.9628,,0.297,0.0376,,,675.0,1430.0
52 Tehama,C-IV,May,2015.0,2015.0,2014/15,,,,,,,4780.0,10458.0,,,,,,,,,,,,0.9801,,0.297,0.0376,,,410.0,861.0
53 Trinity,C-IV,May,2015.0,2015.0,2014/15,,,,,,,1005.0,1813.0,,,,,,,,,,,,1.0,,0.297,0.0376,,,33.0,49.0
54 Tulare,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,52745.0,124980.0,,,,,,,,,,,,0.9906,,0.429,0.037,,,8211.0,18956.0
55 Tuolumne,C-IV,May,2015.0,2015.0,2014/15,,,,,,,3147.0,5576.0,,,,,,,,,,,,0.9528,,0.297,0.0376,,,107.0,176.0
56 Ventura,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,37155.0,75585.0,,,,,,,,,,,,0.9751,,0.444,0.0493,,,6867.0,15262.0
57 Yolo,CalWIN,May,2015.0,2015.0,2014/15,,,,,,,10153.0,20602.0,,,,,,,,,,,,0.9552,,0.297,0.0376,,,927.0,1862.0
58 Yuba,C-IV,May,2015.0,2015.0,2014/15,,,,,,,6205.0,13527.0,,,,,,,,,,,,1.0,,0.297,0.0376,,,523.0,1049.0
00 Statewide,n/a,June,2015.0,2015.0,2014/15,284606.0,1830714.0,2024.0,18699.0,286630.0,1849413.0,2136043.0,4475536.0,721331.0,3706719.0,4428050.0,6687.0,40799.0,47486.0,728018.0,3747518.0,628343943.08,6364103.3,634708046.38,0.9726,,0.284,0.0462,,,325496.0,679861.0
01 Alameda,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,62196.0,121033.0,,,,,,,,,,,,0.7968,,0.9,0.0461,,,9109.0,17335.0
02 Alpine,C-IV,June,2015.0,2015.0,2014/15,,,,,,,101.0,178.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,*,*
03 Amador,C-IV,June,2015.0,2015.0,2014/15,,,,,,,1831.0,3473.0,,,,,,,,,,,,0.9889,,0.299,0.0287,,,64.0,113.0
04 Butte,C-IV,June,2015.0,2015.0,2014/15,,,,,,,16678.0,32182.0,,,,,,,,,,,,0.919,,0.299,0.0287,,,918.0,1570.0
05 Calaveras,C-IV,June,2015.0,2015.0,2014/15,,,,,,,2909.0,5462.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,90.0,160.0
06 Colusa,C-IV,June,2015.0,2015.0,2014/15,,,,,,,686.0,1618.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,121.0,263.0
07 Contra Costa,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,35631.0,71768.0,,,,,,,,,,,,0.9547,,0.444,0.0228,,,5308.0,10612.0
08 Del Norte,C-IV,June,2015.0,2015.0,2014/15,,,,,,,2485.0,5124.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,139.0,232.0
09 El Dorado,C-IV,June,2015.0,2015.0,2014/15,,,,,,,7398.0,13284.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,402.0,809.0
10 Fresno,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,97998.0,228327.0,,,,,,,,,,,,0.9449,,0.154,0.0245,,,13951.0,30839.0
11 Glenn,C-IV,June,2015.0,2015.0,2014/15,,,,,,,1519.0,3644.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,209.0,475.0
12 Humboldt,C-IV,June,2015.0,2015.0,2014/15,,,,,,,12208.0,21206.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,663.0,1213.0
13 Imperial,C-IV,June,2015.0,2015.0,2014/15,,,,,,,17134.0,42903.0,,,,,,,,,,,,0.9756,,0.299,0.0287,,,969.0,1872.0
14 Inyo,C-IV,June,2015.0,2015.0,2014/15,,,,,,,1046.0,2070.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,82.0,174.0
15 Kern,C-IV,June,2015.0,2015.0,2014/15,,,,,,,67619.0,159735.0,,,,,,,,,,,,0.9958,,0.162,0.0078,,,10307.0,23061.0
16 Kings,C-IV,June,2015.0,2015.0,2014/15,,,,,,,10726.0,24869.0,,,,,,,,,,,,0.9981,,0.299,0.0287,,,1299.0,2912.0
17 Lake,C-IV,June,2015.0,2015.0,2014/15,,,,,,,6194.0,12029.0,,,,,,,,,,,,0.9758,,0.299,0.0287,,,383.0,733.0
18 Lassen,C-IV,June,2015.0,2015.0,2014/15,,,,,,,1570.0,3251.0,,,,,,,,,,,,0.9492,,0.299,0.0287,,,105.0,175.0
19 Los Angeles,LRS,June,2015.0,2015.0,2014/15,,,,,,,586149.0,1178369.0,,,,,,,,,,,,0.9688,,0.425,0.0405,,,108649.0,222026.0
20 Madera,C-IV,June,2015.0,2015.0,2014/15,,,,,,,12172.0,29950.0,,,,,,,,,,,,0.9974,,0.299,0.0287,,,2851.0,6635.0
21 Marin,C-IV,June,2015.0,2015.0,2014/15,,,,,,,6504.0,10674.0,,,,,,,,,,,,0.979,,0.299,0.0287,,,1303.0,2337.0
22 Mariposa,C-IV,June,2015.0,2015.0,2014/15,,,,,,,1128.0,2144.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,27.0,50.0
23 Mendocino,C-IV,June,2015.0,2015.0,2014/15,,,,,,,7014.0,13115.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,594.0,1247.0
24 Merced,C-IV,June,2015.0,2015.0,2014/15,,,,,,,25407.0,59053.0,,,,,,,,,,,,0.9967,,0.222,0.012,,,4030.0,9016.0
25 Modoc,C-IV,June,2015.0,2015.0,2014/15,,,,,,,461.0,985.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,44.0,76.0
26 Mono,C-IV,June,2015.0,2015.0,2014/15,,,,,,,527.0,867.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,67.0,151.0
27 Monterey,C-IV,June,2015.0,2015.0,2014/15,,,,,,,23132.0,51671.0,,,,,,,,,,,,1.0,,0.25,0.0552,,,7137.0,15706.0
28 Napa,C-IV,June,2015.0,2015.0,2014/15,,,,,,,3660.0,7496.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,799.0,1656.0
29 Nevada,C-IV,June,2015.0,2015.0,2014/15,,,,,,,4295.0,7803.0,,,,,,,,,,,,0.9956,,0.299,0.0287,,,157.0,279.0
30 Orange,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,122853.0,256383.0,,,,,,,,,,,,0.9819,,0.381,0.0398,,,28579.0,61858.0
31 Placer,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,9376.0,18372.0,,,,,,,,,,,,0.9664,,0.299,0.0287,,,689.0,1362.0
32 Plumas,C-IV,June,2015.0,2015.0,2014/15,,,,,,,1109.0,2073.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,54.0,90.0
33 Riverside,C-IV,June,2015.0,2015.0,2014/15,,,,,,,128538.0,293280.0,,,,,,,,,,,,0.9985,,0.149,0.0562,,,16428.0,36006.0
34 Sacramento,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,105099.0,220476.0,,,,,,,,,,,,0.9892,,0.579,0.0028,,,9422.0,18633.0
35 San Benito,C-IV,June,2015.0,2015.0,2014/15,,,,,,,2761.0,6123.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,420.0,951.0
36 San Bernardino,C-IV,June,2015.0,2015.0,2014/15,,,,,,,180636.0,401562.0,,,,,,,,,,,,0.9999,,0.082,0.0374,,,21072.0,44746.0
37 San Diego,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,143702.0,292474.0,,,,,,,,,,,,0.96,,0.455,0.0102,,,16062.0,32987.0
38 San Francisco,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,34200.0,52121.0,,,,,,,,,,,,0.9669,,0.714,0.063,,,3999.0,6405.0
39 San Joaquin,C-IV,June,2015.0,2015.0,2014/15,,,,,,,53379.0,122269.0,,,,,,,,,,,,0.9946,,0.077,0.0222,,,7117.0,15237.0
40 San Luis Obispo,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,10060.0,18604.0,,,,,,,,,,,,0.9902,,0.299,0.0287,,,1083.0,2221.0
41 San Mateo,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,16459.0,32186.0,,,,,,,,,,,,0.9804,,0.299,0.0287,,,4023.0,7817.0
42 Santa Barbara,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,17095.0,36940.0,,,,,,,,,,,,0.9673,,0.299,0.0287,,,4416.0,9908.0
43 Santa Clara,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,55599.0,111394.0,,,,,,,,,,,,0.9814,,0.5,0.0204,,,10485.0,21269.0
44 Santa Cruz,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,13880.0,25985.0,,,,,,,,,,,,0.9479,,0.299,0.0287,,,2504.0,5220.0
45 Shasta,C-IV,June,2015.0,2015.0,2014/15,,,,,,,13070.0,25185.0,,,,,,,,,,,,0.9566,,0.299,0.0287,,,620.0,1020.0
46 Sierra,C-IV,June,2015.0,2015.0,2014/15,,,,,,,174.0,317.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,*,*
47 Siskiyou,C-IV,June,2015.0,2015.0,2014/15,,,,,,,3283.0,7039.0,,,,,,,,,,,,0.9926,,0.299,0.0287,,,148.0,252.0
48 Solano,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,23070.0,44061.0,,,,,,,,,,,,0.9667,,0.667,0.0202,,,2330.0,4634.0
49 Sonoma,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,20245.0,36302.0,,,,,,,,,,,,0.9546,,0.299,0.0287,,,3324.0,6775.0
50 Stanislaus,C-IV,June,2015.0,2015.0,2014/15,,,,,,,43676.0,92933.0,,,,,,,,,,,,0.9921,,0.111,0.0145,,,5291.0,11334.0
51 Sutter,C-IV,June,2015.0,2015.0,2014/15,,,,,,,5707.0,13246.0,,,,,,,,,,,,0.9648,,0.299,0.0287,,,667.0,1410.0
52 Tehama,C-IV,June,2015.0,2015.0,2014/15,,,,,,,4812.0,10504.0,,,,,,,,,,,,0.98,,0.299,0.0287,,,425.0,884.0
53 Trinity,C-IV,June,2015.0,2015.0,2014/15,,,,,,,1006.0,1831.0,,,,,,,,,,,,0.9815,,0.299,0.0287,,,36.0,52.0
54 Tulare,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,52859.0,124359.0,,,,,,,,,,,,0.9942,,0.375,0.034,,,8155.0,18849.0
55 Tuolumne,C-IV,June,2015.0,2015.0,2014/15,,,,,,,3174.0,5596.0,,,,,,,,,,,,0.9313,,0.299,0.0287,,,112.0,181.0
56 Ventura,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,37335.0,75343.0,,,,,,,,,,,,0.9766,,0.4,0.067,,,6812.0,15138.0
57 Yolo,CalWIN,June,2015.0,2015.0,2014/15,,,,,,,10209.0,20645.0,,,,,,,,,,,,0.9464,,0.299,0.0287,,,914.0,1833.0
58 Yuba,C-IV,June,2015.0,2015.0,2014/15,,,,,,,6299.0,13650.0,,,,,,,,,,,,1.0,,0.299,0.0287,,,530.0,1060.0
00 Statewide,n/a,July,2015.0,2015.0,2015/16,280364.0,1844762.0,1984.0,18853.0,282348.0,1863615.0,2145963.0,4492726.0,710885.0,3734075.0,4444960.0,6528.0,41238.0,47766.0,717413.0,3775313.0,628547288.41,6365846.51,634913134.92,0.9684,,0.297,0.0437,,,324567.0,678373.0
01 Alameda,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,62663.0,121577.0,,,,,,,,,,,,0.7846,,0.833,0.0411,,,9053.0,17211.0
02 Alpine,C-IV,July,2015.0,2015.0,2015/16,,,,,,,101.0,171.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,*,*
03 Amador,C-IV,July,2015.0,2015.0,2015/16,,,,,,,1823.0,3445.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,61.0,112.0
04 Butte,C-IV,July,2015.0,2015.0,2015/16,,,,,,,16729.0,32207.0,,,,,,,,,,,,0.9201,,0.28,0.0263,,,925.0,1581.0
05 Calaveras,C-IV,July,2015.0,2015.0,2015/16,,,,,,,2924.0,5498.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,90.0,159.0
06 Colusa,C-IV,July,2015.0,2015.0,2015/16,,,,,,,661.0,1563.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,119.0,260.0
07 Contra Costa,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,36075.0,72362.0,,,,,,,,,,,,0.9657,,0.5,0.0258,,,5334.0,10673.0
08 Del Norte,C-IV,July,2015.0,2015.0,2015/16,,,,,,,2514.0,5205.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,135.0,228.0
09 El Dorado,C-IV,July,2015.0,2015.0,2015/16,,,,,,,7406.0,13278.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,407.0,814.0
10 Fresno,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,103201.0,239926.0,,,,,,,,,,,,0.9442,,0.267,0.0271,,,13874.0,30710.0
11 Glenn,C-IV,July,2015.0,2015.0,2015/16,,,,,,,1528.0,3645.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,207.0,462.0
12 Humboldt,C-IV,July,2015.0,2015.0,2015/16,,,,,,,12084.0,21066.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,654.0,1193.0
13 Imperial,C-IV,July,2015.0,2015.0,2015/16,,,,,,,17367.0,43485.0,,,,,,,,,,,,0.9763,,0.28,0.0263,,,958.0,1850.0
14 Inyo,C-IV,July,2015.0,2015.0,2015/16,,,,,,,1049.0,2076.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,81.0,170.0
15 Kern,C-IV,July,2015.0,2015.0,2015/16,,,,,,,67912.0,160254.0,,,,,,,,,,,,0.9916,,0.175,0.0068,,,10257.0,22920.0
16 Kings,C-IV,July,2015.0,2015.0,2015/16,,,,,,,10785.0,24942.0,,,,,,,,,,,,0.9981,,0.28,0.0263,,,1299.0,2920.0
17 Lake,C-IV,July,2015.0,2015.0,2015/16,,,,,,,6253.0,12127.0,,,,,,,,,,,,0.9902,,0.28,0.0263,,,386.0,735.0
18 Lassen,C-IV,July,2015.0,2015.0,2015/16,,,,,,,1540.0,3205.0,,,,,,,,,,,,0.8852,,0.28,0.0263,,,105.0,183.0
19 Los Angeles,LRS,July,2015.0,2015.0,2015/16,,,,,,,588075.0,1183107.0,,,,,,,,,,,,0.9598,,0.439,0.0362,,,108606.0,222068.0
20 Madera,C-IV,July,2015.0,2015.0,2015/16,,,,,,,12063.0,29699.0,,,,,,,,,,,,0.9881,,0.28,0.0263,,,2770.0,6451.0
21 Marin,C-IV,July,2015.0,2015.0,2015/16,,,,,,,6511.0,10687.0,,,,,,,,,,,,0.9942,,0.28,0.0263,,,1310.0,2357.0
22 Mariposa,C-IV,July,2015.0,2015.0,2015/16,,,,,,,1122.0,2152.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,28.0,50.0
23 Mendocino,C-IV,July,2015.0,2015.0,2015/16,,,,,,,7077.0,13204.0,,,,,,,,,,,,0.9951,,0.28,0.0263,,,584.0,1237.0
24 Merced,C-IV,July,2015.0,2015.0,2015/16,,,,,,,25373.0,58778.0,,,,,,,,,,,,0.9977,,0.2,0.0144,,,4017.0,8963.0
25 Modoc,C-IV,July,2015.0,2015.0,2015/16,,,,,,,455.0,966.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,45.0,78.0
26 Mono,C-IV,July,2015.0,2015.0,2015/16,,,,,,,520.0,856.0,,,,,,,,,,,,0.9615,,0.28,0.0263,,,65.0,146.0
27 Monterey,C-IV,July,2015.0,2015.0,2015/16,,,,,,,22745.0,50601.0,,,,,,,,,,,,1.0,,0.294,0.0532,,,6837.0,15073.0
28 Napa,C-IV,July,2015.0,2015.0,2015/16,,,,,,,3632.0,7444.0,,,,,,,,,,,,0.9699,,0.28,0.0263,,,791.0,1649.0
29 Nevada,C-IV,July,2015.0,2015.0,2015/16,,,,,,,4273.0,7776.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,150.0,264.0
30 Orange,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,123718.0,257750.0,,,,,,,,,,,,0.9867,,0.458,0.0404,,,28617.0,62037.0
31 Placer,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,9410.0,18190.0,,,,,,,,,,,,0.9466,,0.28,0.0263,,,691.0,1366.0
32 Plumas,C-IV,July,2015.0,2015.0,2015/16,,,,,,,1061.0,1993.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,53.0,90.0
33 Riverside,C-IV,July,2015.0,2015.0,2015/16,,,,,,,129532.0,295239.0,,,,,,,,,,,,0.9985,,0.148,0.0561,,,16445.0,36151.0
34 Sacramento,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,105023.0,219932.0,,,,,,,,,,,,0.9894,,0.591,0.0025,,,9357.0,18522.0
35 San Benito,C-IV,July,2015.0,2015.0,2015/16,,,,,,,2702.0,5988.0,,,,,,,,,,,,0.9908,,0.28,0.0263,,,412.0,943.0
36 San Bernardino,C-IV,July,2015.0,2015.0,2015/16,,,,,,,181362.0,403228.0,,,,,,,,,,,,0.9995,,0.098,0.0339,,,21019.0,44668.0
37 San Diego,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,143440.0,291188.0,,,,,,,,,,,,0.9515,,0.462,0.0108,,,16056.0,32961.0
38 San Francisco,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,34244.0,52180.0,,,,,,,,,,,,0.9668,,0.75,0.0756,,,3991.0,6402.0
39 San Joaquin,C-IV,July,2015.0,2015.0,2015/16,,,,,,,53401.0,122077.0,,,,,,,,,,,,0.992,,0.071,0.0259,,,7113.0,15195.0
40 San Luis Obispo,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,10090.0,18642.0,,,,,,,,,,,,0.9646,,0.28,0.0263,,,1071.0,2185.0
41 San Mateo,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,16305.0,31752.0,,,,,,,,,,,,0.988,,0.28,0.0263,,,3996.0,7779.0
42 Santa Barbara,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,17002.0,36443.0,,,,,,,,,,,,0.9645,,0.28,0.0263,,,4307.0,9644.0
43 Santa Clara,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,55399.0,110974.0,,,,,,,,,,,,0.98,,0.455,0.018,,,10495.0,21315.0
44 Santa Cruz,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,13880.0,25934.0,,,,,,,,,,,,0.9731,,0.28,0.0263,,,2440.0,5107.0
45 Shasta,C-IV,July,2015.0,2015.0,2015/16,,,,,,,13115.0,25293.0,,,,,,,,,,,,0.9668,,0.28,0.0263,,,625.0,1023.0
46 Sierra,C-IV,July,2015.0,2015.0,2015/16,,,,,,,171.0,317.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,*,*
47 Siskiyou,C-IV,July,2015.0,2015.0,2015/16,,,,,,,3250.0,6992.0,,,,,,,,,,,,0.9854,,0.28,0.0263,,,147.0,242.0
48 Solano,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,23149.0,44119.0,,,,,,,,,,,,0.9752,,0.75,0.0207,,,2318.0,4619.0
49 Sonoma,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,20183.0,36183.0,,,,,,,,,,,,0.925,,0.28,0.0263,,,3289.0,6691.0
50 Stanislaus,C-IV,July,2015.0,2015.0,2015/16,,,,,,,43553.0,92572.0,,,,,,,,,,,,0.9917,,0.1,0.0154,,,5315.0,11413.0
51 Sutter,C-IV,July,2015.0,2015.0,2015/16,,,,,,,5712.0,13236.0,,,,,,,,,,,,0.9787,,0.28,0.0263,,,668.0,1411.0
52 Tehama,C-IV,July,2015.0,2015.0,2015/16,,,,,,,4816.0,10543.0,,,,,,,,,,,,0.9548,,0.28,0.0263,,,422.0,886.0
53 Trinity,C-IV,July,2015.0,2015.0,2015/16,,,,,,,1035.0,1867.0,,,,,,,,,,,,0.9836,,0.28,0.0263,,,34.0,50.0
54 Tulare,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,52900.0,123955.0,,,,,,,,,,,,0.991,,0.333,0.0319,,,8111.0,18779.0
55 Tuolumne,C-IV,July,2015.0,2015.0,2015/16,,,,,,,3156.0,5603.0,,,,,,,,,,,,0.8767,,0.28,0.0263,,,111.0,177.0
56 Ventura,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,37333.0,75003.0,,,,,,,,,,,,0.9783,,0.4,0.0681,,,6868.0,15312.0
57 Yolo,CalWIN,July,2015.0,2015.0,2015/16,,,,,,,10254.0,20610.0,,,,,,,,,,,,0.9476,,0.28,0.0263,,,913.0,1821.0
58 Yuba,C-IV,July,2015.0,2015.0,2015/16,,,,,,,6306.0,13621.0,,,,,,,,,,,,1.0,,0.28,0.0263,,,533.0,1065.0
00 Statewide,n/a,August,2015.0,2015.0,2015/16,279108.0,1849737.0,1989.0,18895.0,281097.0,1868632.0,2149729.0,4501646.0,707662.0,3746025.0,4453687.0,6558.0,41401.0,47959.0,714220.0,3787426.0,627492787.0,6210421.0,633703208.0,0.9709,,0.317,0.0446,,,323883.0,677534.0
01 Alameda,CalWIN,August,2015.0,2015.0,2015/16,,,,,,,62557.0,121947.0,,,,,,,,,,,,0.8852,,0.813,0.0356,,,9056.0,17219.0
02 Alpine,C-IV,August,2015.0,2015.0,2015/16,,,,,,,99.0,172.0,,,,,,,,,,,,1.0,,0.276,0.0239,,,*,*
03 Amador,C-IV,August,2015.0,2015.0,2015/16,,,,,,,1782.0,3390.0,,,,,,,,,,,,0.9444,,0.276,0.0239,,,62.0,110.0
04 Butte,C-IV,August,2015.0,2015.0,2015/16,,,,,,,16634.0,32123.0,,,,,,,,,,,,0.875,,0.276,0.0239,,,921.0,1571.0
05 Calaveras,C-IV,August,2015.0,2015.0,2015/16,,,,,,,2913.0,5462.0,,,,,,,,,,,,1.0,,0.276,0.0239,,,89.0,159.0
06 Colusa,C-IV,August,2015.0,2015.0,2015/16,,,,,,,645.0,1506.0,,,,,,,,,,,,0.9565,,0.276,0.0239,,,116.0,252.0
07 Contra Costa,CalWIN,August,2015.0,2015.0,2015/16,,,,,,,35924.0,72366.0,,,,,,,,,,,,0.9685,,0.462,0.0234,,,5304.0,10647.0
08 Del Norte,C-IV,August,2015.0,2015.0,2015/16,,,,,,,2521.0,5191.0,,,,,,,,,,,,0.9899,,0.276,0.0239,,,134.0,229.0
09 El Dorado,C-IV,August,2015.0,2015.0,2015/16,,,,,,,7302.0,13117.0,,,,,,,,,,,,1.0,,0.276,0.0239,,,401.0,793.0
10 Fresno,CalWIN,August,2015.0,2015.0,2015/16,,,,,,,103750.0,241298.0,,,,,,,,,,,,0.9548,,0.263,0.0254,,,13798.0,30666.0
11 Glenn,C-IV,August,2015.0,2015.0,2015/16,,,,,,,1505.0,3553.0,,,,,,,,,,,,1.0,,0.276,0.0239,,,204.0,457.0
12 Humboldt,C-IV,August,2015.0,2015.0,2015/16,,,,,,,12055.0,21035.0,,,,,,,,,,,,0.998,,0.276,0.0239,,,667.0,1223.0
13 Imperial,C-IV,August,2015.0,2015.0,2015/16,,,,,,,17504.0,43873.0,,,,,,,,,,,,0.9702,,0.276,0.0239,,,968.0,1866.0
14 Inyo,C-IV,August,2015.0,2015.0,2015/16,,,,,,,1048.0,2049.0,,,,,,,,,,,,1.0,,0.276,0.0239,,,81.0,167.0
