,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,American Indian/Alaskan Native,,,,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,Total,
,,Black,,,Hispanic,,Asian Pacific Islander,,,,,,,White,,,Filipino,,,Other,,Total,Total,,,Chinese,,,Cambodian,,,Japanese,,,Korean,,,Samoan,,,Asian Indian,,,Hawaiian,,,Guamanian,,,Laotian,,,Vietnamese,,Asian-Pacific Islander,,,Pacific-Islander,,
,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total
Statewide,60258.0,83765.0,144023.0,131474.0,155539.0,287013.0,21667.0,26019.0,47686.0,1810.0,2605.0,4415.0,70506.0,92072.0,162578.0,1983.0,3135.0,5118.0,5145.0,3585.0,8730.0,292843.0,366720.0,659563.0,2446.0,4420.0,6866.0,4366.0,3647.0,8013.0,95.0,211.0,306.0,343.0,970.0,1313.0,710.0,718.0,1428.0,418.0,652.0,1070.0,136.0,189.0,325.0,180.0,175.0,355.0,2089.0,1695.0,3784.0,6935.0,10620.0,17555.0,3949.0,2722.0,6671.0,21667.0,26019.0,47686.0
Alameda,6507.0,4445.0,10952.0,2138.0,1461.0,3599.0,2004.0,1369.0,3373.0,47.0,32.0,79.0,2607.0,1781.0,4388.0,265.0,181.0,446.0,31.0,21.0,52.0,13599.0,9290.0,22889.0,786.0,537.0,1323.0,210.0,143.0,353.0,8.0,6.0,14.0,34.0,23.0,57.0,19.0,13.0,32.0,89.0,61.0,150.0,6.0,4.0,10.0,11.0,8.0,19.0,35.0,24.0,59.0,633.0,432.0,1065.0,173.0,118.0,291.0,2004.0,1369.0,3373.0
Alpine,0.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,15.0,17.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,0.0,2.0,2.0,6.0,14.0,20.0,0.0,0.0,0.0,7.0,7.0,14.0,107.0,269.0,376.0,0.0,1.0,1.0,0.0,0.0,0.0,120.0,293.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butte,107.0,141.0,248.0,149.0,515.0,664.0,172.0,321.0,493.0,58.0,87.0,145.0,1773.0,2548.0,4321.0,5.0,7.0,12.0,0.0,0.0,0.0,2264.0,3619.0,5883.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,5.0,7.0,6.0,6.0,12.0,2.0,2.0,4.0,132.0,262.0,394.0,0.0,4.0,4.0,26.0,35.0,61.0,172.0,321.0,493.0
Calaveras,1.0,4.0,5.0,11.0,22.0,33.0,2.0,1.0,3.0,6.0,8.0,14.0,184.0,394.0,578.0,1.0,0.0,1.0,0.0,0.0,0.0,205.0,429.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
Colusa,2.0,4.0,6.0,31.0,163.0,194.0,0.0,6.0,6.0,5.0,7.0,12.0,44.0,110.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,290.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
