,,,,,,,,,,,,,,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,
,,,,,,,, ,,American Indian/Alaskan Native,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,Total,,
,,Black,,,Hispanic,,Asian Pacific Islander,,,,,,,White,,,Filipino,,,Other,,Total,Total,,,Chinese,,,Cambodian,,,Japanese,,,Korean,,,Samoan,,,Asian Indian,,,Hawaiian,,,Guamanian,,,Laotian,,,Vietnamese,,Asian-Pacific Islander,,,Pacific-Islander,,
,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total
Fresno,2282.0,1166.0,3448.0,10269.0,5319.0,15588.0,4167.0,2148.0,6315.0,128.0,66.0,194.0,2896.0,1521.0,4417.0,35.0,19.0,54.0,0.0,0.0,0.0,19777.0,10239.0,30016.0,50.0,8.0,58.0,1099.0,566.0,1665.0,8.0,3.0,11.0,3.0,1.0,4.0,52.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,296.0,683.0,138.0,21.0,159.0,2430.0,1251.0,3681.0,4167.0,2148.0,6315.0
Glenn,5.0,10.0,15.0,33.0,161.0,194.0,26.0,35.0,61.0,9.0,19.0,28.0,154.0,242.0,396.0,0.0,1.0,1.0,0.0,0.0,0.0,227.0,468.0,695.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,46.0,3.0,1.0,4.0,0.0,7.0,7.0,26.0,35.0,61.0
Humboldt,33.0,40.0,73.0,55.0,113.0,168.0,44.0,57.0,101.0,184.0,249.0,433.0,996.0,1984.0,2980.0,1.0,6.0,7.0,0.0,0.0,0.0,1313.0,2449.0,3762.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,5.0,7.0,0.0,1.0,1.0,29.0,34.0,63.0,3.0,3.0,6.0,3.0,3.0,6.0,44.0,57.0,101.0
Imperial,55.0,76.0,131.0,1513.0,3049.0,4562.0,2.0,2.0,4.0,19.0,31.0,50.0,171.0,277.0,448.0,3.0,5.0,8.0,0.0,0.0,0.0,1763.0,3440.0,5203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0
Inyo,0.0,0.0,0.0,7.0,28.0,35.0,1.0,2.0,3.0,4.0,55.0,59.0,51.0,151.0,202.0,0.0,1.0,1.0,0.0,0.0,0.0,63.0,237.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
Kern ,1507.0,980.0,2487.0,2929.0,6865.0,9794.0,90.0,95.0,185.0,55.0,44.0,99.0,2921.0,3186.0,6107.0,39.0,96.0,135.0,0.0,0.0,0.0,7541.0,11266.0,18807.0,1.0,3.0,4.0,38.0,19.0,57.0,2.0,1.0,3.0,4.0,5.0,9.0,4.0,5.0,9.0,8.0,31.0,39.0,10.0,1.0,11.0,4.0,4.0,8.0,4.0,3.0,7.0,7.0,7.0,14.0,8.0,16.0,24.0,90.0,95.0,185.0
Kings,195.0,227.0,422.0,660.0,1526.0,2186.0,18.0,16.0,34.0,7.0,11.0,18.0,396.0,607.0,1003.0,9.0,19.0,28.0,0.0,0.0,0.0,1285.0,2406.0,3691.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,10.0,21.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0,16.0,34.0
Lake,73.0,65.0,138.0,48.0,146.0,194.0,6.0,8.0,14.0,46.0,52.0,98.0,758.0,945.0,1703.0,3.0,8.0,11.0,0.0,0.0,0.0,934.0,1224.0,2158.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,14.0
Lassen,9.0,9.0,18.0,16.0,39.0,55.0,2.0,1.0,3.0,36.0,14.0,50.0,198.0,290.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,353.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0
Los Angeles  ,28371.0,53410.0,81781.0,64500.0,68708.0,133208.0,6200.0,5444.0,11644.0,76.0,425.0,501.0,15034.0,19984.0,35018.0,487.0,727.0,1214.0,1552.0,2649.0,4201.0,116220.0,151347.0,267567.0,1075.0,913.0,1988.0,1648.0,1321.0,2969.0,24.0,63.0,87.0,201.0,492.0,693.0,271.0,294.0,565.0,57.0,107.0,164.0,33.0,54.0,87.0,10.0,17.0,27.0,46.0,70.0,116.0,2293.0,1603.0,3896.0,542.0,510.0,1052.0,6200.0,5444.0,11644.0
Madera,109.0,100.0,209.0,720.0,2182.0,2902.0,4.0,4.0,8.0,19.0,22.0,41.0,509.0,686.0,1195.0,1.0,4.0,5.0,0.0,0.0,0.0,1362.0,2998.0,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0
Marin,92.0,104.0,196.0,70.0,210.0,280.0,55.0,63.0,118.0,4.0,11.0,15.0,179.0,618.0,797.0,1.0,6.0,7.0,0.0,0.0,0.0,401.0,1012.0,1413.0,2.0,5.0,7.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,0.0,1.0,4.0,6.0,10.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,37.0,35.0,72.0,6.0,6.0,12.0,55.0,63.0,118.0
Mariposa,1.0,1.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,5.0,10.0,15.0,83.0,173.0,256.0,0.0,1.0,1.0,0.0,0.0,0.0,89.0,191.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Mendocino,9.0,24.0,33.0,59.0,292.0,351.0,3.0,14.0,17.0,97.0,123.0,220.0,640.0,1249.0,1889.0,0.0,1.0,1.0,0.0,0.0,0.0,808.0,1703.0,2511.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,14.0,17.0
Merced ,348.0,301.0,649.0,1968.0,1943.0,3911.0,528.0,321.0,849.0,32.0,25.0,57.0,1050.0,1021.0,2071.0,10.0,10.0,20.0,0.0,0.0,0.0,3936.0,3621.0,7557.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,3.0,3.0,9.0,12.0,21.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,191.0,112.0,303.0,1.0,4.0,5.0,320.0,185.0,505.0,528.0,321.0,849.0
Modoc,0.0,1.0,1.0,5.0,39.0,44.0,0.0,0.0,0.0,13.0,6.0,19.0,84.0,127.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,173.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,0.0,1.0,1.0,1.0,9.0,10.0,1.0,0.0,1.0,8.0,7.0,15.0,20.0,76.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,93.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
