county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
Merced,4248.0,21.0,0.0,6929.0,31.0,5.0,11177.0,52.0,5.0,11753.0,19046.0,30799.0,55.0,21.0,106.0,33.0,161.0,54.0,0.0,6.0,6.0,0.0,0.0,0.0,11954.0,11954.0,0.0,3112689.0,4928.0,3117617.0,2007,SEP,3.0,2007-09-01
Modoc,75.0,0.0,0.0,179.0,1.0,0.0,254.0,1.0,0.0,207.0,427.0,634.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,254.0,0.0,65179.0,48.0,65227.0,2007,SEP,3.0,2007-09-01
Mono,11.0,0.0,0.0,90.0,0.0,0.0,101.0,0.0,0.0,24.0,195.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,0.0,24449.0,0.0,24449.0,2007,SEP,3.0,2007-09-01
Monterey,1544.0,1.0,0.0,5713.0,34.0,5.0,7257.0,35.0,5.0,4258.0,13501.0,17759.0,3.0,1.0,115.0,34.0,118.0,35.0,0.0,5.0,5.0,0.0,0.0,0.0,7977.0,7977.0,0.0,1823317.0,3308.0,1826625.0,2007,SEP,3.0,2007-09-01
Napa,223.0,0.0,0.0,963.0,3.0,2.0,1186.0,3.0,2.0,579.0,2159.0,2738.0,0.0,0.0,7.0,4.0,7.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1308.0,1308.0,0.0,278575.0,475.0,279050.0,2007,SEP,3.0,2007-09-01
Nevada,340.0,0.0,0.0,985.0,0.0,0.0,1325.0,0.0,0.0,870.0,1988.0,2858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,1450.0,0.0,309853.0,0.0,309853.0,2007,SEP,3.0,2007-09-01
Orange,8764.0,103.0,0.0,22740.0,556.0,233.0,31504.0,659.0,233.0,22590.0,57011.0,79601.0,219.0,116.0,1358.0,703.0,1577.0,819.0,0.0,292.0,292.0,0.0,0.0,0.0,37326.0,37326.0,0.0,8245207.0,84302.0,8329509.0,2007,SEP,3.0,2007-09-01
Placer,949.0,15.0,0.0,2247.0,18.0,11.0,3196.0,33.0,11.0,2476.0,5262.0,7738.0,37.0,22.0,63.0,26.0,100.0,48.0,0.0,14.0,14.0,0.0,0.0,0.0,3595.0,3595.0,0.0,823082.0,4045.0,827127.0,2007,SEP,3.0,2007-09-01
Plumas,87.0,0.0,0.0,196.0,0.0,0.0,283.0,0.0,0.0,221.0,466.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,292.0,0.0,68101.0,0.0,68101.0,2007,SEP,3.0,2007-09-01
Riverside,12457.0,107.0,5.0,20233.0,326.0,83.0,32690.0,433.0,88.0,34707.0,58398.0,93105.0,307.0,116.0,1002.0,376.0,1309.0,492.0,5.0,108.0,113.0,0.0,0.0,0.0,35657.0,35657.0,0.0,9411483.0,50142.0,9461625.0,2007,SEP,3.0,2007-09-01
Sacramento,16391.0,594.0,2.0,30156.0,483.0,188.0,46547.0,1077.0,190.0,41887.0,75578.0,117465.0,1426.0,914.0,1359.0,713.0,2785.0,1627.0,3.0,255.0,258.0,0.0,0.0,0.0,53512.0,53512.0,0.0,13286045.0,133704.0,13419749.0,2007,SEP,3.0,2007-09-01
San Benito,276.0,0.0,0.0,1091.0,5.0,1.0,1367.0,5.0,1.0,809.0,2474.0,3283.0,0.0,0.0,17.0,5.0,17.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1373.0,1373.0,0.0,349812.0,486.0,350298.0,2007,SEP,3.0,2007-09-01
San Bernardino,19199.0,169.0,5.0,33578.0,458.0,238.0,52777.0,627.0,243.0,53036.0,96449.0,149485.0,451.0,180.0,1398.0,520.0,1849.0,700.0,6.0,311.0,317.0,0.0,0.0,0.0,59009.0,59009.0,0.0,15694060.0,98047.0,15792107.0,2007,SEP,3.0,2007-09-01
San Diego,14605.0,233.0,5.0,21018.0,363.0,170.0,35623.0,596.0,175.0,39171.0,54800.0,93971.0,599.0,275.0,1041.0,441.0,1640.0,716.0,5.0,227.0,232.0,0.0,0.0,0.0,41162.0,41162.0,0.0,9966649.0,78363.0,10045012.0,2007,SEP,3.0,2007-09-01
San Francisco,2954.0,80.0,2.0,15810.0,241.0,320.0,18764.0,321.0,322.0,6686.0,22870.0,29556.0,146.0,94.0,516.0,319.0,662.0,413.0,3.0,430.0,433.0,0.0,0.0,0.0,20994.0,20994.0,0.0,3423921.0,78644.0,3502565.0,2007,SEP,3.0,2007-09-01
San Joaquin,6011.0,7.0,0.0,15075.0,241.0,72.0,21086.0,248.0,72.0,16702.0,40852.0,57554.0,22.0,7.0,483.0,241.0,505.0,248.0,0.0,94.0,94.0,0.0,0.0,0.0,22950.0,22950.0,0.0,6069492.0,12800.0,6082292.0,2007,SEP,3.0,2007-09-01
San Luis Obispo,1060.0,5.0,0.0,2750.0,22.0,9.0,3810.0,27.0,9.0,2533.0,5631.0,8164.0,9.0,5.0,57.0,22.0,66.0,27.0,0.0,10.0,10.0,0.0,0.0,0.0,4332.0,4332.0,0.0,847425.0,2836.0,850261.0,2007,SEP,3.0,2007-09-01
San Mateo,1298.0,24.0,0.0,2540.0,56.0,10.0,3838.0,80.0,10.0,3079.0,5239.0,8318.0,57.0,27.0,167.0,59.0,224.0,86.0,0.0,12.0,12.0,0.0,0.0,0.0,4482.0,4482.0,0.0,910321.0,6622.0,916943.0,2007,SEP,3.0,2007-09-01
Santa Barbara,3239.0,19.0,0.0,4270.0,33.0,4.0,7509.0,52.0,4.0,6090.0,11780.0,17870.0,53.0,19.0,99.0,35.0,152.0,54.0,0.0,4.0,4.0,0.0,0.0,0.0,8265.0,8265.0,0.0,1813317.0,3404.0,1816721.0,2007,SEP,3.0,2007-09-01
Santa Clara,8279.0,114.0,2.0,16898.0,323.0,411.0,25177.0,437.0,413.0,20548.0,38773.0,59321.0,247.0,142.0,696.0,445.0,943.0,587.0,2.0,555.0,557.0,0.0,0.0,0.0,28708.0,28708.0,0.0,6279991.0,112455.0,6392446.0,2007,SEP,3.0,2007-09-01
Santa Cruz,1364.0,7.0,0.0,4071.0,46.0,8.0,5435.0,53.0,8.0,3132.0,8158.0,11290.0,12.0,6.0,144.0,49.0,156.0,55.0,0.0,10.0,10.0,0.0,0.0,0.0,6201.0,6201.0,0.0,1223567.0,4783.0,1228350.0,2007,SEP,3.0,2007-09-01
Shasta,1493.0,0.0,0.0,4675.0,3.0,4.0,6168.0,3.0,4.0,3735.0,10321.0,14056.0,0.0,0.0,6.0,5.0,6.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,6717.0,6717.0,0.0,1457819.0,828.0,1458647.0,2007,SEP,3.0,2007-09-01
Sierra,16.0,0.0,0.0,59.0,0.0,0.0,75.0,0.0,0.0,37.0,112.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,15596.0,0.0,15596.0,2007,SEP,3.0,2007-09-01
Siskiyou,479.0,0.0,0.0,1137.0,5.0,4.0,1616.0,5.0,4.0,1269.0,2488.0,3757.0,0.0,0.0,16.0,5.0,16.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,1727.0,1727.0,0.0,386816.0,1332.0,388148.0,2007,SEP,3.0,2007-09-01
Solano,3432.0,35.0,0.0,5653.0,47.0,28.0,9085.0,82.0,28.0,8586.0,12242.0,20828.0,105.0,37.0,127.0,54.0,232.0,91.0,0.0,35.0,35.0,0.0,0.0,0.0,10190.0,10190.0,0.0,2276104.0,13993.0,2290097.0,2007,SEP,3.0,2007-09-01
Sonoma,1883.0,11.0,0.0,4998.0,33.0,28.0,6881.0,44.0,28.0,4345.0,9479.0,13824.0,25.0,12.0,100.0,35.0,125.0,47.0,0.0,34.0,34.0,0.0,0.0,0.0,7635.0,7635.0,0.0,1535699.68,7897.32,1543597.0,2007,SEP,3.0,2007-09-01
Stanislaus,5958.0,32.0,2.0,10984.0,70.0,11.0,16942.0,102.0,13.0,15323.0,27468.0,42791.0,73.0,34.0,220.0,80.0,293.0,114.0,2.0,14.0,16.0,0.0,0.0,0.0,18447.0,18447.0,0.0,4540404.0,10800.0,4551204.0,2007,SEP,3.0,2007-09-01
Sutter,569.0,0.0,0.0,1858.0,9.0,3.0,2427.0,9.0,3.0,1612.0,4759.0,6371.0,0.0,0.0,32.0,12.0,32.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,2591.0,2591.0,0.0,650716.0,1157.0,651873.0,2007,SEP,3.0,2007-09-01
Tehama,611.0,4.0,0.0,1725.0,10.0,4.0,2336.0,14.0,4.0,1595.0,4111.0,5706.0,14.0,4.0,29.0,13.0,43.0,17.0,0.0,5.0,5.0,0.0,0.0,0.0,2550.0,2550.0,0.0,595611.0,1913.0,597524.0,2007,SEP,3.0,2007-09-01
Trinity,96.0,0.0,0.0,334.0,0.0,0.0,430.0,0.0,0.0,249.0,792.0,1041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,430.0,0.0,109033.0,0.0,109033.0,2007,SEP,3.0,2007-09-01
Tulare,7702.0,67.0,0.0,16117.0,319.0,82.0,23819.0,386.0,82.0,20861.0,41339.0,62200.0,157.0,69.0,1032.0,338.0,1189.0,407.0,0.0,99.0,99.0,0.0,0.0,0.0,26274.0,26274.0,0.0,6474583.0,41984.0,6516567.0,2007,SEP,3.0,2007-09-01
Tuolumne,458.0,0.0,0.0,808.0,0.0,1.0,1266.0,0.0,1.0,1216.0,1607.0,2823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1339.0,1339.0,0.0,285884.0,345.0,286229.0,2007,SEP,3.0,2007-09-01
Ventura,3609.0,32.0,4.0,9457.0,143.0,100.0,13066.0,175.0,104.0,9432.0,21400.0,30832.0,76.0,36.0,390.0,154.0,466.0,190.0,12.0,120.0,132.0,0.0,0.0,0.0,14784.0,14784.0,0.0,3309699.0,28841.0,3338540.0,2007,SEP,3.0,2007-09-01
Yolo,1167.0,32.0,2.0,2752.0,48.0,35.0,3919.0,80.0,37.0,2992.0,6387.0,9379.0,83.0,44.0,135.0,60.0,218.0,104.0,6.0,51.0,57.0,0.0,0.0,0.0,4530.0,4530.0,0.0,1042214.0,14911.0,1057125.0,2007,SEP,3.0,2007-09-01
Yuba,760.0,0.0,0.0,2620.0,12.0,5.0,3380.0,12.0,5.0,2144.0,6472.0,8616.0,0.0,0.0,36.0,15.0,36.0,15.0,0.0,13.0,13.0,0.0,0.0,0.0,3663.0,3663.0,0.0,894351.0,2272.0,896623.0,2007,SEP,3.0,2007-09-01
