county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
Solano,2742.0,72.0,2.0,1384.0,16.0,40.0,4126.0,88.0,42.0,7939.0,2657.0,10596.0,189.0,87.0,41.0,16.0,230.0,103.0,4.0,51.0,55.0,560.0,0.0,3836.0,4396.0,800744.0,18865.0,4417.0,6172.0,819609.0,10589.0,830198.0,2002,SEP,3.0,2002-09-01
Sonoma,1560.0,12.0,0.0,2264.0,98.0,32.0,3824.0,110.0,32.0,3654.0,4223.0,7877.0,21.0,15.0,260.0,121.0,281.0,136.0,0.0,53.0,53.0,2649.0,0.0,1740.0,4389.0,622310.0,29362.0,6204.0,4612.0,651672.0,10816.0,662488.0,2002,SEP,3.0,2002-09-01
Stanislaus,5512.0,239.0,10.0,3999.0,244.0,39.0,9511.0,483.0,49.0,17250.0,12295.0,29545.0,713.0,285.0,736.0,323.0,1449.0,608.0,28.0,71.0,99.0,0.0,10573.0,0.0,10573.0,2105094.0,112486.0,23938.0,8215.0,2217580.0,32153.0,2249733.0,2002,SEP,3.0,2002-09-01
Sutter,474.0,25.0,0.0,921.0,30.0,4.0,1395.0,55.0,4.0,1375.0,2356.0,3731.0,81.0,28.0,100.0,36.0,181.0,64.0,0.0,4.0,4.0,1208.0,0.0,376.0,1584.0,286727.0,13541.0,2168.0,198.0,300268.0,2366.0,302634.0,2002,SEP,3.0,2002-09-01
Tehama,693.0,23.0,0.0,1116.0,41.0,9.0,1809.0,64.0,9.0,1739.0,2465.0,4204.0,68.0,26.0,127.0,44.0,195.0,70.0,0.0,9.0,9.0,1876.0,0.0,0.0,1876.0,312444.0,12525.0,4400.0,1035.0,324969.0,5435.0,330404.0,2002,SEP,3.0,2002-09-01
Trinity,118.0,0.0,0.0,178.0,0.0,1.0,296.0,0.0,1.0,324.0,391.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,217.0,0.0,80.0,297.0,57778.0,0.0,0.0,135.0,57778.0,135.0,57913.0,2002,SEP,3.0,2002-09-01
Tulare,9152.0,738.0,9.0,5069.0,515.0,81.0,14221.0,1253.0,90.0,28296.0,12818.0,41114.0,2209.0,934.0,1238.0,1198.0,3447.0,2132.0,29.0,395.0,424.0,2.0,15930.0,0.0,15932.0,2989974.0,278766.0,59771.0,15416.0,3268740.0,75187.0,3343927.0,2002,SEP,3.0,2002-09-01
Tuolumne,375.0,0.0,0.0,457.0,0.0,0.0,832.0,0.0,0.0,1043.0,979.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,885.0,0.0,889.0,149486.0,0.0,0.0,0.0,149486.0,0.0,149486.0,2002,SEP,3.0,2002-09-01
Ventura,3351.0,141.0,53.0,4388.0,267.0,149.0,7739.0,408.0,202.0,9132.0,10862.0,19994.0,366.0,148.0,736.0,337.0,1102.0,485.0,157.0,198.0,355.0,85.0,8478.0,0.0,8563.0,1458667.0,82494.0,17235.0,23541.0,1541161.0,40776.0,1581937.0,2002,SEP,3.0,2002-09-01
Yolo,1401.0,122.0,17.0,678.0,21.0,17.0,2079.0,143.0,34.0,4026.0,1305.0,5331.0,311.0,244.0,51.0,34.0,362.0,278.0,45.0,37.0,82.0,0.0,0.0,2256.0,2256.0,407399.0,22101.0,19030.0,6765.0,429500.0,25795.0,455295.0,2002,SEP,3.0,2002-09-01
Yuba,1112.0,45.0,0.0,1256.0,31.0,9.0,2368.0,76.0,9.0,3616.0,3129.0,6745.0,292.0,54.0,172.0,41.0,464.0,95.0,0.0,9.0,9.0,2188.0,0.0,572.0,2760.0,501289.0,28299.0,6024.0,3219.0,529588.0,9243.0,538831.0,2002,SEP,3.0,2002-09-01
