county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
San Mateo,1097.0,40.0,3.0,1373.0,53.0,37.0,2470.0,93.0,40.0,2659.0,2858.0,5517.0,87.0,47.0,127.0,56.0,214.0,103.0,6.0,58.0,64.0,11.0,2907.0,0.0,2918.0,439976.0,19858.0,5610.0,5891.0,459834.0,11501.0,471335.0,2002,JUL,2603.0,3.0,2002-07-01
Santa Barbara,2853.0,130.0,12.0,2384.0,155.0,30.0,5237.0,285.0,42.0,6852.0,5982.0,12834.0,320.0,151.0,399.0,188.0,719.0,339.0,25.0,37.0,62.0,6120.0,0.0,0.0,6120.0,929705.0,68295.0,20478.0,6180.0,998000.0,26658.0,1024658.0,2002,JUL,5564.0,3.0,2002-07-01
Santa Clara,7307.0,662.0,20.0,5751.0,987.0,751.0,13058.0,1649.0,771.0,20627.0,12779.0,33406.0,1665.0,793.0,2466.0,1319.0,4131.0,2112.0,49.0,1044.0,1093.0,121.0,15667.0,0.0,15788.0,2492337.0,303849.0,91745.0,140093.0,2796186.0,231838.0,3028024.0,2002,JUL,15478.0,3.0,2002-07-01
Santa Cruz,1167.0,55.0,1.0,1741.0,54.0,10.0,2908.0,109.0,11.0,2733.0,3717.0,6450.0,108.0,57.0,90.0,65.0,198.0,122.0,1.0,10.0,11.0,3272.0,147.0,0.0,3419.0,503438.0,21292.0,6913.0,1265.0,524730.0,8178.0,532908.0,2002,JUL,3028.0,3.0,2002-07-01
Shasta,1854.0,47.0,0.0,2390.0,48.0,10.0,4244.0,95.0,10.0,5120.0,5267.0,10387.0,147.0,59.0,140.0,59.0,287.0,118.0,0.0,10.0,10.0,4959.0,0.0,419.0,5378.0,863228.0,22252.0,5150.0,1593.0,885480.0,6743.0,892223.0,2002,JUL,4349.0,3.0,2002-07-01
Sierra,16.0,0.0,0.0,27.0,0.0,0.0,43.0,0.0,0.0,41.0,55.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,6964.0,0.0,0.0,0.0,6964.0,0.0,6964.0,2002,JUL,43.0,3.0,2002-07-01
Siskiyou,479.0,4.0,0.0,773.0,8.0,0.0,1252.0,12.0,0.0,1356.0,1745.0,3101.0,10.0,4.0,18.0,12.0,28.0,16.0,0.0,0.0,0.0,1102.0,0.0,230.0,1332.0,227439.0,2444.0,919.0,0.0,229883.0,919.0,230802.0,2002,JUL,1264.0,3.0,2002-07-01
Solano,2793.0,75.0,2.0,1343.0,16.0,36.0,4136.0,91.0,38.0,7974.0,2518.0,10492.0,188.0,86.0,35.0,18.0,223.0,104.0,4.0,43.0,47.0,603.0,0.0,3812.0,4415.0,790374.0,20416.0,3818.0,5343.0,810790.0,9161.0,819951.0,2002,JUL,4265.0,3.0,2002-07-01
Sonoma,1561.0,27.0,1.0,2191.0,89.0,29.0,3752.0,116.0,30.0,3665.0,4096.0,7761.0,48.0,27.0,236.0,112.0,284.0,139.0,1.0,44.0,45.0,2570.0,0.0,1708.0,4278.0,608324.0,29732.0,5295.0,4070.0,638056.0,9365.0,647421.0,2002,JUL,3898.0,3.0,2002-07-01
Stanislaus,5638.0,259.0,7.0,3985.0,225.0,40.0,9623.0,484.0,47.0,17769.0,12292.0,30061.0,781.0,315.0,694.0,305.0,1475.0,620.0,19.0,73.0,92.0,0.0,10651.0,0.0,10651.0,2125034.0,112225.0,31011.0,7627.0,2237259.0,38638.0,2275897.0,2002,JUL,10154.0,3.0,2002-07-01
Sutter,472.0,23.0,0.0,979.0,53.0,6.0,1451.0,76.0,6.0,1400.0,2527.0,3927.0,82.0,26.0,163.0,62.0,245.0,88.0,0.0,6.0,6.0,1262.0,0.0,418.0,1680.0,306483.0,17833.0,2364.0,471.0,324316.0,2835.0,327151.0,2002,JUL,1533.0,3.0,2002-07-01
Tehama,687.0,22.0,0.0,1198.0,44.0,8.0,1885.0,66.0,8.0,1770.0,2596.0,4366.0,63.0,23.0,124.0,47.0,187.0,70.0,0.0,11.0,11.0,1954.0,0.0,0.0,1954.0,325278.0,11920.0,4409.0,1135.0,337198.0,5544.0,342742.0,2002,JUL,1959.0,3.0,2002-07-01
Trinity,121.0,0.0,0.0,164.0,0.0,1.0,285.0,0.0,1.0,348.0,364.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,202.0,0.0,84.0,286.0,59613.0,0.0,0.0,135.0,59613.0,135.0,59748.0,2002,JUL,286.0,3.0,2002-07-01
Tulare,9141.0,728.0,6.0,4969.0,516.0,89.0,14110.0,1244.0,95.0,28271.0,12555.0,40826.0,2246.0,1572.0,1292.0,1344.0,3538.0,2916.0,20.0,436.0,456.0,2.0,15868.0,0.0,15870.0,2900907.0,257033.0,61991.0,15736.0,3157940.0,77727.0,3235667.0,2002,JUL,15449.0,3.0,2002-07-01
Tuolumne,389.0,0.0,0.0,448.0,0.0,0.0,837.0,0.0,0.0,1057.0,982.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,903.0,0.0,907.0,149051.0,0.0,0.0,0.0,149051.0,0.0,149051.0,2002,JUL,837.0,3.0,2002-07-01
Ventura,3282.0,149.0,31.0,4210.0,260.0,152.0,7492.0,409.0,183.0,8877.0,10231.0,19108.0,387.0,151.0,730.0,313.0,1117.0,464.0,91.0,201.0,292.0,73.0,8104.0,0.0,8177.0,1339972.0,77685.0,16298.0,26948.0,1417657.0,43246.0,1460903.0,2002,JUL,8084.0,3.0,2002-07-01
Yolo,1562.0,127.0,18.0,817.0,30.0,17.0,2379.0,157.0,35.0,4605.0,1630.0,6235.0,326.0,255.0,59.0,41.0,385.0,296.0,47.0,38.0,85.0,0.0,0.0,2571.0,2571.0,479123.0,24150.0,20441.0,7008.0,503273.0,27449.0,530722.0,2002,JUL,2571.0,3.0,2002-07-01
Yuba,1096.0,54.0,0.0,1283.0,34.0,9.0,2379.0,88.0,9.0,3721.0,3207.0,6928.0,336.0,66.0,182.0,40.0,518.0,106.0,0.0,9.0,9.0,2181.0,0.0,526.0,2707.0,496875.0,31431.0,6993.0,1028.0,528306.0,8021.0,536327.0,2002,JUL,2476.0,3.0,2002-07-01
