county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Santa Cruz,1456.0,4.0,0.0,8383.0,53.0,10.0,9839.0,57.0,10.0,3562.0,16344.0,19906.0,8.0,4.0,151.0,58.0,159.0,62.0,0.0,10.0,10.0,0.0,0.0,0.0,11361.0,11361.0,0.0,3047804.0,8573.0,3056377.0,2011,DEC,9906.0,4.0,2011-12-01
Shasta,1917.0,2.0,0.0,10037.0,19.0,12.0,11954.0,21.0,12.0,4868.0,19429.0,24297.0,3.0,2.0,44.0,22.0,47.0,24.0,0.0,19.0,19.0,0.0,0.0,0.0,12808.0,12808.0,0.0,3542120.0,5893.0,3548013.0,2011,DEC,11987.0,4.0,2011-12-01
Sierra,17.0,0.0,0.0,106.0,0.0,0.0,123.0,0.0,0.0,51.0,206.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,38325.0,0.0,38325.0,2011,DEC,123.0,4.0,2011-12-01
Siskiyou,472.0,2.0,0.0,2120.0,3.0,1.0,2592.0,5.0,1.0,1228.0,4669.0,5897.0,5.0,2.0,7.0,3.0,12.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2853.0,2853.0,0.0,862582.0,797.0,863379.0,2011,DEC,2598.0,4.0,2011-12-01
Solano,3508.0,24.0,0.0,15453.0,165.0,42.0,18961.0,189.0,42.0,8558.0,30052.0,38610.0,67.0,29.0,422.0,183.0,489.0,212.0,0.0,51.0,51.0,0.0,0.0,0.0,21074.0,21074.0,0.0,6013881.21,33458.79,6047340.0,2011,DEC,19192.0,4.0,2011-12-01
Sonoma,2432.0,37.0,0.0,13946.0,174.0,54.0,16378.0,211.0,54.0,5816.0,25249.0,31065.0,88.0,38.0,460.0,204.0,548.0,242.0,0.0,63.0,63.0,0.0,0.0,0.0,18015.0,18015.0,0.0,4787932.99,35412.29,4823345.28,2011,DEC,16643.0,4.0,2011-12-01
Stanislaus,7378.0,21.0,1.0,30009.0,135.0,24.0,37387.0,156.0,25.0,19675.0,64578.0,84253.0,53.0,23.0,383.0,145.0,436.0,168.0,1.0,36.0,37.0,0.0,0.0,0.0,39969.0,39969.0,0.0,12472756.0,27923.0,12500679.0,2011,DEC,37568.0,4.0,2011-12-01
Sutter,894.0,9.0,1.0,3737.0,39.0,7.0,4631.0,48.0,8.0,2440.0,8877.0,11317.0,18.0,11.0,117.0,47.0,135.0,58.0,1.0,9.0,10.0,0.0,0.0,0.0,5023.0,5023.0,0.0,1635901.65,8505.58,1644407.23,2011,DEC,4687.0,4.0,2011-12-01
Tehama,764.0,8.0,1.0,3134.0,35.0,3.0,3898.0,43.0,4.0,2060.0,7029.0,9089.0,20.0,10.0,93.0,40.0,113.0,50.0,2.0,3.0,5.0,0.0,0.0,0.0,4308.0,4308.0,0.0,1340759.0,7486.0,1348245.0,2011,DEC,3945.0,4.0,2011-12-01
Trinity,86.0,0.0,0.0,623.0,1.0,1.0,709.0,1.0,1.0,212.0,1276.0,1488.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,784.0,784.0,0.0,218622.0,534.0,219156.0,2011,DEC,711.0,4.0,2011-12-01
Tulare,8882.0,70.0,0.0,32076.0,474.0,122.0,40958.0,544.0,122.0,24181.0,80263.0,104444.0,174.0,71.0,1411.0,529.0,1585.0,600.0,0.0,152.0,152.0,0.0,0.0,0.0,46243.0,46243.0,0.0,15479996.0,91633.0,15571629.0,2011,DEC,41624.0,4.0,2011-12-01
Tuolumne,367.0,0.0,0.0,2333.0,6.0,1.0,2700.0,6.0,1.0,909.0,4209.0,5118.0,0.0,0.0,16.0,6.0,16.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2863.0,2863.0,0.0,754630.0,1193.0,755823.0,2011,DEC,2707.0,4.0,2011-12-01
Ventura,3995.0,26.0,0.0,25961.0,174.0,26.0,29956.0,200.0,26.0,10129.0,52304.0,62433.0,56.0,32.0,489.0,201.0,545.0,233.0,0.0,32.0,32.0,0.0,0.0,0.0,32362.0,32362.0,0.0,9194813.76,25823.18,9220636.94,2011,DEC,30182.0,4.0,2011-12-01
Yolo,1101.0,47.0,0.0,6064.0,101.0,56.0,7165.0,148.0,56.0,2846.0,12788.0,15634.0,106.0,71.0,269.0,124.0,375.0,195.0,0.0,74.0,74.0,0.0,0.0,0.0,8008.0,8008.0,0.0,2368210.42,34435.0,2402645.42,2011,DEC,7369.0,4.0,2011-12-01
Yuba,991.0,4.0,0.0,4552.0,23.0,12.0,5543.0,27.0,12.0,2632.0,10054.0,12686.0,8.0,4.0,66.0,25.0,74.0,29.0,0.0,14.0,14.0,0.0,0.0,0.0,5968.0,5968.0,0.0,1880950.0,6320.0,1887270.0,2011,DEC,5582.0,4.0,2011-12-01
