county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
Calaveras,213.0,0.0,0.0,456.0,0.0,0.0,669.0,0.0,0.0,560.0,925.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,156.0,0.0,737.0,0.0,134717.0,0.0,134717.0,2004,JAN,669.0,0,1.0,2004-01-01
Amador,131.0,0.0,0.0,303.0,0.0,0.0,434.0,0.0,0.0,339.0,637.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,69.0,0.0,462.0,0.0,84633.0,0.0,84633.0,2004,JAN,434.0,0,1.0,2004-01-01
Colusa,86.0,0.0,0.0,315.0,9.0,2.0,401.0,9.0,2.0,216.0,840.0,1056.0,0.0,0.0,26.0,9.0,26.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,444.0,444.0,0.0,84186.0,489.0,84675.0,2004,JAN,412.0,0,1.0,2004-01-01
Inyo,71.0,0.0,0.0,341.0,0.0,0.0,412.0,0.0,0.0,187.0,704.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,432.0,0.0,72839.0,0.0,72839.0,2004,JAN,412.0,0,1.0,2004-01-01
Trinity,110.0,0.0,0.0,196.0,0.0,0.0,306.0,0.0,0.0,294.0,498.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,93.0,0.0,306.0,0.0,67162.0,0.0,67162.0,2004,JAN,306.0,0,1.0,2004-01-01
Mariposa,97.0,0.0,0.0,207.0,0.0,0.0,304.0,0.0,0.0,277.0,458.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,329.0,0.0,338.0,0.0,63775.0,0.0,63775.0,2004,JAN,304.0,0,1.0,2004-01-01
Modoc,109.0,1.0,0.0,189.0,1.0,1.0,298.0,2.0,1.0,314.0,438.0,752.0,4.0,1.0,4.0,2.0,8.0,3.0,0.0,1.0,1.0,301.0,0.0,0.0,0.0,301.0,0.0,58802.0,187.0,58989.0,2004,JAN,301.0,0,1.0,2004-01-01
Plumas,93.0,0.0,0.0,155.0,0.0,0.0,248.0,0.0,0.0,222.0,376.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,13.0,0.0,0.0,275.0,0.0,50824.0,0.0,50824.0,2004,JAN,248.0,0,1.0,2004-01-01
Mono,25.0,0.0,0.0,102.0,1.0,0.0,127.0,1.0,0.0,74.0,171.0,245.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,137.0,0.0,22357.0,110.0,22467.0,2004,JAN,128.0,0,1.0,2004-01-01
Sierra,20.0,0.0,0.0,35.0,0.0,0.0,55.0,0.0,0.0,62.0,63.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,9176.0,0.0,9176.0,2004,JAN,55.0,0,1.0,2004-01-01
Alpine,8.0,0.0,0.0,24.0,0.0,0.0,32.0,0.0,0.0,15.0,56.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,5943.0,0.0,5943.0,2004,JAN,32.0,0,1.0,2004-01-01
