county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
Lassen,257.0,0.0,0.0,600.0,0.0,1.0,857.0,0.0,1.0,700.0,1428.0,2128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,925.0,925.0,0.0,221095.0,155.0,221250.0,2006,NOV,858.0,0,4.0,2006-11-01
Glenn,226.0,0.0,0.0,606.0,1.0,0.0,832.0,1.0,0.0,643.0,1644.0,2287.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,899.0,0.0,212734.0,115.0,212849.0,2006,NOV,833.0,0,4.0,2006-11-01
Calaveras,206.0,0.0,0.0,568.0,0.0,0.0,774.0,0.0,0.0,538.0,1179.0,1717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,774.0,0.0,181132.0,0.0,181132.0,2006,NOV,774.0,0,4.0,2006-11-01
Amador,138.0,0.0,0.0,391.0,0.0,0.0,529.0,0.0,0.0,351.0,841.0,1192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,582.0,0.0,133841.0,0.0,133841.0,2006,NOV,529.0,0,4.0,2006-11-01
Colusa,77.0,0.0,0.0,348.0,6.0,3.0,425.0,6.0,3.0,249.0,871.0,1120.0,0.0,0.0,18.0,9.0,18.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,463.0,463.0,0.0,99937.0,820.0,100757.0,2006,NOV,434.0,0,4.0,2006-11-01
Trinity,107.0,0.0,0.0,327.0,0.0,0.0,434.0,0.0,0.0,266.0,772.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,434.0,0.0,107282.0,0.0,107282.0,2006,NOV,434.0,0,4.0,2006-11-01
Inyo,74.0,0.0,0.0,359.0,0.0,0.0,433.0,0.0,0.0,202.0,746.0,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,447.0,0.0,90316.0,0.0,90316.0,2006,NOV,433.0,0,4.0,2006-11-01
Mariposa,80.0,0.0,0.0,280.0,0.0,0.0,360.0,0.0,0.0,205.0,593.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,402.0,0.0,87700.0,0.0,87700.0,2006,NOV,360.0,0,4.0,2006-11-01
Modoc,94.0,0.0,0.0,195.0,0.0,0.0,289.0,0.0,0.0,270.0,452.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,289.0,0.0,70943.0,0.0,70943.0,2006,NOV,289.0,0,4.0,2006-11-01
Plumas,78.0,0.0,0.0,178.0,0.0,0.0,256.0,0.0,0.0,194.0,438.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,272.0,0.0,62171.0,0.0,62171.0,2006,NOV,256.0,0,4.0,2006-11-01
Mono,12.0,0.0,0.0,100.0,0.0,0.0,112.0,0.0,0.0,27.0,183.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,0.0,24688.0,0.0,24688.0,2006,NOV,112.0,0,4.0,2006-11-01
Sierra,20.0,1.0,0.0,49.0,1.0,0.0,69.0,2.0,0.0,58.0,85.0,143.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,15912.0,220.0,16132.0,2006,NOV,71.0,0,4.0,2006-11-01
Alpine,5.0,0.0,0.0,33.0,0.0,0.0,38.0,0.0,0.0,13.0,76.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,9019.0,0.0,9019.0,2006,NOV,38.0,0,4.0,2006-11-01
