county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
Sierra,18.0,1.0,0.0,53.0,0.0,0.0,71.0,1.0,0.0,47.0,100.0,147.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0,16801.0,127.0,16928.0,2007,JAN,1.0,2007-01-01
Siskiyou,460.0,0.0,0.0,1160.0,7.0,2.0,1620.0,7.0,2.0,1199.0,2604.0,3803.0,0.0,0.0,23.0,7.0,23.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1805.0,1805.0,0.0,394389.0,758.0,395147.0,2007,JAN,1.0,2007-01-01
Solano,3414.0,41.0,3.0,5188.0,54.0,21.0,8602.0,95.0,24.0,8582.0,11546.0,20128.0,81.0,42.0,145.0,59.0,226.0,101.0,6.0,45.0,51.0,0.0,0.0,0.0,9909.0,9909.0,0.0,2201211.0,14274.0,2215485.0,2007,JAN,1.0,2007-01-01
Sonoma,1839.0,14.0,0.0,4493.0,39.0,23.0,6332.0,53.0,23.0,4263.0,8825.0,13088.0,29.0,14.0,105.0,41.0,134.0,55.0,0.0,24.0,24.0,0.0,0.0,0.0,7212.0,7212.0,0.0,1416993.62,7605.16,1424598.78,2007,JAN,1.0,2007-01-01
Stanislaus,5694.0,34.0,3.0,9809.0,82.0,7.0,15503.0,116.0,10.0,14579.0,25108.0,39687.0,76.0,36.0,301.0,96.0,377.0,132.0,3.0,9.0,12.0,0.0,0.0,0.0,16844.0,16844.0,0.0,4166207.0,9785.0,4175992.0,2007,JAN,1.0,2007-01-01
Sutter,521.0,0.0,0.0,1847.0,5.0,1.0,2368.0,5.0,1.0,1454.0,4712.0,6166.0,0.0,0.0,12.0,6.0,12.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2565.0,2565.0,0.0,623064.0,416.0,623480.0,2007,JAN,1.0,2007-01-01
Tehama,584.0,3.0,0.0,1530.0,15.0,4.0,2114.0,18.0,4.0,1597.0,3691.0,5288.0,13.0,3.0,39.0,19.0,52.0,22.0,0.0,5.0,5.0,0.0,0.0,0.0,2353.0,2353.0,0.0,550377.0,2128.0,552505.0,2007,JAN,1.0,2007-01-01
Trinity,104.0,0.0,0.0,329.0,0.0,0.0,433.0,0.0,0.0,271.0,767.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,433.0,0.0,108059.0,0.0,108059.0,2007,JAN,1.0,2007-01-01
Tulare,7857.0,59.0,1.0,15035.0,376.0,69.0,22892.0,435.0,70.0,21207.0,38304.0,59511.0,150.0,60.0,1236.0,403.0,1386.0,463.0,1.0,83.0,84.0,0.0,0.0,0.0,26090.0,26090.0,0.0,6412410.0,36744.28,6449154.28,2007,JAN,1.0,2007-01-01
Tuolumne,460.0,0.0,0.0,827.0,0.0,0.0,1287.0,0.0,0.0,1242.0,1771.0,3013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,1392.0,0.0,288901.0,0.0,288901.0,2007,JAN,1.0,2007-01-01
Ventura,3660.0,30.0,0.0,8618.0,128.0,70.0,12278.0,158.0,70.0,9287.0,19664.0,28951.0,71.0,33.0,333.0,140.0,404.0,173.0,0.0,79.0,79.0,0.0,0.0,0.0,13964.0,13964.0,0.0,3063801.0,22897.0,3086698.0,2007,JAN,1.0,2007-01-01
Yolo,1195.0,34.0,0.0,2508.0,56.0,37.0,3703.0,90.0,37.0,3062.0,5736.0,8798.0,74.0,50.0,162.0,73.0,236.0,123.0,0.0,47.0,47.0,0.0,0.0,0.0,4251.0,4251.0,0.0,963791.0,18811.0,982602.0,2007,JAN,1.0,2007-01-01
Yuba,774.0,0.0,0.0,2429.0,9.0,2.0,3203.0,9.0,2.0,2256.0,6089.0,8345.0,0.0,0.0,27.0,12.0,27.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,3477.0,3477.0,0.0,864753.0,1201.0,865954.0,2007,JAN,1.0,2007-01-01
