county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
El Dorado,566.0,0.0,0.0,1258.0,11.0,7.0,1824.0,11.0,7.0,1471.0,2587.0,4058.0,0.0,0.0,38.0,13.0,38.0,13.0,0.0,9.0,9.0,0.0,0.0,0.0,2046.0,2046.0,0.0,403881.0,1564.0,405445.0,2005,AUG,1842.0,0,3.0,2005-08-01
Siskiyou,533.0,0.0,0.0,1231.0,2.0,1.0,1764.0,2.0,1.0,1464.0,2700.0,4164.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1942.0,1942.0,0.0,386637.0,149.0,386786.0,2005,AUG,1767.0,0,3.0,2005-08-01
Del Norte,503.0,1.0,1.0,1132.0,4.0,2.0,1635.0,5.0,3.0,1391.0,2397.0,3788.0,1.0,1.0,4.0,4.0,5.0,5.0,1.0,7.0,8.0,0.0,0.0,0.0,1643.0,1643.0,0.0,364020.0,243.0,364263.0,2005,AUG,1643.0,0,3.0,2005-08-01
Tuolumne,383.0,0.0,0.0,823.0,0.0,2.0,1206.0,0.0,2.0,1065.0,1763.0,2828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1304.0,1304.0,0.0,249164.0,255.0,249419.0,2005,AUG,1208.0,0,3.0,2005-08-01
San Benito,353.0,0.0,0.0,801.0,7.0,0.0,1154.0,7.0,0.0,1063.0,1870.0,2933.0,0.0,0.0,19.0,7.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.0,1161.0,0.0,274690.0,369.0,275059.0,2005,AUG,1161.0,0,3.0,2005-08-01
Napa,218.0,0.0,0.0,886.0,7.0,1.0,1104.0,7.0,1.0,545.0,2060.0,2605.0,0.0,0.0,26.0,12.0,26.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,1112.0,1112.0,0.0,237118.0,1072.0,238190.0,2005,AUG,1112.0,0,3.0,2005-08-01
Nevada,291.0,0.0,0.0,732.0,0.0,0.0,1023.0,0.0,0.0,746.0,1551.0,2297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.0,1121.0,0.0,222888.0,0.0,222888.0,2005,AUG,1023.0,0,3.0,2005-08-01
Glenn,240.0,0.0,0.0,650.0,3.0,0.0,890.0,3.0,0.0,678.0,1732.0,2410.0,0.0,0.0,10.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,985.0,0.0,208153.17,215.0,208368.17,2005,AUG,893.0,0,3.0,2005-08-01
Lassen,275.0,0.0,0.0,551.0,1.0,0.0,826.0,1.0,0.0,769.0,1280.0,2049.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,897.0,897.0,0.0,191893.0,119.0,192012.0,2005,AUG,827.0,0,3.0,2005-08-01
Calaveras,198.0,0.0,0.0,572.0,0.0,0.0,770.0,0.0,0.0,533.0,1177.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,770.0,0.0,173506.0,0.0,173506.0,2005,AUG,770.0,0,3.0,2005-08-01
