county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Placer,842.0,7.0,0.0,906.0,11.0,1.0,1748.0,18.0,1.0,2120.0,2056.0,4176.0,12.0,14.0,15.0,19.0,27.0,33.0,0.0,1.0,1.0,849.0,0.0,1118.0,1967.0,348408.0,3576.0,2665.0,139.0,351984.0,2804.0,354788.0,2003,AUG,1767.0,3.0,2003-08-01
Plumas,79.0,0.0,0.0,132.0,0.0,0.0,211.0,0.0,0.0,189.0,276.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,8.0,0.0,217.0,35727.0,0.0,0.0,0.0,35727.0,0.0,35727.0,2003,AUG,211.0,3.0,2003-08-01
Riverside,14509.0,174.0,41.0,7944.0,183.0,248.0,22453.0,357.0,289.0,40358.0,17405.0,57763.0,457.0,182.0,455.0,217.0,912.0,399.0,77.0,102.0,179.0,25302.0,0.0,0.0,25302.0,5158893.0,85686.0,20672.0,48744.0,5244579.0,69416.0,5313995.0,2003,AUG,23099.0,3.0,2003-08-01
Sacramento,17818.0,281.0,173.0,17573.0,207.0,250.0,35391.0,488.0,423.0,54840.0,47046.0,101886.0,596.0,558.0,597.0,399.0,1193.0,957.0,645.0,521.0,1166.0,4802.0,32962.0,0.0,37764.0,8125348.0,110999.0,45653.0,87387.0,8236347.0,133040.0,8369387.0,2003,AUG,36302.0,3.0,2003-08-01
San Benito,321.0,6.0,0.0,575.0,19.0,8.0,896.0,25.0,8.0,906.0,1337.0,2243.0,14.0,6.0,47.0,22.0,61.0,28.0,0.0,8.0,8.0,1053.0,0.0,0.0,1053.0,183446.0,5253.0,1344.0,1062.0,188699.0,2406.0,191105.0,2003,AUG,929.0,3.0,2003-08-01
San Bernardino,23618.0,158.0,14.0,20247.0,336.0,205.0,43865.0,494.0,219.0,68854.0,54571.0,123425.0,417.0,185.0,1008.0,410.0,1425.0,595.0,41.0,304.0,345.0,0.0,0.0,50085.0,50085.0,10430868.0,127707.0,28908.0,44582.0,10558575.0,73490.0,10632065.0,2003,AUG,44578.0,3.0,2003-08-01
San Diego,14954.0,340.0,32.0,12396.0,345.0,182.0,27350.0,685.0,214.0,41038.0,34127.0,75165.0,791.0,379.0,860.0,416.0,1651.0,795.0,103.0,285.0,388.0,30307.0,0.0,479.0,30786.0,5816584.0,141186.0,46461.0,39030.0,5957770.0,85491.0,6043261.0,2003,AUG,28249.0,3.0,2003-08-01
San Francisco,4941.0,129.0,41.0,12987.0,168.0,395.0,17928.0,297.0,436.0,12853.0,16304.0,29157.0,175.0,162.0,223.0,234.0,398.0,396.0,115.0,577.0,692.0,0.0,18102.0,0.0,18102.0,2545033.0,47145.0,20301.0,57362.0,2592178.0,77663.0,2669841.0,2003,AUG,18661.0,3.0,2003-08-01
San Joaquin,6469.0,43.0,1.0,9225.0,152.0,27.0,15694.0,195.0,28.0,18845.0,26727.0,45572.0,124.0,43.0,420.0,173.0,544.0,216.0,1.0,42.0,43.0,16901.0,0.0,0.0,16901.0,3711642.0,31800.0,8043.0,1502.0,3743442.0,9545.0,3752987.0,2003,AUG,15917.0,3.0,2003-08-01
San Luis Obispo,1119.0,9.0,0.0,1355.0,26.0,8.0,2474.0,35.0,8.0,2751.0,3108.0,5859.0,15.0,12.0,52.0,30.0,67.0,42.0,0.0,12.0,12.0,2984.0,0.0,0.0,2984.0,487756.0,6968.0,1991.0,995.0,494724.0,2986.0,497710.0,2003,AUG,2517.0,3.0,2003-08-01
San Mateo,1370.0,12.0,1.0,1740.0,18.0,15.0,3110.0,30.0,16.0,3301.0,3631.0,6932.0,37.0,12.0,29.0,18.0,66.0,30.0,1.0,15.0,16.0,0.0,0.0,0.0,0.0,662357.0,1896.0,8985.0,2942.0,664253.0,11927.0,676180.0,2003,AUG,3156.0,3.0,2003-08-01
Santa Barbara,3178.0,79.0,5.0,2888.0,78.0,29.0,6066.0,157.0,34.0,6615.0,7317.0,13932.0,149.0,79.0,232.0,115.0,381.0,194.0,9.0,50.0,59.0,6790.0,0.0,0.0,6790.0,1136318.0,31265.0,6717.0,6123.0,1167583.0,12840.0,1180423.0,2003,AUG,6257.0,3.0,2003-08-01
Santa Clara,9378.0,100.0,15.0,9899.0,197.0,242.0,19277.0,297.0,257.0,24994.0,22145.0,47139.0,179.0,117.0,415.0,253.0,594.0,370.0,41.0,445.0,486.0,20197.0,0.0,0.0,20197.0,3897663.0,53166.0,27561.0,52850.0,3950829.0,80411.0,4031240.0,2003,AUG,19831.0,3.0,2003-08-01
Santa Cruz,1337.0,26.0,0.0,2129.0,23.0,6.0,3466.0,49.0,6.0,3104.0,4401.0,7505.0,46.0,27.0,29.0,28.0,75.0,55.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,615097.0,9907.0,4072.0,791.0,625004.0,4863.0,629867.0,2003,AUG,3521.0,3.0,2003-08-01
Shasta,1574.0,22.0,1.0,2539.0,55.0,5.0,4113.0,77.0,6.0,4109.0,5642.0,9751.0,64.0,28.0,175.0,67.0,239.0,95.0,1.0,6.0,7.0,4920.0,0.0,147.0,5067.0,880319.0,18676.0,4014.0,569.0,898995.0,4583.0,903578.0,2003,AUG,4196.0,3.0,2003-08-01
Sierra,16.0,0.0,0.0,24.0,0.0,0.0,40.0,0.0,0.0,50.0,46.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,6900.0,0.0,0.0,0.0,6900.0,0.0,6900.0,2003,AUG,40.0,3.0,2003-08-01
