county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
Sierra,5.0,0.0,0.0,160.0,0.0,0.0,165.0,0.0,0.0,12.0,284.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,171.0,0.0,40733.0,0.0,40733.0,2015,NOV,4.0,2015-11-01
Siskiyou,440.0,1.0,0.0,2864.0,3.0,5.0,3304.0,4.0,5.0,1224.0,5830.0,7054.0,2.0,1.0,12.0,4.0,14.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,3506.0,3506.0,0.0,943510.0,1545.0,945055.0,2015,NOV,4.0,2015-11-01
Solano,2862.0,22.0,2.0,20013.0,144.0,64.0,22875.0,166.0,66.0,6948.0,36442.0,43390.0,58.0,24.0,330.0,166.0,388.0,190.0,4.0,84.0,88.0,0.0,0.0,0.0,24174.0,24174.0,0.0,6225102.4,32347.87,6257450.27,2015,NOV,4.0,2015-11-01
Sonoma,1691.0,27.0,1.0,17982.0,228.0,54.0,19673.0,255.0,55.0,4059.0,30727.0,34786.0,65.0,31.0,565.0,249.0,630.0,280.0,1.0,72.0,73.0,0.0,0.0,0.0,22672.0,22672.0,0.0,4774246.0,34358.0,4808604.0,2015,NOV,4.0,2015-11-01
Stanislaus,5898.0,22.0,0.0,36861.0,157.0,34.0,42759.0,179.0,34.0,15369.0,74926.0,90295.0,62.0,26.0,436.0,182.0,498.0,208.0,0.0,40.0,40.0,0.0,0.0,0.0,44919.0,44919.0,0.0,12411203.0,23154.0,12434357.0,2015,NOV,4.0,2015-11-01
Sutter,741.0,8.0,0.0,4919.0,50.0,16.0,5660.0,58.0,16.0,2028.0,10938.0,12966.0,20.0,0.0,133.0,62.0,153.0,62.0,0.0,19.0,19.0,0.0,0.0,0.0,5997.0,5997.0,0.0,1754431.0,9222.0,1763653.0,2015,NOV,4.0,2015-11-01
Tehama,592.0,2.0,0.0,4100.0,23.0,4.0,4692.0,25.0,4.0,1575.0,8586.0,10161.0,3.0,2.0,77.0,32.0,80.0,34.0,0.0,4.0,4.0,0.0,0.0,0.0,4932.0,4932.0,0.0,1348876.0,4904.0,1353780.0,2015,NOV,4.0,2015-11-01
Trinity,69.0,0.0,0.0,981.0,0.0,0.0,1050.0,0.0,0.0,161.0,1681.0,1842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.0,1105.0,0.0,268458.0,0.0,268458.0,2015,NOV,4.0,2015-11-01
Tulare,8529.0,61.0,2.0,43650.0,735.0,199.0,52179.0,796.0,201.0,23481.0,97905.0,121386.0,147.0,66.0,2005.0,797.0,2152.0,863.0,2.0,243.0,245.0,0.0,0.0,0.0,62130.0,62130.0,0.0,16742194.0,131309.0,16873503.0,2015,NOV,4.0,2015-11-01
Tuolumne,329.0,1.0,0.0,2847.0,7.0,3.0,3176.0,8.0,3.0,848.0,4806.0,5654.0,5.0,1.0,9.0,8.0,14.0,9.0,0.0,5.0,5.0,0.0,0.0,0.0,3319.0,3319.0,0.0,765108.0,2057.0,767165.0,2015,NOV,4.0,2015-11-01
Ventura,3229.0,25.0,0.0,34329.0,355.0,174.0,37558.0,380.0,174.0,8174.0,67366.0,75540.0,61.0,33.0,870.0,391.0,931.0,424.0,0.0,220.0,220.0,0.0,0.0,0.0,44016.0,44016.0,0.0,10426461.0,123899.0,10550360.0,2015,NOV,4.0,2015-11-01
Yolo,1065.0,48.0,0.0,9411.0,167.0,61.0,10476.0,215.0,61.0,2695.0,17614.0,20309.0,122.0,79.0,439.0,232.0,561.0,311.0,0.0,82.0,82.0,0.0,0.0,0.0,12601.0,12601.0,0.0,2832186.0,46477.0,2878663.0,2015,NOV,4.0,2015-11-01
Yuba,880.0,4.0,0.0,5440.0,26.0,7.0,6320.0,30.0,7.0,2363.0,11252.0,13615.0,5.0,5.0,85.0,36.0,90.0,41.0,0.0,8.0,8.0,0.0,0.0,0.0,6682.0,6682.0,0.0,1906866.0,5150.0,1912016.0,2015,NOV,4.0,2015-11-01
