county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Monterey,3244.0,10.0,2.0,16325.0,116.0,12.0,19569.0,126.0,14.0,7907.0,36424.0,44331.0,24.0,13.0,333.0,128.0,357.0,141.0,3.0,19.0,22.0,0.0,0.0,0.0,20788.0,20788.0,0.0,6521390.0,14991.0,6536381.0,2013,AUG,19709.0,3.0,2013-08-01
Napa,365.0,6.0,1.0,2728.0,56.0,3.0,3093.0,62.0,4.0,866.0,5573.0,6439.0,15.0,7.0,155.0,61.0,170.0,68.0,1.0,4.0,5.0,0.0,0.0,0.0,3500.0,3500.0,0.0,972106.0,8230.0,980336.0,2013,AUG,3159.0,3.0,2013-08-01
Nevada,440.0,0.0,0.0,3462.0,5.0,3.0,3902.0,5.0,3.0,1135.0,6322.0,7457.0,0.0,0.0,9.0,5.0,9.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,4157.0,4157.0,0.0,1131960.0,1567.0,1133527.0,2013,AUG,3910.0,3.0,2013-08-01
Orange,12990.0,156.0,3.0,91112.0,1880.0,822.0,104102.0,2036.0,825.0,32762.0,194110.0,226872.0,339.0,200.0,4248.0,2388.0,4587.0,2588.0,6.0,1118.0,1124.0,0.0,0.0,0.0,115098.0,115098.0,0.0,34553872.0,455117.0,35008989.0,2013,AUG,106963.0,3.0,2013-08-01
Placer,964.0,13.0,0.0,7508.0,37.0,12.0,8472.0,50.0,12.0,2496.0,15232.0,17728.0,25.0,16.0,96.0,52.0,121.0,68.0,0.0,15.0,15.0,0.0,0.0,0.0,9156.0,9156.0,0.0,2588485.74,8117.0,2596602.74,2013,AUG,8534.0,3.0,2013-08-01
Plumas,91.0,0.0,0.0,682.0,0.0,1.0,773.0,0.0,1.0,244.0,1359.0,1603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,818.0,818.0,0.0,229557.0,200.0,229757.0,2013,AUG,774.0,3.0,2013-08-01
Riverside,19079.0,127.0,7.0,96628.0,1026.0,269.0,115707.0,1153.0,276.0,51572.0,224833.0,276405.0,325.0,145.0,2981.0,1144.0,3306.0,1289.0,8.0,341.0,349.0,0.0,0.0,0.0,124422.0,124422.0,0.0,41161503.0,194406.0,41355909.0,2013,AUG,117136.0,3.0,2013-08-01
Sacramento,16973.0,318.0,4.0,76597.0,899.0,430.0,93570.0,1217.0,434.0,42583.0,163174.0,205757.0,674.0,469.0,2197.0,1187.0,2871.0,1656.0,4.0,561.0,565.0,0.0,0.0,0.0,100752.0,100752.0,0.0,32335683.0,313388.0,32649071.0,2013,AUG,95221.0,3.0,2013-08-01
San Benito,367.0,2.0,0.0,2208.0,22.0,2.0,2575.0,24.0,2.0,948.0,4980.0,5928.0,5.0,2.0,59.0,23.0,64.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,2695.0,2695.0,0.0,865540.0,2490.0,868030.0,2013,AUG,2601.0,3.0,2013-08-01
San Bernardino,27492.0,156.0,9.0,132179.0,981.0,287.0,159671.0,1137.0,296.0,73868.0,297810.0,371678.0,392.0,178.0,2696.0,1129.0,3088.0,1307.0,10.0,370.0,380.0,0.0,0.0,0.0,169967.0,169967.0,0.0,56067242.0,197072.0,56264314.0,2013,AUG,161104.0,3.0,2013-08-01
San Diego,16676.0,288.0,3.0,104704.0,1627.0,525.0,121380.0,1915.0,528.0,44970.0,209881.0,254851.0,688.0,378.0,4115.0,1940.0,4803.0,2318.0,3.0,679.0,682.0,0.0,0.0,0.0,133600.0,133600.0,0.0,39550565.0,372662.0,39923227.0,2013,AUG,123823.0,3.0,2013-08-01
San Francisco,2621.0,169.0,1.0,28346.0,565.0,516.0,30967.0,734.0,517.0,5765.0,41593.0,47358.0,296.0,188.0,1084.0,739.0,1380.0,927.0,1.0,683.0,684.0,0.0,0.0,0.0,34090.0,34090.0,0.0,7941963.62,214533.33,8156496.95,2013,AUG,32218.0,3.0,2013-08-01
San Joaquin,9285.0,61.0,1.0,37253.0,445.0,132.0,46538.0,506.0,133.0,23762.0,87763.0,111525.0,155.0,67.0,1245.0,550.0,1400.0,617.0,1.0,190.0,191.0,0.0,0.0,0.0,50123.0,50123.0,0.0,16840584.0,100098.0,16940682.0,2013,AUG,47177.0,3.0,2013-08-01
San Luis Obispo,1115.0,6.0,0.0,7721.0,40.0,14.0,8836.0,46.0,14.0,2767.0,14291.0,17058.0,12.0,7.0,93.0,44.0,105.0,51.0,0.0,18.0,18.0,0.0,0.0,0.0,10122.0,10122.0,0.0,2554341.0,8736.0,2563077.0,2013,AUG,8896.0,3.0,2013-08-01
San Mateo,1513.0,44.0,0.0,12620.0,421.0,154.0,14133.0,465.0,154.0,3645.0,24334.0,27979.0,84.0,48.0,1050.0,491.0,1134.0,539.0,0.0,207.0,207.0,0.0,0.0,0.0,16366.0,16366.0,0.0,4511057.31,88992.69,4600050.0,2013,AUG,14752.0,3.0,2013-08-01
