county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Madera,1127.0,0.0,0.0,4255.0,9.0,4.0,5382.0,9.0,4.0,3302.0,11036.0,14338.0,0.0,0.0,17.0,9.0,17.0,9.0,0.0,5.0,5.0,0.0,0.0,0.0,5720.0,5720.0,0.0,1271138.0,1158.0,1272296.0,2005,JUL,5395.0,3.0,2005-07-01
Marin,499.0,2.0,0.0,1854.0,12.0,11.0,2353.0,14.0,11.0,1178.0,3051.0,4229.0,2.0,2.0,27.0,16.0,29.0,18.0,0.0,11.0,11.0,0.0,0.0,0.0,2378.0,2378.0,0.0,423133.0,2333.0,425466.0,2005,JUL,2378.0,3.0,2005-07-01
Mariposa,94.0,0.0,0.0,269.0,0.0,0.0,363.0,0.0,0.0,241.0,588.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,391.0,0.0,79500.0,0.0,79500.0,2005,JUL,363.0,3.0,2005-07-01
Mendocino,839.0,0.0,0.0,2808.0,14.0,4.0,3647.0,14.0,4.0,2241.0,5614.0,7855.0,0.0,0.0,48.0,15.0,48.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,3848.0,3848.0,0.0,769709.0,1466.0,771175.0,2005,JUL,3665.0,3.0,2005-07-01
Merced,4450.0,27.0,0.0,5973.0,70.0,8.0,10423.0,97.0,8.0,12849.0,17145.0,29994.0,73.0,28.0,258.0,77.0,331.0,105.0,0.0,10.0,10.0,0.0,0.0,0.0,11191.0,11191.0,0.0,2686710.0,7680.0,2694390.0,2005,JUL,10528.0,3.0,2005-07-01
Modoc,112.0,0.0,0.0,198.0,0.0,0.0,310.0,0.0,0.0,305.0,434.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,310.0,0.0,67322.0,0.0,67322.0,2005,JUL,310.0,3.0,2005-07-01
Mono,22.0,0.0,0.0,113.0,0.0,0.0,135.0,0.0,0.0,61.0,207.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,0.0,26088.0,0.0,26088.0,2005,JUL,135.0,3.0,2005-07-01
Monterey,1910.0,1.0,2.0,4971.0,26.0,9.0,6881.0,27.0,11.0,5259.0,12222.0,17481.0,3.0,1.0,74.0,28.0,77.0,29.0,7.0,14.0,21.0,0.0,0.0,0.0,7565.0,7565.0,0.0,1569260.0,1543.0,1570803.0,2005,JUL,6919.0,3.0,2005-07-01
Napa,240.0,0.0,0.0,862.0,6.0,1.0,1102.0,6.0,1.0,625.0,1990.0,2615.0,0.0,0.0,12.0,7.0,12.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1109.0,1109.0,0.0,240658.0,1059.0,241717.0,2005,JUL,1109.0,3.0,2005-07-01
Nevada,290.0,0.0,0.0,732.0,0.0,0.0,1022.0,0.0,0.0,740.0,1550.0,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.0,1132.0,0.0,229721.0,0.0,229721.0,2005,JUL,1022.0,3.0,2005-07-01
