county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
Riverside,19324.0,122.0,12.0,93990.0,1081.0,276.0,113314.0,1203.0,288.0,52328.0,218558.0,270886.0,305.0,142.0,3202.0,1192.0,3507.0,1334.0,16.0,335.0,351.0,0.0,0.0,0.0,121152.0,121152.0,0.0,40563276.0,199011.0,40762287.0,2013,MAY,2.0,2013-05-01
Sacramento,17536.0,332.0,8.0,74592.0,916.0,404.0,92128.0,1248.0,412.0,44172.0,159953.0,204125.0,709.0,489.0,2260.0,1203.0,2969.0,1692.0,10.0,538.0,548.0,0.0,0.0,0.0,98993.0,98993.0,0.0,32085364.0,311515.0,32396879.0,2013,MAY,2.0,2013-05-01
San Benito,408.0,2.0,0.0,2305.0,31.0,2.0,2713.0,33.0,2.0,1071.0,5229.0,6300.0,6.0,2.0,85.0,33.0,91.0,35.0,0.0,3.0,3.0,0.0,0.0,0.0,2899.0,2899.0,0.0,944238.0,3643.0,947881.0,2013,MAY,2.0,2013-05-01
San Bernardino,27993.0,162.0,6.0,128748.0,942.0,265.0,156741.0,1104.0,271.0,75349.0,290415.0,365764.0,411.0,182.0,2617.0,1071.0,3028.0,1253.0,6.0,342.0,348.0,0.0,0.0,0.0,165215.0,165215.0,0.0,55267781.0,189459.0,55457240.0,2013,MAY,2.0,2013-05-01
San Diego,17275.0,314.0,6.0,100742.0,1628.0,536.0,118017.0,1942.0,542.0,47043.0,203430.0,250473.0,749.0,422.0,4103.0,1908.0,4852.0,2330.0,14.0,693.0,707.0,0.0,0.0,0.0,129735.0,129735.0,0.0,38896934.0,379853.0,39276787.0,2013,MAY,2.0,2013-05-01
San Francisco,2719.0,190.0,1.0,28204.0,526.0,503.0,30923.0,716.0,504.0,5950.0,41517.0,47467.0,340.0,213.0,1028.0,696.0,1368.0,909.0,1.0,679.0,680.0,0.0,0.0,0.0,33664.0,33664.0,0.0,7942914.5,209429.52,8152344.02,2013,MAY,2.0,2013-05-01
San Joaquin,9548.0,60.0,1.0,36512.0,448.0,103.0,46060.0,508.0,104.0,24428.0,86049.0,110477.0,158.0,65.0,1279.0,556.0,1437.0,621.0,1.0,154.0,155.0,0.0,0.0,0.0,49322.0,49322.0,0.0,16800741.0,92515.0,16893256.0,2013,MAY,2.0,2013-05-01
San Luis Obispo,1180.0,4.0,0.0,7832.0,50.0,9.0,9012.0,54.0,9.0,2872.0,14579.0,17451.0,6.0,5.0,126.0,54.0,132.0,59.0,0.0,13.0,13.0,0.0,0.0,0.0,9821.0,9821.0,0.0,2611930.0,7986.0,2619916.0,2013,MAY,2.0,2013-05-01
San Mateo,1597.0,59.0,0.0,11963.0,383.0,128.0,13560.0,442.0,128.0,3982.0,23173.0,27155.0,91.0,60.0,974.0,458.0,1065.0,518.0,0.0,180.0,180.0,0.0,0.0,0.0,15231.0,15231.0,0.0,4322102.23,80613.77,4402716.0,2013,MAY,2.0,2013-05-01
Santa Barbara,2950.0,8.0,0.0,12046.0,96.0,17.0,14996.0,104.0,17.0,7242.0,26330.0,33572.0,17.0,8.0,279.0,102.0,296.0,110.0,0.0,23.0,23.0,0.0,0.0,0.0,16943.0,16943.0,0.0,5098031.0,16012.0,5114043.0,2013,MAY,2.0,2013-05-01
Santa Clara,7110.0,91.0,0.0,43450.0,805.0,682.0,50560.0,896.0,682.0,17012.0,89661.0,106673.0,187.0,115.0,1680.0,1097.0,1867.0,1212.0,0.0,1026.0,1026.0,0.0,0.0,0.0,55290.0,55290.0,0.0,16469306.0,307672.0,16776978.0,2013,MAY,2.0,2013-05-01
Santa Cruz,1427.0,2.0,0.0,10755.0,49.0,10.0,12182.0,51.0,10.0,3425.0,20354.0,23779.0,3.0,2.0,123.0,53.0,126.0,55.0,0.0,10.0,10.0,0.0,0.0,0.0,14106.0,14106.0,0.0,3705990.0,8560.0,3714550.0,2013,MAY,2.0,2013-05-01
Shasta,1745.0,5.0,0.0,10263.0,14.0,13.0,12008.0,19.0,13.0,4375.0,19395.0,23770.0,11.0,5.0,32.0,17.0,43.0,22.0,0.0,21.0,21.0,0.0,0.0,0.0,12896.0,12896.0,0.0,3559020.0,5726.0,3564746.0,2013,MAY,2.0,2013-05-01
Sierra,10.0,0.0,0.0,147.0,0.0,0.0,157.0,0.0,0.0,24.0,279.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,0.0,43382.0,0.0,43382.0,2013,MAY,2.0,2013-05-01
Siskiyou,480.0,0.0,0.0,2431.0,6.0,2.0,2911.0,6.0,2.0,1351.0,5150.0,6501.0,0.0,0.0,14.0,6.0,14.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,3106.0,3106.0,0.0,962259.0,1043.0,963302.0,2013,MAY,2.0,2013-05-01
Solano,3353.0,24.0,0.0,17143.0,146.0,38.0,20496.0,170.0,38.0,8072.0,32560.0,40632.0,60.0,25.0,362.0,170.0,422.0,195.0,0.0,46.0,46.0,0.0,0.0,0.0,22241.0,22241.0,0.0,6393578.42,29509.58,6423088.0,2013,MAY,2.0,2013-05-01
Sonoma,2175.0,41.0,0.0,16343.0,183.0,49.0,18518.0,224.0,49.0,5182.0,28713.0,33895.0,96.0,44.0,442.0,208.0,538.0,252.0,0.0,64.0,64.0,0.0,0.0,0.0,20323.0,20323.0,0.0,5376026.0,37779.0,5413805.0,2013,MAY,2.0,2013-05-01
Stanislaus,7066.0,17.0,0.0,34006.0,119.0,20.0,41072.0,136.0,20.0,18570.0,71423.0,89993.0,40.0,20.0,325.0,131.0,365.0,151.0,0.0,30.0,30.0,0.0,0.0,0.0,42987.0,42987.0,0.0,13442103.0,20300.0,13462403.0,2013,MAY,2.0,2013-05-01
Sutter,821.0,7.0,0.0,4335.0,37.0,4.0,5156.0,44.0,4.0,2186.0,10067.0,12253.0,18.0,8.0,96.0,46.0,114.0,54.0,0.0,4.0,4.0,0.0,0.0,0.0,5459.0,5459.0,0.0,1800213.0,6670.0,1806883.0,2013,MAY,2.0,2013-05-01
Tehama,738.0,1.0,0.0,3506.0,17.0,6.0,4244.0,18.0,6.0,2031.0,7660.0,9691.0,3.0,1.0,36.0,14.0,39.0,15.0,0.0,7.0,7.0,0.0,0.0,0.0,4575.0,4575.0,0.0,1432151.0,3634.0,1435785.0,2013,MAY,2.0,2013-05-01
Trinity,76.0,0.0,0.0,667.0,0.0,0.0,743.0,0.0,0.0,172.0,1327.0,1499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,794.0,0.0,221350.0,0.0,221350.0,2013,MAY,2.0,2013-05-01
Tulare,9206.0,74.0,2.0,36522.0,531.0,169.0,45728.0,605.0,171.0,25302.0,87721.0,113023.0,176.0,78.0,1492.0,597.0,1668.0,675.0,2.0,211.0,213.0,0.0,0.0,0.0,48826.0,48826.0,0.0,16816265.0,109270.0,16925535.0,2013,MAY,2.0,2013-05-01
Tuolumne,393.0,1.0,0.0,2496.0,3.0,1.0,2889.0,4.0,1.0,1016.0,4264.0,5280.0,1.0,1.0,7.0,3.0,8.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,3074.0,3074.0,0.0,803890.0,996.0,804886.0,2013,MAY,2.0,2013-05-01
Ventura,3673.0,14.0,0.0,28321.0,272.0,104.0,31994.0,286.0,104.0,9096.0,57307.0,66403.0,31.0,18.0,697.0,319.0,728.0,337.0,0.0,125.0,125.0,0.0,0.0,0.0,34414.0,34414.0,0.0,10107898.0,61038.0,10168936.0,2013,MAY,2.0,2013-05-01
Yolo,983.0,32.0,0.0,6723.0,117.0,77.0,7706.0,149.0,77.0,2538.0,13777.0,16315.0,81.0,45.0,284.0,158.0,365.0,203.0,0.0,104.0,104.0,0.0,0.0,0.0,8520.0,8520.0,0.0,2485705.0,44824.0,2530529.0,2013,MAY,2.0,2013-05-01
Yuba,964.0,5.0,1.0,4774.0,25.0,4.0,5738.0,30.0,5.0,2576.0,10282.0,12858.0,11.0,5.0,70.0,27.0,81.0,32.0,1.0,4.0,5.0,0.0,0.0,0.0,6216.0,6216.0,0.0,1940032.0,4384.0,1944416.0,2013,MAY,2.0,2013-05-01
