county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
Yuba,1092.0,43.0,1.0,1337.0,41.0,12.0,2429.0,84.0,13.0,3309.0,3569.0,6878.0,243.0,52.0,210.0,54.0,453.0,106.0,2.0,12.0,14.0,2240.0,0.0,539.0,2779.0,566766.0,28990.0,6575.0,2346.0,595756.0,8921.0,604677.0,2003,JUN,2526.0,0,2.0,2003-06-01
Tehama,696.0,0.0,0.0,1246.0,2.0,1.0,1942.0,2.0,1.0,1749.0,2897.0,4646.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,1.0,1.0,1940.0,0.0,0.0,1940.0,374171.0,415.0,117.0,319.0,374586.0,436.0,375022.0,2003,JUN,1945.0,0,2.0,2003-06-01
Lake,716.0,3.0,0.0,1166.0,5.0,1.0,1882.0,8.0,1.0,1925.0,2560.0,4485.0,9.0,3.0,12.0,7.0,21.0,10.0,0.0,1.0,1.0,459.0,0.0,1794.0,2253.0,419313.0,1308.0,495.0,139.0,420621.0,634.0,421255.0,2003,JUN,1891.0,0,2.0,2003-06-01
Placer,823.0,10.0,0.0,938.0,8.0,1.0,1761.0,18.0,1.0,2104.0,2100.0,4204.0,23.0,20.0,30.0,21.0,53.0,41.0,0.0,1.0,1.0,834.0,0.0,1108.0,1942.0,355702.0,3813.0,2387.0,136.0,359515.0,2523.0,362038.0,2003,JUN,1780.0,0,2.0,2003-06-01
Marin,403.0,43.0,0.0,1159.0,53.0,39.0,1562.0,96.0,39.0,944.0,1821.0,2765.0,84.0,43.0,67.0,53.0,151.0,96.0,0.0,40.0,40.0,1985.0,0.0,0.0,1985.0,261950.0,14412.0,5428.0,4636.0,276362.0,10064.0,286426.0,2003,JUN,1697.0,0,2.0,2003-06-01
El Dorado,572.0,6.0,0.0,1080.0,10.0,5.0,1652.0,16.0,5.0,1515.0,2093.0,3608.0,9.0,6.0,21.0,11.0,30.0,17.0,0.0,5.0,5.0,1810.0,51.0,0.0,1861.0,310784.0,3382.0,1074.0,615.0,314166.0,1689.0,315855.0,2003,JUN,1673.0,0,2.0,2003-06-01
Sutter,490.0,5.0,0.0,1090.0,20.0,2.0,1580.0,25.0,2.0,1430.0,2930.0,4360.0,20.0,6.0,72.0,24.0,92.0,30.0,0.0,3.0,3.0,1305.0,0.0,410.0,1715.0,354418.0,7196.0,1226.0,20.0,361614.0,1246.0,362860.0,2003,JUN,1607.0,0,2.0,2003-06-01
Siskiyou,482.0,8.0,0.0,928.0,8.0,2.0,1410.0,16.0,2.0,1352.0,1983.0,3335.0,21.0,10.0,19.0,10.0,40.0,20.0,0.0,2.0,2.0,1265.0,0.0,253.0,1518.0,267906.0,3581.0,1269.0,238.0,271487.0,1507.0,272994.0,2003,JUN,1428.0,0,2.0,2003-06-01
Del Norte,472.0,4.0,0.0,724.0,1.0,2.0,1196.0,5.0,2.0,1397.0,1559.0,2956.0,13.0,4.0,11.0,1.0,24.0,5.0,0.0,2.0,2.0,146.0,0.0,1057.0,1203.0,236547.0,2109.0,275.0,278.0,238656.0,553.0,239209.0,2003,JUN,1203.0,0,2.0,2003-06-01
Tuolumne,370.0,0.0,0.0,526.0,0.0,0.0,896.0,0.0,0.0,1039.0,1195.0,2234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,987.0,0.0,992.0,175821.0,0.0,0.0,0.0,175821.0,0.0,175821.0,2003,JUN,896.0,0,2.0,2003-06-01
