county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Solano,2223.0,21.0,0.0,18520.0,138.0,70.0,20743.0,159.0,70.0,5285.0,33211.0,38496.0,59.0,23.0,349.0,167.0,408.0,190.0,0.0,90.0,90.0,,,,22013.0,22013.0,0.0,5341602.0,32976.0,5374578.0,2017,OCT,20972.0,4.0,2017-10-01
Sonoma,1112.0,29.0,0.0,15547.0,218.0,54.0,16659.0,247.0,54.0,2726.0,25872.0,28598.0,77.0,37.0,511.0,221.0,588.0,258.0,0.0,67.0,67.0,,,,27666.0,27666.0,0.0,3840438.0,32355.0,3872793.0,2017,OCT,16960.0,4.0,2017-10-01
Stanislaus,4965.0,31.0,1.0,33876.0,159.0,32.0,38841.0,190.0,33.0,13048.0,67349.0,80397.0,79.0,37.0,438.0,191.0,517.0,228.0,1.0,37.0,38.0,,,,40813.0,40813.0,0.0,10650349.0,23651.0,10674000.0,2017,OCT,39064.0,4.0,2017-10-01
Sutter,637.0,12.0,0.0,4588.0,50.0,16.0,5225.0,62.0,16.0,1772.0,10072.0,11844.0,32.0,14.0,130.0,59.0,162.0,73.0,0.0,22.0,22.0,,,,5562.0,5562.0,0.0,1547243.0,11476.0,1558719.0,2017,OCT,5303.0,4.0,2017-10-01
Tehama,430.0,0.0,0.0,3769.0,7.0,2.0,4199.0,7.0,2.0,1083.0,7899.0,8982.0,0.0,0.0,19.0,7.0,19.0,7.0,0.0,2.0,2.0,,,,4466.0,4466.0,0.0,1143100.0,1279.0,1144379.0,2017,OCT,4208.0,4.0,2017-10-01
Trinity,71.0,0.0,0.0,902.0,1.0,0.0,973.0,1.0,0.0,166.0,1536.0,1702.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,1034.0,1034.0,0.0,235991.0,144.0,236135.0,2017,OCT,974.0,4.0,2017-10-01
Tulare,6940.0,67.0,3.0,43321.0,707.0,199.0,50261.0,774.0,202.0,19064.0,94960.0,114024.0,154.0,74.0,1964.0,777.0,2118.0,851.0,3.0,231.0,234.0,,,,60851.0,60851.0,0.0,15653873.0,126956.0,15780829.0,2017,OCT,51237.0,4.0,2017-10-01
Tuolumne,235.0,0.0,0.0,2497.0,2.0,3.0,2732.0,2.0,3.0,573.0,4211.0,4784.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,4.0,4.0,,,,2910.0,2910.0,0.0,628998.0,559.0,629557.0,2017,OCT,2737.0,4.0,2017-10-01
Ventura,2609.0,23.0,1.0,31682.0,314.0,217.0,34291.0,337.0,218.0,6577.0,60723.0,67300.0,52.0,32.0,749.0,365.0,801.0,397.0,1.0,260.0,261.0,,,,40199.0,40199.0,0.0,9073544.0,119632.0,9193176.0,2017,OCT,34846.0,4.0,2017-10-01
Yolo,752.0,40.0,0.0,8926.0,150.0,50.0,9678.0,190.0,50.0,1918.0,15735.0,17653.0,122.0,71.0,392.0,234.0,514.0,305.0,0.0,69.0,69.0,,,,11690.0,11690.0,0.0,2452769.0,42238.0,2495007.0,2017,OCT,9918.0,4.0,2017-10-01
Yuba,769.0,6.0,0.0,5211.0,22.0,6.0,5980.0,28.0,6.0,2106.0,10682.0,12788.0,21.0,9.0,66.0,38.0,87.0,47.0,0.0,6.0,6.0,,,,6633.0,6633.0,0.0,1746419.0,5221.0,1751640.0,2017,OCT,6014.0,4.0,2017-10-01
California,232551.0,4654.0,270.0,1724603.0,20063.0,9905.0,1957154.0,24717.0,10175.0,593228.0,3390283.0,3983511.0,10499.0,6359.0,47670.0,24666.0,58169.0,31025.0,355.0,12585.0,12940.0,,,,2161451.0,2161451.0,0.0,546750974.0,4949862.0,551700836.0,2017,OCT,1992046.0,4.0,2017-10-01
