county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
Placer,844.0,12.0,0.0,805.0,6.0,1.0,1649.0,18.0,1.0,2173.0,1688.0,3861.0,29.0,26.0,24.0,17.0,53.0,43.0,0.0,1.0,1.0,742.0,0.0,1006.0,1748.0,307887.0,3873.0,1425.0,132.0,311760.0,1557.0,313317.0,2002,NOV,4.0,2002-11-01
Plumas,74.0,0.0,0.0,130.0,0.0,0.0,204.0,0.0,0.0,193.0,299.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,2.0,0.0,212.0,37336.0,0.0,0.0,0.0,37336.0,0.0,37336.0,2002,NOV,4.0,2002-11-01
Riverside,13221.0,473.0,37.0,6392.0,746.0,246.0,19613.0,1219.0,283.0,37614.0,16034.0,53648.0,1286.0,497.0,2212.0,861.0,3498.0,1358.0,112.0,482.0,594.0,860.0,22675.0,0.0,23535.0,4672364.0,322240.0,59568.0,55211.0,4994604.0,114779.0,5109383.0,2002,NOV,4.0,2002-11-01
Sacramento,20757.0,965.0,174.0,11728.0,250.0,254.0,32485.0,1215.0,428.0,70370.0,27437.0,97807.0,3353.0,1645.0,861.0,427.0,4214.0,2072.0,651.0,413.0,1064.0,5103.0,31552.0,0.0,36655.0,7595674.0,304610.0,105733.0,80909.0,7900284.0,186642.0,8086926.0,2002,NOV,4.0,2002-11-01
San Benito,264.0,7.0,0.0,433.0,12.0,6.0,697.0,19.0,6.0,814.0,1017.0,1831.0,17.0,7.0,32.0,14.0,49.0,21.0,0.0,6.0,6.0,804.0,0.0,0.0,804.0,142234.0,3793.0,399.0,830.0,146027.0,1229.0,147256.0,2002,NOV,4.0,2002-11-01
San Bernardino,23840.0,996.0,21.0,17731.0,1373.0,345.0,41571.0,2369.0,366.0,69826.0,45882.0,115708.0,2825.0,1107.0,4274.0,1650.0,7099.0,2757.0,61.0,484.0,545.0,12.0,0.0,50649.0,50661.0,9869213.0,600660.0,116368.0,73640.0,10469873.0,190008.0,10659881.0,2002,NOV,4.0,2002-11-01
San Diego,14519.0,1147.0,44.0,10323.0,869.0,435.0,24842.0,2016.0,479.0,39659.0,26515.0,66174.0,4331.0,1821.0,3529.0,1540.0,7860.0,3361.0,117.0,607.0,724.0,30389.0,0.0,448.0,30837.0,5230566.0,627638.0,149997.0,76629.0,5858204.0,226626.0,6084830.0,2002,NOV,4.0,2002-11-01
San Francisco,4300.0,403.0,46.0,9165.0,469.0,1019.0,13465.0,872.0,1065.0,11169.0,11158.0,22327.0,897.0,490.0,517.0,615.0,1414.0,1105.0,107.0,1336.0,1443.0,0.0,15576.0,0.0,15576.0,1922961.0,128452.0,43720.0,119736.0,2051413.0,163456.0,2214869.0,2002,NOV,4.0,2002-11-01
San Joaquin,6433.0,602.0,5.0,6631.0,876.0,70.0,13064.0,1478.0,75.0,18590.0,17280.0,35870.0,2213.0,721.0,3121.0,1111.0,5334.0,1832.0,6.0,112.0,118.0,127.0,15643.0,0.0,15770.0,2951803.0,403871.0,77505.0,8334.0,3355674.0,85839.0,3441513.0,2002,NOV,4.0,2002-11-01
San Luis Obispo,1106.0,7.0,0.0,1394.0,23.0,10.0,2500.0,30.0,10.0,2753.0,3142.0,5895.0,12.0,11.0,46.0,33.0,58.0,44.0,0.0,14.0,14.0,2703.0,0.0,158.0,2861.0,467103.0,5908.0,2040.0,1270.0,473011.0,3310.0,476321.0,2002,NOV,4.0,2002-11-01
