county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
Ventura,3711.0,24.0,4.0,4959.0,84.0,29.0,8670.0,108.0,33.0,10180.0,12090.0,22270.0,62.0,29.0,224.0,104.0,286.0,133.0,17.0,38.0,55.0,9441.0,0.0,0.0,9441.0,1773672.0,0.0,0.0,11409.0,1773672.0,11409.0,1785081.0,2003,SEP,8811.0,False,3.0,2003-09-01
Merced,3509.0,9.0,0.0,4722.0,12.0,2.0,8231.0,21.0,2.0,9758.0,16029.0,25787.0,26.0,15.0,31.0,19.0,57.0,34.0,0.0,2.0,2.0,5.0,8249.0,0.0,8254.0,1894200.0,3962.0,1995.0,139.0,1898162.0,2134.0,1900296.0,2003,SEP,8254.0,False,3.0,2003-09-01
Santa Barbara,3202.0,80.0,5.0,2977.0,73.0,34.0,6179.0,153.0,39.0,6638.0,7463.0,14101.0,151.0,80.0,214.0,106.0,365.0,186.0,9.0,60.0,69.0,6904.0,0.0,0.0,6904.0,1167521.0,31633.0,6314.0,6365.0,1199154.0,12679.0,1211833.0,2003,SEP,6371.0,False,3.0,2003-09-01
Butte,2241.0,6.0,0.0,3630.0,27.0,6.0,5871.0,33.0,6.0,6254.0,9026.0,15280.0,21.0,7.0,124.0,34.0,145.0,41.0,0.0,8.0,8.0,6501.0,0.0,0.0,6501.0,1247726.0,11029.0,2319.0,1058.0,1258755.0,3377.0,1262132.0,2003,SEP,5910.0,False,3.0,2003-09-01
Monterey,2003.0,80.0,0.0,3427.0,75.0,9.0,5430.0,155.0,9.0,5608.0,8739.0,14347.0,215.0,84.0,209.0,85.0,424.0,169.0,0.0,9.0,9.0,5550.0,0.0,458.0,6008.0,1062121.0,36017.0,6185.0,784.0,1098138.0,6969.0,1105107.0,2003,SEP,5594.0,False,3.0,2003-09-01
Imperial,1675.0,86.0,2.0,3453.0,154.0,50.0,5128.0,240.0,52.0,5107.0,10130.0,15237.0,206.0,95.0,419.0,163.0,625.0,258.0,2.0,55.0,57.0,0.0,0.0,0.0,0.0,1267868.0,47357.0,13797.0,6066.0,1315225.0,19863.0,1335088.0,2003,SEP,5420.0,False,3.0,2003-09-01
Solano,3257.0,6.0,2.0,1868.0,6.0,19.0,5125.0,12.0,21.0,9352.0,3647.0,12999.0,19.0,6.0,23.0,7.0,42.0,13.0,9.0,23.0,32.0,0.0,0.0,5795.0,5795.0,962964.0,8262.0,599.0,2663.0,971226.0,3262.0,974488.0,2003,SEP,5158.0,False,3.0,2003-09-01
Madera,1325.0,6.0,0.0,3405.0,10.0,3.0,4730.0,16.0,3.0,3957.0,8713.0,12670.0,17.0,6.0,45.0,10.0,62.0,16.0,0.0,3.0,3.0,78.0,4697.0,0.0,4775.0,981729.0,2555.0,596.0,1724.0,984284.0,2320.0,986604.0,2003,SEP,4749.0,False,3.0,2003-09-01
Sonoma,1739.0,1.0,1.0,2821.0,22.0,3.0,4560.0,23.0,4.0,4023.0,5410.0,9433.0,2.0,1.0,46.0,32.0,48.0,33.0,3.0,3.0,6.0,4704.0,0.0,533.0,5237.0,806220.0,0.0,0.0,2968.0,806220.0,2968.0,809188.0,2003,SEP,4587.0,False,3.0,2003-09-01
Shasta,1644.0,17.0,0.0,2493.0,48.0,6.0,4137.0,65.0,6.0,4289.0,5516.0,9805.0,53.0,20.0,152.0,61.0,205.0,81.0,0.0,6.0,6.0,4860.0,0.0,367.0,5227.0,871507.0,18147.0,4009.0,1024.0,889654.0,5033.0,894687.0,2003,SEP,4208.0,False,3.0,2003-09-01
Humboldt,1132.0,1.0,0.0,2962.0,6.0,2.0,4094.0,7.0,2.0,2940.0,5926.0,8866.0,5.0,1.0,15.0,6.0,20.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,797213.0,1599.0,799.0,303.0,798812.0,1102.0,799914.0,2003,SEP,4103.0,False,3.0,2003-09-01
Kings,1238.0,36.0,1.0,2689.0,53.0,19.0,3927.0,89.0,20.0,3566.0,6858.0,10424.0,96.0,41.0,166.0,61.0,262.0,102.0,1.0,20.0,21.0,54.0,3981.0,0.0,4035.0,802247.0,20598.0,4042.0,2847.0,822845.0,6889.0,829734.0,2003,SEP,4036.0,False,3.0,2003-09-01
Santa Cruz,1333.0,29.0,0.0,2102.0,22.0,5.0,3435.0,51.0,5.0,3111.0,4349.0,7460.0,50.0,29.0,25.0,28.0,75.0,57.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,621919.0,11005.0,3779.0,761.0,632924.0,4540.0,637464.0,2003,SEP,3491.0,False,3.0,2003-09-01
San Mateo,1400.0,9.0,1.0,1732.0,22.0,13.0,3132.0,31.0,14.0,3381.0,3655.0,7036.0,26.0,9.0,47.0,22.0,73.0,31.0,1.0,13.0,14.0,0.0,0.0,0.0,0.0,658298.0,2370.0,8285.0,2451.0,660668.0,10736.0,671404.0,2003,SEP,3177.0,False,3.0,2003-09-01
Yolo,1791.0,38.0,3.0,1164.0,22.0,22.0,2955.0,60.0,25.0,5226.0,2414.0,7640.0,61.0,59.0,47.0,44.0,108.0,103.0,6.0,52.0,58.0,3040.0,0.0,0.0,3040.0,622629.0,14451.0,4230.0,5240.0,637080.0,9470.0,646550.0,2003,SEP,3040.0,False,3.0,2003-09-01
Mendocino,802.0,3.0,1.0,2041.0,11.0,5.0,2843.0,14.0,6.0,2208.0,4079.0,6287.0,10.0,4.0,26.0,13.0,36.0,17.0,1.0,6.0,7.0,1082.0,0.0,1980.0,3062.0,512115.0,2225.0,1149.0,787.0,514340.0,1936.0,516276.0,2003,SEP,2863.0,False,3.0,2003-09-01
Yuba,1023.0,36.0,2.0,1479.0,45.0,13.0,2502.0,81.0,15.0,2989.0,3683.0,6672.0,183.0,53.0,224.0,63.0,407.0,116.0,4.0,13.0,17.0,2158.0,0.0,572.0,2730.0,528031.0,28159.0,7693.0,3770.0,556190.0,11463.0,567653.0,2003,SEP,2598.0,False,3.0,2003-09-01
San Luis Obispo,1144.0,10.0,0.0,1362.0,28.0,10.0,2506.0,38.0,10.0,2771.0,3120.0,5891.0,17.0,13.0,56.0,33.0,73.0,46.0,0.0,14.0,14.0,3039.0,0.0,0.0,3039.0,495409.0,7077.0,2022.0,1011.0,502486.0,3033.0,505519.0,2003,SEP,2554.0,False,3.0,2003-09-01
Tehama,704.0,2.0,0.0,1233.0,5.0,3.0,1937.0,7.0,3.0,1746.0,2817.0,4563.0,5.0,2.0,13.0,5.0,18.0,7.0,0.0,3.0,3.0,1942.0,0.0,0.0,1942.0,369434.0,1551.0,603.0,409.0,370985.0,1012.0,371997.0,2003,SEP,1947.0,False,3.0,2003-09-01
Marin,460.0,9.0,0.0,1399.0,27.0,27.0,1859.0,36.0,27.0,1104.0,2208.0,3312.0,21.0,9.0,48.0,37.0,69.0,46.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,293691.0,5719.0,2440.0,4576.0,299410.0,7016.0,306426.0,2003,SEP,1922.0,False,3.0,2003-09-01
Lake,700.0,2.0,0.0,1169.0,3.0,1.0,1869.0,5.0,1.0,1849.0,2496.0,4345.0,7.0,2.0,6.0,3.0,13.0,5.0,0.0,1.0,1.0,458.0,0.0,1691.0,2149.0,383978.0,946.0,416.0,130.0,384924.0,546.0,385470.0,2003,SEP,1875.0,False,3.0,2003-09-01
Placer,841.0,5.0,0.0,941.0,12.0,1.0,1782.0,17.0,1.0,2122.0,2088.0,4210.0,10.0,13.0,21.0,21.0,31.0,34.0,0.0,1.0,1.0,832.0,0.0,1092.0,1924.0,346589.0,2990.0,2445.0,136.0,349579.0,2581.0,352160.0,2003,SEP,1800.0,False,3.0,2003-09-01
El Dorado,551.0,3.0,0.0,1038.0,9.0,8.0,1589.0,12.0,8.0,1485.0,2020.0,3505.0,6.0,3.0,18.0,9.0,24.0,12.0,0.0,8.0,8.0,1750.0,64.0,0.0,1814.0,291734.0,2349.0,683.0,1037.0,294083.0,1720.0,295803.0,2003,SEP,1609.0,False,3.0,2003-09-01
Sutter,502.0,3.0,0.0,1083.0,11.0,1.0,1585.0,14.0,1.0,1356.0,2937.0,4293.0,10.0,5.0,36.0,16.0,46.0,21.0,0.0,1.0,1.0,1600.0,0.0,0.0,1600.0,328728.0,3389.0,680.0,139.0,332117.0,819.0,332936.0,2003,SEP,1600.0,False,3.0,2003-09-01
Siskiyou,480.0,4.0,0.0,852.0,14.0,1.0,1332.0,18.0,1.0,1340.0,1838.0,3178.0,7.0,4.0,44.0,16.0,51.0,20.0,0.0,1.0,1.0,1163.0,0.0,264.0,1427.0,251535.0,4439.0,1414.0,10.0,255974.0,1424.0,257398.0,2003,SEP,1351.0,False,3.0,2003-09-01
Del Norte,487.0,3.0,0.0,808.0,3.0,0.0,1295.0,6.0,0.0,1403.0,1752.0,3155.0,8.0,3.0,16.0,3.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,1301.0,1301.0,254735.0,2098.0,266.0,0.0,256833.0,266.0,257099.0,2003,SEP,1301.0,False,3.0,2003-09-01
San Benito,302.0,4.0,0.0,587.0,20.0,7.0,889.0,24.0,7.0,893.0,1369.0,2262.0,7.0,4.0,55.0,25.0,62.0,29.0,0.0,7.0,7.0,1056.0,0.0,0.0,1056.0,185422.0,4955.0,718.0,786.0,190377.0,1504.0,191881.0,2003,SEP,920.0,False,3.0,2003-09-01
Tuolumne,346.0,0.0,0.0,556.0,0.0,1.0,902.0,0.0,1.0,979.0,1222.0,2201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,963.0,0.0,970.0,162254.0,0.0,0.0,101.0,162254.0,101.0,162355.0,2003,SEP,903.0,False,3.0,2003-09-01
Napa,191.0,2.0,0.0,654.0,14.0,11.0,845.0,16.0,11.0,483.0,1423.0,1906.0,2.0,2.0,28.0,16.0,30.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,161717.0,0.0,0.0,2608.0,161717.0,2608.0,164325.0,2003,SEP,872.0,False,3.0,2003-09-01
Nevada,309.0,0.0,0.0,554.0,1.0,0.0,863.0,1.0,0.0,776.0,1100.0,1876.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,941.0,0.0,0.0,941.0,154158.0,233.0,380.0,0.0,154391.0,380.0,154771.0,2003,SEP,864.0,False,3.0,2003-09-01
Glenn,218.0,0.0,0.0,493.0,1.0,2.0,711.0,1.0,2.0,649.0,1379.0,2028.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,3.0,782.0,0.0,0.0,782.0,149841.0,383.0,127.0,395.0,150224.0,522.0,150746.0,2003,SEP,714.0,False,3.0,2003-09-01
Lassen,261.0,0.0,0.0,419.0,2.0,1.0,680.0,2.0,1.0,756.0,976.0,1732.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,266.0,0.0,459.0,725.0,139574.0,224.0,234.0,60.0,139798.0,294.0,140092.0,2003,SEP,683.0,False,3.0,2003-09-01
Calaveras,192.0,0.0,0.0,431.0,0.0,0.0,623.0,0.0,0.0,508.0,883.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,151.0,687.0,118463.0,0.0,0.0,0.0,118463.0,0.0,118463.0,2003,SEP,623.0,False,3.0,2003-09-01
Amador,129.0,1.0,0.0,291.0,0.0,1.0,420.0,1.0,1.0,334.0,631.0,965.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,418.0,0.0,71.0,489.0,86226.0,0.0,0.0,0.0,86226.0,0.0,86226.0,2003,SEP,422.0,False,3.0,2003-09-01
Inyo,67.0,0.0,0.0,311.0,0.0,0.0,378.0,0.0,0.0,193.0,536.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,358.0,65102.0,0.0,0.0,0.0,65102.0,0.0,65102.0,2003,SEP,378.0,False,3.0,2003-09-01
Colusa,85.0,0.0,0.0,268.0,8.0,2.0,353.0,8.0,2.0,225.0,694.0,919.0,0.0,0.0,24.0,8.0,24.0,8.0,0.0,3.0,3.0,385.0,0.0,0.0,385.0,70323.0,1660.0,134.0,243.0,71983.0,377.0,72360.0,2003,SEP,363.0,False,3.0,2003-09-01
Trinity,112.0,0.0,0.0,179.0,0.0,0.0,291.0,0.0,0.0,291.0,437.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,75.0,291.0,58531.0,0.0,0.0,0.0,58531.0,0.0,58531.0,2003,SEP,291.0,False,3.0,2003-09-01
Mariposa,92.0,0.0,0.0,184.0,0.0,0.0,276.0,0.0,0.0,260.0,402.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,282.0,292.0,54630.0,0.0,0.0,0.0,54630.0,0.0,54630.0,2003,SEP,276.0,False,3.0,2003-09-01
Modoc,94.0,0.0,0.0,160.0,0.0,1.0,254.0,0.0,1.0,266.0,383.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,255.0,0.0,0.0,255.0,47288.0,0.0,0.0,139.0,47288.0,139.0,47427.0,2003,SEP,255.0,False,3.0,2003-09-01
Plumas,86.0,0.0,0.0,117.0,1.0,1.0,203.0,1.0,1.0,195.0,234.0,429.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,205.0,7.0,0.0,212.0,32738.0,256.0,110.0,139.0,32994.0,249.0,33243.0,2003,SEP,205.0,False,3.0,2003-09-01
Mono,30.0,0.0,0.0,93.0,0.0,0.0,123.0,0.0,0.0,97.0,148.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,144.0,20324.0,0.0,0.0,0.0,20324.0,0.0,20324.0,2003,SEP,123.0,False,3.0,2003-09-01
Sierra,20.0,0.0,0.0,22.0,0.0,0.0,42.0,0.0,0.0,63.0,40.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,8274.0,0.0,0.0,0.0,8274.0,0.0,8274.0,2003,SEP,42.0,False,3.0,2003-09-01
Alpine,4.0,0.0,0.0,24.0,0.0,0.0,28.0,0.0,0.0,10.0,58.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,5656.0,0.0,0.0,0.0,5656.0,0.0,5656.0,2003,SEP,28.0,False,3.0,2003-09-01
