county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
San Luis Obispo,1151.0,6.0,0.0,1549.0,11.0,5.0,2700.0,17.0,5.0,2667.0,2451.0,5118.0,14.0,6.0,30.0,12.0,44.0,18.0,0.0,7.0,7.0,0.0,0.0,0.0,3126.0,3126.0,0.0,555887.0,1327.0,557214.0,2004,FEB,2722.0,1.0,2004-02-01
San Mateo,1455.0,3.0,0.0,1898.0,18.0,8.0,3353.0,21.0,8.0,3612.0,4006.0,7618.0,5.0,5.0,33.0,26.0,38.0,31.0,0.0,12.0,12.0,0.0,0.0,0.0,4155.0,4155.0,0.0,742858.0,3330.0,746188.0,2004,FEB,3382.0,1.0,2004-02-01
Santa Barbara,3478.0,72.0,6.0,3363.0,100.0,27.0,6841.0,172.0,33.0,6986.0,8515.0,15501.0,139.0,72.0,285.0,141.0,424.0,213.0,12.0,39.0,51.0,0.0,0.0,0.0,7596.0,7596.0,0.0,1376249.0,13824.0,1390073.0,2004,FEB,7046.0,1.0,2004-02-01
Santa Clara,9950.0,144.0,1.0,10514.0,231.0,222.0,20464.0,375.0,223.0,26315.0,23371.0,49686.0,303.0,150.0,497.0,279.0,800.0,429.0,1.0,319.0,320.0,0.0,0.0,0.0,21451.0,21451.0,0.0,4369635.0,74669.0,4444304.0,2004,FEB,21062.0,1.0,2004-02-01
Santa Cruz,1516.0,25.0,1.0,2510.0,23.0,6.0,4026.0,48.0,7.0,3523.0,5565.0,9088.0,43.0,26.0,24.0,25.0,67.0,51.0,1.0,7.0,8.0,0.0,0.0,0.0,4081.0,4081.0,0.0,837998.0,5566.0,843564.0,2004,FEB,4081.0,1.0,2004-02-01
Shasta,1763.0,11.0,2.0,3108.0,41.0,8.0,4871.0,52.0,10.0,4111.0,5556.0,9667.0,33.0,11.0,128.0,53.0,161.0,64.0,2.0,8.0,10.0,6.0,0.0,0.0,5274.0,5280.0,0.0,968177.0,5558.0,973735.0,2004,FEB,4933.0,1.0,2004-02-01
Sierra,17.0,0.0,0.0,34.0,0.0,0.0,51.0,0.0,0.0,57.0,66.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,51.0,0.0,8882.0,0.0,8882.0,2004,FEB,51.0,1.0,2004-02-01
Siskiyou,525.0,3.0,1.0,974.0,10.0,1.0,1499.0,13.0,2.0,1457.0,2141.0,3598.0,5.0,3.0,28.0,12.0,33.0,15.0,2.0,1.0,3.0,0.0,0.0,0.0,1656.0,1656.0,136.0,309779.0,1042.0,310821.0,2004,FEB,1514.0,1.0,2004-02-01
Solano,3357.0,11.0,3.0,2119.0,7.0,14.0,5476.0,18.0,17.0,9535.0,4061.0,13596.0,28.0,11.0,24.0,7.0,52.0,18.0,8.0,15.0,23.0,0.0,0.0,0.0,6125.0,6125.0,0.0,1122933.0,3353.0,1126286.0,2004,FEB,5511.0,1.0,2004-02-01
Sonoma,1877.0,1.0,0.0,3071.0,13.0,5.0,4948.0,14.0,5.0,4395.0,5896.0,10291.0,1.0,2.0,24.0,13.0,25.0,15.0,0.0,6.0,6.0,0.0,0.0,0.0,5037.0,5037.0,0.0,914138.0,1459.0,915597.0,2004,FEB,4967.0,1.0,2004-02-01
Stanislaus,5821.0,37.0,3.0,6502.0,81.0,27.0,12323.0,118.0,30.0,16473.0,17594.0,34067.0,85.0,42.0,249.0,108.0,334.0,150.0,7.0,43.0,50.0,0.0,0.0,0.0,13165.0,13165.0,0.0,2972917.0,13318.0,2986235.0,2004,FEB,12471.0,1.0,2004-02-01
Sutter,515.0,5.0,0.0,1244.0,16.0,2.0,1759.0,21.0,2.0,1553.0,3454.0,5007.0,17.0,5.0,37.0,18.0,54.0,23.0,0.0,3.0,3.0,0.0,0.0,0.0,1849.0,1849.0,0.0,385335.0,1516.0,386851.0,2004,FEB,1782.0,1.0,2004-02-01
Tehama,677.0,3.0,1.0,1318.0,14.0,6.0,1995.0,17.0,7.0,1707.0,2968.0,4675.0,6.0,3.0,30.0,18.0,36.0,21.0,4.0,7.0,11.0,0.0,0.0,0.0,2021.0,2021.0,0.0,393767.0,2677.0,396444.0,2004,FEB,2019.0,1.0,2004-02-01
Trinity,118.0,0.0,0.0,209.0,0.0,0.0,327.0,0.0,0.0,306.0,520.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,94.0,0.0,327.0,0.0,74177.0,0.0,74177.0,2004,FEB,327.0,1.0,2004-02-01
Tulare,10505.0,119.0,1.0,7583.0,250.0,49.0,18088.0,369.0,50.0,32531.0,18801.0,51332.0,168.0,131.0,625.0,560.0,793.0,691.0,2.0,299.0,301.0,0.0,0.0,0.0,20760.0,20760.0,0.0,4309541.0,22832.0,4332373.0,2004,FEB,18507.0,1.0,2004-02-01
Tuolumne,362.0,0.0,0.0,580.0,0.0,0.0,942.0,0.0,0.0,974.0,1263.0,2237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1020.0,0.0,0.0,1025.0,0.0,182837.0,0.0,182837.0,2004,FEB,942.0,1.0,2004-02-01
Ventura,3716.0,23.0,1.0,5140.0,70.0,35.0,8856.0,93.0,36.0,10216.0,12542.0,22758.0,66.0,26.0,178.0,73.0,244.0,99.0,5.0,47.0,52.0,0.0,0.0,0.0,9746.0,9746.0,0.0,1917983.0,10983.0,1928966.0,2004,FEB,8985.0,1.0,2004-02-01
Yolo,1799.0,32.0,1.0,1287.0,20.0,21.0,3086.0,52.0,22.0,5248.0,2709.0,7957.0,32.0,53.0,30.0,27.0,62.0,80.0,1.0,52.0,53.0,0.0,0.0,0.0,3160.0,3160.0,0.0,691858.0,7087.0,698945.0,2004,FEB,3160.0,1.0,2004-02-01
Yuba,1057.0,27.0,1.0,1449.0,41.0,11.0,2506.0,68.0,12.0,3163.0,3742.0,6905.0,123.0,31.0,165.0,49.0,288.0,80.0,2.0,14.0,16.0,2.0,0.0,0.0,2757.0,2759.0,0.0,595616.0,7099.0,602715.0,2004,FEB,2586.0,1.0,2004-02-01
