county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
Sierra,50.0,37.0,0.0,3.0,1.0,9.0,16.3,13.0,11.0,2.0,2.0,2.0,0.0,0.0,37.7,0.08,0.0,0.04,0.04,2012,DEC,9.88851686091e-05,3.77115472758e-05,4.0,2012-12-01
Siskiyou,893.0,575.0,22.0,35.0,36.0,225.0,17.0,327.0,203.0,124.0,117.0,113.0,3.0,1.0,42.7,0.1041,0.0246,0.131,0.1265,2012,DEC,0.00176608911136,0.000948590458398,4.0,2012-12-01
Solano,5860.0,3261.0,419.0,322.0,213.0,1645.0,14.7,4338.0,3401.0,937.0,308.0,68.0,134.0,106.0,48.3,0.1628,0.0715,0.0526,0.0116,2012,DEC,0.011589341761,0.0125840532371,4.0,2012-12-01
Sonoma,4988.0,2719.0,525.0,214.0,184.0,1346.0,20.0,3400.0,2837.0,563.0,313.0,164.0,83.0,66.0,37.7,0.185,0.1053,0.0628,0.0329,2012,DEC,0.00986478442044,0.00986302005674,4.0,2012-12-01
Stanislaus,9639.0,4771.0,228.0,537.0,502.0,3601.0,14.0,5052.0,3608.0,1444.0,1320.0,1260.0,48.0,12.0,36.7,0.1314,0.0237,0.1369,0.1307,2012,DEC,0.0190630828045,0.014655287449,4.0,2012-12-01
Sutter,1755.0,988.0,83.0,104.0,89.0,491.0,16.3,580.0,337.0,243.0,233.0,225.0,6.0,2.0,42.0,0.1573,0.0473,0.1328,0.1282,2012,DEC,0.00347086941818,0.00168251518615,4.0,2012-12-01
Tehama,1301.0,811.0,67.0,62.0,61.0,300.0,24.0,529.0,329.0,200.0,171.0,162.0,6.0,3.0,33.0,0.146,0.0515,0.1314,0.1245,2012,DEC,0.00257299208721,0.0015345698853,4.0,2012-12-01
Trinity,217.0,121.0,8.0,16.0,11.0,61.0,12.7,75.0,48.0,27.0,25.0,24.0,1.0,0.0,39.3,0.1613,0.0369,0.1152,0.1106,2012,DEC,0.000429161631763,0.000217566618899,4.0,2012-12-01
Tulare,10962.0,3778.0,2787.0,832.0,563.0,3002.0,9.0,11169.0,9858.0,1311.0,1698.0,1181.0,342.0,175.0,43.7,0.3815,0.2542,0.1549,0.1077,2012,DEC,0.0216795843659,0.0324000208864,4.0,2012-12-01
Tuolumne,876.0,478.0,36.0,42.0,39.0,281.0,14.3,309.0,205.0,104.0,92.0,90.0,2.0,0.0,36.3,0.1336,0.0411,0.105,0.1027,2012,DEC,0.00173246815403,0.000896374469863,4.0,2012-12-01
Ventura,9121.0,4526.0,1124.0,654.0,338.0,2479.0,10.3,6426.0,5157.0,1269.0,1007.0,576.0,260.0,171.0,44.7,0.232,0.1232,0.1104,0.0632,2012,DEC,0.0180386324577,0.0186411079072,4.0,2012-12-01
Yolo,2479.0,1275.0,338.0,114.0,94.0,658.0,15.3,1652.0,1378.0,274.0,190.0,113.0,43.0,34.0,40.7,0.2203,0.1363,0.0766,0.0456,2012,DEC,0.00490272665964,0.00479226739228,4.0,2012-12-01
Yuba,1738.0,983.0,74.0,96.0,95.0,490.0,14.7,736.0,488.0,248.0,230.0,216.0,10.0,4.0,35.3,0.1525,0.0426,0.1323,0.1243,2012,DEC,0.00343724846085,0.00213505375346,4.0,2012-12-01
