county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
Kern,17387.0,8407.0,939.0,910.0,910.0,6221.0,15.3,17369.0,12599.0,4770.0,3156.0,2726.0,278.0,152.0,28.7,0.1587,0.054,0.1815,0.1568,2012,SEP,0.0318512642865,0.0382376639559,3.0,2012-09-01
Kings,2757.0,1376.0,118.0,149.0,131.0,983.0,16.0,3006.0,2319.0,687.0,452.0,399.0,35.0,18.0,32.0,0.1444,0.0428,0.1639,0.1447,2012,SEP,0.00505055131063,0.00661767619618,3.0,2012-09-01
Lake,1573.0,997.0,24.0,47.0,59.0,446.0,23.3,1527.0,868.0,659.0,438.0,403.0,23.0,12.0,46.3,0.0826,0.0153,0.2784,0.2562,2012,SEP,0.00288158041771,0.00336167383618,3.0,2012-09-01
Lassen,599.0,321.0,33.0,26.0,47.0,172.0,13.7,542.0,383.0,159.0,104.0,95.0,5.0,4.0,21.3,0.177,0.0551,0.1736,0.1586,2012,SEP,0.00109730875411,0.00119320708527,3.0,2012-09-01
Los Angeles,147723.0,80774.0,15430.0,6317.0,4456.0,40746.0,13.3,83679.0,82961.0,718.0,427.0,18.0,271.0,138.0,31.3,0.1774,0.1045,0.29,0.01,2012,SEP,0.270613925013,0.184218405329,3.0,2012-09-01
Madera,2691.0,1381.0,146.0,160.0,126.0,878.0,20.3,3203.0,2311.0,892.0,579.0,485.0,65.0,29.0,31.3,0.1605,0.0543,0.2152,0.1802,2012,SEP,0.00492964583856,0.00705136954636,3.0,2012-09-01
Marin,1833.0,1108.0,68.0,83.0,65.0,509.0,19.3,1626.0,1122.0,504.0,293.0,252.0,26.0,15.0,32.7,0.1178,0.0371,0.1598,0.1375,2012,SEP,0.00335787470163,0.00357962125582,3.0,2012-09-01
Mariposa,286.0,174.0,8.0,15.0,6.0,83.0,19.0,267.0,179.0,88.0,51.0,44.0,6.0,1.0,43.7,0.1014,0.028,0.1783,0.1538,2012,SEP,0.000523923712311,0.000587797586287,3.0,2012-09-01
Mendocino,2099.0,1158.0,71.0,124.0,83.0,663.0,10.0,2056.0,1335.0,721.0,384.0,322.0,40.0,22.0,37.3,0.1324,0.0338,0.1829,0.1534,2012,SEP,0.0038451603921,0.00452626156332,3.0,2012-09-01
Merced,5663.0,2461.0,279.0,299.0,303.0,2321.0,14.0,6373.0,4371.0,2002.0,1528.0,1396.0,81.0,51.0,35.0,0.1556,0.0493,0.2698,0.2465,2012,SEP,0.010374055884,0.0140300899528,3.0,2012-09-01
Modoc,163.0,108.0,8.0,6.0,4.0,37.0,17.3,124.0,93.0,31.0,21.0,20.0,0.0,1.0,4.0,0.1104,0.0491,0.1288,0.1227,2012,SEP,0.000298599877995,0.000272984646815,3.0,2012-09-01
Mono,194.0,115.0,3.0,17.0,8.0,51.0,16.3,166.0,135.0,31.0,19.0,16.0,2.0,1.0,26.7,0.1443,0.0155,0.0979,0.0825,2012,SEP,0.000355388811847,0.000365447188478,3.0,2012-09-01
Monterey,6044.0,3134.0,151.0,272.0,311.0,2176.0,15.3,5690.0,4259.0,1431.0,993.0,886.0,62.0,45.0,26.3,0.1214,0.025,0.1643,0.1466,2012,SEP,0.0110720102,0.0125264729063,3.0,2012-09-01
Napa,1264.0,756.0,32.0,46.0,38.0,392.0,25.0,1086.0,627.0,459.0,320.0,289.0,28.0,3.0,51.7,0.0918,0.0253,0.2532,0.2286,2012,SEP,0.00231552298028,0.00239081714872,3.0,2012-09-01
Nevada,1295.0,888.0,29.0,58.0,35.0,285.0,11.0,1030.0,716.0,314.0,209.0,176.0,24.0,9.0,43.0,0.0942,0.0224,0.1614,0.1359,2012,SEP,0.00237231191414,0.00226753375984,3.0,2012-09-01
Orange,25546.0,15306.0,2131.0,1245.0,779.0,6085.0,5.0,22749.0,19797.0,2952.0,1899.0,1189.0,417.0,293.0,39.3,0.1626,0.0834,0.0743,0.0465,2012,SEP,0.0467977452961,0.0500816752451,3.0,2012-09-01
Placer,3315.0,1985.0,330.0,167.0,100.0,733.0,8.7,1948.0,1592.0,356.0,232.0,133.0,54.0,45.0,42.3,0.1801,0.0995,0.07,0.0401,2012,SEP,0.00607275211997,0.0042885007419,3.0,2012-09-01
Plumas,329.0,219.0,7.0,5.0,18.0,80.0,18.3,236.0,166.0,70.0,52.0,49.0,2.0,1.0,37.3,0.0912,0.0213,0.1581,0.1489,2012,SEP,0.000602695459267,0.000519551424584,3.0,2012-09-01
Riverside,40336.0,21594.0,1035.0,1724.0,1660.0,14323.0,12.0,35403.0,23861.0,11542.0,7927.0,7259.0,455.0,213.0,35.7,0.1096,0.0257,0.1965,0.18,2012,SEP,0.0738915624468,0.0779393181548,3.0,2012-09-01
Sacramento,26707.0,15464.0,2133.0,1262.0,738.0,7110.0,10.3,23080.0,20315.0,2765.0,1931.0,1119.0,486.0,326.0,42.3,0.1548,0.0799,0.0723,0.0419,2012,SEP,0.0489245824639,0.050810368133,3.0,2012-09-01
San Benito,825.0,418.0,32.0,43.0,35.0,297.0,15.0,837.0,560.0,277.0,203.0,180.0,15.0,8.0,43.3,0.1333,0.0388,0.2461,0.2182,2012,SEP,0.0015113184009,0.001842646366,3.0,2012-09-01
San Bernardino,44473.0,22909.0,1487.0,1869.0,1710.0,16498.0,11.7,46182.0,31861.0,14321.0,10388.0,9741.0,402.0,245.0,34.0,0.1139,0.0334,0.2336,0.219,2012,SEP,0.0814701372643,0.101669169026,3.0,2012-09-01
San Diego,43342.0,22335.0,6823.0,2598.0,1638.0,9948.0,8.7,35811.0,28870.0,6941.0,6270.0,3881.0,1389.0,1000.0,41.7,0.2552,0.1574,0.1447,0.0895,2012,SEP,0.0793982571293,0.0788375257024,3.0,2012-09-01
San Francisco,9193.0,5061.0,794.0,550.0,339.0,2449.0,8.0,7021.0,5360.0,1661.0,923.0,586.0,202.0,135.0,39.3,0.1831,0.0864,0.1004,0.0637,2012,SEP,0.0168406667387,0.0154566548814,3.0,2012-09-01
San Joaquin,11783.0,6759.0,563.0,521.0,452.0,3488.0,21.7,12932.0,9621.0,3311.0,2171.0,1934.0,152.0,85.0,33.3,0.1304,0.0478,0.1842,0.1641,2012,SEP,0.021585290567,0.0284696568759,3.0,2012-09-01
San Luis Obispo,2973.0,1686.0,193.0,158.0,112.0,824.0,13.3,1940.0,1622.0,318.0,171.0,90.0,42.0,39.0,43.7,0.1557,0.0649,0.0575,0.0303,2012,SEP,0.0054462419465,0.0042708888292,3.0,2012-09-01
San Mateo,5427.0,3354.0,434.0,253.0,168.0,1218.0,11.7,3021.0,2535.0,486.0,329.0,180.0,79.0,70.0,41.7,0.1575,0.08,0.0606,0.0332,2012,SEP,0.00994172722626,0.00665069853249,3.0,2012-09-01
Santa Barbara,4529.0,2441.0,371.0,281.0,190.0,1246.0,14.7,3658.0,2993.0,665.0,419.0,225.0,113.0,81.0,44.3,0.1859,0.0819,0.0925,0.0497,2012,SEP,0.00829668004565,0.00805304708105,3.0,2012-09-01
