county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
San Bernardino,44473.0,22909.0,1487.0,1869.0,1710.0,16498.0,11.7,46182.0,31861.0,14321.0,10388.0,9741.0,402.0,245.0,34.0,0.1139,0.0334,0.2336,0.21899999999999997,2012,SEP,0.08147013726434882,0.10166916902592914,3.0,2012-09-01
San Diego,43342.0,22335.0,6823.0,2598.0,1638.0,9948.0,8.7,35811.0,28870.0,6941.0,6270.0,3881.0,1389.0,1000.0,41.7,0.2552,0.1574,0.1447,0.0895,2012,SEP,0.07939825712930107,0.0788375257023851,3.0,2012-09-01
San Francisco,9193.0,5061.0,794.0,550.0,339.0,2449.0,8.0,7021.0,5360.0,1661.0,923.0,586.0,202.0,135.0,39.3,0.18309999999999998,0.0864,0.10039999999999999,0.0637,2012,SEP,0.016840666738721442,0.015456654881361753,3.0,2012-09-01
San Joaquin,11783.0,6759.0,563.0,521.0,452.0,3488.0,21.7,12932.0,9621.0,3311.0,2171.0,1934.0,152.0,85.0,33.3,0.1304,0.0478,0.18420000000000003,0.1641,2012,SEP,0.021585290566991707,0.028469656875910868,3.0,2012-09-01
San Luis Obispo,2973.0,1686.0,193.0,158.0,112.0,824.0,13.3,1940.0,1622.0,318.0,171.0,90.0,42.0,39.0,43.7,0.1557,0.0649,0.0575,0.030299999999999997,2012,SEP,0.005446241946504824,0.004270888829204074,3.0,2012-09-01
San Mateo,5427.0,3354.0,434.0,253.0,168.0,1218.0,11.7,3021.0,2535.0,486.0,329.0,180.0,79.0,70.0,41.7,0.1575,0.08,0.060599999999999994,0.0332,2012,SEP,0.009941727226263599,0.0066506985324873745,3.0,2012-09-01
Santa Barbara,4529.0,2441.0,371.0,281.0,190.0,1246.0,14.7,3658.0,2993.0,665.0,419.0,225.0,113.0,81.0,44.3,0.1859,0.0819,0.0925,0.049699999999999994,2012,SEP,0.008296680045650975,0.008053047081045619,3.0,2012-09-01
Santa Clara,12240.0,7316.0,987.0,475.0,339.0,3123.0,23.0,11654.0,10161.0,1493.0,485.0,141.0,194.0,150.0,41.0,0.1471,0.0806,0.039599999999999996,0.0115,2012,SEP,0.02242246936603399,0.0256561538224455,3.0,2012-09-01
Santa Cruz,3362.0,2045.0,163.0,154.0,96.0,904.0,14.7,2567.0,2071.0,496.0,281.0,119.0,96.0,66.0,44.3,0.12279999999999999,0.048499999999999995,0.0836,0.0354,2012,SEP,0.006158851471291362,0.005651222486890132,3.0,2012-09-01
Shasta,4232.0,2354.0,107.0,242.0,205.0,1324.0,18.0,4034.0,2762.0,1272.0,874.0,788.0,60.0,26.0,37.0,0.1309,0.0253,0.2065,0.1862,2012,SEP,0.007752605421328091,0.00888080697783981,3.0,2012-09-01
