county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
Fresno,18912.0,6926.0,2656.0,1263.0,928.0,7139.0,9.0,24756.0,21477.0,3279.0,2821.0,1823.0,613.0,385.0,47.0,0.2563,0.1404,0.1492,0.0964,2013,DEC,0.03877730117201276,0.05089219636543047,4.0,2013-12-01
Glenn,485.0,233.0,80.0,28.0,27.0,117.0,12.7,528.0,312.0,216.0,84.0,75.0,9.0,0.0,24.0,0.2784,0.1649,0.1732,0.15460000000000002,2013,DEC,0.0009944474972729584,0.0010854370528739412,4.0,2013-12-01
Humboldt,3330.0,2010.0,345.0,170.0,115.0,690.0,18.0,2972.0,1641.0,1331.0,724.0,642.0,59.0,23.0,30.0,0.1892,0.1036,0.21739999999999998,0.1928,2013,DEC,0.006827856012204024,0.006109694926404079,4.0,2013-12-01
Imperial,3328.0,1622.0,590.0,144.0,128.0,844.0,14.3,4062.0,2872.0,1190.0,723.0,653.0,52.0,18.0,23.7,0.259,0.1773,0.21719999999999998,0.1962,2013,DEC,0.006823755197782279,0.008350464599950662,4.0,2013-12-01
Inyo,292.0,154.0,36.0,16.0,13.0,73.0,9.3,371.0,201.0,170.0,85.0,74.0,10.0,1.0,27.7,0.22260000000000002,0.1233,0.29109999999999997,0.2534,2013,DEC,0.0005987189055746471,0.0007626839898034701,4.0,2013-12-01
Kern,17640.0,6993.0,4010.0,1058.0,739.0,4840.0,16.0,20454.0,13309.0,7145.0,4694.0,4145.0,406.0,143.0,24.3,0.3292,0.2273,0.2661,0.235,2013,DEC,0.036169183199783475,0.04204835128690075,4.0,2013-12-01
Kings,2645.0,1043.0,613.0,153.0,109.0,727.0,17.3,3428.0,2172.0,1256.0,1158.0,1070.0,77.0,11.0,29.0,0.3308,0.2318,0.4378,0.4045,2013,DEC,0.005423327072756649,0.0070471178357043,4.0,2013-12-01
Lake,1340.0,746.0,140.0,46.0,50.0,358.0,22.7,1752.0,1121.0,631.0,454.0,413.0,27.0,14.0,31.0,0.1761,0.1045,0.33880000000000005,0.30820000000000003,2013,DEC,0.002747545662568586,0.003601677493627169,4.0,2013-12-01
Lassen,494.0,241.0,69.0,23.0,18.0,143.0,14.7,545.0,314.0,231.0,119.0,109.0,8.0,2.0,28.3,0.2227,0.13970000000000002,0.2409,0.2206,2013,DEC,0.001012901162170807,0.0011203848367732916,4.0,2013-12-01
Los Angeles,116138.0,65841.0,12100.0,5678.0,3527.0,28992.0,13.3,89247.0,87864.0,1383.0,1274.0,956.0,206.0,112.0,29.3,0.1834,0.1042,0.011000000000000001,0.82,2013,DEC,0.23813019265626154,0.18346969821560727,4.0,2013-12-01
Madera,3026.0,1334.0,515.0,163.0,137.0,877.0,18.3,3879.0,2690.0,1189.0,700.0,611.0,65.0,24.0,26.7,0.2693,0.1702,0.23129999999999998,0.20190000000000002,2013,DEC,0.006204532220098912,0.007974261985034125,4.0,2013-12-01
Marin,1687.0,1027.0,237.0,62.0,42.0,319.0,14.7,1672.0,1014.0,658.0,338.0,299.0,28.0,11.0,29.3,0.2021,0.1405,0.2004,0.1772,2013,DEC,0.0034590369647411975,0.003437217334100814,4.0,2013-12-01
Mariposa,298.0,182.0,28.0,9.0,7.0,72.0,16.7,257.0,153.0,104.0,49.0,46.0,3.0,0.0,25.3,0.1477,0.094,0.16440000000000002,0.15439999999999998,2013,DEC,0.0006110213488398796,0.0005283282624784147,4.0,2013-12-01
Mendocino,1634.0,744.0,294.0,87.0,60.0,449.0,12.7,2212.0,1335.0,877.0,526.0,452.0,51.0,23.0,31.3,0.2699,0.17989999999999998,0.32189999999999996,0.2766,2013,DEC,0.003350365382564977,0.0045473234109037084,4.0,2013-12-01
Merced,5374.0,1972.0,1120.0,293.0,241.0,1748.0,18.0,7726.0,5332.0,2394.0,1844.0,1666.0,135.0,43.0,27.3,0.3078,0.2084,0.3431,0.31,2013,DEC,0.011018888351226554,0.015882739906257708,4.0,2013-12-01
Modoc,179.0,93.0,36.0,6.0,5.0,39.0,17.0,180.0,108.0,72.0,34.0,31.0,1.0,2.0,25.7,0.2626,0.2011,0.18989999999999999,0.1732,2013,DEC,0.0003670228907461022,0.00037003535893429814,4.0,2013-12-01
Mono,324.0,197.0,5.0,9.0,21.0,92.0,14.7,205.0,85.0,120.0,21.0,20.0,1.0,0.0,21.7,0.10800000000000001,0.0154,0.06480000000000001,0.0617,2013,DEC,0.0006643319363225537,0.000421429158786284,4.0,2013-12-01
Monterey,9768.0,3132.0,2288.0,615.0,504.0,3229.0,14.3,8995.0,5839.0,3156.0,1188.0,1036.0,119.0,33.0,21.0,0.3488,0.23420000000000002,0.1216,0.1061,2013,DEC,0.02002837763579847,0.018491489186744512,4.0,2013-12-01
Napa,1334.0,703.0,160.0,54.0,47.0,370.0,21.7,1236.0,719.0,517.0,239.0,213.0,15.0,11.0,24.7,0.1957,0.1199,0.17920000000000003,0.1597,2013,DEC,0.0027352432193033537,0.002540909464682181,4.0,2013-12-01
Nevada,1314.0,784.0,164.0,53.0,28.0,285.0,15.7,1276.0,698.0,578.0,222.0,189.0,29.0,4.0,24.7,0.1865,0.12480000000000001,0.1689,0.1438,2013,DEC,0.002694235075085912,0.002623139544445358,4.0,2013-12-01
