county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
California,447988.0,218227.0,58261.0,23508.0,14618.0,133374.0,12.7,473203.0,356215.0,116988.0,68417.0,54010.0,8890.0,5517.0,29.8,0.2152,0.1301,0.1527,0.1206,2015,MAR,1.0,1.0,1.0,2015-03-01
Alameda,16260.0,7966.0,1863.0,1158.0,615.0,4658.0,20.0,16738.0,12358.0,4380.0,2155.0,1183.0,595.0,377.0,40.3,0.2236,0.11460000000000001,0.1325,0.0728,2015,MAR,0.03629561506111771,0.03537171150647819,1.0,2015-03-01
Alpine,19.0,12.0,2.0,0.0,2.0,3.0,8.0,31.0,15.0,16.0,0.0,0.0,0.0,0.0,30.7,0.21050000000000002,0.10529999999999999,0.0,0.0,2015,MAR,4.241185031741922e-05,6.551099633772398e-05,1.0,2015-03-01
Amador,529.0,258.0,74.0,30.0,17.0,150.0,12.7,575.0,332.0,243.0,144.0,137.0,2.0,5.0,25.3,0.22870000000000001,0.1399,0.2722,0.259,2015,MAR,0.0011808352009428824,0.001215123319167461,1.0,2015-03-01
Butte,4533.0,2463.0,660.0,194.0,122.0,1094.0,17.3,4546.0,2660.0,1886.0,1316.0,1211.0,60.0,45.0,28.0,0.21530000000000002,0.1456,0.2903,0.2672,2015,MAR,0.010118574604676911,0.009606870624235264,1.0,2015-03-01
Calaveras,687.0,369.0,88.0,34.0,20.0,176.0,11.0,861.0,560.0,301.0,183.0,167.0,13.0,3.0,22.0,0.20670000000000002,0.1281,0.2664,0.24309999999999998,2015,MAR,0.0015335232193719474,0.001819515091831624,1.0,2015-03-01
Colusa,225.0,117.0,30.0,10.0,9.0,59.0,23.7,229.0,114.0,115.0,87.0,75.0,8.0,4.0,30.0,0.21780000000000002,0.1333,0.38670000000000004,0.3333,2015,MAR,0.000502245595864175,0.00048393606972060616,1.0,2015-03-01
Contra Costa,9436.0,5324.0,857.0,439.0,261.0,2555.0,13.0,8405.0,6430.0,1975.0,986.0,583.0,245.0,158.0,39.3,0.165,0.0908,0.1045,0.061799999999999994,2015,MAR,0.021063064189219355,0.01776193303930871,1.0,2015-03-01
Del Norte,572.0,273.0,99.0,16.0,13.0,171.0,14.3,678.0,431.0,247.0,207.0,190.0,9.0,8.0,27.7,0.2238,0.17309999999999998,0.3619,0.3322,2015,MAR,0.0012768199148191469,0.0014327888876444147,1.0,2015-03-01
El Dorado,2063.0,1137.0,250.0,100.0,50.0,526.0,9.7,2118.0,1147.0,971.0,533.0,472.0,40.0,21.0,28.7,0.19390000000000002,0.12119999999999999,0.2584,0.2288,2015,MAR,0.0046050340634124125,0.004475880330429012,1.0,2015-03-01
Fresno,17256.0,7158.0,2254.0,1189.0,761.0,5894.0,8.7,24151.0,20914.0,3237.0,2412.0,1484.0,544.0,384.0,43.0,0.24359999999999998,0.1306,0.1398,0.086,2015,MAR,0.03851888889880979,0.05103729266297974,1.0,2015-03-01
Glenn,388.0,199.0,53.0,21.0,13.0,102.0,9.7,461.0,256.0,205.0,76.0,66.0,6.0,4.0,21.7,0.2242,0.1366,0.1959,0.17010000000000003,2015,MAR,0.0008660946275346661,0.000974211913280347,1.0,2015-03-01
Humboldt,3590.0,2151.0,409.0,120.0,92.0,818.0,10.0,2985.0,1720.0,1265.0,823.0,763.0,40.0,20.0,31.3,0.17300000000000001,0.1139,0.22920000000000001,0.2125,2015,MAR,0.008013607507343947,0.0063080749699389056,1.0,2015-03-01
