county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
Fresno,18577.0,7579.0,2587.0,1266.0,804.0,6341.0,8.0,26612.0,22603.0,4009.0,3041.0,1965.0,660.0,416.0,47.7,0.250686332562,0.139258222533,0.163697044733,0.10577595952,2015,SEP,0.0395514507379,0.0521666856159,3.0,2015-09-01
Glenn,379.0,208.0,36.0,17.0,9.0,109.0,9.7,491.0,275.0,216.0,79.0,74.0,2.0,3.0,23.3,0.163588390501,0.0949868073879,0.208443271768,0.195250659631,2015,SEP,0.000806911763453,0.00096249220793,3.0,2015-09-01
Humboldt,3763.0,2295.0,440.0,182.0,93.0,753.0,12.0,3574.0,1931.0,1643.0,1069.0,973.0,70.0,26.0,33.7,0.190007972362,0.116927982992,0.284081849588,0.258570289663,2015,SEP,0.00801163315534,0.00700600234448,3.0,2015-09-01
Imperial,4049.0,1990.0,555.0,176.0,134.0,1194.0,12.0,5386.0,3850.0,1536.0,969.0,862.0,82.0,25.0,23.3,0.213632995801,0.137070881699,0.23931835021,0.212892072117,2015,SEP,0.00862054282381,0.0105580102483,3.0,2015-09-01
Inyo,265.0,121.0,34.0,21.0,8.0,81.0,6.3,319.0,187.0,132.0,93.0,85.0,5.0,3.0,29.3,0.237735849057,0.128301886792,0.350943396226,0.320754716981,2015,SEP,0.000564199517982,0.000625325894765,3.0,2015-09-01
Kern,18281.0,7917.0,3474.0,908.0,557.0,5425.0,12.3,18935.0,12618.0,6317.0,3766.0,3220.0,362.0,184.0,19.0,0.270171216017,0.190033367978,0.206006235983,0.176139160877,2015,SEP,0.0389212505216,0.0371176984871,3.0,2015-09-01
Kings,2605.0,1071.0,561.0,114.0,81.0,778.0,10.3,3035.0,1910.0,1125.0,745.0,673.0,46.0,26.0,27.3,0.290211132438,0.215355086372,0.285988483685,0.258349328215,2015,SEP,0.0055461877145,0.00594941721195,3.0,2015-09-01
Lake,1731.0,1051.0,99.0,55.0,51.0,475.0,11.3,1793.0,1076.0,717.0,511.0,439.0,49.0,23.0,31.0,0.118428653957,0.0571923743501,0.295205083767,0.253610629694,2015,SEP,0.00368539383255,0.00351476278782,3.0,2015-09-01
Lassen,412.0,237.0,35.0,20.0,11.0,109.0,23.3,523.0,285.0,238.0,134.0,120.0,10.0,4.0,29.3,0.160194174757,0.0849514563107,0.325242718447,0.291262135922,2015,SEP,0.000877170571353,0.00102522082433,3.0,2015-09-01
Los Angeles,90967.0,43225.0,7277.0,3609.0,2378.0,34478.0,11.7,96380.0,79548.0,16832.0,1046.0,791.0,174.0,81.0,0.0,0.145811118318,0.0799960425209,0.0114986753438,0.00869546099135,2015,SEP,0.193673726612,0.188930751528,3.0,2015-09-01
