county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
San Benito,778.0,427.0,22.0,35.0,36.0,258.0,18.0,804.0,573.0,231.0,156.0,138.0,17.0,1.0,38.7,0.119537275064,0.0282776349614,0.200514138817,0.177377892031,2012,JUN,0.0014651214468921724,0.0019207843680643319,2.0,2012-06-01
San Bernardino,44183.0,22432.0,1452.0,1957.0,1784.0,16558.0,10.7,43302.0,30875.0,12427.0,8921.0,8228.0,450.0,243.0,33.7,0.117533893126,0.0328633184709,0.201910236969,0.186225471335,2012,JUN,0.08320496258102424,0.10345000585313645,2.0,2012-06-01
San Diego,41531.0,20890.0,7055.0,2622.0,1538.0,9426.0,7.7,31254.0,24998.0,6256.0,5751.0,3475.0,1366.0,910.0,41.3,0.270039247791,0.169873106836,0.13847487419,0.0836724374564,2012,JUN,0.07821074397285194,0.07466690875557541,2.0,2012-06-01
San Francisco,9195.0,4876.0,1036.0,526.0,313.0,2444.0,6.3,6655.0,5166.0,1489.0,928.0,607.0,190.0,131.0,37.7,0.203915171289,0.112669929309,0.100924415443,0.0660141381185,2012,JUN,0.017315927640325867,0.015899029812771304,2.0,2012-06-01
San Joaquin,11551.0,6752.0,575.0,458.0,401.0,3365.0,21.3,12196.0,9209.0,2987.0,1998.0,1778.0,153.0,67.0,32.0,0.124145095663,0.0497792398926,0.172972037053,0.153926067007,2012,JUN,0.021752722150451778,0.029136674319543025,2.0,2012-06-01
San Luis Obispo,2737.0,1508.0,238.0,142.0,97.0,752.0,11.7,1813.0,1481.0,332.0,194.0,103.0,56.0,35.0,43.0,0.174278407015,0.0869565217391,0.0708805261235,0.0376324442821,2012,JUN,0.005154289717408581,0.004331320969279395,2.0,2012-06-01
San Mateo,5062.0,3147.0,505.0,213.0,131.0,1066.0,12.0,2557.0,2168.0,389.0,301.0,168.0,82.0,51.0,42.7,0.167720268669,0.0997629395496,0.0594626629791,0.0331884630581,2012,JUN,0.009532705352401255,0.006108763220324001,2.0,2012-06-01
Santa Barbara,4137.0,2267.0,416.0,173.0,116.0,1165.0,12.7,3032.0,2519.0,513.0,339.0,196.0,78.0,65.0,40.7,0.170413343002,0.100555958424,0.0819434372734,0.0473773265651,2012,JUN,0.00779075504600632,0.007243554980063501,2.0,2012-06-01
Santa Clara,12273.0,7172.0,1152.0,479.0,316.0,3154.0,25.0,10134.0,8658.0,1476.0,413.0,113.0,180.0,120.0,43.7,0.158640919091,0.0938645807871,0.0336511040495,0.0092072028029,2012,JUN,0.02311238498420004,0.024210483564631766,2.0,2012-06-01
Santa Cruz,3217.0,1862.0,186.0,140.0,92.0,937.0,12.3,2088.0,1772.0,316.0,126.0,53.0,40.0,33.0,40.7,0.12993472179,0.0578178427106,0.0391669257072,0.0164749766864,2012,JUN,0.00605822068721352,0.004988305672286474,2.0,2012-06-01
