county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-1826.0,34135.0,89566.0,123701.0,88804.0,56156.0,223.0,689.0,4842.0,21544.0,50.0,349.0,1512.0,4750.0,34897.0,3484.0,280038.0,30845.0,13469.0,225.0,37.0,41412.0,588.0,425.0,13731.0,6700.0,10414.0,310883.0,306107.0,1891437.0,953.0,12858.0,4574.0,5115.0,925.0,202.0,32196.0,278687.0,6215.0,396205.0,64688.0,42425.0,6951.0,15312.0,460893.0,448723.0,7701.0,4469.0,59022.0,401871.0,19187.0,18405.0,257.0,19.0,22174.0,402.0,339.0,18681.0,488.0,18.0,0.0,3000.0,31.0,61.0,506.0,261.0,26007.0,22915.0,3092.0,324.0,2004,APR,912.0,26386.0,399.0,6262.0,9699.0,676243.0,95533.0,54881.0,813.0,462.0,56156.0,13651.0,25726.0,771776.0,754830.0,12275.0,4671.0,91218.0,680558.0,45194.0,40579.0,659.0,358.0,41596.0,3488.0,49.0,61.0,3598.0,585.0,2.0,2004-04-01
Alameda,0.0,1294.0,3381.0,4675.0,3448.0,2102.0,19.0,5.0,13.0,1040.0,0.0,0.0,0.0,293.0,1227.0,0.0,13109.0,1672.0,843.0,8.0,9.0,1220.0,8.0,14.0,860.0,30.0,782.0,14781.0,14713.0,63014.0,80.0,83.0,68.0,145.0,0.0,0.0,1432.0,13349.0,0.0,8179.0,1909.0,1242.0,33.0,634.0,10088.0,9902.0,77.0,109.0,1927.0,8161.0,878.0,854.0,24.0,0.0,479.0,16.0,4.0,878.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,3.0,521.0,499.0,22.0,3.0,2004,APR,24.0,1053.0,0.0,293.0,0.0,21288.0,3581.0,2063.0,16.0,23.0,2102.0,63.0,1416.0,24869.0,24615.0,145.0,109.0,3359.0,21510.0,1399.0,1333.0,40.0,4.0,1377.0,22.0,0.0,0.0,22.0,6.0,2.0,2004-04-01
Alpine,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,-4.0,22.0,3.0,3.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,APR,0.0,0.0,0.0,0.0,-3.0,32.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,35.0,35.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2004-04-01
Amador,0.0,43.0,85.0,128.0,90.0,56.0,2.0,4.0,0.0,26.0,0.0,6.0,0.0,8.0,38.0,0.0,108.0,34.0,10.0,0.0,0.0,46.0,0.0,0.0,10.0,13.0,11.0,142.0,142.0,975.0,0.0,1.0,0.0,0.0,2.0,0.0,33.0,109.0,0.0,258.0,75.0,46.0,11.0,18.0,333.0,330.0,1.0,2.0,82.0,251.0,14.0,12.0,0.0,0.0,26.0,0.0,0.0,12.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,35.0,26.0,9.0,1.0,2004,APR,6.0,26.0,6.0,8.0,0.0,366.0,109.0,56.0,0.0,0.0,56.0,24.0,29.0,475.0,472.0,1.0,2.0,115.0,360.0,49.0,38.0,0.0,0.0,38.0,11.0,0.0,0.0,11.0,1.0,2.0,2004-04-01
Butte,0.0,352.0,777.0,1129.0,794.0,415.0,13.0,66.0,63.0,255.0,8.0,76.0,21.0,40.0,335.0,0.0,2290.0,389.0,79.0,0.0,0.0,335.0,0.0,1.0,79.0,184.0,126.0,2679.0,2668.0,16947.0,0.0,20.0,9.0,2.0,3.0,2.0,457.0,2222.0,0.0,4346.0,815.0,336.0,249.0,230.0,5161.0,5144.0,14.0,3.0,795.0,4366.0,129.0,126.0,0.0,0.0,273.0,0.0,0.0,126.0,2.0,1.0,0.0,99.0,0.0,0.0,3.0,10.0,372.0,273.0,99.0,31.0,2004,APR,79.0,318.0,84.0,61.0,0.0,6636.0,1204.0,414.0,0.0,1.0,415.0,433.0,356.0,7840.0,7812.0,23.0,5.0,1252.0,6588.0,501.0,399.0,0.0,0.0,399.0,101.0,1.0,0.0,102.0,41.0,2.0,2004-04-01
Calaveras,0.0,57.0,85.0,142.0,101.0,59.0,3.0,14.0,4.0,29.0,1.0,5.0,3.0,6.0,41.0,0.0,198.0,40.0,7.0,0.0,0.0,50.0,1.0,1.0,7.0,27.0,6.0,238.0,235.0,1511.0,0.0,0.0,0.0,3.0,0.0,3.0,37.0,201.0,0.0,433.0,82.0,52.0,13.0,17.0,515.0,515.0,0.0,0.0,96.0,419.0,10.0,7.0,0.0,0.0,30.0,0.0,0.0,7.0,3.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,47.0,30.0,17.0,4.0,2004,APR,17.0,33.0,6.0,9.0,0.0,631.0,122.0,57.0,1.0,1.0,59.0,40.0,23.0,753.0,750.0,0.0,3.0,133.0,620.0,57.0,37.0,0.0,0.0,37.0,20.0,0.0,0.0,20.0,4.0,2.0,2004-04-01
Colusa,0.0,17.0,55.0,72.0,55.0,38.0,0.0,1.0,3.0,8.0,0.0,0.0,5.0,1.0,17.0,0.0,73.0,22.0,9.0,0.0,0.0,29.0,0.0,0.0,9.0,11.0,2.0,95.0,95.0,1357.0,0.0,8.0,0.0,1.0,2.0,0.0,31.0,64.0,0.0,342.0,69.0,29.0,24.0,16.0,411.0,401.0,8.0,2.0,76.0,335.0,4.0,3.0,0.0,0.0,23.0,1.0,0.0,3.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,39.0,24.0,15.0,0.0,2004,APR,1.0,11.0,0.0,6.0,0.0,415.0,91.0,38.0,0.0,0.0,38.0,35.0,18.0,506.0,496.0,8.0,2.0,107.0,399.0,43.0,26.0,1.0,0.0,27.0,16.0,0.0,0.0,16.0,0.0,2.0,2004-04-01
Contra Costa,0.0,396.0,1760.0,2156.0,1861.0,1091.0,1.0,0.0,7.0,674.0,1.0,1.0,0.0,89.0,295.0,70.0,4697.0,755.0,338.0,1.0,1.0,738.0,10.0,3.0,340.0,39.0,376.0,5452.0,5325.0,25241.0,9.0,189.0,122.0,26.0,12.0,5.0,836.0,4616.0,16.0,4189.0,1241.0,751.0,28.0,462.0,5430.0,5361.0,49.0,20.0,1172.0,4258.0,346.0,343.0,3.0,0.0,267.0,1.0,3.0,346.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,279.0,271.0,8.0,0.0,2004,APR,1.0,681.0,2.0,89.0,86.0,8886.0,1996.0,1076.0,11.0,4.0,1091.0,67.0,838.0,10882.0,10686.0,171.0,25.0,2008.0,8874.0,625.0,610.0,4.0,3.0,617.0,8.0,0.0,0.0,8.0,1.0,2.0,2004-04-01
Del Norte,0.0,40.0,125.0,165.0,141.0,97.0,1.0,1.0,6.0,24.0,0.0,1.0,6.0,8.0,24.0,0.0,478.0,110.0,20.0,1.0,0.0,76.0,0.0,0.0,21.0,46.0,43.0,588.0,586.0,3700.0,0.0,5.0,2.0,0.0,2.0,0.0,112.0,476.0,0.0,811.0,226.0,76.0,50.0,100.0,1037.0,1032.0,3.0,2.0,202.0,835.0,29.0,28.0,0.0,0.0,48.0,0.0,0.0,28.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,2.0,60.0,48.0,12.0,3.0,2004,APR,2.0,30.0,1.0,14.0,0.0,1289.0,336.0,96.0,1.0,0.0,97.0,96.0,143.0,1625.0,1618.0,5.0,2.0,314.0,1311.0,89.0,76.0,0.0,0.0,76.0,13.0,0.0,0.0,13.0,5.0,2.0,2004-04-01
El Dorado,-4.0,149.0,311.0,460.0,315.0,164.0,5.0,15.0,20.0,101.0,1.0,10.0,6.0,24.0,145.0,0.0,541.0,148.0,29.0,1.0,0.0,134.0,0.0,0.0,30.0,68.0,50.0,689.0,630.0,3860.0,0.0,14.0,58.0,1.0,6.0,1.0,164.0,525.0,0.0,978.0,313.0,134.0,89.0,90.0,1291.0,1199.0,86.0,6.0,358.0,933.0,39.0,37.0,0.0,0.0,70.0,0.0,0.0,37.0,2.0,0.0,0.0,42.0,0.0,0.0,2.0,0.0,112.0,70.0,42.0,1.0,2004,APR,20.0,121.0,11.0,30.0,0.0,1519.0,461.0,163.0,1.0,0.0,164.0,157.0,140.0,1980.0,1829.0,144.0,7.0,522.0,1458.0,151.0,107.0,0.0,0.0,107.0,44.0,0.0,0.0,44.0,1.0,2.0,2004-04-01
