county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
Santa Clara,-23.0,1191.0,2651.0,3842.0,2713.0,1482.0,0.0,0.0,8.0,657.0,0.0,0.0,1.0,565.0,1129.0,\N,8907.0,1067.0,442.0,10.0,1.0,995.0,19.0,15.0,453.0,78.0,536.0,9974.0,9833.0,48632.0,21.0,422.0,140.0,272.0,2.0,1.0,1665.0,8309.0,\N,9094.0,1802.0,1029.0,48.0,725.0,10896.0,10430.0,248.0,218.0,2138.0,8758.0,542.0,530.0,10.0,2.0,539.0,12.0,10.0,542.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,583.0,561.0,22.0,0.0,2003,NOV,0.0,665.0,0.0,566.0,\N,18001.0,2869.0,1437.0,29.0,16.0,1482.0,126.0,1261.0,20870.0,20263.0,388.0,219.0,3803.0,17067.0,1125.0,1069.0,22.0,12.0,1103.0,20.0,0.0,2.0,22.0,0.0,4.0,2003-11-01
Santa Cruz,\N,525.0,738.0,1263.0,727.0,416.0,0.0,0.0,34.0,262.0,0.0,0.0,2.0,13.0,536.0,\N,1137.0,184.0,95.0,2.0,1.0,315.0,0.0,3.0,98.0,3.0,83.0,1321.0,1299.0,7775.0,1.0,50.0,22.0,7.0,0.0,0.0,213.0,1108.0,\N,1934.0,471.0,318.0,8.0,145.0,2405.0,2325.0,80.0,0.0,509.0,1896.0,84.0,82.0,2.0,0.0,91.0,0.0,0.0,84.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,93.0,91.0,2.0,6.0,2003,NOV,0.0,296.0,0.0,15.0,\N,3071.0,655.0,410.0,2.0,4.0,416.0,11.0,228.0,3726.0,3624.0,102.0,0.0,722.0,3004.0,177.0,173.0,2.0,0.0,175.0,2.0,0.0,0.0,2.0,7.0,4.0,2003-11-01
Shasta,\N,264.0,557.0,821.0,550.0,368.0,1.0,8.0,13.0,111.0,1.0,3.0,22.0,36.0,271.0,\N,1703.0,331.0,58.0,1.0,0.0,300.0,5.0,4.0,59.0,214.0,58.0,2034.0,2017.0,9662.0,0.0,92.0,17.0,0.0,8.0,0.0,425.0,1609.0,\N,2760.0,715.0,309.0,250.0,156.0,3475.0,3416.0,51.0,8.0,779.0,2696.0,108.0,97.0,1.0,0.0,202.0,3.0,4.0,98.0,10.0,0.0,0.0,61.0,0.0,0.0,10.0,7.0,270.0,209.0,61.0,6.0,2003,NOV,9.0,124.0,4.0,58.0,\N,4463.0,1046.0,358.0,6.0,4.0,368.0,464.0,214.0,5509.0,5433.0,68.0,8.0,1204.0,4305.0,378.0,299.0,4.0,4.0,307.0,71.0,0.0,0.0,71.0,13.0,4.0,2003-11-01
Sierra,\N,2.0,11.0,13.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,\N,23.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,25.0,25.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,\N,27.0,6.0,6.0,0.0,0.0,33.0,33.0,0.0,0.0,1.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2003,NOV,0.0,1.0,0.0,0.0,\N,50.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,58.0,58.0,0.0,0.0,1.0,57.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2003-11-01
Siskiyou,\N,144.0,176.0,320.0,176.0,131.0,4.0,8.0,4.0,32.0,0.0,3.0,3.0,6.0,144.0,\N,456.0,102.0,22.0,0.0,0.0,109.0,0.0,0.0,22.0,44.0,36.0,558.0,554.0,3319.0,0.0,16.0,4.0,1.0,0.0,0.0,129.0,429.0,\N,973.0,208.0,109.0,56.0,43.0,1181.0,1170.0,10.0,1.0,196.0,985.0,28.0,27.0,0.0,0.0,71.0,0.0,0.0,27.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,2.0,105.0,71.0,34.0,5.0,2003,NOV,12.0,36.0,3.0,9.0,\N,1429.0,310.0,131.0,0.0,0.0,131.0,100.0,79.0,1739.0,1724.0,14.0,1.0,325.0,1414.0,133.0,98.0,0.0,0.0,98.0,35.0,0.0,0.0,35.0,7.0,4.0,2003-11-01
Solano,\N,206.0,914.0,1120.0,897.0,723.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,25.0,223.0,\N,2363.0,466.0,311.0,0.0,2.0,406.0,1.0,3.0,313.0,5.0,148.0,2829.0,2808.0,13335.0,0.0,40.0,19.0,21.0,7.0,2.0,557.0,2272.0,\N,2120.0,543.0,410.0,10.0,123.0,2663.0,2625.0,15.0,23.0,629.0,2034.0,137.0,136.0,0.0,1.0,110.0,0.0,2.0,137.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,117.0,112.0,5.0,0.0,2003,NOV,0.0,149.0,0.0,25.0,\N,4483.0,1009.0,717.0,1.0,5.0,723.0,15.0,271.0,5492.0,5433.0,34.0,25.0,1186.0,4306.0,254.0,246.0,0.0,3.0,249.0,4.0,0.0,1.0,5.0,0.0,4.0,2003-11-01
Sonoma,\N,126.0,608.0,734.0,631.0,567.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,7.0,103.0,\N,1613.0,234.0,139.0,0.0,0.0,424.0,1.0,3.0,139.0,4.0,91.0,1847.0,1844.0,10304.0,1.0,19.0,3.0,1.0,0.0,0.0,316.0,1531.0,\N,2549.0,582.0,428.0,6.0,148.0,3131.0,3113.0,17.0,1.0,746.0,2385.0,87.0,87.0,0.0,0.0,83.0,0.0,0.0,87.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,89.0,83.0,6.0,0.0,2003,NOV,0.0,57.0,0.0,7.0,\N,4162.0,816.0,563.0,1.0,3.0,567.0,10.0,239.0,4978.0,4957.0,20.0,1.0,1062.0,3916.0,176.0,170.0,0.0,0.0,170.0,6.0,0.0,0.0,6.0,0.0,4.0,2003-11-01
Stanislaus,\N,592.0,1121.0,1713.0,1054.0,590.0,9.0,8.0,45.0,389.0,0.0,0.0,2.0,28.0,659.0,\N,5363.0,420.0,223.0,3.0,0.0,360.0,4.0,0.0,226.0,5.0,189.0,5783.0,5738.0,32773.0,0.0,19.0,43.0,24.0,8.0,2.0,367.0,5416.0,\N,5613.0,569.0,364.0,11.0,194.0,6182.0,6054.0,98.0,30.0,426.0,5756.0,412.0,407.0,5.0,0.0,458.0,2.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,460.0,0.0,0.0,2003,NOV,17.0,434.0,0.0,30.0,\N,10976.0,989.0,583.0,7.0,0.0,590.0,16.0,383.0,11965.0,11792.0,141.0,32.0,793.0,11172.0,872.0,865.0,7.0,0.0,872.0,0.0,0.0,0.0,0.0,0.0,4.0,2003-11-01
Sutter,\N,97.0,245.0,342.0,244.0,159.0,2.0,10.0,8.0,56.0,0.0,9.0,7.0,14.0,98.0,\N,412.0,122.0,33.0,0.0,0.0,124.0,1.0,1.0,33.0,73.0,16.0,534.0,531.0,4249.0,0.0,13.0,3.0,1.0,2.0,0.0,141.0,393.0,\N,941.0,276.0,126.0,76.0,74.0,1217.0,1205.0,10.0,2.0,285.0,932.0,26.0,16.0,0.0,0.0,82.0,3.0,0.0,16.0,10.0,0.0,0.0,48.0,0.0,0.0,10.0,0.0,133.0,85.0,48.0,2.0,2003,NOV,12.0,64.0,9.0,21.0,\N,1353.0,398.0,157.0,1.0,1.0,159.0,149.0,90.0,1751.0,1736.0,13.0,2.0,426.0,1325.0,159.0,98.0,3.0,0.0,101.0,58.0,0.0,0.0,58.0,2.0,4.0,2003-11-01
Tehama,-1.0,130.0,233.0,363.0,193.0,119.0,7.0,9.0,15.0,42.0,0.0,5.0,9.0,8.0,170.0,\N,608.0,117.0,37.0,0.0,0.0,82.0,0.0,0.0,37.0,54.0,26.0,725.0,721.0,4413.0,0.0,11.0,3.0,4.0,4.0,1.0,165.0,560.0,\N,1068.0,233.0,82.0,86.0,65.0,1301.0,1289.0,8.0,4.0,266.0,1035.0,42.0,40.0,0.0,0.0,70.0,0.0,0.0,40.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,2.0,95.0,70.0,25.0,3.0,2003,NOV,16.0,57.0,5.0,17.0,\N,1676.0,350.0,119.0,0.0,0.0,119.0,140.0,91.0,2026.0,2010.0,11.0,5.0,431.0,1595.0,137.0,110.0,0.0,0.0,110.0,27.0,0.0,0.0,27.0,5.0,4.0,2003-11-01
Trinity,\N,31.0,51.0,82.0,44.0,33.0,1.0,5.0,4.0,6.0,0.0,2.0,0.0,1.0,38.0,\N,103.0,24.0,10.0,0.0,0.0,23.0,0.0,0.0,10.0,6.0,8.0,127.0,127.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,107.0,\N,303.0,49.0,23.0,6.0,20.0,352.0,352.0,0.0,0.0,50.0,302.0,7.0,7.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,23.0,17.0,6.0,0.0,2003,NOV,6.0,10.0,2.0,1.0,\N,406.0,73.0,33.0,0.0,0.0,33.0,12.0,28.0,479.0,479.0,0.0,0.0,70.0,409.0,30.0,24.0,0.0,0.0,24.0,6.0,0.0,0.0,6.0,0.0,4.0,2003-11-01
Tulare,\N,2235.0,2230.0,4465.0,2239.0,1592.0,0.0,0.0,7.0,435.0,0.0,0.0,0.0,205.0,2226.0,\N,7115.0,1161.0,497.0,3.0,1.0,1059.0,20.0,12.0,501.0,0.0,660.0,8276.0,8172.0,47065.0,54.0,382.0,102.0,47.0,130.0,2.0,808.0,7468.0,\N,6754.0,1877.0,1091.0,0.0,786.0,8631.0,8407.0,184.0,40.0,1143.0,7488.0,566.0,561.0,2.0,3.0,394.0,11.0,12.0,566.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,440.0,417.0,23.0,0.0,2003,NOV,0.0,442.0,0.0,205.0,\N,13869.0,3038.0,1556.0,23.0,13.0,1592.0,0.0,1446.0,16907.0,16579.0,286.0,42.0,1951.0,14956.0,1006.0,955.0,13.0,15.0,983.0,19.0,0.0,4.0,23.0,0.0,4.0,2003-11-01
Tuolumne,\N,81.0,140.0,221.0,143.0,80.0,0.0,2.0,6.0,51.0,0.0,5.0,2.0,4.0,78.0,\N,288.0,71.0,11.0,0.0,0.0,69.0,0.0,0.0,11.0,38.0,22.0,359.0,359.0,2089.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,277.0,\N,475.0,120.0,69.0,16.0,35.0,595.0,595.0,0.0,0.0,156.0,439.0,11.0,10.0,0.0,0.0,31.0,0.0,0.0,10.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,57.0,31.0,26.0,0.0,2003,NOV,2.0,57.0,5.0,6.0,\N,763.0,191.0,80.0,0.0,0.0,80.0,54.0,57.0,954.0,954.0,0.0,0.0,238.0,716.0,68.0,41.0,0.0,0.0,41.0,27.0,0.0,0.0,27.0,0.0,4.0,2003-11-01
