county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
Fresno,,925.0,3473.0,4398.0,3473.0,3341.0,0.0,6.0,1.0,122.0,0.0,0.0,0.0,9.0,925.0,,13990.0,1269.0,528.0,1.0,0.0,2766.0,36.0,10.0,529.0,233.0,507.0,15259.0,15105.0,98768.0,4.0,387.0,153.0,11.0,9.0,1.0,1639.0,13620.0,,14999.0,3653.0,2812.0,61.0,780.0,18652.0,18439.0,200.0,13.0,3755.0,14897.0,1127.0,1123.0,4.0,0.0,1023.0,9.0,0.0,1127.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1042.0,1032.0,10.0,0.0,2004,FEB,6.0,123.0,0.0,9.0,,28989.0,4922.0,3294.0,37.0,10.0,3341.0,294.0,1287.0,33911.0,33544.0,353.0,14.0,5394.0,28517.0,2169.0,2146.0,13.0,0.0,2159.0,10.0,0.0,0.0,10.0,1.0,1.0,2004-02-01
Glenn,-1.0,72.0,120.0,192.0,119.0,67.0,0.0,6.0,8.0,30.0,0.0,1.0,2.0,12.0,73.0,,219.0,72.0,11.0,0.0,0.0,56.0,0.0,0.0,11.0,50.0,11.0,291.0,226.0,2173.0,0.0,1.0,65.0,0.0,0.0,0.0,77.0,214.0,,523.0,134.0,56.0,50.0,28.0,657.0,561.0,96.0,0.0,136.0,521.0,9.0,9.0,0.0,0.0,41.0,0.0,0.0,9.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,63.0,41.0,22.0,2.0,2004,FEB,6.0,38.0,1.0,14.0,,742.0,206.0,67.0,0.0,0.0,67.0,100.0,39.0,948.0,787.0,161.0,0.0,213.0,735.0,72.0,50.0,0.0,0.0,50.0,22.0,0.0,0.0,22.0,2.0,1.0,2004-02-01
Humboldt,-2.0,326.0,541.0,867.0,541.0,333.0,13.0,54.0,28.0,132.0,3.0,31.0,20.0,28.0,326.0,,1069.0,186.0,19.0,0.0,0.0,314.0,0.0,0.0,19.0,110.0,57.0,1255.0,1249.0,4661.0,0.0,6.0,3.0,3.0,0.0,3.0,201.0,1054.0,,2773.0,638.0,314.0,111.0,213.0,3411.0,3406.0,3.0,2.0,569.0,2842.0,83.0,77.0,0.0,0.0,201.0,0.0,0.0,77.0,6.0,0.0,0.0,65.0,0.0,0.0,6.0,2.0,266.0,201.0,65.0,6.0,2004,FEB,67.0,160.0,34.0,48.0,,3842.0,824.0,333.0,0.0,0.0,333.0,221.0,270.0,4666.0,4655.0,6.0,5.0,770.0,3896.0,349.0,278.0,0.0,0.0,278.0,71.0,0.0,0.0,71.0,8.0,1.0,2004-02-01
Imperial,-2.0,196.0,423.0,619.0,441.0,243.0,15.0,49.0,21.0,107.0,7.0,30.0,44.0,26.0,178.0,,1575.0,265.0,37.0,1.0,0.0,190.0,9.0,6.0,38.0,174.0,53.0,1840.0,1803.0,17786.0,3.0,190.0,36.0,9.0,51.0,1.0,355.0,1485.0,,4547.0,580.0,205.0,247.0,128.0,5127.0,4933.0,140.0,54.0,649.0,4478.0,96.0,86.0,0.0,0.0,311.0,12.0,3.0,86.0,10.0,0.0,0.0,102.0,2.0,0.0,10.0,6.0,430.0,326.0,104.0,14.0,2004,FEB,64.0,128.0,37.0,70.0,,6122.0,845.0,227.0,10.0,6.0,243.0,421.0,181.0,6967.0,6736.0,176.0,55.0,1004.0,5963.0,526.0,397.0,12.0,3.0,412.0,112.0,2.0,0.0,114.0,20.0,1.0,2004-02-01
Inyo,,5.0,58.0,63.0,60.0,45.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,2.0,3.0,,52.0,18.0,4.0,0.0,0.0,41.0,0.0,0.0,4.0,9.0,5.0,70.0,70.0,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,,324.0,63.0,41.0,8.0,14.0,387.0,387.0,0.0,0.0,51.0,336.0,2.0,2.0,0.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,34.0,26.0,8.0,0.0,2004,FEB,1.0,13.0,1.0,2.0,,376.0,81.0,45.0,0.0,0.0,45.0,17.0,19.0,457.0,457.0,0.0,0.0,67.0,390.0,36.0,28.0,0.0,0.0,28.0,8.0,0.0,0.0,8.0,0.0,1.0,2004-02-01
Kern,,1616.0,2321.0,3937.0,2539.0,1597.0,18.0,99.0,108.0,638.0,3.0,41.0,74.0,122.0,1398.0,,5936.0,1215.0,245.0,14.0,0.0,1251.0,72.0,15.0,259.0,686.0,270.0,7151.0,6915.0,70591.0,3.0,1211.0,236.0,20.0,90.0,0.0,1433.0,5718.0,,14482.0,2985.0,1338.0,857.0,790.0,17467.0,16483.0,885.0,99.0,2989.0,14478.0,537.0,481.0,21.0,0.0,1229.0,86.0,3.0,502.0,35.0,0.0,0.0,476.0,2.0,0.0,35.0,2.0,1796.0,1318.0,478.0,19.0,2004,FEB,117.0,746.0,44.0,196.0,,20418.0,4200.0,1496.0,86.0,15.0,1597.0,1543.0,1060.0,24618.0,23398.0,1121.0,99.0,4422.0,20196.0,2333.0,1710.0,107.0,3.0,1820.0,511.0,2.0,0.0,513.0,21.0,1.0,2004-02-01
Kings,,657.0,472.0,1129.0,491.0,312.0,2.0,38.0,12.0,141.0,2.0,11.0,4.0,22.0,638.0,,1274.0,252.0,35.0,3.0,0.0,264.0,9.0,1.0,38.0,132.0,82.0,1526.0,1493.0,13298.0,0.0,113.0,33.0,2.0,9.0,0.0,351.0,1175.0,,2852.0,638.0,274.0,131.0,233.0,3490.0,3400.0,80.0,10.0,607.0,2883.0,96.0,90.0,0.0,0.0,237.0,8.0,0.0,90.0,5.0,1.0,0.0,116.0,0.0,0.0,6.0,1.0,361.0,245.0,116.0,13.0,2004,FEB,40.0,153.0,13.0,26.0,,4126.0,890.0,299.0,12.0,1.0,312.0,263.0,315.0,5016.0,4893.0,113.0,10.0,958.0,4058.0,457.0,327.0,8.0,0.0,335.0,121.0,1.0,0.0,122.0,14.0,1.0,2004-02-01
Lake,-46.0,17.0,433.0,450.0,440.0,261.0,8.0,13.0,57.0,109.0,0.0,2.0,3.0,10.0,10.0,,499.0,150.0,62.0,0.0,0.0,199.0,0.0,0.0,62.0,51.0,37.0,649.0,647.0,4259.0,1.0,2.0,2.0,0.0,0.0,0.0,114.0,535.0,,856.0,301.0,199.0,51.0,51.0,1157.0,1156.0,1.0,0.0,273.0,884.0,49.0,44.0,0.0,0.0,96.0,0.0,0.0,44.0,5.0,0.0,0.0,37.0,0.0,0.0,5.0,4.0,133.0,96.0,37.0,9.0,2004,FEB,21.0,166.0,2.0,13.0,,1355.0,451.0,261.0,0.0,0.0,261.0,102.0,88.0,1806.0,1803.0,3.0,0.0,387.0,1419.0,182.0,140.0,0.0,0.0,140.0,42.0,0.0,0.0,42.0,13.0,1.0,2004-02-01
Lassen,,42.0,96.0,138.0,102.0,64.0,0.0,0.0,6.0,19.0,0.0,0.0,5.0,8.0,36.0,25.0,270.0,19.0,10.0,0.0,0.0,53.0,1.0,0.0,10.0,0.0,9.0,289.0,289.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,242.0,19.0,393.0,71.0,54.0,0.0,17.0,464.0,462.0,0.0,2.0,80.0,384.0,11.0,11.0,0.0,0.0,14.0,1.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0,15.0,4.0,0.0,2004,FEB,0.0,25.0,0.0,13.0,44.0,663.0,90.0,63.0,1.0,0.0,64.0,0.0,26.0,753.0,751.0,0.0,2.0,127.0,626.0,30.0,25.0,1.0,0.0,26.0,4.0,0.0,0.0,4.0,0.0,1.0,2004-02-01
Los Angeles,-1748.0,13575.0,27347.0,40922.0,26952.0,14526.0,0.0,0.0,2873.0,7175.0,0.0,0.0,796.0,1582.0,13970.0,-545.0,95624.0,3736.0,2729.0,88.0,4.0,11316.0,217.0,172.0,2821.0,28.0,887.0,99360.0,97402.0,538088.0,201.0,5372.0,1913.0,3086.0,87.0,45.0,6970.0,92390.0,7772.0,163718.0,14002.0,11705.0,69.0,2228.0,177720.0,172457.0,2755.0,2508.0,20966.0,156754.0,6496.0,6039.0,88.0,4.0,8078.0,130.0,131.0,6131.0,359.0,5.0,1.0,556.0,19.0,11.0,365.0,0.0,8925.0,8339.0,586.0,0.0,2004,FEB,0.0,10048.0,0.0,2378.0,7227.0,259342.0,17738.0,14045.0,305.0,176.0,14526.0,97.0,3115.0,277080.0,269859.0,4668.0,2553.0,27936.0,249144.0,15421.0,14117.0,218.0,135.0,14470.0,915.0,24.0,12.0,951.0,0.0,1.0,2004-02-01
