county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
Mono,,9.0,43.0,52.0,43.0,22.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,3.0,9.0,,23.0,15.0,2.0,0.0,0.0,20.0,0.0,0.0,2.0,7.0,6.0,38.0,38.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,,77.0,42.0,20.0,6.0,16.0,119.0,119.0,0.0,0.0,35.0,84.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,1.0,2002,OCT,2.0,18.0,0.0,3.0,,100.0,57.0,22.0,0.0,0.0,22.0,13.0,22.0,157.0,157.0,0.0,0.0,50.0,107.0,10.0,8.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,4.0,2002-10-01
Monterey,-1.0,390.0,1019.0,1409.0,914.0,477.0,27.0,59.0,29.0,314.0,5.0,49.0,23.0,71.0,495.0,,2041.0,592.0,100.0,6.0,1.0,347.0,20.0,3.0,107.0,304.0,181.0,2633.0,2466.0,13826.0,0.0,362.0,165.0,27.0,0.0,2.0,745.0,1888.0,,2489.0,1132.0,370.0,495.0,267.0,3621.0,3426.0,172.0,23.0,883.0,2738.0,135.0,109.0,9.0,0.0,239.0,19.0,1.0,118.0,17.0,0.0,0.0,179.0,5.0,0.0,17.0,4.0,443.0,259.0,184.0,8.0,2002,OCT,86.0,343.0,54.0,94.0,,4530.0,1724.0,447.0,26.0,4.0,477.0,799.0,448.0,6254.0,5892.0,337.0,25.0,1628.0,4626.0,578.0,348.0,28.0,1.0,377.0,196.0,5.0,0.0,201.0,12.0,4.0,2002-10-01
Napa,,118.0,183.0,301.0,200.0,90.0,2.0,11.0,6.0,67.0,0.0,5.0,13.0,24.0,101.0,,133.0,75.0,10.0,1.0,0.0,74.0,4.0,1.0,11.0,56.0,8.0,208.0,204.0,1778.0,0.0,27.0,4.0,5.0,17.0,0.0,62.0,146.0,,480.0,128.0,79.0,7.0,42.0,608.0,583.0,11.0,14.0,106.0,502.0,11.0,10.0,0.0,0.0,44.0,0.0,0.0,10.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,78.0,44.0,34.0,2.0,2002,OCT,13.0,73.0,5.0,37.0,,613.0,203.0,84.0,5.0,1.0,90.0,63.0,50.0,816.0,787.0,15.0,14.0,168.0,648.0,89.0,54.0,0.0,0.0,54.0,35.0,0.0,0.0,35.0,2.0,4.0,2002-10-01
Nevada,,43.0,142.0,185.0,148.0,95.0,3.0,5.0,9.0,24.0,0.0,2.0,8.0,12.0,37.0,,260.0,71.0,13.0,0.0,0.0,82.0,0.0,0.0,13.0,26.0,32.0,331.0,331.0,1623.0,1.0,1.0,0.0,0.0,0.0,0.0,85.0,246.0,,392.0,164.0,82.0,42.0,40.0,556.0,551.0,1.0,0.0,133.0,423.0,14.0,13.0,0.0,0.0,41.0,0.0,0.0,13.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,1.0,67.0,41.0,26.0,1.0,2002,OCT,8.0,33.0,2.0,20.0,,652.0,235.0,95.0,0.0,0.0,95.0,68.0,72.0,887.0,882.0,1.0,0.0,218.0,669.0,81.0,54.0,0.0,0.0,54.0,27.0,0.0,0.0,27.0,2.0,4.0,2002-10-01
Orange,,970.0,3627.0,4597.0,3661.0,2316.0,6.0,5.0,8.0,1032.0,0.0,0.0,0.0,305.0,936.0,,11587.0,1357.0,618.0,85.0,2.0,1352.0,185.0,74.0,705.0,34.0,618.0,12944.0,11339.0,62311.0,108.0,3371.0,1566.0,598.0,248.0,39.0,1281.0,11663.0,,10926.0,2494.0,1611.0,51.0,832.0,13420.0,11259.0,1543.0,618.0,2403.0,11017.0,902.0,790.0,109.0,3.0,509.0,70.0,28.0,902.0,0.0,0.0,0.0,19.0,3.0,1.0,0.0,0.0,630.0,607.0,23.0,0.0,2002,OCT,11.0,1040.0,0.0,305.0,,22513.0,3851.0,1970.0,270.0,76.0,2316.0,85.0,1450.0,26364.0,22598.0,3109.0,657.0,3684.0,22680.0,1532.0,1299.0,179.0,31.0,1509.0,19.0,3.0,1.0,23.0,0.0,4.0,2002-10-01
Placer,,130.0,482.0,612.0,463.0,279.0,0.0,0.0,4.0,147.0,0.0,0.0,0.0,33.0,149.0,,724.0,151.0,99.0,0.0,0.0,179.0,0.0,1.0,99.0,2.0,50.0,875.0,873.0,3926.0,0.0,16.0,2.0,2.0,0.0,0.0,111.0,764.0,,570.0,268.0,180.0,6.0,82.0,838.0,833.0,3.0,2.0,189.0,649.0,35.0,34.0,0.0,0.0,22.0,2.0,0.0,34.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,27.0,24.0,3.0,0.0,2002,OCT,0.0,151.0,0.0,33.0,,1294.0,419.0,278.0,0.0,1.0,279.0,8.0,132.0,1713.0,1706.0,5.0,2.0,300.0,1413.0,62.0,56.0,2.0,0.0,58.0,4.0,0.0,0.0,4.0,0.0,4.0,2002-10-01
Plumas,,14.0,55.0,69.0,48.0,19.0,0.0,2.0,5.0,19.0,0.0,0.0,2.0,3.0,21.0,,70.0,24.0,3.0,0.0,0.0,16.0,0.0,0.0,3.0,15.0,6.0,94.0,94.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,70.0,,104.0,47.0,16.0,18.0,13.0,151.0,151.0,0.0,0.0,32.0,119.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0,12.0,12.0,0.0,2002,OCT,2.0,24.0,0.0,5.0,,174.0,71.0,19.0,0.0,0.0,19.0,33.0,19.0,245.0,245.0,0.0,0.0,56.0,189.0,26.0,14.0,0.0,0.0,14.0,12.0,0.0,0.0,12.0,0.0,4.0,2002-10-01
Riverside,,1022.0,3753.0,4775.0,3725.0,1859.0,13.0,20.0,344.0,1448.0,4.0,29.0,16.0,58.0,1050.0,-17.0,13449.0,1884.0,806.0,29.0,0.0,900.0,113.0,11.0,835.0,0.0,1049.0,15333.0,14795.0,70983.0,6.0,1692.0,536.0,118.0,0.0,2.0,1786.0,13547.0,14.0,7156.0,1774.0,1024.0,0.0,750.0,8930.0,7848.0,982.0,100.0,1561.0,7369.0,412.0,398.0,14.0,0.0,185.0,23.0,2.0,412.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,213.0,210.0,3.0,8.0,2002,OCT,33.0,1792.0,33.0,74.0,-3.0,20605.0,3658.0,1706.0,142.0,11.0,1859.0,0.0,1799.0,24263.0,22643.0,1518.0,102.0,3347.0,20916.0,625.0,583.0,37.0,2.0,622.0,3.0,0.0,0.0,3.0,14.0,4.0,2002-10-01
Sacramento,,1066.0,5318.0,6384.0,5338.0,3384.0,0.0,1.0,18.0,1784.0,0.0,0.0,0.0,152.0,1046.0,,19975.0,3251.0,1354.0,63.0,11.0,1875.0,40.0,41.0,1428.0,375.0,1448.0,23226.0,22027.0,100700.0,568.0,921.0,1021.0,178.0,256.0,178.0,2680.0,20546.0,,10910.0,2954.0,1956.0,103.0,895.0,13864.0,13288.0,285.0,291.0,2597.0,11267.0,2101.0,1994.0,91.0,16.0,719.0,15.0,16.0,2101.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,782.0,750.0,32.0,0.0,2002,OCT,1.0,1802.0,0.0,152.0,,30885.0,6205.0,3229.0,103.0,52.0,3384.0,478.0,2343.0,37090.0,35315.0,1306.0,469.0,5277.0,31813.0,2883.0,2713.0,106.0,32.0,2851.0,30.0,1.0,1.0,32.0,0.0,4.0,2002-10-01
San Benito,-2.0,92.0,139.0,231.0,120.0,63.0,4.0,8.0,1.0,30.0,0.0,4.0,1.0,25.0,111.0,,216.0,56.0,17.0,1.0,0.0,44.0,0.0,1.0,18.0,30.0,8.0,272.0,264.0,1146.0,0.0,23.0,8.0,1.0,7.0,0.0,59.0,213.0,,380.0,104.0,45.0,35.0,24.0,484.0,462.0,13.0,9.0,117.0,367.0,12.0,10.0,1.0,0.0,28.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,28.0,2.0,1.0,2002,OCT,12.0,31.0,4.0,26.0,,596.0,160.0,61.0,1.0,1.0,63.0,65.0,32.0,756.0,726.0,21.0,9.0,176.0,580.0,42.0,38.0,1.0,0.0,39.0,3.0,0.0,0.0,3.0,1.0,4.0,2002-10-01
