county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,88174.0,97116.0,-8942.0,167958.0,256132.0,155407.0,96104.0,259.0,2099.0,3935.0,46947.0,96.0,1917.0,1031.0,7390.0,100725.0,332330.0,1348644.0,330338.0,1333574.0,1992.0,15070.0,9927.0,144268.0,9192.0,126.0,15.0,85088.0,1101.0,582.0,9333.0,86771.0,-4890.0,5864.0,650.0,858.0,2167.0,7064.0,2667.0,43711.0,342257.0,1492912.0,337545.0,1464898.0,4011459.0,2380.0,28330.0,4595.0,19827.0,10590.0,326.0,117.0,8187.0,8401.0,148901.0,333856.0,1344011.0,23858.0,85877.0,22317.0,341.0,11.0,80004.0,1041.0,309.0,22669.0,81354.0,1177.0,12.0,0.0,4428.0,75.0,20.0,1189.0,4523.0,0.0,0.0,2012,APR,2358.0,50882.0,2013.0,8421.0,17062.0,1680974.0,154195.0,94280.0,1227.0,597.0,96104.0,974.0,46378.0,1835169.0,1802443.0,24422.0,8304.0,157302.0,1677867.0,109735.0,102321.0,1382.0,320.0,104023.0,5605.0,87.0,20.0,5712.0,0.0,1663912.0,1508.0,9231.0,2.0,2012-04-01
Alameda,7447.0,7447.0,0.0,4173.0,11620.0,3832.0,2400.0,24.0,179.0,1.0,1281.0,0.0,154.0,0.0,150.0,7788.0,11106.0,49792.0,11316.0,49229.0,-210.0,563.0,423.0,4642.0,220.0,4.0,0.0,2103.0,46.0,27.0,224.0,2176.0,10.0,10.0,28.0,53.0,4.0,218.0,157.0,2185.0,11529.0,54434.0,11218.0,52836.0,131447.0,138.0,1590.0,306.0,1090.0,686.0,0.0,5.0,508.0,169.0,5178.0,11360.0,49256.0,875.0,3087.0,837.0,23.0,0.0,2811.0,63.0,17.0,860.0,2891.0,15.0,0.0,0.0,186.0,7.0,3.0,15.0,196.0,0.0,0.0,2012,APR,203.0,1282.0,154.0,150.0,353.0,60898.0,5065.0,2323.0,50.0,27.0,2400.0,20.0,2342.0,65963.0,64054.0,1396.0,513.0,5347.0,60616.0,3962.0,3648.0,86.0,17.0,3751.0,201.0,7.0,3.0,211.0,0.0,60545.0,81.0,222.0,2.0,2012-04-01
Alpine,0.0,0.0,0.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,4.0,81.0,-1.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,88.0,3.0,88.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,APR,0.0,1.0,0.0,0.0,-1.0,84.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,91.0,91.0,0.0,0.0,6.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,2.0,2012-04-01
Amador,82.0,82.0,0.0,264.0,346.0,208.0,135.0,4.0,10.0,10.0,48.0,0.0,3.0,0.0,15.0,138.0,209.0,1319.0,209.0,1336.0,0.0,-17.0,0.0,159.0,11.0,0.0,0.0,123.0,0.0,1.0,11.0,124.0,-13.0,13.0,0.0,0.0,0.0,17.0,2.0,5.0,209.0,1478.0,209.0,1473.0,3264.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,1.0,10.0,130.0,199.0,1348.0,19.0,117.0,16.0,0.0,0.0,114.0,1.0,0.0,16.0,115.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2012,APR,14.0,58.0,3.0,15.0,-17.0,1528.0,159.0,134.0,0.0,1.0,135.0,0.0,7.0,1687.0,1682.0,4.0,1.0,140.0,1547.0,136.0,130.0,1.0,0.0,131.0,5.0,0.0,0.0,5.0,0.0,1545.0,0.0,17.0,2.0,2012-04-01
Butte,956.0,968.0,-12.0,1461.0,2417.0,1505.0,836.0,22.0,87.0,21.0,546.0,2.0,32.0,2.0,100.0,912.0,2145.0,11206.0,2005.0,10851.0,140.0,355.0,-17.0,938.0,60.0,0.0,0.0,772.0,3.0,1.0,60.0,776.0,-83.0,83.0,0.0,0.0,0.0,0.0,6.0,79.0,2128.0,12144.0,2122.0,12090.0,28852.0,3.0,52.0,6.0,47.0,8.0,0.0,0.0,7.0,117.0,1163.0,2011.0,10981.0,177.0,911.0,157.0,0.0,0.0,897.0,3.0,1.0,157.0,901.0,20.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,2012,APR,109.0,567.0,34.0,102.0,495.0,13351.0,921.0,832.0,3.0,1.0,836.0,0.0,85.0,14272.0,14212.0,53.0,7.0,1280.0,12992.0,1088.0,1054.0,3.0,1.0,1058.0,30.0,0.0,0.0,30.0,0.0,12856.0,0.0,0.0,2.0,2012-04-01
Calaveras,80.0,81.0,-1.0,240.0,320.0,238.0,142.0,0.0,5.0,6.0,67.0,0.0,1.0,0.0,23.0,82.0,334.0,2101.0,323.0,2077.0,11.0,24.0,5.0,149.0,15.0,0.0,0.0,126.0,1.0,0.0,15.0,127.0,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,339.0,2250.0,338.0,2245.0,5061.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,21.0,139.0,318.0,2111.0,29.0,142.0,26.0,0.0,0.0,141.0,0.0,0.0,26.0,141.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2012,APR,5.0,73.0,1.0,23.0,35.0,2435.0,154.0,141.0,1.0,0.0,142.0,0.0,12.0,2589.0,2583.0,6.0,0.0,160.0,2429.0,171.0,167.0,0.0,0.0,167.0,4.0,0.0,0.0,4.0,0.0,2400.0,0.0,0.0,2.0,2012-04-01
Colusa,56.0,56.0,0.0,91.0,147.0,97.0,53.0,1.0,0.0,4.0,36.0,0.0,0.0,0.0,4.0,50.0,115.0,570.0,115.0,570.0,0.0,0.0,16.0,57.0,10.0,0.0,0.0,42.0,1.0,0.0,10.0,43.0,4.0,11.0,0.0,0.0,0.0,0.0,2.0,3.0,131.0,627.0,131.0,622.0,1840.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,75.0,118.0,552.0,5.0,46.0,5.0,0.0,0.0,45.0,1.0,0.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,APR,1.0,40.0,0.0,4.0,0.0,685.0,73.0,52.0,1.0,0.0,53.0,15.0,5.0,758.0,753.0,5.0,0.0,88.0,670.0,51.0,50.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,0.0,2.0,2012-04-01
Contra Costa,2822.0,2912.0,-90.0,3092.0,5914.0,2948.0,1532.0,13.0,48.0,0.0,1193.0,0.0,61.0,0.0,223.0,2966.0,5932.0,22965.0,6029.0,22613.0,-97.0,352.0,265.0,3090.0,186.0,0.0,0.0,1329.0,14.0,3.0,186.0,1346.0,-1.0,1.0,17.0,43.0,1.0,55.0,62.0,1645.0,6197.0,26055.0,6124.0,25683.0,68103.0,31.0,423.0,72.0,298.0,100.0,0.0,1.0,74.0,64.0,3340.0,6133.0,22715.0,453.0,1308.0,444.0,5.0,0.0,1242.0,17.0,1.0,449.0,1260.0,4.0,0.0,0.0,47.0,1.0,0.0,4.0,48.0,0.0,0.0,2012,APR,61.0,1193.0,61.0,223.0,255.0,28897.0,3355.0,1515.0,14.0,3.0,1532.0,0.0,1707.0,32252.0,31807.0,370.0,75.0,3404.0,28848.0,1761.0,1686.0,22.0,1.0,1709.0,51.0,1.0,0.0,52.0,0.0,28642.0,60.0,56.0,2.0,2012-04-01
Del Norte,70.0,70.0,0.0,262.0,332.0,260.0,154.0,0.0,0.0,12.0,79.0,0.0,0.0,2.0,13.0,72.0,472.0,2035.0,446.0,1938.0,26.0,97.0,5.0,185.0,19.0,0.0,0.0,135.0,0.0,0.0,19.0,135.0,-28.0,28.0,0.0,0.0,0.0,0.0,14.0,22.0,477.0,2220.0,475.0,2210.0,5506.0,0.0,6.0,2.0,4.0,6.0,0.0,0.0,6.0,34.0,209.0,443.0,2011.0,34.0,158.0,28.0,0.0,0.0,157.0,0.0,0.0,28.0,157.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,2012,APR,0.0,91.0,0.0,15.0,123.0,2507.0,190.0,154.0,0.0,0.0,154.0,0.0,36.0,2697.0,2685.0,6.0,6.0,243.0,2454.0,192.0,185.0,0.0,0.0,185.0,7.0,0.0,0.0,7.0,0.0,2384.0,0.0,0.0,2.0,2012-04-01
El Dorado,243.0,253.0,-10.0,808.0,1051.0,768.0,423.0,0.0,0.0,7.0,256.0,0.0,0.0,1.0,81.0,283.0,618.0,4933.0,655.0,5014.0,-37.0,-81.0,65.0,693.0,31.0,0.0,0.0,389.0,2.0,1.0,31.0,392.0,-36.0,36.0,0.0,0.0,69.0,231.0,1.0,34.0,683.0,5626.0,677.0,5586.0,11644.0,3.0,38.0,6.0,29.0,12.0,0.0,0.0,11.0,38.0,537.0,645.0,5089.0,43.0,391.0,38.0,1.0,0.0,381.0,2.0,1.0,39.0,384.0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,7.0,0.0,0.0,2012,APR,0.0,263.0,0.0,82.0,-118.0,5551.0,758.0,420.0,2.0,1.0,423.0,0.0,35.0,6309.0,6263.0,35.0,11.0,575.0,5734.0,434.0,419.0,3.0,1.0,423.0,11.0,0.0,0.0,11.0,0.0,5669.0,0.0,300.0,2.0,2012-04-01
