county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
Merced,-8.0,1086.0,1713.0,2799.0,1673.0,862.0,2.0,22.0,117.0,536.0,0.0,5.0,21.0,137.0,1126.0,126.0,5105.0,33.0,128.0,1.0,0.0,726.0,7.0,0.0,129.0,-249.0,153.0,5138.0,5122.0,47519.0,6.0,121.0,15.0,5.0,0.0,1.0,202.0,4936.0,83.0,12631.0,1133.0,733.0,249.0,151.0,13764.0,13655.0,103.0,6.0,1087.0,12677.0,381.0,357.0,0.0,0.0,1142.0,7.0,0.0,357.0,24.0,0.0,0.0,19.0,0.0,0.0,24.0,0.0,1168.0,1149.0,19.0,0.0,2010,AUG,24.0,653.0,5.0,158.0,209.0,17736.0,1166.0,854.0,8.0,0.0,862.0,0.0,304.0,18902.0,18777.0,118.0,7.0,1289.0,17613.0,1549.0,1499.0,7.0,0.0,1506.0,43.0,0.0,0.0,43.0,0.0,3.0,2010-08-01
Modoc,-2.0,24.0,57.0,81.0,58.0,25.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,6.0,23.0,0.0,76.0,9.0,5.0,0.0,0.0,20.0,0.0,0.0,5.0,1.0,3.0,85.0,85.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.0,0.0,356.0,22.0,20.0,-1.0,3.0,378.0,378.0,0.0,0.0,38.0,340.0,3.0,3.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,22.0,2.0,0.0,2010,AUG,0.0,27.0,0.0,6.0,0.0,432.0,31.0,25.0,0.0,0.0,25.0,0.0,6.0,463.0,463.0,0.0,0.0,40.0,423.0,27.0,25.0,0.0,0.0,25.0,2.0,0.0,0.0,2.0,0.0,3.0,2010-08-01
Mono,0.0,23.0,45.0,68.0,43.0,24.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,2.0,25.0,0.0,31.0,-1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-1.0,0.0,30.0,30.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,324.0,25.0,24.0,1.0,0.0,349.0,349.0,0.0,0.0,65.0,284.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,2010,AUG,1.0,17.0,1.0,2.0,7.0,355.0,24.0,24.0,0.0,0.0,24.0,0.0,0.0,379.0,379.0,0.0,0.0,65.0,314.0,16.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,2010-08-01
Monterey,-34.0,1017.0,1766.0,2783.0,1786.0,921.0,0.0,0.0,57.0,638.0,0.0,0.0,10.0,160.0,997.0,57.0,3453.0,-176.0,123.0,2.0,0.0,786.0,9.0,1.0,125.0,-355.0,54.0,3277.0,3263.0,34210.0,2.0,112.0,14.0,12.0,0.0,0.0,97.0,3180.0,56.0,10588.0,1212.0,796.0,355.0,61.0,11800.0,11688.0,98.0,14.0,1131.0,10669.0,264.0,256.0,1.0,0.0,790.0,3.0,0.0,257.0,7.0,0.0,0.0,18.0,0.0,0.0,7.0,0.0,811.0,793.0,18.0,0.0,2010,AUG,0.0,695.0,0.0,170.0,113.0,14041.0,1036.0,909.0,11.0,1.0,921.0,0.0,115.0,15077.0,14951.0,112.0,14.0,1228.0,13849.0,1075.0,1046.0,4.0,0.0,1050.0,25.0,0.0,0.0,25.0,0.0,3.0,2010-08-01
Napa,-5.0,259.0,447.0,706.0,480.0,243.0,2.0,2.0,5.0,159.0,0.0,1.0,3.0,70.0,226.0,39.0,575.0,23.0,34.0,0.0,0.0,202.0,6.0,1.0,34.0,-20.0,9.0,598.0,589.0,6103.0,2.0,38.0,9.0,6.0,0.0,0.0,27.0,571.0,62.0,2052.0,246.0,209.0,20.0,17.0,2298.0,2263.0,29.0,6.0,263.0,2035.0,44.0,41.0,0.0,0.0,167.0,2.0,0.0,41.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,170.0,169.0,1.0,0.0,2010,AUG,4.0,164.0,1.0,73.0,101.0,2627.0,269.0,236.0,6.0,1.0,243.0,0.0,26.0,2896.0,2852.0,38.0,6.0,290.0,2606.0,214.0,208.0,2.0,0.0,210.0,4.0,0.0,0.0,4.0,0.0,3.0,2010-08-01
Nevada,,420.0,348.0,768.0,365.0,214.0,1.0,4.0,20.0,111.0,0.0,0.0,1.0,19.0,403.0,,591.0,27.0,20.0,0.0,0.0,194.0,0.0,0.0,20.0,-4.0,11.0,618.0,618.0,5485.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,607.0,,1384.0,214.0,194.0,4.0,16.0,1598.0,1598.0,0.0,0.0,173.0,1425.0,39.0,39.0,0.0,0.0,167.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,168.0,167.0,1.0,0.0,2010,AUG,5.0,131.0,0.0,20.0,,1975.0,241.0,214.0,0.0,0.0,214.0,0.0,27.0,2216.0,2216.0,0.0,0.0,184.0,2032.0,207.0,206.0,0.0,0.0,206.0,1.0,0.0,0.0,1.0,0.0,3.0,2010-08-01
Orange,,4728.0,7881.0,12609.0,7710.0,5237.0,6.0,16.0,154.0,1830.0,1.0,34.0,44.0,445.0,4899.0,,15825.0,486.0,563.0,13.0,0.0,4483.0,131.0,47.0,576.0,-171.0,81.0,16311.0,16109.0,171365.0,114.0,2102.0,201.0,681.0,0.0,1.0,199.0,16112.0,,47895.0,6048.0,4661.0,171.0,1216.0,53943.0,51977.0,1449.0,517.0,4749.0,49194.0,1023.0,1000.0,15.0,0.0,2436.0,64.0,13.0,1015.0,8.0,0.0,0.0,186.0,5.0,1.0,8.0,0.0,2705.0,2513.0,192.0,0.0,2010,AUG,22.0,1984.0,35.0,489.0,,63720.0,6534.0,5046.0,144.0,47.0,5237.0,0.0,1297.0,70254.0,68086.0,1650.0,518.0,4948.0,65306.0,3728.0,3436.0,79.0,13.0,3528.0,194.0,5.0,1.0,200.0,0.0,3.0,2010-08-01
Placer,,774.0,964.0,1738.0,1140.0,601.0,18.0,78.0,0.0,464.0,0.0,208.0,0.0,75.0,598.0,,1086.0,73.0,62.0,1.0,0.0,532.0,6.0,0.0,63.0,3.0,7.0,1159.0,1129.0,14349.0,0.0,90.0,30.0,14.0,15.0,0.0,48.0,1111.0,,4372.0,747.0,538.0,-3.0,212.0,5119.0,5062.0,36.0,21.0,582.0,4537.0,62.0,57.0,4.0,0.0,218.0,1.0,0.0,61.0,1.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,242.0,219.0,23.0,0.0,2010,AUG,96.0,464.0,208.0,75.0,,5458.0,820.0,594.0,7.0,0.0,601.0,0.0,219.0,6278.0,6191.0,66.0,21.0,630.0,5648.0,304.0,275.0,5.0,0.0,280.0,23.0,1.0,0.0,24.0,0.0,3.0,2010-08-01
Plumas,3.0,32.0,86.0,118.0,78.0,39.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,40.0,2.0,104.0,23.0,8.0,0.0,0.0,31.0,0.0,0.0,8.0,12.0,3.0,127.0,127.0,1192.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,117.0,9.0,380.0,27.0,31.0,-12.0,8.0,407.0,407.0,0.0,0.0,44.0,363.0,7.0,7.0,0.0,0.0,24.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,2010,AUG,1.0,33.0,0.0,6.0,11.0,484.0,50.0,39.0,0.0,0.0,39.0,0.0,11.0,534.0,534.0,0.0,0.0,54.0,480.0,31.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,2010-08-01
Riverside,-135.0,5003.0,11695.0,16698.0,12092.0,6661.0,1.0,7.0,488.0,4499.0,0.0,5.0,45.0,399.0,4606.0,501.0,19366.0,702.0,891.0,21.0,1.0,5605.0,117.0,26.0,913.0,-767.0,556.0,20068.0,19824.0,217138.0,88.0,1418.0,236.0,248.0,0.0,8.0,566.0,19502.0,656.0,59334.0,7283.0,5748.0,767.0,768.0,66617.0,65147.0,1245.0,225.0,5924.0,60693.0,1674.0,1598.0,13.0,0.0,5690.0,66.0,15.0,1611.0,62.0,1.0,0.0,74.0,0.0,0.0,63.0,0.0,5845.0,5771.0,74.0,0.0,2010,AUG,8.0,4987.0,5.0,444.0,1157.0,78700.0,7985.0,6496.0,138.0,27.0,6661.0,0.0,1324.0,86685.0,84971.0,1481.0,233.0,6490.0,80195.0,7519.0,7288.0,79.0,15.0,7382.0,136.0,1.0,0.0,137.0,0.0,3.0,2010-08-01
