county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
San Diego,0.0,7434.0,4553.0,11987.0,5192.0,2213.0,292.0,727.0,3.0,2222.0,195.0,1626.0,0.0,754.0,6795.0,-806.0,14946.0,1175.0,490.0,15.0,0.0,1666.0,30.0,12.0,505.0,582.0,88.0,16121.0,15870.0,99668.0,32.0,765.0,250.0,245.0,0.0,1.0,190.0,15931.0,-271.0,22596.0,3157.0,1708.0,671.0,778.0,25753.0,25174.0,393.0,186.0,3111.0,22642.0,998.0,969.0,14.0,0.0,1021.0,12.0,5.0,983.0,15.0,0.0,0.0,84.0,2.0,1.0,15.0,0.0,1125.0,1038.0,87.0,0.0,2007,DEC,1019.0,2225.0,1821.0,754.0,-1077.0,37542.0,4332.0,2156.0,45.0,12.0,2213.0,1253.0,866.0,41874.0,41044.0,643.0,187.0,3301.0,38573.0,2123.0,1990.0,26.0,5.0,2021.0,99.0,2.0,1.0,102.0,0.0,4.0,2007-12-01
San Francisco,249.0,894.0,1943.0,2837.0,2195.0,1401.0,21.0,242.0,22.0,627.0,7.0,204.0,14.0,131.0,642.0,-58.0,2907.0,77.0,83.0,2.0,1.0,1279.0,9.0,27.0,86.0,-39.0,30.0,2984.0,2875.0,31199.0,16.0,455.0,106.0,444.0,0.0,3.0,35.0,2949.0,235.0,15002.0,1543.0,1315.0,39.0,189.0,16545.0,15966.0,252.0,327.0,2001.0,14544.0,195.0,189.0,4.0,0.0,456.0,10.0,7.0,193.0,2.0,0.0,0.0,30.0,0.0,1.0,2.0,0.0,504.0,473.0,31.0,0.0,2007,DEC,263.0,649.0,211.0,145.0,177.0,17909.0,1620.0,1362.0,11.0,28.0,1401.0,0.0,219.0,19529.0,18841.0,358.0,330.0,2036.0,17493.0,699.0,645.0,14.0,7.0,666.0,32.0,0.0,1.0,33.0,0.0,4.0,2007-12-01
San Joaquin,-6.0,2203.0,2268.0,4471.0,2265.0,1230.0,21.0,56.0,219.0,602.0,3.0,7.0,104.0,110.0,2206.0,0.0,8695.0,877.0,226.0,0.0,0.0,977.0,20.0,7.0,226.0,562.0,89.0,9572.0,9565.0,59402.0,0.0,287.0,7.0,54.0,28.0,0.0,755.0,8817.0,0.0,7327.0,2015.0,1004.0,515.0,496.0,9342.0,9028.0,246.0,68.0,2054.0,7288.0,269.0,265.0,2.0,0.0,562.0,12.0,1.0,267.0,2.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,594.0,575.0,19.0,0.0,2007,DEC,77.0,821.0,10.0,214.0,0.0,16022.0,2892.0,1203.0,20.0,7.0,1230.0,1077.0,585.0,18914.0,18593.0,253.0,68.0,2809.0,16105.0,863.0,827.0,14.0,1.0,842.0,21.0,0.0,0.0,21.0,0.0,4.0,2007-12-01
San Luis Obispo,0.0,239.0,516.0,755.0,547.0,285.0,19.0,95.0,0.0,197.0,0.0,68.0,7.0,58.0,208.0,0.0,1066.0,47.0,49.0,2.0,0.0,231.0,3.0,0.0,51.0,-10.0,6.0,1113.0,1104.0,8629.0,0.0,36.0,9.0,8.0,0.0,0.0,22.0,1091.0,0.0,2615.0,330.0,234.0,10.0,86.0,2945.0,2911.0,26.0,8.0,383.0,2562.0,59.0,57.0,1.0,0.0,94.0,0.0,0.0,58.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,109.0,94.0,15.0,0.0,2007,DEC,114.0,197.0,68.0,65.0,0.0,3681.0,377.0,280.0,5.0,0.0,285.0,0.0,92.0,4058.0,4015.0,35.0,8.0,405.0,3653.0,168.0,151.0,1.0,0.0,152.0,16.0,0.0,0.0,16.0,0.0,4.0,2007-12-01
San Mateo,0.0,815.0,730.0,1545.0,846.0,305.0,19.0,84.0,9.0,444.0,6.0,147.0,6.0,82.0,699.0,0.0,1483.0,29.0,51.0,0.0,0.0,244.0,7.0,3.0,51.0,-39.0,17.0,1512.0,1493.0,8918.0,5.0,90.0,19.0,20.0,0.0,0.0,29.0,1483.0,0.0,1703.0,379.0,254.0,39.0,86.0,2082.0,2008.0,58.0,16.0,437.0,1645.0,85.0,83.0,1.0,0.0,114.0,1.0,0.0,84.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,120.0,115.0,5.0,0.0,2007,DEC,103.0,453.0,153.0,88.0,0.0,3186.0,408.0,295.0,7.0,3.0,305.0,0.0,103.0,3594.0,3501.0,77.0,16.0,466.0,3128.0,205.0,197.0,2.0,0.0,199.0,6.0,0.0,0.0,6.0,0.0,4.0,2007-12-01
Santa Barbara,74.0,1311.0,1127.0,2438.0,1499.0,647.0,36.0,142.0,22.0,274.0,9.0,102.0,24.0,532.0,939.0,-309.0,3235.0,217.0,155.0,1.0,0.0,483.0,8.0,0.0,156.0,35.0,26.0,3452.0,3438.0,18302.0,14.0,39.0,14.0,0.0,4.0,0.0,32.0,3420.0,393.0,3489.0,625.0,491.0,-35.0,169.0,4114.0,4072.0,38.0,4.0,797.0,3317.0,158.0,155.0,1.0,0.0,232.0,2.0,1.0,156.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,259.0,235.0,24.0,0.0,2007,DEC,178.0,296.0,111.0,556.0,84.0,6724.0,842.0,638.0,9.0,0.0,647.0,0.0,195.0,7566.0,7510.0,52.0,4.0,829.0,6737.0,417.0,387.0,3.0,1.0,391.0,26.0,0.0,0.0,26.0,0.0,4.0,2007-12-01
Santa Clara,252.0,1760.0,2161.0,3921.0,2457.0,1348.0,90.0,342.0,20.0,747.0,10.0,349.0,37.0,305.0,1464.0,-172.0,8297.0,222.0,311.0,6.0,0.0,995.0,10.0,26.0,317.0,-144.0,49.0,8519.0,8401.0,60646.0,13.0,598.0,114.0,561.0,0.0,4.0,119.0,8400.0,211.0,16120.0,1777.0,1031.0,143.0,603.0,17897.0,17155.0,335.0,407.0,1979.0,15918.0,532.0,524.0,6.0,0.0,769.0,21.0,9.0,530.0,2.0,0.0,0.0,48.0,3.0,0.0,2.0,0.0,850.0,799.0,51.0,0.0,2007,DEC,432.0,767.0,359.0,342.0,39.0,24417.0,1999.0,1306.0,16.0,26.0,1348.0,-1.0,652.0,26416.0,25556.0,449.0,411.0,2098.0,24318.0,1382.0,1293.0,27.0,9.0,1329.0,50.0,3.0,0.0,53.0,0.0,4.0,2007-12-01
Santa Cruz,114.0,699.0,636.0,1335.0,786.0,501.0,46.0,200.0,0.0,279.0,1.0,118.0,0.0,6.0,549.0,-4.0,1331.0,99.0,88.0,1.0,0.0,407.0,4.0,1.0,89.0,0.0,10.0,1430.0,1424.0,12223.0,6.0,52.0,6.0,0.0,9.0,0.0,21.0,1409.0,19.0,3660.0,616.0,412.0,7.0,197.0,4276.0,4215.0,52.0,9.0,648.0,3628.0,93.0,92.0,0.0,0.0,193.0,3.0,1.0,92.0,1.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,242.0,197.0,45.0,0.0,2007,DEC,246.0,279.0,119.0,6.0,15.0,4991.0,715.0,495.0,5.0,1.0,501.0,7.0,207.0,5706.0,5639.0,58.0,9.0,669.0,5037.0,335.0,285.0,3.0,1.0,289.0,46.0,0.0,0.0,46.0,0.0,4.0,2007-12-01
Shasta,0.0,331.0,717.0,1048.0,728.0,486.0,13.0,39.0,25.0,178.0,5.0,29.0,7.0,32.0,320.0,0.0,2388.0,343.0,68.0,0.0,0.0,418.0,0.0,0.0,68.0,236.0,39.0,2731.0,2731.0,14300.0,0.0,2.0,0.0,0.0,4.0,0.0,293.0,2438.0,0.0,3297.0,961.0,418.0,328.0,215.0,4258.0,4250.0,5.0,3.0,1092.0,3166.0,62.0,61.0,0.0,0.0,142.0,0.0,0.0,61.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,147.0,142.0,5.0,2.0,2007,DEC,52.0,203.0,34.0,39.0,0.0,5685.0,1304.0,486.0,0.0,0.0,486.0,564.0,254.0,6989.0,6981.0,5.0,3.0,1385.0,5604.0,209.0,203.0,0.0,0.0,203.0,6.0,0.0,0.0,6.0,5.0,4.0,2007-12-01
Sierra,0.0,6.0,11.0,17.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,16.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,-2.0,0.0,16.0,16.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,-3.0,53.0,8.0,6.0,2.0,0.0,61.0,61.0,0.0,0.0,8.0,53.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,DEC,0.0,0.0,0.0,0.0,-3.0,69.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,77.0,77.0,0.0,0.0,9.0,68.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2007-12-01
