county,consortium,year,pri_est_frequency,calfresh_persons_cy_avg,calfresh_eligibles,five_yr_est_range,pri_us_census_est_pct,month,quarter,fulldate
California,n/a,2010,Annual Est.,n/a,n/a,n/a,0.509,DEC,4.0,2010-12-01
Alameda,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.471651938133,DEC,4.0,2010-12-01
Alpine,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.01004,DEC,4.0,2010-12-01
Amador,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.757,DEC,4.0,2010-12-01
Butte,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.516418643416,DEC,4.0,2010-12-01
Calaveras,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.806,DEC,4.0,2010-12-01
Colusa,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.379,DEC,4.0,2010-12-01
Contra Costa,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.484976380096,DEC,4.0,2010-12-01
Del Norte,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.859,DEC,4.0,2010-12-01
El Dorado,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.472997661397,DEC,4.0,2010-12-01
Fresno,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.782853247057,DEC,4.0,2010-12-01
Glenn,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.566,DEC,4.0,2010-12-01
Humboldt,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.494349126674,DEC,4.0,2010-12-01
Imperial,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.707393173199,DEC,4.0,2010-12-01
Inyo,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.659,DEC,4.0,2010-12-01
Kern,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.595946834692,DEC,4.0,2010-12-01
Kings,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.571645951436,DEC,4.0,2010-12-01
Lake,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.485144180235,DEC,4.0,2010-12-01
Lassen,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.741,DEC,4.0,2010-12-01
Los Angeles,LRS,2010,Annual Est.,n/a,n/a,n/a,0.473957282764,DEC,4.0,2010-12-01
Madera,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.683006815597,DEC,4.0,2010-12-01
Marin,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.30737342537,DEC,4.0,2010-12-01
Mariposa,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.5,DEC,4.0,2010-12-01
Mendocino,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.519578442982,DEC,4.0,2010-12-01
Merced,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.775339497,DEC,4.0,2010-12-01
Modoc,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.494,DEC,4.0,2010-12-01
Mono,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.229,DEC,4.0,2010-12-01
Monterey,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.43932290343,DEC,4.0,2010-12-01
Napa,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.309365116371,DEC,4.0,2010-12-01
Nevada,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.391368857014,DEC,4.0,2010-12-01
Orange,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.394775843755,DEC,4.0,2010-12-01
Placer,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.330467441321,DEC,4.0,2010-12-01
Plumas,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.388,DEC,4.0,2010-12-01
Riverside,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.478043411258,DEC,4.0,2010-12-01
Sacramento,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.689759743366,DEC,4.0,2010-12-01
San Benito,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.743,DEC,4.0,2010-12-01
San Bernardino,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.696675269258,DEC,4.0,2010-12-01
San Diego,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.337455853947,DEC,4.0,2010-12-01
San Francisco,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.394491296461,DEC,4.0,2010-12-01
San Joaquin,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.629901901635,DEC,4.0,2010-12-01
San Luis Obispo,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.346418853503,DEC,4.0,2010-12-01
San Mateo,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.298583065919,DEC,4.0,2010-12-01
Santa Barbara,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.328630688531,DEC,4.0,2010-12-01
