county,qtr_calfresh_hh_ly,qtr_calfresh_hh_prev_qtr,qtr_calfresh_hh_curr_qtr,qtr_calfresh_pers_ly,qtr_calfresh_pers_prev_qtr,qtr_calfresh_pers_curr_qtr,qtr_medical_rcv_calfresh_ly,qtr_medical_rcv_calfresh_prev_qtr,qtr_medical_rcv_calfresh_curr_qtr,qtr_calfresh_rcv_medical_ly,qtr_calfresh_rcv_medical_prev_qtr,qtr_calfresh_rcv_medical_curr_qtr,qtr_pct_calfresh_rcv_medical_ly,qtr_pct_calfresh_rcv_medical_prev_qtr,qtr_pct_calfresh_rcv_medical_curr_qtr,qtr_timeliness_30d_ly,qtr_timeliness_30d_prev_qtr,qtr_timeliness_30d_curr_qtr,qtr_timeliness_exp_ly,qtr_timeliness_exp_prev_qtr,qtr_timeliness_exp_curr_qtr,qtr_active_err_rt_ly,qtr_active_err_rt_prev_qtr,qtr_active_err_rt_curr_qtr,qtr_30d_churn_reapps_ly,qtr_30d_churn_reapps_prev_qtr,qtr_30d_churn_reapps_curr_qtr,qtr_90d_churn_reapps_ly,qtr_90d_churn_reapps_prev_qtr,qtr_90d_churn_reapps_curr_qtr,qtr_30d_churn_recerts_ly,qtr_30d_churn_recerts_prev_qtr,qtr_30d_churn_recerts_curr_qtr,qtr_90d_churn_recerts_ly,qtr_90d_churn_recerts_prev_qtr,qtr_90d_churn_recerts_curr_qtr,ann_hh_2yr_prior,ann_hh_1yr_prior,ann_hh_yr_of_report,ann_pers_2yr_prior,ann_pers_1yr_prior,ann_pers_yr_of_report,ann_elderly_2yr_prior,ann_elderly_1yr_prior,ann_elderly_yr_of_report,ann_children_2yr_prior,ann_children_1yr_prior,ann_children_yr_of_report,ann_child_only_hh_2yr_prior,ann_child_only_hh_1yr_prior,ann_child_only_hh_yr_of_report,ann_child_only_pers_2yr_prior,ann_child_only_pers_1yr_prior,ann_child_only_pers_yr_of_report,ann_esl_2yr_prior,ann_esl_1yr_prior,ann_esl_yr_of_report,ann_tot_pop_2yr_prior,ann_tot_pop_1yr_prior,ann_tot_pop_yr_of_report,ann_elderly_over60_2yr_prior,ann_elderly_over60_1yr_prior,ann_elderly_over60_yr_of_report,ann_children_less18_2yr_prior,ann_children_less18_1yr_prior,ann_children_less18_yr_of_report,ann_tot_pop_greater5_2yr_prior,ann_tot_pop_greater5_1yr_prior,ann_tot_pop_greater5_yr_of_report,ann_tot_esl_greater5_2yr_prior,ann_tot_esl_greater5_1yr_prior,ann_tot_esl_greater5_yr_of_report,ann_medical_2yr_prior,ann_medical_1yr_prior,ann_medical_yr_of_report,ann_ssi_rcpt_2yr_prior,ann_ssi_rcpt_1yr_prior,ann_ssi_rcpt_yr_of_report,ann_unempl_pct_2yr_prior,ann_unempl_pct_1yr_prior,ann_unempl_pct_yr_of_report,ann_calfresh_eligibles_2yr_prior,ann_calfresh_eligibles_1yr_prior,ann_calfresh_eligibles_yr_of_report,ann_eligibles_excl_undocs_ssi_2yr_prior,ann_eligibles_excl_undocs_ssi_1yr_prior,ann_eligibles_excl_undocs_ssi_yr_of_report,year,month,quarter,fulldate
Fresno,97184.0,96715.0,97856.0,230446.0,227846.0,229388.0,0.547794069093,0.554025817758,0.556287631774,207391.0,221930.0,222475.0,0.897917036485,0.926379676667,0.930830477768,0.913069908815,0.957524271845,0.941015506233,0.969517184943,0.925616291533,0.972956850268,0.0264,0.0258,0.0245,0.1315,0.1306,0.1408,0.2268,0.2436,0.2506,0.0752,0.086,0.1054,0.1236,0.1398,0.1637,90783.0,94285.0,97947.0,217757.0,224430.0,228537.0,5364.0,7362.0,9438.0,123609.0,122849.0,144746.0,14216.0,13450.0,14341.0,,,,59175.0,60875.0,71864.0,958260.0,969338.0,981681.0,147191.0,152725.0,158747.0,276923.203209,279805.045186,283782.735203,,,,108885.0,109792.0,,299363.0,,,40774.0,41053.0,41165.0,0.132,0.116,0.102,280018.279251,281485.643863,,0.782936225206,0.806269064213,,2015,JUN,2.0,2015-06-01
Glenn,1522.0,1520.0,1521.0,3735.0,3684.0,3682.0,0.38860442314,0.402179836512,0.417885073104,3567.0,3690.0,3687.0,0.942155309033,0.959188978425,0.96015625,0.9875,1.0,1.0,1.0,0.985401459854,0.986111111111,0.0864,0.0457,0.0287,0.1391,0.1366,0.1218,0.2205,0.2242,0.2056,0.1522,0.1701,0.1472,0.1706,0.1959,0.1599,1431.0,1514.0,1528.0,3549.0,3697.0,3645.0,113.0,148.0,183.0,1985.0,1960.0,2401.0,237.0,215.0,229.0,,,,739.0,762.0,935.0,28599.0,28868.0,29132.0,5834.0,6039.0,6264.0,7588.22108211,7542.35326088,7517.57811439,,,,2638.0,2410.0,,6747.0,,,1136.0,1111.0,1106.0,0.121,0.107,0.087,6195.80776671,,,0.568507573022,,,2015,JUN,2.0,2015-06-01
Humboldt,9987.0,11518.0,11942.0,18257.0,20309.0,20875.0,0.458921025191,0.4965133959,0.509546476958,16724.0,18940.0,19482.0,0.898125771978,0.915816449882,0.914991546121,0.986486486486,0.997023809524,0.998275862069,0.862969004894,0.919379844961,0.93620414673,0.0864,0.0457,0.0287,0.0849,0.1139,0.1155,0.1378,0.173,0.1796,0.204,0.2125,0.2379,0.2233,0.2292,0.2642,8812.0,10547.0,12084.0,16507.0,19098.0,21066.0,695.0,1117.0,1512.0,7000.0,7428.0,9450.0,684.0,644.0,686.0,,,,886.0,900.0,1123.0,136480.0,136779.0,137159.0,30216.0,31381.0,32518.0,26024.6730832,25824.3467563,25608.6624366,,,,2347.0,2266.0,,24939.0,,,5607.0,5545.0,5488.0,0.082,0.068,0.056,34042.6827341,33221.6973898,,0.474035923418,0.565634353743,,2015,JUN,2.0,2015-06-01
Imperial,15146.0,16703.0,16913.0,38209.0,42073.0,42432.0,0.502429999448,0.543065264955,0.548965152417,36390.0,40706.0,41510.0,0.933220495461,0.948261001235,0.955372966006,0.944700460829,0.939935064935,0.948604992658,0.883137254902,0.880733944954,0.835931091058,0.0864,0.0457,0.0287,0.1327,0.1592,0.1517,0.2215,0.2382,0.2346,0.2196,0.2414,0.2509,0.2532,0.2748,0.2802,14518.0,15936.0,17367.0,37083.0,40394.0,43485.0,1738.0,2213.0,2905.0,19291.0,19838.0,24612.0,1028.0,990.0,905.0,,,,19370.0,21381.0,27755.0,179326.0,183154.0,187689.0,28182.0,29668.0,31415.0,51426.3935883,52464.0201566,53798.9417401,,,,32195.0,33803.0,,55474.0,,,10276.0,10238.0,10128.0,0.249,0.236,0.24,44789.8810232,44825.9023043,,0.814640171622,0.895081443335,,2015,JUN,2.0,2015-06-01
Inyo,1091.0,1042.0,1042.0,2198.0,2064.0,2073.0,0.443103062821,0.427410498572,0.457208765859,1982.0,1946.0,1982.0,0.907509157509,0.933781190019,0.937115839243,1.0,0.985507246377,1.0,0.961904761905,0.949152542373,0.905172413793,0.0864,0.0457,0.0287,0.1042,0.1511,0.1295,0.1625,0.2338,0.2455,0.2625,0.2734,0.3036,0.3125,0.3094,0.3438,1058.0,1068.0,1049.0,2132.0,2149.0,2076.0,137.0,154.0,201.0,964.0,928.0,1141.0,103.0,98.0,96.0,,,,327.0,296.0,346.0,19241.0,19244.0,19304.0,5510.0,5699.0,5912.0,3659.83488104,3589.57016197,3538.06763225,,,,532.0,510.0,,3188.0,,,407.0,402.0,394.0,0.079,0.07,0.058,2765.88200729,,,0.739464923624,,,2015,JUN,2.0,2015-06-01
Kern,61152.0,63893.0,66165.0,147731.0,149749.0,157116.0,0.473115305085,0.48476251852,0.496589653211,136824.0,145930.0,151874.0,0.912671095814,0.937907719598,0.945060142001,0.983641975309,0.993464052288,0.993805309735,0.90754599314,0.915418368891,0.947447447447,0.0222,0.0064,0.0078,0.1993,0.1785,0.1779,0.2894,0.2621,0.2606,0.2089,0.1585,0.1754,0.2425,0.1851,0.2039,59623.0,61918.0,68143.0,144653.0,148150.0,160741.0,3983.0,5081.0,7145.0,84978.0,82576.0,105010.0,10703.0,9808.0,10689.0,,,,37191.0,37076.0,47266.0,869797.0,878356.0,894492.0,122971.0,128553.0,134065.0,252027.910679,256534.749211,262787.02607,,,,88100.0,79181.0,,224473.0,,,31384.0,31592.0,31341.0,0.117,0.104,0.102,224185.425539,225536.447523,,0.64036520264,0.65609868512,,2015,JUN,2.0,2015-06-01
Kings,10267.0,10270.0,10570.0,24396.0,24051.0,24693.0,0.527652448951,0.518720384419,0.528318525541,22688.0,23317.0,23964.0,0.927517272393,0.950434109159,0.952653548002,0.991181657848,0.996779388084,0.997987927565,0.845425867508,0.963582677165,0.967775467775,0.0864,0.0457,0.0287,0.1871,0.2253,0.1943,0.2705,0.3007,0.2742,0.38,0.2901,0.2895,0.4135,0.3214,0.3204,9956.0,10210.0,10785.0,23543.0,24002.0,24942.0,652.0,797.0,1081.0,12892.0,12521.0,15587.0,1396.0,1267.0,1418.0,,,,5451.0,5713.0,7275.0,152456.0,153601.0,155122.0,19636.0,20420.0,21191.0,41136.3282297,41468.3510153,41947.1170825,,,,14426.0,15306.0,,33393.0,,,4659.0,4635.0,4579.0,0.135,0.121,0.105,34890.9740076,38859.0351458,,0.669300474371,0.61675060236,,2015,JUN,2.0,2015-06-01
Lake,5383.0,5936.0,6132.0,10896.0,11629.0,11957.0,0.446885500129,0.45368635113,0.458116010748,10374.0,11378.0,11594.0,0.925011145787,0.951337792642,0.951185495119,0.872586872587,0.975,0.98031496063,0.816254416961,0.945762711864,0.956603773585,0.0864,0.0457,0.0287,0.0559,0.0635,0.0789,0.1165,0.1306,0.1523,0.3394,0.2781,0.307,0.3795,0.3211,0.3516,5227.0,5525.0,6253.0,10453.0,11036.0,12127.0,586.0,736.0,1022.0,4436.0,4622.0,5927.0,385.0,344.0,393.0,,,,814.0,817.0,1156.0,64782.0,65465.0,66219.0,18045.0,18728.0,19438.0,12881.5759389,12725.6302984,12641.7516325,,,,1792.0,1951.0,,16443.0,,,3710.0,3663.0,3675.0,0.108,0.089,0.077,17452.4775,17435.21142,,0.589944894643,0.63176750397,,2015,JUN,2.0,2015-06-01
Lassen,1570.0,1545.0,1544.0,3235.0,3182.0,3212.0,0.484502970933,0.468319132455,0.479462631254,3017.0,3023.0,3105.0,0.929451632779,0.936203158873,0.936369119421,0.961538461538,0.867469879518,0.943661971831,0.875,0.783783783784,0.733727810651,0.0864,0.0457,0.0287,0.0786,0.0683,0.0744,0.172,0.1537,0.141,0.226,0.2488,0.2718,0.2531,0.2854,0.3051,1426.0,1536.0,1540.0,2971.0,3168.0,3205.0,99.0,150.0,199.0,1319.0,1345.0,1730.0,91.0,108.0,99.0,,,,67.0,71.0,94.0,34966.0,35038.0,35190.0,6186.0,6479.0,6760.0,5573.9663543,5518.95047614,5457.06136445,,,,769.0,712.0,,4436.0,,,906.0,880.0,883.0,0.106,0.093,0.073,4398.02348576,,,0.677804475044,,,2015,JUN,2.0,2015-06-01
Los Angeles,576682.0,585716.0,584978.0,1180079.0,1185400.0,1178282.0,0.364864219249,0.374683903607,0.379141632269,985179.0,1013768.0,1022970.0,0.827119728385,0.847509515764,0.859289884862,0.963176064442,0.966865894658,0.970766626701,0.944853240653,0.948016137927,0.949368058215,0.0491,0.0583,0.0405,0.0946,0.0825,0.0816,0.1751,0.1561,0.1522,0.0061,0.0095,0.0102,0.009,0.0121,0.0133,557570.0,585696.0,588075.0,1148512.0,1193453.0,1183107.0,46590.0,59648.0,76022.0,629069.0,614546.0,726193.0,117585.0,109736.0,118786.0,,,,444806.0,444589.0,520243.0,10010961.0,10082664.0,10147070.0,1701464.0,1760921.0,1826080.0,2329493.74966,2322212.77862,2320563.28828,,,,1402433.0,1394350.0,,2250353.0,,,388148.0,389765.0,386663.0,0.098,0.083,0.067,2088070.07593,2032449.54471,,0.542114947696,0.58334051625,,2015,JUN,2.0,2015-06-01
Madera,11593.0,11878.0,12125.0,29027.0,29310.0,29932.0,0.50359947644,0.505989822602,0.523957584472,27702.0,28637.0,29153.0,0.946979796944,0.963235788766,0.966194942498,0.97880539499,0.986842105263,1.0,0.913140311804,0.876456876457,0.849633251834,0.0864,0.0457,0.0287,0.1387,0.1455,0.1447,0.2204,0.2239,0.2266,0.254,0.2177,0.2503,0.2746,0.2459,0.289,10608.0,11507.0,12063.0,26856.0,28885.0,29699.0,619.0,799.0,1081.0,16652.0,16999.0,20470.0,2773.0,2654.0,3011.0,,,,9640.0,10033.0,11990.0,153409.0,154829.0,157722.0,26873.0,27801.0,28993.0,42148.781274,43015.3367283,43735.6804262,,,,20706.0,20778.0,,42230.0,,,4478.0,4505.0,4530.0,0.125,0.11,0.105,38832.0106961,38902.7225579,,0.690962277371,0.741209906078,,2015,JUN,2.0,2015-06-01
Marin,6107.0,6300.0,6426.0,10224.0,10403.0,10485.0,0.321361556441,0.333897587812,0.343225978174,9762.0,10257.0,10316.0,0.940462427746,0.945694265167,0.943134028159,0.960365853659,0.982332155477,0.969283276451,0.930269413629,0.930599369085,0.920913884007,0.0864,0.0457,0.0287,0.1335,0.1794,0.1807,0.2026,0.2478,0.2595,0.2075,0.2674,0.2645,0.2517,0.3042,0.3046,5762.0,6216.0,6511.0,9774.0,10397.0,10687.0,887.0,1119.0,1471.0,4734.0,4831.0,5967.0,1271.0,1282.0,1459.0,,,,3455.0,3804.0,4835.0,256264.0,257792.0,258804.0,69445.0,70897.0,72375.0,51412.293987,51121.563219,50887.4372254,,,,8867.0,11871.0,,21230.0,,,3107.0,3034.0,2913.0,0.052,0.043,0.035,22421.1445398,22695.6318747,,0.419766098333,0.454169627158,,2015,JUN,2.0,2015-06-01
Mariposa,1032.0,1073.0,1113.0,2059.0,2033.0,2127.0,0.513969425409,0.526921066388,0.5380631797,1950.0,2016.0,2078.0,0.939306358382,0.957264957265,0.958487084871,0.872340425532,0.847826086957,1.0,0.924731182796,0.975903614458,0.963855421687,0.0864,0.0457,0.0287,0.0819,0.1434,0.125,0.1379,0.1977,0.1991,0.194,0.2636,0.287,0.2241,0.2868,0.3056,920.0,1005.0,1122.0,1855.0,1974.0,2152.0,119.0,172.0,233.0,714.0,711.0,952.0,37.0,31.0,30.0,,,,30.0,52.0,49.0,18101.0,18091.0,18147.0,5971.0,6133.0,6328.0,2987.83680235,2966.46642759,2947.54092105,,,,227.0,199.0,,2652.0,,,462.0,454.0,451.0,0.105,0.088,0.072,3154.61487097,,,0.587825681488,,,2015,JUN,2.0,2015-06-01
Mendocino,7590.0,7131.0,6965.0,14074.0,13178.0,13008.0,0.42088150289,0.399165375739,0.404187310213,12815.0,12626.0,12645.0,0.896843725943,0.92593135817,0.933968535342,0.997222222222,0.986595174263,1.0,0.980198019802,0.973076923077,0.972045743329,0.0864,0.0457,0.0287,0.1077,0.1502,0.1571,0.1568,0.2681,0.2734,0.1975,0.3479,0.2521,0.2486,0.4358,0.3142,6923.0,7569.0,7077.0,13202.0,14007.0,13204.0,699.0,941.0,1117.0,5665.0,5681.0,6905.0,688.0,618.0,637.0,,,,1823.0,1931.0,2266.0,88931.0,88795.0,88884.0,23290.0,24007.0,24725.0,18865.396848,18783.6326394,18736.6781977,,,,4171.0,4690.0,,21783.0,,,3218.0,3145.0,3087.0,0.082,0.069,0.059,22380.62258,19834.10262,,0.587919301752,0.694914222441,,2015,JUN,2.0,2015-06-01
