county,consortium,year,state_fiscal_year,ann_calfresh_hh_sfy_avg,ann_calfresh_hh_cy_avg,ann_calfresh_persons_sfy_avg,ann_calfresh_persons_cy_avg,ann_elderly,ann_children,ann_child_only_hh,ann_esl,ann_wic_calfresh_reachable,ann_calfresh_in_wic,ann_tot_pop,ann_elderly_over60,ann_children_under18,ann_tot_esl_over5,ann_tot_ssi_recipients,unemployment_pct,ann_calfresh_eligibles,month,quarter,fulldate
Placer,CalWIN,2012,2012/13,8276.5,8163.166667,17758.75,17912.75,791.0,8043.0,871.0,2058.0,0.0,0.0,359890.0,82787.0,82232.0,6656.0,5044.0,0.094,42086.80951,DEC,4.0,2012-12-01
Plumas,C-IV,2012,2012/13,783.4166667,746.1666667,1679.75,1637.0,50.0,701.0,27.0,21.0,0.0,0.0,19883.0,6584.0,3423.0,261.0,665.0,0.147,3547.678955,DEC,4.0,2012-12-01
Riverside,C-IV,2012,2012/13,113238.75,108747.0833,274719.25,267193.4167,8379.0,143506.0,18716.0,62978.0,0.0,0.0,2253317.0,388894.0,610090.0,178052.0,54970.0,0.122,482427.2752,DEC,4.0,2012-12-01
Sacramento,CalWIN,2012,2012/13,93053.83333,90288.83333,208569.1667,204383.75,5103.0,102959.0,11758.0,46984.0,0.0,0.0,1445230.0,246325.0,360996.0,97511.0,60330.0,0.106,310461.5672,DEC,4.0,2012-12-01
San Benito,C-IV,2012,2012/13,2663.583333,2627.666667,6252.166667,6167.416667,216.0,3314.0,502.0,1849.0,0.0,0.0,56333.0,8855.0,15464.0,6386.0,897.0,0.139,8551.018117,DEC,4.0,2012-12-01
San Bernardino,C-IV,2012,2012/13,156048.0833,150229.6667,368160.75,358854.8333,10026.0,187444.0,22712.0,67830.0,0.0,0.0,2077560.0,292854.0,585442.0,172415.0,65325.0,0.12,474490.9036,DEC,4.0,2012-12-01
San Diego,CalWIN,2012,2012/13,116470.75,111643.0,254245.8333,247227.4167,11289.0,125548.0,19228.0,88054.0,0.0,0.0,3174446.0,545262.0,745003.0,228674.0,74992.0,0.089,564164.4746,DEC,4.0,2012-12-01
San Francisco,CalWIN,2012,2012/13,32451.41667,32800.41667,50672.66667,50980.91667,4864.0,19583.0,5068.0,19407.0,0.0,0.0,832605.0,166284.0,111955.0,105810.0,37817.0,0.073,121505.8722,DEC,4.0,2012-12-01
San Joaquin,C-IV,2012,2012/13,45116.33333,43422.25,110415.75,107506.75,2587.0,60071.0,7727.0,23960.0,0.0,0.0,700414.0,109853.0,198439.0,64140.0,26908.0,0.152,138592.4051,DEC,4.0,2012-12-01
San Luis Obispo,CalWIN,2012,2012/13,9010.583333,8959.75,17595.75,17536.75,882.0,8140.0,1285.0,3116.0,0.0,0.0,272608.0,64135.0,49952.0,9420.0,4420.0,0.081,43666.93102,DEC,4.0,2012-12-01
San Mateo,CalWIN,2012,2012/13,13893.41667,13399.33333,28692.08333,27877.5,1886.0,16040.0,3538.0,11878.0,0.0,0.0,740568.0,148953.0,160010.0,60960.0,11180.0,0.067,72926.38657,DEC,4.0,2012-12-01
Santa Barbara,CalWIN,2012,2012/13,14486.25,14190.75,32711.16667,32135.91667,866.0,20351.0,5628.0,13341.0,0.0,0.0,430287.0,78892.0,97191.0,45401.0,8597.0,0.08,76854.9231,DEC,4.0,2012-12-01
Santa Clara,CalWIN,2012,2012/13,50784.0,48874.75,108648.8333,105371.0833,5507.0,56627.0,13623.0,44837.0,0.0,0.0,1840218.0,307307.0,432393.0,178148.0,43944.0,0.084,220690.5633,DEC,4.0,2012-12-01
Santa Cruz,CalWIN,2012,2012/13,11487.91667,10881.0,22652.75,21794.5,922.0,11666.0,3317.0,8532.0,0.0,0.0,267672.0,50507.0,56197.0,21496.0,5104.0,0.111,37038.96801,DEC,4.0,2012-12-01
Shasta,C-IV,2012,2012/13,12120.75,12280.83333,24181.91667,24701.91667,821.0,10508.0,922.0,495.0,0.0,0.0,177962.0,44246.0,38697.0,2105.0,9329.0,0.134,33388.90399,DEC,4.0,2012-12-01
Sierra,C-IV,2012,2012/13,157.8333333,146.4166667,302.1666667,283.75,23.0,95.0,1.0,4.0,0.0,0.0,3206.0,1111.0,514.0,60.0,99.0,0.143,622.6023529,DEC,4.0,2012-12-01
