county,qtr_calfresh_hh_ly,qtr_calfresh_hh_prev_qtr,qtr_calfresh_hh_curr_qtr,qtr_calfresh_pers_ly,qtr_calfresh_pers_prev_qtr,qtr_calfresh_pers_curr_qtr,qtr_medical_rcv_calfresh_ly,qtr_medical_rcv_calfresh_prev_qtr,qtr_medical_rcv_calfresh_curr_qtr,qtr_calfresh_rcv_medical_ly,qtr_calfresh_rcv_medical_prev_qtr,qtr_calfresh_rcv_medical_curr_qtr,qtr_pct_calfresh_rcv_medical_ly,qtr_pct_calfresh_rcv_medical_prev_qtr,qtr_pct_calfresh_rcv_medical_curr_qtr,qtr_timeliness_30d_ly,qtr_timeliness_30d_prev_qtr,qtr_timeliness_30d_curr_qtr,qtr_timeliness_exp_ly,qtr_timeliness_exp_prev_qtr,qtr_timeliness_exp_curr_qtr,qtr_active_err_rt_ly,qtr_active_err_rt_prev_qtr,qtr_active_err_rt_curr_qtr,qtr_30d_churn_reapps_ly,qtr_30d_churn_reapps_prev_qtr,qtr_30d_churn_reapps_curr_qtr,qtr_90d_churn_reapps_ly,qtr_90d_churn_reapps_prev_qtr,qtr_90d_churn_reapps_curr_qtr,qtr_30d_churn_recerts_ly,qtr_30d_churn_recerts_prev_qtr,qtr_30d_churn_recerts_curr_qtr,qtr_90d_churn_recerts_ly,qtr_90d_churn_recerts_prev_qtr,qtr_90d_churn_recerts_curr_qtr,ann_hh_2yr_prior,ann_hh_1yr_prior,ann_hh_yr_of_report,ann_pers_2yr_prior,ann_pers_1yr_prior,ann_pers_yr_of_report,ann_elderly_2yr_prior,ann_elderly_1yr_prior,ann_elderly_yr_of_report,ann_children_2yr_prior,ann_children_1yr_prior,ann_children_yr_of_report,ann_child_only_hh_2yr_prior,ann_child_only_hh_1yr_prior,ann_child_only_hh_yr_of_report,ann_child_only_pers_2yr_prior,ann_child_only_pers_1yr_prior,ann_child_only_pers_yr_of_report,ann_esl_2yr_prior,ann_esl_1yr_prior,ann_esl_yr_of_report,ann_tot_pop_2yr_prior,ann_tot_pop_1yr_prior,ann_tot_pop_yr_of_report,ann_elderly_over60_2yr_prior,ann_elderly_over60_1yr_prior,ann_elderly_over60_yr_of_report,ann_children_less18_2yr_prior,ann_children_less18_1yr_prior,ann_children_less18_yr_of_report,ann_tot_pop_greater5_2yr_prior,ann_tot_pop_greater5_1yr_prior,ann_tot_pop_greater5_yr_of_report,ann_tot_esl_greater5_2yr_prior,ann_tot_esl_greater5_1yr_prior,ann_tot_esl_greater5_yr_of_report,ann_medical_2yr_prior,ann_medical_1yr_prior,ann_medical_yr_of_report,ann_ssi_rcpt_2yr_prior,ann_ssi_rcpt_1yr_prior,ann_ssi_rcpt_yr_of_report,ann_unempl_pct_2yr_prior,ann_unempl_pct_1yr_prior,ann_unempl_pct_yr_of_report,ann_calfresh_eligibles_2yr_prior,ann_calfresh_eligibles_1yr_prior,ann_calfresh_eligibles_yr_of_report,ann_eligibles_excl_undocs_ssi_2yr_prior,ann_eligibles_excl_undocs_ssi_1yr_prior,ann_eligibles_excl_undocs_ssi_yr_of_report,year,month,quarter,fulldate
Madera,10608.0,11593.0,11507.0,26856.0,29027.0,28885.0,0.461151805068,0.50359947644,0.483330719228,24679.0,27702.0,27734.0,0.90878627191,0.946979796944,0.952698292742,0.975225225225,0.97880539499,0.995614035088,0.971941638608,0.913140311804,0.924829157175,0.0529,0.0864,0.0785,0.1658,0.1387,0.1252,0.2657,0.2204,0.2179,0.1833,0.254,0.2394,0.2158,0.2746,0.2874,10437.0,10608.0,11507.0,26670.0,26856.0,28885.0,534.0,619.0,799.0,16732.0,16652.0,16999.0,3223.0,2773.0,2654.0,,,,10100.0,9640.0,10033.0,151790.0,153409.0,154829.0,25433.1761551,26873.0,27801.0,42036.3097616,42148.781274,43015.3367283,,,,20218.0,20706.0,20778.0,45875.0,42230.0,,4441.0,4478.0,4505.0,0.133,0.125,0.11,38098.688852,38832.0106961,38902.7225579,0.693339695651,0.690962277371,0.741209906078,2014,SEP,3.0,2014-09-01
Marin,5762.0,6107.0,6216.0,9774.0,10224.0,10397.0,0.309406728694,0.321361556441,0.314331581101,8746.0,9762.0,9986.0,0.881297863765,0.940462427746,0.938886799549,0.975535168196,0.960365853659,0.977777777778,0.954468802698,0.930269413629,0.92586490939,0.0529,0.0864,0.0785,0.1425,0.1335,0.1392,0.2129,0.2026,0.2075,0.138,0.2075,0.2107,0.1569,0.2517,0.2436,5541.0,5762.0,6216.0,9408.0,9774.0,10397.0,758.0,887.0,1119.0,4358.0,4734.0,4831.0,1245.0,1271.0,1282.0,,,,2958.0,3455.0,3804.0,254882.0,256264.0,257792.0,65061.5872783,69445.0,70897.0,51762.7703853,51412.293987,51121.563219,,,,11689.0,8867.0,11871.0,22611.0,21230.0,,3102.0,3107.0,3034.0,0.063,0.052,0.043,20101.0974903,22421.1445398,22695.6318747,0.463432407334,0.419766098333,0.454169627158,2014,SEP,3.0,2014-09-01
Mariposa,920.0,1032.0,1005.0,1855.0,2059.0,1974.0,0.468697123519,0.513969425409,0.473150962513,1662.0,1950.0,1868.0,0.885455514118,0.939306358382,0.941532258065,0.936170212766,0.872340425532,0.864864864865,0.987179487179,0.924731182796,0.976744186047,0.0529,0.0864,0.0785,0.1486,0.0819,0.1429,0.1993,0.1379,0.2046,0.0777,0.194,0.1892,0.098,0.2241,0.2317,875.0,920.0,1005.0,1804.0,1855.0,1974.0,83.0,119.0,172.0,709.0,714.0,711.0,41.0,37.0,31.0,,,,47.0,30.0,52.0,17817.0,18101.0,18091.0,5675.19688398,5971.0,6133.0,3055.6834625,2987.83680235,2966.46642759,,,,155.0,227.0,199.0,2854.0,2652.0,,460.0,462.0,454.0,0.11,0.105,0.088,2847.97887053,3154.61487097,,0.623102703359,0.587825681488,,2014,SEP,3.0,2014-09-01
Mendocino,6923.0,7590.0,7569.0,13202.0,14074.0,14007.0,0.384427049209,0.42088150289,0.398199662437,11148.0,12815.0,12740.0,0.845955380179,0.896843725943,0.895795246801,0.995623632385,0.997222222222,0.994594594595,0.994582881907,0.980198019802,0.964634146341,0.0529,0.0864,0.0785,0.1596,0.1077,0.1367,0.2574,0.1568,0.2323,0.1805,0.1975,0.2181,0.2105,0.2486,0.2763,7242.0,6923.0,7569.0,13660.0,13202.0,14007.0,591.0,699.0,941.0,5727.0,5665.0,5681.0,592.0,688.0,618.0,,,,1934.0,1823.0,1931.0,88566.0,88931.0,88795.0,22245.395654,23290.0,24007.0,19078.076016,18865.396848,18783.6326394,,,,4188.0,4171.0,4690.0,23130.0,21783.0,,3238.0,3218.0,3145.0,0.095,0.082,0.069,19738.82048,22380.62258,19834.10262,0.686616508506,0.587919301752,0.694914222441,2014,SEP,3.0,2014-09-01
Merced,22956.0,24009.0,24370.0,55568.0,57288.0,57733.0,0.500268572619,0.519144608713,0.508590685597,45636.0,54112.0,55236.0,0.818729817008,0.934463881741,0.946924501131,0.996794871795,0.972020725389,0.982775119617,0.948211425521,0.943578721118,0.950189496481,0.0131,0.0121,0.0112,0.1702,0.1448,0.1425,0.2558,0.2178,0.219,0.221,0.328,0.3008,0.2439,0.3628,0.3421,22003.0,22956.0,24370.0,53940.0,55568.0,57733.0,1122.0,1338.0,1886.0,30744.0,31540.0,31258.0,4110.0,4036.0,3796.0,,,,15638.0,15579.0,15688.0,261708.0,263441.0,266444.0,36840.9177066,37818.0,39238.0,79581.6320612,79353.469835,79286.5893122,,,,31663.0,35644.0,33521.0,84983.0,80292.0,,10745.0,10849.0,10825.0,0.169,0.145,0.128,67910.3069642,70246.7962061,74498.9488995,0.78991568533,0.785658606239,0.767636110014,2014,SEP,3.0,2014-09-01
Modoc,415.0,455.0,467.0,935.0,997.0,1001.0,0.363130881095,0.381930184805,0.362821512081,849.0,930.0,931.0,0.868986693961,0.933734939759,0.91724137931,1.0,1.0,1.0,1.0,0.873015873016,0.844444444444,0.0529,0.0864,0.0785,0.1075,0.1633,0.1275,0.1882,0.2109,0.1678,0.1183,0.1769,0.2282,0.129,0.1905,0.2416,438.0,415.0,467.0,997.0,935.0,1001.0,25.0,34.0,40.0,486.0,442.0,438.0,20.0,42.0,31.0,,,,78.0,71.0,62.0,9518.0,9457.0,9395.0,2833.72376461,2876.0,2896.0,2010.31135606,1951.85954149,1904.73477984,,,,280.0,335.0,353.0,2012.0,1865.0,,405.0,416.0,421.0,0.135,0.124,0.105,2460.37181579,2621.53076578,,0.40888128922,0.360996578303,,2014,SEP,3.0,2014-09-01
Mono,400.0,581.0,522.0,656.0,920.0,855.0,0.278521692555,0.326283987915,0.296610169492,520.0,756.0,735.0,0.760233918129,0.8,0.84,0.971428571429,1.0,0.90625,0.848484848485,0.855855855856,0.892857142857,0.0529,0.0864,0.0785,0.0484,0.0917,0.0588,0.1559,0.2042,0.1569,0.0968,0.0792,0.1569,0.129,0.1,0.1765,447.0,400.0,522.0,709.0,656.0,855.0,32.0,43.0,49.0,326.0,283.0,334.0,3.0,74.0,70.0,,,,226.0,163.0,218.0,14258.0,14376.0,14440.0,2415.40201314,2711.0,2804.0,2971.37434277,3013.42913006,3046.26770228,,,,870.0,937.0,1069.0,1413.0,1248.0,,102.0,101.0,100.0,0.107,0.085,0.072,2221.05044842,2021.29700132,,0.313140118224,0.315548967521,,2014,SEP,3.0,2014-09-01
Monterey,20213.0,23498.0,21758.0,46145.0,53709.0,49132.0,0.327562430425,0.410064378377,0.360292689747,39430.0,50702.0,46383.0,0.843819551447,0.937225036046,0.938490176638,1.0,1.0,1.0,0.991860465116,0.970967741935,0.958412098299,0.0242,0.0794,0.0753,0.2403,0.126,0.2079,0.3278,0.2012,0.2992,0.1206,0.158,0.213,0.1442,0.1847,0.2533,19325.0,20213.0,21758.0,44518.0,46145.0,49132.0,1189.0,1572.0,2212.0,29906.0,29909.0,30054.0,6608.0,6960.0,6638.0,,,,22110.0,21235.0,22043.0,422868.0,424119.0,426670.0,68145.1987423,71183.0,73258.0,111805.990502,112481.047917,113103.843512,,,,79767.0,64059.0,74856.0,96221.0,88589.0,,8502.0,8458.0,8488.0,0.115,0.103,0.091,80399.99454,83051.85586,76819.0947,0.556094565128,0.564695388373,0.65190822927,2014,SEP,3.0,2014-09-01
Napa,3193.0,3561.0,3525.0,6710.0,7455.0,7324.0,0.289925933098,0.307570908772,0.291727504067,5989.0,7016.0,6993.0,0.84998580755,0.927551560021,0.934018966208,0.75,0.972222222222,0.983050847458,0.899082568807,0.978593272171,0.963696369637,0.0529,0.0864,0.0785,0.1313,0.0997,0.0932,0.2068,0.1614,0.1658,0.2299,0.1777,0.2247,0.2593,0.1961,0.2581,3452.0,3193.0,3526.0,7287.0,6710.0,7325.0,292.0,341.0,433.0,4244.0,4081.0,4040.0,1098.0,909.0,798.0,,,,3019.0,2892.0,2923.0,138577.0,139831.0,141172.0,30642.899855,32036.0,32913.0,31124.6462491,31002.4061978,30941.977016,,,,12388.0,12782.0,11600.0,17126.0,15421.0,,2142.0,2156.0,2118.0,0.078,0.068,0.056,18310.8861926,16769.9836956,13996.5831756,0.393254223612,0.406613936823,0.521609446277,2014,SEP,3.0,2014-09-01
Nevada,3898.0,4160.0,4221.0,7452.0,7813.0,7804.0,0.420936010206,0.417828742653,0.395360288888,6269.0,7251.0,7226.0,0.824109372946,0.899851079672,0.906081504702,0.996078431373,0.975806451613,0.990049751244,0.951680672269,0.765845070423,0.794055201699,0.0529,0.0864,0.0785,0.1264,0.088,0.1081,0.1964,0.1641,0.1889,0.145,0.2043,0.223,0.1607,0.2359,0.2553,3667.0,3898.0,4221.0,7105.0,7452.0,7804.0,314.0,445.0,640.0,2726.0,2951.0,2868.0,219.0,186.0,165.0,,,,270.0,255.0,284.0,98202.0,98317.0,98453.0,29760.7649532,31210.0,32138.0,18018.1274075,17565.30215,17236.93429,,,,1312.0,1576.0,1472.0,11428.0,10758.0,,1771.0,1796.0,1796.0,0.093,0.081,0.066,14198.34296,16674.10874,12648.7451,0.494776046739,0.442482420803,0.610574403938,2014,SEP,3.0,2014-09-01
