Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2012 Q3 (July - September) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 16APR2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,1264.0,756.0,32.0,46.0,38.0,392.0,25.0,1086.0,627.0,459.0,320.0,289.0,28.0,3.0,51.7,9.18,2.53,25.32,22.86
Nevada,1295.0,888.0,29.0,58.0,35.0,285.0,11.0,1030.0,716.0,314.0,209.0,176.0,24.0,9.0,43.0,9.42,2.24,16.14,13.59
Orange,25546.0,15306.0,2131.0,1245.0,779.0,6085.0,5.0,22749.0,19797.0,2952.0,1899.0,1189.0,417.0,293.0,39.3,16.26,8.34,7.43,4.65
Placer,3315.0,1985.0,330.0,167.0,100.0,733.0,8.7,1948.0,1592.0,356.0,232.0,133.0,54.0,45.0,42.3,18.01,9.95,7.0,4.01
Plumas,329.0,219.0,7.0,5.0,18.0,80.0,18.3,236.0,166.0,70.0,52.0,49.0,2.0,1.0,37.3,9.12,2.13,15.81,14.89
Riverside,40336.0,21594.0,1035.0,1724.0,1660.0,14323.0,12.0,35403.0,23861.0,11542.0,7927.0,7259.0,455.0,213.0,35.7,10.96,2.57,19.65,18.0
Sacramento,26707.0,15464.0,2133.0,1262.0,738.0,7110.0,10.3,23080.0,20315.0,2765.0,1931.0,1119.0,486.0,326.0,42.3,15.48,7.99,7.23,4.19
San Benito,825.0,418.0,32.0,43.0,35.0,297.0,15.0,837.0,560.0,277.0,203.0,180.0,15.0,8.0,43.3,13.33,3.88,24.61,21.82
San Bernardino,44473.0,22909.0,1487.0,1869.0,1710.0,16498.0,11.7,46182.0,31861.0,14321.0,10388.0,9741.0,402.0,245.0,34.0,11.39,3.34,23.36,21.9
San Diego,43342.0,22335.0,6823.0,2598.0,1638.0,9948.0,8.7,35811.0,28870.0,6941.0,6270.0,3881.0,1389.0,1000.0,41.7,25.52,15.74,14.47,8.95
San Francisco,9193.0,5061.0,794.0,550.0,339.0,2449.0,8.0,7021.0,5360.0,1661.0,923.0,586.0,202.0,135.0,39.3,18.31,8.64,10.04,6.37
San Joaquin,11783.0,6759.0,563.0,521.0,452.0,3488.0,21.7,12932.0,9621.0,3311.0,2171.0,1934.0,152.0,85.0,33.3,13.04,4.78,18.42,16.41
San Luis Obispo,2973.0,1686.0,193.0,158.0,112.0,824.0,13.3,1940.0,1622.0,318.0,171.0,90.0,42.0,39.0,43.7,15.57,6.49,5.75,3.03
San Mateo,5427.0,3354.0,434.0,253.0,168.0,1218.0,11.7,3021.0,2535.0,486.0,329.0,180.0,79.0,70.0,41.7,15.75,8.0,6.06,3.32
Santa Barbara,4529.0,2441.0,371.0,281.0,190.0,1246.0,14.7,3658.0,2993.0,665.0,419.0,225.0,113.0,81.0,44.3,18.59,8.19,9.25,4.97
Santa Clara,12240.0,7316.0,987.0,475.0,339.0,3123.0,23.0,11654.0,10161.0,1493.0,485.0,141.0,194.0,150.0,41.0,14.71,8.06,3.96,1.15
Santa Cruz,3362.0,2045.0,163.0,154.0,96.0,904.0,14.7,2567.0,2071.0,496.0,281.0,119.0,96.0,66.0,44.3,12.28,4.85,8.36,3.54
Shasta,4232.0,2354.0,107.0,242.0,205.0,1324.0,18.0,4034.0,2762.0,1272.0,874.0,788.0,60.0,26.0,37.0,13.09,2.53,20.65,18.62
Sierra,54.0,38.0,3.0,3.0,2.0,8.0,9.7,33.0,26.0,7.0,2.0,2.0,0.0,0.0,38.7,14.81,5.56,3.7,3.7
Siskiyou,924.0,601.0,21.0,28.0,40.0,234.0,12.7,868.0,599.0,269.0,170.0,158.0,7.0,5.0,34.7,9.63,2.27,18.4,17.1
Solano,6250.0,3459.0,186.0,366.0,264.0,1975.0,13.7,5237.0,4281.0,956.0,317.0,75.0,140.0,102.0,47.3,13.06,2.98,5.07,1.2
Sonoma,5087.0,2781.0,406.0,274.0,157.0,1469.0,13.3,3976.0,3279.0,697.0,366.0,184.0,96.0,86.0,39.7,16.45,7.98,7.19,3.62
Stanislaus,11309.0,5470.0,243.0,699.0,501.0,4396.0,9.0,12043.0,8159.0,3884.0,2869.0,2604.0,193.0,72.0,40.3,12.76,2.15,25.37,23.03
Sutter,1730.0,1005.0,60.0,75.0,92.0,498.0,16.7,1571.0,1134.0,437.0,281.0,257.0,15.0,9.0,39.7,13.12,3.47,16.24,14.86
Tehama,1435.0,881.0,84.0,55.0,42.0,373.0,18.3,1345.0,958.0,387.0,269.0,251.0,14.0,4.0,31.3,12.61,5.85,18.75,17.49
Trinity,337.0,220.0,12.0,12.0,19.0,74.0,16.3,293.0,149.0,144.0,104.0,92.0,8.0,4.0,38.7,12.76,3.56,30.86,27.3
Tulare,9667.0,3896.0,1591.0,721.0,465.0,2994.0,6.3,11720.0,10362.0,1358.0,1475.0,1006.0,286.0,183.0,44.3,28.73,16.46,15.26,10.41
Tuolumne,925.0,486.0,37.0,67.0,42.0,293.0,16.7,930.0,678.0,252.0,176.0,156.0,14.0,6.0,34.0,15.78,4.0,19.03,16.86
Ventura,9991.0,4996.0,924.0,783.0,444.0,2844.0,10.0,7688.0,6364.0,1324.0,1005.0,568.0,271.0,166.0,43.0,21.53,9.25,10.06,5.69
Yolo,2610.0,1454.0,260.0,117.0,102.0,677.0,14.0,1906.0,1584.0,322.0,210.0,118.0,49.0,43.0,40.7,18.35,9.96,8.05,4.52
Yuba,1836.0,1062.0,52.0,84.0,82.0,556.0,15.0,1757.0,1247.0,510.0,340.0,306.0,22.0,12.0,36.7,11.87,2.83,18.52,16.67
