Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q3 (July - September) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 14MAR2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,970.0,516.0,100.0,47.0,30.0,277.0,16.7,1153.0,690.0,463.0,275.0,236.0,25.0,14.0,25.0,18.25,10.31,28.35,24.33
Nevada,1155.0,638.0,110.0,57.0,37.0,313.0,14.7,1270.0,655.0,615.0,250.0,213.0,21.0,16.0,26.7,17.66,9.52,21.65,18.44
Orange,25855.0,13069.0,2841.0,1478.0,847.0,7620.0,5.7,29210.0,23247.0,5963.0,3175.0,2056.0,668.0,451.0,35.3,19.98,10.99,12.28,7.95
Placer,2918.0,1624.0,228.0,144.0,74.0,848.0,9.3,1824.0,1392.0,432.0,237.0,156.0,45.0,36.0,34.3,15.28,7.81,8.12,5.35
Plumas,352.0,222.0,36.0,14.0,20.0,60.0,13.0,374.0,197.0,177.0,71.0,60.0,7.0,4.0,30.7,19.89,10.23,20.17,17.05
Riverside,34553.0,14973.0,5842.0,1881.0,1182.0,10675.0,9.7,40453.0,24661.0,15792.0,8297.0,7169.0,764.0,364.0,26.0,25.77,16.91,24.01,20.75
Sacramento,25169.0,11873.0,3239.0,1470.0,833.0,7754.0,7.0,23578.0,18418.0,5160.0,3248.0,2142.0,666.0,440.0,37.3,22.02,12.87,12.9,8.51
San Benito,602.0,269.0,90.0,31.0,19.0,193.0,15.7,738.0,413.0,325.0,217.0,195.0,13.0,9.0,28.0,23.26,14.95,36.05,32.39
San Bernardino,40401.0,15591.0,9142.0,2148.0,1316.0,12204.0,8.0,53232.0,33554.0,19678.0,11683.0,10392.0,870.0,421.0,30.0,31.2,22.63,28.92,25.72
San Diego,42449.0,19957.0,5073.0,2393.0,1472.0,13554.0,12.7,33281.0,25683.0,7598.0,4684.0,2958.0,1039.0,687.0,36.3,21.06,11.95,11.03,6.97
San Francisco,8632.0,4553.0,920.0,512.0,261.0,2386.0,7.3,7149.0,5323.0,1826.0,1073.0,767.0,180.0,126.0,36.7,19.61,10.66,12.43,8.89
San Joaquin,10680.0,4860.0,1871.0,530.0,340.0,3079.0,14.3,15406.0,10052.0,5354.0,3342.0,3024.0,207.0,111.0,24.7,25.66,17.52,31.29,28.31
San Luis Obispo,2576.0,1274.0,206.0,122.0,78.0,896.0,12.3,2184.0,1658.0,526.0,259.0,164.0,48.0,47.0,38.7,15.76,8.0,10.05,6.37
San Mateo,4191.0,2030.0,431.0,228.0,158.0,1344.0,9.3,3470.0,2684.0,786.0,460.0,306.0,85.0,69.0,42.0,19.49,10.28,10.98,7.3
Santa Barbara,4854.0,2458.0,430.0,297.0,197.0,1472.0,12.7,4074.0,3075.0,999.0,550.0,318.0,128.0,104.0,35.3,19.04,8.86,11.33,6.55
Santa Clara,10100.0,5491.0,194.0,539.0,336.0,3540.0,8.7,11752.0,9586.0,2166.0,413.0,83.0,181.0,149.0,37.0,10.58,1.92,4.09,0.82
Santa Cruz,3095.0,1704.0,40.0,171.0,131.0,1049.0,11.7,3171.0,2426.0,745.0,169.0,15.0,94.0,60.0,40.0,11.05,1.29,5.46,0.48
Shasta,3569.0,1617.0,513.0,196.0,115.0,1128.0,15.0,3809.0,2203.0,1606.0,1079.0,956.0,80.0,43.0,27.7,23.09,14.37,30.23,26.79
Sierra,38.0,22.0,4.0,1.0,2.0,9.0,11.7,57.0,34.0,23.0,4.0,4.0,0.0,0.0,25.3,18.42,10.53,10.53,10.53
Siskiyou,823.0,439.0,114.0,34.0,18.0,218.0,21.7,1052.0,592.0,460.0,346.0,320.0,17.0,9.0,29.3,20.17,13.85,42.04,38.88
Solano,5080.0,2704.0,60.0,339.0,209.0,1768.0,11.7,4986.0,3800.0,1186.0,217.0,21.0,119.0,77.0,39.7,11.97,1.18,4.27,0.41
Sonoma,4844.0,2101.0,539.0,321.0,193.0,1690.0,12.7,3990.0,2882.0,1108.0,577.0,349.0,135.0,93.0,39.7,21.74,11.13,11.91,7.2
Stanislaus,9978.0,3881.0,1804.0,538.0,365.0,3390.0,9.7,11813.0,7173.0,4640.0,2919.0,2499.0,282.0,138.0,27.7,27.13,18.08,29.25,25.05
Sutter,1487.0,680.0,312.0,69.0,49.0,377.0,15.3,1797.0,1042.0,755.0,463.0,420.0,30.0,13.0,28.3,28.92,20.98,31.14,28.24
Tehama,1210.0,567.0,180.0,74.0,45.0,344.0,14.3,1340.0,759.0,581.0,287.0,260.0,20.0,7.0,17.7,24.71,14.88,23.72,21.49
Trinity,308.0,183.0,15.0,12.0,10.0,88.0,19.3,307.0,154.0,153.0,77.0,70.0,3.0,4.0,25.0,12.01,4.87,25.0,22.73
Tulare,9739.0,3100.0,2007.0,830.0,502.0,3300.0,6.7,12993.0,10883.0,2110.0,2114.0,1506.0,361.0,247.0,37.3,34.28,20.61,21.71,15.46
Tuolumne,789.0,372.0,70.0,42.0,29.0,276.0,14.0,1024.0,576.0,448.0,166.0,142.0,9.0,15.0,31.3,17.87,8.87,21.04,18.0
Ventura,9744.0,3793.0,1500.0,756.0,426.0,3269.0,8.3,8783.0,6877.0,1906.0,1643.0,1180.0,290.0,173.0,38.3,27.52,15.39,16.86,12.11
Yolo,2735.0,1418.0,341.0,180.0,94.0,702.0,8.7,2778.0,2052.0,726.0,401.0,251.0,96.0,54.0,39.7,22.49,12.47,14.66,9.18
Yuba,1665.0,763.0,320.0,84.0,42.0,456.0,13.3,1893.0,1098.0,795.0,619.0,573.0,24.0,22.0,23.7,26.79,19.22,37.18,34.41
