Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2017 Q1 (January - March) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 11OCT2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,898.0,430.0,85.0,49.0,33.0,301.0,14.0,1021.0,570.0,451.0,183.0,155.0,17.0,11.0,24.7,18.6,9.47,20.38,17.26
Nevada,1154.0,581.0,114.0,70.0,48.0,341.0,17.7,1208.0,585.0,623.0,191.0,166.0,14.0,11.0,28.3,20.1,9.88,16.55,14.38
Orange,23890.0,11230.0,2817.0,1659.0,994.0,7190.0,5.0,25071.0,20296.0,4775.0,2792.0,1704.0,655.0,433.0,33.0,22.9,11.79,11.69,7.13
Placer,2857.0,1503.0,259.0,167.0,99.0,829.0,9.0,1852.0,1439.0,413.0,256.0,149.0,61.0,46.0,33.3,18.38,9.07,8.96,5.22
Plumas,312.0,179.0,23.0,16.0,7.0,87.0,13.3,324.0,174.0,150.0,72.0,63.0,6.0,3.0,31.0,14.74,7.37,23.08,20.19
Riverside,30573.0,12665.0,5325.0,2229.0,1294.0,9060.0,8.3,35005.0,20702.0,14303.0,5940.0,5030.0,600.0,310.0,25.0,28.94,17.42,19.43,16.45
Sacramento,23589.0,10684.0,2739.0,1561.0,996.0,7609.0,6.0,21650.0,17893.0,3757.0,2719.0,1705.0,583.0,431.0,33.7,22.45,11.61,11.53,7.23
San Benito,558.0,231.0,91.0,31.0,16.0,189.0,13.3,730.0,405.0,325.0,162.0,147.0,10.0,5.0,23.0,24.73,16.31,29.03,26.34
San Bernardino,38607.0,13312.0,8923.0,2998.0,1699.0,11675.0,8.0,47643.0,29531.0,18112.0,10489.0,9317.0,758.0,414.0,29.0,35.28,23.11,27.17,24.13
San Diego,41507.0,18137.0,5138.0,2705.0,1756.0,13771.0,12.7,29016.0,22955.0,6061.0,4079.0,2451.0,943.0,685.0,34.3,23.13,12.38,9.83,5.91
San Francisco,8546.0,4202.0,875.0,572.0,320.0,2577.0,7.7,6735.0,5286.0,1449.0,993.0,684.0,198.0,111.0,33.7,20.68,10.24,11.62,8.0
San Joaquin,10518.0,4448.0,1937.0,639.0,427.0,3067.0,11.0,14593.0,9293.0,5300.0,3041.0,2758.0,184.0,99.0,24.0,28.55,18.42,28.91,26.22
San Luis Obispo,2654.0,1302.0,200.0,145.0,104.0,903.0,10.0,1944.0,1571.0,373.0,219.0,129.0,42.0,48.0,34.7,16.92,7.54,8.25,4.86
San Mateo,3931.0,1898.0,353.0,263.0,180.0,1237.0,9.0,3074.0,2396.0,678.0,380.0,225.0,90.0,65.0,34.0,20.25,8.98,9.67,5.72
Santa Barbara,5030.0,2370.0,388.0,306.0,235.0,1731.0,11.3,3781.0,3108.0,673.0,405.0,258.0,90.0,57.0,32.0,18.47,7.71,8.05,5.13
Santa Clara,8759.0,4475.0,190.0,576.0,341.0,3177.0,8.7,10849.0,9050.0,1799.0,353.0,63.0,182.0,108.0,32.7,12.64,2.17,4.03,0.72
Santa Cruz,3218.0,1660.0,63.0,169.0,146.0,1180.0,9.3,2827.0,2390.0,437.0,103.0,18.0,49.0,36.0,34.7,11.75,1.96,3.2,0.56
Shasta,3518.0,1367.0,583.0,270.0,144.0,1154.0,14.7,3555.0,1932.0,1623.0,942.0,829.0,73.0,40.0,26.7,28.34,16.57,26.78,23.56
Sierra,25.0,14.0,1.0,0.0,1.0,9.0,4.3,52.0,35.0,17.0,4.0,4.0,0.0,0.0,23.0,8.0,4.0,16.0,16.0
Siskiyou,732.0,348.0,104.0,38.0,41.0,201.0,15.3,858.0,512.0,346.0,252.0,228.0,17.0,7.0,28.0,25.0,14.21,34.43,31.15
Solano,4883.0,2361.0,61.0,322.0,195.0,1944.0,10.7,4651.0,3734.0,917.0,208.0,26.0,115.0,67.0,36.0,11.84,1.25,4.26,0.53
Sonoma,4763.0,1972.0,499.0,333.0,209.0,1750.0,12.0,3733.0,2907.0,826.0,482.0,276.0,128.0,78.0,35.3,21.86,10.48,10.12,5.79
Stanislaus,9344.0,3312.0,1603.0,694.0,382.0,3353.0,8.7,11106.0,6635.0,4471.0,2142.0,1817.0,216.0,109.0,26.0,28.67,17.16,22.92,19.45
Sutter,1412.0,642.0,228.0,75.0,48.0,419.0,15.3,1737.0,1078.0,659.0,414.0,379.0,23.0,12.0,27.7,24.86,16.15,29.32,26.84
Tehama,1287.0,533.0,218.0,78.0,57.0,401.0,14.7,1417.0,805.0,612.0,308.0,276.0,17.0,15.0,18.3,27.43,16.94,23.93,21.45
Trinity,261.0,109.0,33.0,17.0,17.0,85.0,13.3,325.0,178.0,147.0,69.0,60.0,7.0,2.0,25.7,25.67,12.64,26.44,22.99
Tulare,8637.0,2955.0,1375.0,729.0,423.0,3155.0,5.3,10772.0,9539.0,1233.0,1149.0,799.0,198.0,152.0,35.0,29.26,15.92,13.3,9.25
Tuolumne,742.0,327.0,71.0,45.0,27.0,272.0,13.7,981.0,516.0,465.0,136.0,107.0,16.0,13.0,29.7,19.27,9.57,18.33,14.42
Ventura,8602.0,3378.0,1166.0,713.0,395.0,2950.0,6.7,7733.0,6217.0,1516.0,1133.0,760.0,229.0,144.0,33.3,26.44,13.55,13.17,8.84
Yolo,2627.0,1259.0,272.0,188.0,126.0,782.0,12.7,2039.0,1640.0,399.0,247.0,140.0,69.0,38.0,38.0,22.31,10.35,9.4,5.33
Yuba,1587.0,625.0,341.0,99.0,55.0,467.0,11.0,1814.0,1092.0,722.0,634.0,591.0,32.0,11.0,22.0,31.19,21.49,39.95,37.24
