Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 05MAY2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,852.0,373.0,116.0,44.0,36.0,283.0,14.7,1212.0,664.0,548.0,268.0,221.0,33.0,14.0,24.3,23.0,13.62,31.46,25.94
Nevada,1051.0,543.0,99.0,55.0,42.0,312.0,15.7,1199.0,612.0,587.0,253.0,211.0,30.0,12.0,25.7,18.65,9.42,24.07,20.08
Orange,23220.0,11313.0,2682.0,1494.0,926.0,6805.0,5.7,26310.0,20817.0,5493.0,3051.0,2016.0,602.0,433.0,33.7,21.97,11.55,13.14,8.68
Placer,2660.0,1364.0,276.0,141.0,93.0,786.0,8.3,2011.0,1449.0,562.0,323.0,204.0,65.0,54.0,33.3,19.17,10.38,12.14,7.67
Plumas,314.0,167.0,28.0,17.0,8.0,94.0,15.3,414.0,209.0,205.0,86.0,78.0,6.0,2.0,27.7,16.88,8.92,27.39,24.84
Riverside,29264.0,12314.0,5294.0,1921.0,1118.0,8617.0,9.3,35556.0,21304.0,14252.0,6883.0,5789.0,719.0,375.0,24.7,28.48,18.09,23.52,19.78
Sacramento,22587.0,10348.0,2936.0,1517.0,877.0,6909.0,7.0,22055.0,17406.0,4649.0,3074.0,2052.0,601.0,421.0,35.0,23.6,13.0,13.61,9.08
San Benito,587.0,241.0,89.0,39.0,24.0,194.0,17.7,912.0,508.0,404.0,258.0,229.0,25.0,4.0,25.7,25.89,15.16,43.95,39.01
San Bernardino,34698.0,12420.0,8340.0,2422.0,1324.0,10192.0,8.0,47679.0,29483.0,18196.0,11777.0,10382.0,909.0,486.0,28.7,34.83,24.04,33.94,29.92
San Diego,39805.0,17811.0,5203.0,2543.0,1571.0,12677.0,12.0,31077.0,23446.0,7631.0,4832.0,2952.0,1101.0,779.0,34.3,23.41,13.07,12.14,7.42
