Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2017 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 03NOV2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,799.0,429.0,74.0,34.0,28.0,234.0,13.3,917.0,478.0,439.0,191.0,165.0,16.0,10.0,24.3,17.02,9.26,23.9,20.65
Nevada,1003.0,531.0,56.0,56.0,43.0,317.0,15.7,1177.0,566.0,611.0,188.0,158.0,19.0,11.0,26.3,15.45,5.58,18.74,15.75
Orange,23672.0,10954.0,2448.0,1746.0,1099.0,7425.0,5.0,26069.0,21099.0,4970.0,2957.0,1803.0,710.0,444.0,33.7,22.36,10.34,12.49,7.62
Placer,2850.0,1446.0,257.0,142.0,104.0,901.0,9.0,1634.0,1277.0,357.0,229.0,137.0,55.0,37.0,34.0,17.65,9.02,8.04,4.81
Plumas,248.0,156.0,12.0,11.0,11.0,58.0,15.3,266.0,139.0,127.0,38.0,33.0,2.0,3.0,26.0,13.71,4.84,15.32,13.31
Riverside,31189.0,12651.0,4772.0,2056.0,1355.0,10355.0,9.0,37000.0,22014.0,14986.0,6090.0,5148.0,599.0,343.0,24.3,26.24,15.3,19.53,16.51
Sacramento,23878.0,10433.0,3001.0,1526.0,923.0,7995.0,6.0,22840.0,18954.0,3886.0,2949.0,1914.0,611.0,424.0,36.0,22.82,12.57,12.35,8.02
San Benito,490.0,197.0,69.0,23.0,16.0,185.0,11.7,639.0,336.0,303.0,116.0,105.0,7.0,4.0,15.3,22.04,14.08,23.67,21.43
San Bernardino,37922.0,12996.0,8054.0,2652.0,1658.0,12562.0,8.0,50364.0,30865.0,19499.0,10578.0,9383.0,812.0,383.0,28.3,32.6,21.24,27.89,24.74
San Diego,39922.0,16970.0,4581.0,2489.0,1666.0,14216.0,12.3,28910.0,23310.0,5600.0,3964.0,2372.0,918.0,674.0,35.0,21.88,11.47,9.93,5.94
San Francisco,8242.0,3968.0,817.0,458.0,257.0,2742.0,7.0,6780.0,5371.0,1409.0,951.0,648.0,174.0,129.0,35.3,18.59,9.91,11.54,7.86
San Joaquin,9861.0,4022.0,1617.0,577.0,389.0,3256.0,11.0,13934.0,8847.0,5087.0,2716.0,2402.0,217.0,97.0,23.0,26.19,16.4,27.54,24.36
San Luis Obispo,2584.0,1262.0,198.0,149.0,82.0,893.0,8.7,1980.0,1594.0,386.0,233.0,143.0,51.0,39.0,36.0,16.6,7.66,9.02,5.53
San Mateo,3538.0,1654.0,323.0,249.0,137.0,1175.0,9.0,2924.0,2327.0,597.0,358.0,226.0,76.0,56.0,33.7,20.04,9.13,10.12,6.39
Santa Barbara,4223.0,2064.0,351.0,234.0,163.0,1411.0,9.0,3698.0,2997.0,701.0,433.0,251.0,102.0,80.0,33.7,17.71,8.31,10.25,5.94
Santa Clara,9022.0,4412.0,212.0,570.0,367.0,3461.0,7.3,10490.0,8752.0,1738.0,409.0,95.0,182.0,132.0,34.3,12.74,2.35,4.53,1.05
Santa Cruz,2800.0,1450.0,48.0,168.0,115.0,1019.0,8.0,2916.0,2459.0,457.0,99.0,12.0,51.0,36.0,35.0,11.82,1.71,3.54,0.43
Shasta,3281.0,1303.0,509.0,217.0,142.0,1110.0,14.0,3804.0,2187.0,1617.0,1068.0,956.0,71.0,41.0,26.0,26.46,15.51,32.55,29.14
Sierra,26.0,15.0,1.0,2.0,0.0,8.0,9.3,42.0,23.0,19.0,4.0,4.0,0.0,0.0,23.3,11.54,3.85,15.38,15.38
Siskiyou,734.0,369.0,106.0,44.0,18.0,197.0,13.3,823.0,505.0,318.0,218.0,198.0,16.0,4.0,26.7,22.89,14.44,29.7,26.98
Solano,4724.0,2253.0,67.0,319.0,183.0,1902.0,9.7,4485.0,3607.0,878.0,239.0,32.0,130.0,77.0,36.0,12.04,1.42,5.06,0.68
Sonoma,4437.0,1786.0,421.0,270.0,184.0,1776.0,8.0,3617.0,2898.0,719.0,459.0,276.0,112.0,71.0,37.7,19.72,9.49,10.34,6.22
Stanislaus,8998.0,3256.0,1377.0,570.0,393.0,3402.0,8.0,10721.0,6491.0,4230.0,1985.0,1667.0,239.0,79.0,25.3,26.01,15.3,22.06,18.53
Sutter,1332.0,596.0,227.0,79.0,45.0,385.0,13.3,1512.0,895.0,617.0,348.0,319.0,18.0,11.0,27.3,26.35,17.04,26.13,23.95
Tehama,1132.0,464.0,142.0,60.0,56.0,410.0,13.7,1376.0,790.0,586.0,323.0,302.0,16.0,5.0,17.7,22.79,12.54,28.53,26.68
Trinity,241.0,113.0,33.0,15.0,6.0,74.0,12.0,292.0,138.0,154.0,55.0,50.0,3.0,2.0,26.7,22.41,13.69,22.82,20.75
Tulare,8312.0,2651.0,1468.0,676.0,414.0,3103.0,5.7,12393.0,10847.0,1546.0,1794.0,1299.0,299.0,196.0,37.0,30.77,17.66,21.58,15.63
Tuolumne,692.0,297.0,63.0,48.0,30.0,254.0,12.7,770.0,412.0,358.0,87.0,70.0,15.0,2.0,28.7,20.38,9.1,12.57,10.12
Ventura,7960.0,3146.0,1052.0,635.0,355.0,2772.0,6.3,7469.0,6050.0,1419.0,1214.0,794.0,239.0,181.0,32.7,25.65,13.22,15.25,9.97
Yolo,2393.0,1199.0,223.0,161.0,94.0,716.0,10.0,2071.0,1626.0,445.0,286.0,179.0,59.0,48.0,37.0,19.97,9.32,11.95,7.48
Yuba,1524.0,663.0,275.0,65.0,46.0,475.0,9.7,1688.0,1024.0,664.0,520.0,478.0,27.0,15.0,22.0,25.33,18.04,34.12,31.36
