Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2013 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 20JUN2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,1051.0,623.0,121.0,38.0,35.0,234.0,25.7,980.0,546.0,434.0,275.0,245.0,22.0,8.0,11.7,18.46,11.51,26.17,23.31
Nevada,1288.0,783.0,157.0,68.0,44.0,236.0,12.0,1247.0,683.0,564.0,234.0,204.0,19.0,11.0,11.3,20.89,12.19,18.17,15.84
Orange,23505.0,13337.0,2121.0,1386.0,755.0,5906.0,5.3,23807.0,20494.0,3313.0,2041.0,1245.0,476.0,320.0,35.7,18.13,9.02,8.68,5.3
Placer,3296.0,1947.0,268.0,163.0,104.0,814.0,8.0,2059.0,1689.0,370.0,205.0,111.0,54.0,40.0,37.7,16.23,8.13,6.22,3.37
Plumas,262.0,159.0,45.0,5.0,8.0,45.0,13.0,242.0,128.0,114.0,31.0,30.0,1.0,0.0,6.3,22.14,17.18,11.83,11.45
Riverside,36003.0,18005.0,6336.0,1733.0,1120.0,8809.0,11.7,37827.0,23838.0,13989.0,6523.0,5686.0,564.0,273.0,9.0,25.52,17.6,18.12,15.79
Sacramento,23903.0,13066.0,2304.0,1274.0,736.0,6523.0,10.0,24475.0,21530.0,2945.0,1959.0,1136.0,510.0,313.0,38.3,18.05,9.64,8.2,4.75
San Benito,823.0,423.0,155.0,30.0,34.0,181.0,13.3,786.0,491.0,295.0,118.0,103.0,7.0,8.0,7.7,26.61,18.83,14.34,12.52
San Bernardino,41135.0,18862.0,8658.0,1762.0,1283.0,10570.0,10.7,50716.0,34117.0,16599.0,8671.0,7875.0,514.0,282.0,8.0,28.45,21.05,21.08,19.14
San Diego,36564.0,18571.0,4402.0,2353.0,1273.0,9965.0,10.7,24141.0,21492.0,2649.0,2386.0,1220.0,655.0,511.0,37.0,21.96,12.04,6.53,3.34
San Francisco,8805.0,4548.0,1002.0,609.0,318.0,2328.0,9.3,7190.0,5572.0,1618.0,1112.0,756.0,218.0,138.0,37.7,21.91,11.38,12.63,8.59
San Joaquin,11556.0,6295.0,1947.0,423.0,362.0,2529.0,17.7,13765.0,9857.0,3908.0,1858.0,1634.0,157.0,67.0,7.0,23.64,16.85,16.08,14.14
San Luis Obispo,2600.0,1434.0,188.0,147.0,91.0,740.0,13.0,1933.0,1590.0,343.0,195.0,96.0,54.0,45.0,39.0,16.38,7.23,7.5,3.69
San Mateo,4857.0,2900.0,413.0,254.0,170.0,1120.0,16.7,3124.0,2606.0,518.0,372.0,207.0,98.0,67.0,40.7,17.23,8.5,7.66,4.26
Santa Barbara,4242.0,2283.0,388.0,223.0,128.0,1220.0,13.3,3435.0,2789.0,646.0,396.0,212.0,119.0,65.0,38.7,17.42,9.15,9.34,5.0
Santa Clara,12424.0,7408.0,654.0,650.0,377.0,3335.0,14.0,11907.0,10400.0,1507.0,455.0,109.0,193.0,153.0,38.3,13.53,5.26,3.66,0.88
Santa Cruz,3068.0,1777.0,200.0,143.0,91.0,857.0,12.3,2694.0,2089.0,605.0,185.0,80.0,61.0,44.0,39.0,14.15,6.52,6.03,2.61
Shasta,4141.0,2060.0,678.0,216.0,136.0,1051.0,19.3,4263.0,2414.0,1849.0,829.0,735.0,58.0,36.0,9.7,24.87,16.37,20.02,17.75
Sierra,41.0,28.0,4.0,0.0,1.0,8.0,13.3,62.0,38.0,24.0,8.0,7.0,0.0,1.0,8.0,12.2,9.76,19.51,17.07
