Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2014 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 28AUG2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,1009.0,542.0,114.0,39.0,32.0,282.0,15.7,1244.0,726.0,518.0,277.0,231.0,30.0,16.0,26.3,18.33,11.3,27.45,22.89
Nevada,1151.0,640.0,120.0,67.0,34.0,290.0,18.7,1281.0,699.0,582.0,293.0,255.0,30.0,8.0,25.3,19.2,10.43,25.46,22.15
Orange,23614.0,12762.0,2595.0,1271.0,805.0,6181.0,5.7,26357.0,21298.0,5059.0,3092.0,2019.0,654.0,419.0,35.3,19.78,10.99,13.09,8.55
Placer,3140.0,1731.0,359.0,158.0,95.0,797.0,10.3,2565.0,1935.0,630.0,469.0,321.0,88.0,60.0,35.0,19.49,11.43,14.94,10.22
Plumas,324.0,207.0,26.0,10.0,11.0,70.0,15.0,339.0,188.0,151.0,84.0,77.0,3.0,4.0,30.0,14.51,8.02,25.93,23.77
Riverside,30351.0,14669.0,5331.0,1508.0,931.0,7912.0,11.3,34784.0,21847.0,12937.0,8167.0,7211.0,624.0,332.0,24.7,25.6,17.56,26.91,23.76
Sacramento,22707.0,11918.0,2669.0,1134.0,670.0,6316.0,6.0,23726.0,19283.0,4443.0,3131.0,2062.0,638.0,431.0,36.7,19.7,11.75,13.79,9.08
San Benito,895.0,374.0,142.0,61.0,48.0,270.0,18.0,915.0,545.0,370.0,357.0,322.0,31.0,4.0,27.3,28.04,15.87,39.89,35.98
San Bernardino,35681.0,15606.0,7824.0,1697.0,1051.0,9503.0,8.0,46974.0,30471.0,16503.0,12567.0,11410.0,762.0,395.0,29.3,29.63,21.93,35.22,31.98
San Diego,39097.0,18746.0,5927.0,2221.0,1310.0,10893.0,10.3,32316.0,25499.0,6817.0,5177.0,3421.0,1072.0,684.0,35.0,24.19,15.16,13.24,8.75
San Francisco,7241.0,3702.0,867.0,382.0,201.0,2089.0,8.7,6473.0,4705.0,1768.0,1221.0,850.0,227.0,144.0,37.0,20.03,11.98,16.86,11.74
San Joaquin,10104.0,5190.0,1562.0,465.0,326.0,2561.0,15.7,14371.0,10028.0,4343.0,3086.0,2755.0,230.0,101.0,24.7,23.29,15.46,30.54,27.27
San Luis Obispo,2677.0,1326.0,192.0,145.0,102.0,912.0,13.3,2143.0,1671.0,472.0,289.0,169.0,68.0,52.0,39.3,16.4,7.17,10.8,6.31
San Mateo,4237.0,2277.0,391.0,230.0,177.0,1162.0,11.0,3317.0,2560.0,757.0,517.0,317.0,112.0,88.0,37.3,18.83,9.23,12.2,7.48
Santa Barbara,5387.0,2355.0,487.0,338.0,206.0,2001.0,16.7,5247.0,4219.0,1028.0,614.0,353.0,165.0,96.0,40.3,19.14,9.04,11.4,6.55
Santa Clara,10471.0,5791.0,360.0,670.0,453.0,3197.0,10.7,12310.0,9966.0,2344.0,599.0,136.0,286.0,177.0,40.7,14.16,3.44,5.72,1.3
Santa Cruz,3346.0,1657.0,88.0,174.0,147.0,1280.0,15.7,3163.0,2549.0,614.0,175.0,32.0,79.0,64.0,44.0,12.22,2.63,5.23,0.96
Shasta,3262.0,1557.0,529.0,163.0,120.0,893.0,17.3,3919.0,2307.0,1612.0,1080.0,953.0,89.0,38.0,25.7,24.89,16.22,33.11,29.22
Sierra,49.0,21.0,3.0,4.0,1.0,20.0,13.0,47.0,24.0,23.0,6.0,4.0,1.0,1.0,33.7,16.33,6.12,12.24,8.16
Siskiyou,896.0,459.0,125.0,48.0,30.0,234.0,17.3,1044.0,636.0,408.0,239.0,217.0,11.0,11.0,27.0,22.66,13.95,26.67,24.22
Solano,4846.0,2548.0,89.0,341.0,182.0,1686.0,13.0,5973.0,4480.0,1493.0,348.0,39.0,185.0,124.0,40.0,12.63,1.84,7.18,0.8
Sonoma,4665.0,2150.0,547.0,240.0,172.0,1556.0,9.3,4464.0,3482.0,982.0,623.0,360.0,155.0,108.0,36.0,20.56,11.73,13.35,7.72
Stanislaus,9508.0,3843.0,1697.0,594.0,376.0,2998.0,13.7,12407.0,7852.0,4555.0,3461.0,2999.0,325.0,137.0,25.0,28.05,17.85,36.4,31.54
Sutter,1592.0,748.0,297.0,93.0,59.0,395.0,13.7,1811.0,1067.0,744.0,422.0,375.0,38.0,9.0,26.3,28.2,18.66,26.51,23.56
Tehama,1196.0,596.0,175.0,55.0,53.0,317.0,13.7,1629.0,884.0,745.0,441.0,411.0,23.0,7.0,24.3,23.66,14.63,36.87,34.36
Trinity,233.0,146.0,28.0,10.0,5.0,44.0,20.0,257.0,131.0,126.0,71.0,60.0,6.0,5.0,26.7,18.45,12.02,30.47,25.75
Tulare,9785.0,3151.0,2105.0,773.0,462.0,3294.0,5.7,14183.0,12276.0,1907.0,2435.0,1807.0,398.0,230.0,36.7,34.13,21.51,24.89,18.47
Tuolumne,806.0,365.0,128.0,40.0,25.0,248.0,16.3,922.0,508.0,414.0,202.0,179.0,17.0,6.0,25.0,23.95,15.88,25.06,22.21
Ventura,9073.0,3944.0,1227.0,635.0,387.0,2880.0,9.3,8659.0,6839.0,1820.0,1531.0,1028.0,316.0,187.0,39.3,24.79,13.52,16.87,11.33
Yolo,2975.0,1563.0,340.0,138.0,88.0,846.0,10.3,2338.0,1848.0,490.0,344.0,235.0,70.0,39.0,37.0,19.03,11.43,11.56,7.9
Yuba,1583.0,753.0,332.0,82.0,53.0,363.0,12.3,1891.0,1141.0,750.0,727.0,687.0,30.0,10.0,23.0,29.5,20.97,45.93,43.4
