Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 02FEB2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,885.0,455.0,106.0,40.0,35.0,249.0,13.3,998.0,558.0,440.0,227.0,195.0,26.0,6.0,22.3,20.45,11.98,25.65,22.03
Nevada,1052.0,588.0,86.0,45.0,23.0,310.0,12.0,1296.0,721.0,575.0,300.0,252.0,34.0,14.0,25.7,14.64,8.17,28.52,23.95
Orange,23661.0,12055.0,2531.0,1325.0,879.0,6871.0,6.0,28242.0,22825.0,5417.0,3028.0,1914.0,690.0,424.0,33.3,20.01,10.7,12.8,8.09
Placer,2763.0,1484.0,234.0,132.0,97.0,816.0,9.3,1750.0,1389.0,361.0,216.0,131.0,49.0,36.0,33.0,16.76,8.47,7.82,4.74
Plumas,257.0,161.0,23.0,12.0,7.0,54.0,15.7,303.0,154.0,149.0,60.0,46.0,5.0,9.0,25.7,16.34,8.95,23.35,17.9
Riverside,31715.0,13723.0,5529.0,1693.0,1207.0,9563.0,10.3,39599.0,23841.0,15758.0,8352.0,7058.0,857.0,437.0,25.7,26.58,17.43,26.33,22.25
Sacramento,23352.0,10693.0,3312.0,1393.0,883.0,7071.0,6.0,24877.0,19713.0,5164.0,3509.0,2269.0,752.0,488.0,36.7,23.93,14.18,15.03,9.72
San Benito,538.0,232.0,90.0,33.0,21.0,162.0,14.0,714.0,415.0,299.0,225.0,203.0,15.0,7.0,26.7,26.77,16.73,41.82,37.73
San Bernardino,38015.0,14403.0,8690.0,2105.0,1440.0,11377.0,7.7,51736.0,32438.0,19298.0,11246.0,9779.0,953.0,514.0,29.0,32.18,22.86,29.58,25.72
San Diego,39379.0,18243.0,4868.0,2297.0,1498.0,12473.0,11.0,31812.0,24770.0,7042.0,4601.0,2720.0,1129.0,752.0,34.3,22.0,12.36,11.68,6.91
