Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2014 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 13JAN2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,923.0,557.0,92.0,31.0,26.0,217.0,12.0,916.0,572.0,344.0,181.0,164.0,9.0,8.0,24.7,16.14,9.97,19.61,17.77
Nevada,1170.0,705.0,103.0,39.0,50.0,273.0,14.3,1297.0,703.0,594.0,276.0,239.0,21.0,16.0,23.0,16.41,8.8,23.59,20.43
Orange,23501.0,13312.0,2178.0,1129.0,766.0,6116.0,6.0,23850.0,19666.0,4184.0,2256.0,1381.0,524.0,351.0,33.3,17.33,9.27,9.6,5.88
Placer,3219.0,1833.0,318.0,151.0,122.0,795.0,9.7,2178.0,1709.0,469.0,321.0,200.0,73.0,48.0,33.3,18.36,9.88,9.97,6.21
Plumas,245.0,165.0,18.0,10.0,5.0,47.0,15.3,252.0,139.0,113.0,61.0,56.0,4.0,1.0,27.3,13.47,7.35,24.9,22.86
Riverside,33672.0,16362.0,5382.0,1631.0,1081.0,9216.0,11.0,38063.0,23539.0,14524.0,8992.0,7983.0,670.0,339.0,25.0,24.04,15.98,26.7,23.71
Sacramento,24426.0,13123.0,2393.0,1090.0,725.0,7095.0,9.3,22561.0,19094.0,3467.0,2282.0,1404.0,500.0,378.0,35.7,17.23,9.8,9.34,5.75
San Benito,656.0,340.0,88.0,39.0,34.0,155.0,14.3,769.0,448.0,321.0,193.0,172.0,13.0,8.0,27.3,24.54,13.41,29.42,26.22
San Bernardino,38813.0,17585.0,7687.0,1733.0,1148.0,10660.0,8.3,49147.0,32002.0,17145.0,12949.0,11856.0,728.0,365.0,30.0,27.23,19.81,33.36,30.55
San Diego,39623.0,20051.0,4834.0,1959.0,1323.0,11456.0,11.3,28417.0,22742.0,5675.0,4085.0,2463.0,958.0,664.0,33.3,20.48,12.2,10.31,6.22
